"W.L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team" "offName"
"W" "12-20-2008" 40 "Fresno St. (CA)" 35 "New Mexico Bowl" 1 12 20 2008 "Colorado St." "Colorado State University"
"W" "12-27-2004" 39 "Toledo (OH)" 10 "Motor City Bowl" 1 12 27 2004 "Connecticut" "University of Connecticut"
"L" "12-29-2007" 10 "Wake Forest (NC)" 24 "Meineke Car Care Bowl" 1 12 29 2007 "Connecticut" "University of Connecticut"
"W" "01-03-2009" 38 "Buffalo (NY)" 20 "International Bowl" 1 1 3 2009 "Connecticut" "University of Connecticut"
"W" "01-02-2010" 20 "South Carolina" 7 "Papajohns.com Bowl" 1 1 2 2010 "Connecticut" "University of Connecticut"
"L" "01-01-2011" 20 "Oklahoma" 48 "Fiesta Bowl" 1 1 1 2011 "Connecticut" "University of Connecticut"
"L" "01-02-1939" 3 "Southern California" 7 "Rose Bowl" 0 1 2 1939 "Duke (NC)" "Duke University"
"L" "01-01-1942" 16 "Oregon St." 20 "Rose Bowl" 0 1 1 1942 "Duke (NC)" "Duke University"
"W" "01-01-1945" 29 "Alabama" 26 "Sugar Bowl" 0 1 1 1945 "Duke (NC)" "Duke University"
"W" "01-01-1955" 34 "Nebraska" 7 "Orange Bowl" 0 1 1 1955 "Duke (NC)" "Duke University"
"L" "01-01-1958" 21 "Oklahoma" 48 "Orange Bowl" 0 1 1 1958 "Duke (NC)" "Duke University"
"W" "01-02-1961" 7 "Arkansas" 6 "Cotton Bowl" 0 1 2 1961 "Duke (NC)" "Duke University"
"L" "12-28-1989" 21 "Texas Tech" 49 "All-American Bowl (2)" 0 12 28 1989 "Duke (NC)" "Duke University"
"L" "01-02-1995" 20 "Wisconsin" 34 "Hall of Fame Bowl" 0 1 2 1995 "Duke (NC)" "Duke University"
"L" "11-30-1991" 21 "Clemson (SC)" 33 "Coco-Cola Classic" 1 11 30 1991 "Duke (NC)" "Duke University"
"W" "12-16-1978" 35 "Louisiana Tech" 13 "Independence Bowl" 0 12 16 1978 "East Carolina (NC)" "East Carolina University"
"W" "01-01-1992" 37 "North Carolina St." 34 "Peach Bowl" 0 1 1 1992 "East Carolina (NC)" "East Carolina University"
"L" "12-31-1994" 0 "Illinois" 30 "Liberty Bowl" 0 12 31 1994 "East Carolina (NC)" "East Carolina University"
"W" "12-30-1995" 19 "Stanford (CA)" 13 "Liberty Bowl" 0 12 30 1995 "East Carolina (NC)" "East Carolina University"
"L" "12-22-1999" 14 "Texas Christian" 28 "Mobile Alabama Bowl" 0 12 22 1999 "East Carolina (NC)" "East Carolina University"
"W" "12-27-2000" 40 "Texas Tech" 27 "Galleryfurniture.com Bowl" 0 12 27 2000 "East Carolina (NC)" "East Carolina University"
"L" "12-19-2001" 61 "Marshall (WV)" 64 "GMAC Bowl" 0 12 19 2001 "East Carolina (NC)" "East Carolina University"
"L" "12-23-2006" 7 "South Florida" 24 "Papajohns.com Bowl" 0 12 23 2006 "East Carolina (NC)" "East Carolina University"
"W" "12-23-2007" 41 "Boise St. (ID)" 38 "Hawaii Bowl" 0 12 23 2007 "East Carolina (NC)" "East Carolina University"
"L" "01-02-2009" 19 "Kentucky" 25 "Liberty Bowl" 0 1 2 2009 "East Carolina (NC)" "East Carolina University"
"L" "01-02-2010" 17 "Arkansas" 20 "Liberty Bowl" 0 1 2 2010 "East Carolina (NC)" "East Carolina University"
"L" "12-29-2010" 20 "Maryland" 51 "Military Bowl" 0 12 29 2010 "East Carolina (NC)" "East Carolina University"
"L" "12-13-1952" 6 "Clarion (PA)" 13 "Lions Bowl (NC)" 1 12 13 1952 "East Carolina (NC)" "East Carolina University"
"L" "01-02-1954" 0 "Charleston (WV)" 12 "Elks Bowl" 1 1 2 1954 "East Carolina (NC)" "East Carolina University"
"W" "12-14-1963" 27 "Northeastern (MA)" 6 "Eastern Bowl" 1 12 14 1963 "East Carolina (NC)" "East Carolina University"
"W" "12-12-1964" 14 "Massachusetts" 13 "Tangerine Bowl" 1 12 12 1964 "East Carolina (NC)" "East Carolina University"
"W" "12-11-1965" 31 "Maine" 0 "Tangerine Bowl" 1 12 11 1965 "East Carolina (NC)" "East Carolina University"
"W" "12-12-1987" 30 "San Jose St. (CA)" 27 "California Bowl" 0 12 12 1987 "Eastern Michigan" "Eastern Michigan University"
"L" "12-11-1971" 3 "Louisiana Tech" 14 "Pioneer Bowl (1)" 1 12 11 1971 "Eastern Michigan" "Eastern Michigan University"
"W" "01-01-1953" 14 "Tulsa (OK)" 13 "Gator Bowl" 1 1 1 1953 "Florida" "University of Florida"
"L" "12-27-1958" 3 "Mississippi" 7 "Gator Bowl" 1 12 27 1958 "Florida" "University of Florida"
"W" "12-31-1960" 13 "Baylor (TX)" 12 "Gator Bowl" 1 12 31 1960 "Florida" "University of Florida"
"W" "12-29-1962" 17 "Penn St." 7 "Gator Bowl" 1 12 29 1962 "Florida" "University of Florida"
"L" "01-01-1966" 18 "Missouri" 20 "Sugar Bowl" 1 1 1 1966 "Florida" "University of Florida"
"W" "01-02-1967" 27 "Georgia Tech" 12 "Orange Bowl" 1 1 2 1967 "Florida" "University of Florida"
"W" "12-27-1969" 14 "Tennessee" 13 "Gator Bowl" 1 12 27 1969 "Florida" "University of Florida"
"L" "12-22-1973" 7 "Miami (OH)" 16 "Tangerine Bowl" 1 12 22 1973 "Florida" "University of Florida"
"L" "12-31-1974" 10 "Nebraska" 13 "Sugar Bowl" 1 12 31 1974 "Florida" "University of Florida"
"L" "12-29-1975" 0 "Maryland" 13 "Gator Bowl" 1 12 29 1975 "Florida" "University of Florida"
"L" "01-02-1977" 14 "Texas A&M" 37 "Sun Bowl" 1 1 2 1977 "Florida" "University of Florida"
"W" "12-20-1980" 35 "Maryland" 20 "Tangerine Bowl" 1 12 20 1980 "Florida" "University of Florida"
"L" "12-31-1981" 6 "West Virginia" 26 "Peach Bowl" 1 12 31 1981 "Florida" "University of Florida"
"L" "12-31-1982" 24 "Arkansas" 28 "Bluebonnet Bowl" 1 12 31 1982 "Florida" "University of Florida"
"W" "12-30-1983" 14 "Iowa" 6 "Gator Bowl" 1 12 30 1983 "Florida" "University of Florida"
"L" "12-25-1987" 16 "UCLA" 20 "Aloha Bowl" 1 12 25 1987 "Florida" "University of Florida"
"W" "12-29-1988" 14 "Illinois" 10 "All-American Bowl (2)" 1 12 29 1988 "Florida" "University of Florida"
"L" "12-30-1989" 7 "Washington" 34 "Freedom Bowl" 1 12 30 1989 "Florida" "University of Florida"
"L" "01-01-1992" 28 "Notre Dame (IN)" 39 "Sugar Bowl" 1 1 1 1992 "Florida" "University of Florida"
"W" "12-31-1992" 27 "North Carolina St." 10 "Gator Bowl" 1 12 31 1992 "Florida" "University of Florida"
"W" "01-01-1994" 41 "West Virginia" 7 "Sugar Bowl" 1 1 1 1994 "Florida" "University of Florida"
"L" "01-02-1995" 17 "Florida St." 23 "Sugar Bowl" 1 1 2 1995 "Florida" "University of Florida"
"L" "01-02-1996" 24 "Nebraska" 62 "Fiesta Bowl" 1 1 2 1996 "Florida" "University of Florida"
"W" "01-02-1997" 52 "Florida St." 20 "Sugar Bowl" 1 1 2 1997 "Florida" "University of Florida"
"W" "01-01-1998" 21 "Penn St." 6 "Florida Citrus Bowl" 1 1 1 1998 "Florida" "University of Florida"
"W" "01-02-1999" 31 "Syracuse (NY)" 10 "Orange Bowl" 1 1 2 1999 "Florida" "University of Florida"
"L" "01-01-2000" 34 "Michigan St." 37 "Florida Citrus Bowl" 1 1 1 2000 "Florida" "University of Florida"
"L" "01-02-2001" 20 "Miami (FL)" 37 "Sugar Bowl" 1 1 2 2001 "Florida" "University of Florida"
"W" "01-02-2002" 56 "Maryland" 23 "Orange Bowl" 1 1 2 2002 "Florida" "University of Florida"
"L" "01-01-2003" 30 "Michigan" 38 "Outback Bowl" 1 1 1 2003 "Florida" "University of Florida"
"L" "01-01-2004" 17 "Iowa" 37 "Outback Bowl" 1 1 1 2004 "Florida" "University of Florida"
"L" "12-31-2004" 10 "Miami (FL)" 27 "Peach Bowl" 1 12 31 2004 "Florida" "University of Florida"
"W" "01-02-2006" 31 "Iowa" 24 "Outback Bowl" 1 1 2 2006 "Florida" "University of Florida"
"W" "01-08-2007" 41 "Ohio St." 14 "BCS Championship Game" 1 1 8 2007 "Florida" "University of Florida"
"L" "01-01-2008" 35 "Michigan" 41 "Capital One Bowl" 1 1 1 2008 "Florida" "University of Florida"
"W" "01-08-2009" 24 "Oklahoma" 14 "BCS Championship Game" 1 1 8 2009 "Florida" "University of Florida"
"W" "01-01-2010" 51 "Cincinnati (OH)" 24 "Sugar Bowl" 1 1 1 2010 "Florida" "University of Florida"
"W" "01-01-2011" 37 "Penn St." 24 "Outback Bowl" 1 1 1 2011 "Florida" "University of Florida"
"W" "01-02-2012" 24 "Ohio St." 17 "Gator Bowl" 1 1 2 2012 "Florida" "University of Florida"
"W" "12-21-2007" 44 "Memphis (TN)" 27 "New Orleans Bowl" 1 12 21 2007 "Florida Atlantic" "Florida Atlantic University"
"W" "12-26-2008" 24 "Central Michigan" 21 "Motor City Bowl" 1 12 26 2008 "Florida Atlantic" "Florida Atlantic University"
"W" "12-26-2010" 34 "Toledo (OH)" 32 "Little Caesars Pizza Bowl" 1 12 26 2010 "Florida International" "Florida International University"
"L" "12-20-2011" 10 "Marshall (WV)" 20 "Saint Petersburg Bowl" 1 12 20 2011 "Florida International" "Florida International University"
"L" "01-01-1955" 20 "Texas-El Paso" 47 "Sun Bowl" 0 1 1 1955 "Florida St." "Florida State University"
"L" "12-13-1958" 6 "Oklahoma St." 15 "Bluegrass Bowl" 0 12 13 1958 "Florida St." "Florida State University"
"W" "01-02-1965" 36 "Oklahoma" 19 "Gator Bowl" 0 1 2 1965 "Florida St." "Florida State University"
"L" "12-24-1966" 20 "Wyoming" 28 "Sun Bowl" 0 12 24 1966 "Florida St." "Florida State University"
"T" "12-30-1967" 17 "Penn St." 17 "Gator Bowl" 0 12 30 1967 "Florida St." "Florida State University"
"L" "12-30-1968" 27 "Louisiana St." 31 "Peach Bowl" 0 12 30 1968 "Florida St." "Florida State University"
"L" "12-27-1971" 38 "Arizona St." 45 "Fiesta Bowl" 0 12 27 1971 "Florida St." "Florida State University"
"W" "12-23-1977" 40 "Texas Tech" 17 "Tangerine Bowl" 0 12 23 1977 "Florida St." "Florida State University"
"L" "01-01-1980" 7 "Oklahoma" 24 "Orange Bowl" 0 1 1 1980 "Florida St." "Florida State University"
"L" "01-01-1981" 17 "Oklahoma" 18 "Orange Bowl" 0 1 1 1981 "Florida St." "Florida State University"
"W" "12-30-1982" 31 "West Virginia" 12 "Gator Bowl" 0 12 30 1982 "Florida St." "Florida State University"
"W" "12-30-1983" 28 "North Carolina" 3 "Peach Bowl" 0 12 30 1983 "Florida St." "Florida State University"
"T" "12-22-1984" 17 "Georgia" 17 "Florida Citrus Bowl" 0 12 22 1984 "Florida St." "Florida State University"
"W" "12-30-1985" 34 "Oklahoma St." 23 "Gator Bowl" 0 12 30 1985 "Florida St." "Florida State University"
"W" "12-31-1986" 27 "Indiana" 13 "All-American Bowl (2)" 0 12 31 1986 "Florida St." "Florida State University"
"W" "01-01-1988" 31 "Nebraska" 28 "Fiesta Bowl" 0 1 1 1988 "Florida St." "Florida State University"
"W" "01-02-1989" 13 "Auburn (AL)" 7 "Sugar Bowl" 0 1 2 1989 "Florida St." "Florida State University"
"W" "01-01-1990" 41 "Nebraska" 17 "Fiesta Bowl" 0 1 1 1990 "Florida St." "Florida State University"
"W" "12-28-1990" 24 "Penn St." 17 "Blockbuster Bowl" 0 12 28 1990 "Florida St." "Florida State University"
"W" "01-01-1992" 10 "Texas A&M" 2 "Cotton Bowl" 0 1 1 1992 "Florida St." "Florida State University"
"W" "01-01-1993" 27 "Nebraska" 14 "Orange Bowl" 0 1 1 1993 "Florida St." "Florida State University"
"W" "01-01-1994" 18 "Nebraska" 16 "Orange Bowl" 0 1 1 1994 "Florida St." "Florida State University"
"W" "01-02-1995" 23 "Florida" 17 "Sugar Bowl" 0 1 2 1995 "Florida St." "Florida State University"
"W" "01-01-1996" 31 "Notre Dame (IN)" 26 "Orange Bowl" 0 1 1 1996 "Florida St." "Florida State University"
"L" "01-02-1997" 20 "Florida" 52 "Sugar Bowl" 0 1 2 1997 "Florida St." "Florida State University"
"W" "01-01-1998" 31 "Ohio St." 14 "Sugar Bowl" 0 1 1 1998 "Florida St." "Florida State University"
"L" "01-04-1999" 16 "Tennessee" 23 "Fiesta Bowl" 0 1 4 1999 "Florida St." "Florida State University"
"W" "01-04-2000" 46 "Virginia Tech" 29 "Sugar Bowl" 0 1 4 2000 "Florida St." "Florida State University"
"L" "01-03-2001" 2 "Oklahoma" 13 "Orange Bowl" 0 1 3 2001 "Florida St." "Florida State University"
"W" "01-01-2002" 30 "Virginia Tech" 17 "Gator Bowl" 0 1 1 2002 "Florida St." "Florida State University"
"L" "01-01-2003" 13 "Georgia" 26 "Sugar Bowl" 0 1 1 2003 "Florida St." "Florida State University"
"L" "01-01-2004" 14 "Miami (FL)" 16 "Orange Bowl" 0 1 1 2004 "Florida St." "Florida State University"
"W" "01-01-2005" 30 "West Virginia" 18 "Gator Bowl" 0 1 1 2005 "Florida St." "Florida State University"
"L" "01-03-2006" 23 "Penn St." 26 "Orange Bowl - Penn St. Vacated Game" 0 1 3 2006 "Florida St." "Florida State University"
"N/A" "12-27-2006" 44 "UCLA" 27 "Emerald Bowl - Florida St. Vacated Game" 0 12 27 2006 "Florida St." "Florida State University"
"L" "12-31-2007" 28 "Kentucky" 35 "Music City Bowl" 0 12 31 2007 "Florida St." "Florida State University"
"W" "12-27-2008" 42 "Wisconsin" 13 "Champs Sports Bowl" 0 12 27 2008 "Florida St." "Florida State University"
"W" "01-01-2010" 33 "West Virginia" 21 "Gator Bowl" 0 1 1 2010 "Florida St." "Florida State University"
"W" "12-31-2010" 26 "South Carolina" 17 "Peach Bowl" 0 12 31 2010 "Florida St." "Florida State University"
"W" "12-29-2011" 18 "Notre Dame (IN)" 14 "Champs Sports Bowl" 0 12 29 2011 "Florida St." "Florida State University"
"W" "01-02-1950" 19 "Wofford (SC)" 6 "Cigar Bowl (1)" 1 1 2 1950 "Florida St." "Florida State University"
"L" "01-01-1946" 12 "Drake (IA)" 13 "Raisin Bowl" 0 1 1 1946 "Fresno St. (CA)" "California State University: Fresno"
"W" "11-23-1961" 36 "Bowling Green (OH)" 6 "Mercy Bowl" 0 11 23 1961 "Fresno St. (CA)" "California State University: Fresno"
"W" "12-18-1982" 29 "Bowling Green (OH)" 28 "California Bowl" 0 12 18 1982 "Fresno St. (CA)" "California State University: Fresno"
"W" "12-14-1985" 51 "Bowling Green (OH)" 7 "California Bowl" 0 12 14 1985 "Fresno St. (CA)" "California State University: Fresno"
"W" "12-10-1988" 35 "Western Michigan" 30 "California Bowl" 0 12 10 1988 "Fresno St. (CA)" "California State University: Fresno"
"W" "12-09-1989" 27 "Ball St. (IN)" 6 "California Bowl" 0 12 9 1989 "Fresno St. (CA)" "California State University: Fresno"
"L" "12-14-1991" 21 "Bowling Green (OH)" 28 "California Bowl" 0 12 14 1991 "Fresno St. (CA)" "California State University: Fresno"
"W" "12-29-1992" 24 "Southern California" 7 "Freedom Bowl" 0 12 29 1992 "Fresno St. (CA)" "California State University: Fresno"
"L" "12-25-1993" 30 "Colorado" 41 "Aloha Bowl" 0 12 25 1993 "Fresno St. (CA)" "California State University: Fresno"
"L" "12-18-1999" 16 "Utah" 17 "Las Vegas Bowl" 0 12 18 1999 "Fresno St. (CA)" "California State University: Fresno"
"L" "12-31-2000" 34 "Air Force (CO)" 37 "Silicon Valley Classic" 0 12 31 2000 "Fresno St. (CA)" "California State University: Fresno"
"L" "12-31-2001" 35 "Michigan St." 44 "Silicon Valley Classic" 0 12 31 2001 "Fresno St. (CA)" "California State University: Fresno"
"W" "12-31-2002" 30 "Georgia Tech" 21 "Silicon Valley Classic" 0 12 31 2002 "Fresno St. (CA)" "California State University: Fresno"
"W" "12-30-2003" 17 "UCLA" 9 "Silicon Valley Classic" 0 12 30 2003 "Fresno St. (CA)" "California State University: Fresno"
"W" "12-27-2004" 37 "Virginia" 34 "MPC Computers Bowl" 0 12 27 2004 "Fresno St. (CA)" "California State University: Fresno"
"L" "12-31-2005" 24 "Tulsa (OK)" 31 "Liberty Bowl" 0 12 31 2005 "Fresno St. (CA)" "California State University: Fresno"
"W" "12-31-2007" 40 "Georgia Tech" 28 "Humanitarian Bowl" 0 12 31 2007 "Fresno St. (CA)" "California State University: Fresno"
"L" "12-20-2008" 35 "Colorado St." 40 "New Mexico Bowl" 0 12 20 2008 "Fresno St. (CA)" "California State University: Fresno"
"L" "12-19-2009" 28 "Wyoming" 35 "New Mexico Bowl" 0 12 19 2009 "Fresno St. (CA)" "California State University: Fresno"
"L" "12-18-2010" 17 "Northern Illinois" 40 "Humanitarian Bowl" 0 12 18 2010 "Fresno St. (CA)" "California State University: Fresno"
"W" "12-25-1937" 27 "Central Arkansas" 26 "Charity Bowl" 1 12 25 1937 "Fresno St. (CA)" "California State University: Fresno"
"W" "01-01-1941" 3 "Hawaii" 0 "Pineapple Bowl" 1 1 1 1941 "Fresno St. (CA)" "California State University: Fresno"
"L" "12-06-1947" 13 "Hawaii" 27 "Aloha Bowl" 1 12 6 1947 "Fresno St. (CA)" "California State University: Fresno"
"L" "12-14-1968" 14 "Humboldt St. (CA)" 29 "Camellia Bowl (2)" 1 12 14 1968 "Fresno St. (CA)" "California State University: Fresno"
"L" "12-11-1971" 14 "Cal St.-Fullerton" 17 "Mercy Bowl II" 1 12 11 1971 "Fresno St. (CA)" "California State University: Fresno"
"W" "01-01-1942" 40 "Texas Christian" 26 "Orange Bowl" 1 1 1 1942 "Georgia" "University of Georgia"
"W" "01-01-1943" 9 "UCLA" 0 "Rose Bowl" 1 1 1 1943 "Georgia" "University of Georgia"
"W" "01-01-1946" 20 "Tulsa (OK)" 6 "Oil Bowl" 1 1 1 1946 "Georgia" "University of Georgia"
"W" "01-01-1947" 20 "North Carolina" 10 "Sugar Bowl" 1 1 1 1947 "Georgia" "University of Georgia"
"T" "01-01-1948" 20 "Maryland" 20 "Gator Bowl" 1 1 1 1948 "Georgia" "University of Georgia"
"L" "01-01-1949" 28 "Texas" 41 "Orange Bowl" 1 1 1 1949 "Georgia" "University of Georgia"
"L" "12-09-1950" 20 "Texas A&M" 40 "Presidential Cup Bowl" 1 12 9 1950 "Georgia" "University of Georgia"
"W" "01-01-1960" 14 "Missouri" 0 "Orange Bowl" 1 1 1 1960 "Georgia" "University of Georgia"
"W" "12-26-1964" 7 "Texas Tech" 0 "Sun Bowl" 1 12 26 1964 "Georgia" "University of Georgia"
"W" "12-31-1966" 24 "Southern Methodist (TX)" 9 "Cotton Bowl" 1 12 31 1966 "Georgia" "University of Georgia"
"L" "12-16-1967" 7 "North Carolina St." 14 "Liberty Bowl" 1 12 16 1967 "Georgia" "University of Georgia"
"L" "01-01-1969" 2 "Arkansas" 16 "Sugar Bowl" 1 1 1 1969 "Georgia" "University of Georgia"
"L" "12-20-1969" 6 "Nebraska" 45 "Sun Bowl" 1 12 20 1969 "Georgia" "University of Georgia"
"W" "12-31-1971" 7 "North Carolina" 3 "Gator Bowl" 1 12 31 1971 "Georgia" "University of Georgia"
"W" "12-28-1973" 17 "Maryland" 16 "Peach Bowl" 1 12 28 1973 "Georgia" "University of Georgia"
"L" "12-21-1974" 10 "Miami (OH)" 21 "Tangerine Bowl" 1 12 21 1974 "Georgia" "University of Georgia"
"L" "01-01-1976" 10 "Arkansas" 31 "Cotton Bowl" 1 1 1 1976 "Georgia" "University of Georgia"
"L" "01-01-1977" 3 "Pittsburgh (PA)" 27 "Sugar Bowl" 1 1 1 1977 "Georgia" "University of Georgia"
"L" "12-31-1978" 22 "Stanford (CA)" 25 "Bluebonnet Bowl" 1 12 31 1978 "Georgia" "University of Georgia"
"W" "01-01-1981" 17 "Notre Dame (IN)" 10 "Sugar Bowl" 1 1 1 1981 "Georgia" "University of Georgia"
"L" "01-01-1982" 20 "Pittsburgh (PA)" 24 "Sugar Bowl" 1 1 1 1982 "Georgia" "University of Georgia"
"L" "01-01-1983" 23 "Penn St." 27 "Sugar Bowl" 1 1 1 1983 "Georgia" "University of Georgia"
"W" "01-02-1984" 10 "Texas" 9 "Cotton Bowl" 1 1 2 1984 "Georgia" "University of Georgia"
"T" "12-22-1984" 17 "Florida St." 17 "Florida Citrus Bowl" 1 12 22 1984 "Georgia" "University of Georgia"
"T" "12-28-1985" 13 "Arizona" 13 "Sun Bowl" 1 12 28 1985 "Georgia" "University of Georgia"
"L" "12-23-1986" 24 "Boston College (MA)" 27 "Hall of Fame Bowl" 1 12 23 1986 "Georgia" "University of Georgia"
"W" "12-29-1987" 20 "Arkansas" 17 "Liberty Bowl" 1 12 29 1987 "Georgia" "University of Georgia"
"W" "01-01-1989" 34 "Michigan St." 27 "Gator Bowl" 1 1 1 1989 "Georgia" "University of Georgia"
"L" "12-30-1989" 18 "Syracuse (NY)" 19 "Peach Bowl" 1 12 30 1989 "Georgia" "University of Georgia"
"W" "12-29-1991" 24 "Arkansas" 15 "Independence Bowl" 1 12 29 1991 "Georgia" "University of Georgia"
"W" "01-01-1993" 21 "Ohio St." 14 "Florida Citrus Bowl" 1 1 1 1993 "Georgia" "University of Georgia"
"L" "12-30-1995" 27 "Virginia" 34 "Peach Bowl" 1 12 30 1995 "Georgia" "University of Georgia"
"W" "01-01-1998" 33 "Wisconsin" 6 "Outback Bowl" 1 1 1 1998 "Georgia" "University of Georgia"
"W" "12-31-1998" 35 "Virginia" 33 "Peach Bowl" 1 12 31 1998 "Georgia" "University of Georgia"
"W" "01-01-2000" 28 "Purdue (IN)" 25 "Outback Bowl" 1 1 1 2000 "Georgia" "University of Georgia"
"W" "12-24-2000" 37 "Virginia" 14 "Oahu Classic" 1 12 24 2000 "Georgia" "University of Georgia"
"L" "12-28-2001" 16 "Boston College (MA)" 20 "Music City Bowl" 1 12 28 2001 "Georgia" "University of Georgia"
"W" "01-01-2003" 26 "Florida St." 13 "Sugar Bowl" 1 1 1 2003 "Georgia" "University of Georgia"
"W" "01-01-2004" 34 "Purdue (IN)" 27 "Capital One Bowl" 1 1 1 2004 "Georgia" "University of Georgia"
"W" "01-01-2005" 24 "Wisconsin" 21 "Outback Bowl" 1 1 1 2005 "Georgia" "University of Georgia"
"L" "01-02-2006" 35 "West Virginia" 38 "Sugar Bowl" 1 1 2 2006 "Georgia" "University of Georgia"
"W" "12-30-2006" 31 "Virginia Tech" 24 "Peach Bowl" 1 12 30 2006 "Georgia" "University of Georgia"
"W" "01-01-2008" 41 "Hawaii" 10 "Sugar Bowl" 1 1 1 2008 "Georgia" "University of Georgia"
"W" "01-01-2009" 24 "Michigan St." 12 "Capital One Bowl" 1 1 1 2009 "Georgia" "University of Georgia"
"W" "12-28-2009" 44 "Texas A&M" 20 "Independence Bowl" 1 12 28 2009 "Georgia" "University of Georgia"
"L" "12-31-2010" 6 "Central Florida" 10 "Liberty Bowl" 1 12 31 2010 "Georgia" "University of Georgia"
"L" "01-02-2012" 30 "Michigan St." 33 "Outback Bowl" 1 1 2 2012 "Georgia" "University of Georgia"
"W" "01-01-1929" 8 "California" 7 "Rose Bowl" 1 1 1 1929 "Georgia Tech" "Georgia Institute of Technology"
"W" "01-01-1940" 21 "Missouri" 7 "Orange Bowl" 1 1 1 1940 "Georgia Tech" "Georgia Institute of Technology"
"L" "01-01-1943" 7 "Texas" 14 "Cotton Bowl" 1 1 1 1943 "Georgia Tech" "Georgia Institute of Technology"
"W" "01-01-1944" 20 "Tulsa (OK)" 18 "Sugar Bowl" 1 1 1 1944 "Georgia Tech" "Georgia Institute of Technology"
"L" "01-01-1945" 12 "Tulsa (OK)" 26 "Orange Bowl" 1 1 1 1945 "Georgia Tech" "Georgia Institute of Technology"
"W" "01-01-1947" 41 "Saint Mary's (CA)" 19 "Oil Bowl" 1 1 1 1947 "Georgia Tech" "Georgia Institute of Technology"
"W" "01-01-1948" 20 "Kansas" 14 "Orange Bowl" 1 1 1 1948 "Georgia Tech" "Georgia Institute of Technology"
"W" "01-01-1952" 17 "Baylor (TX)" 14 "Orange Bowl" 1 1 1 1952 "Georgia Tech" "Georgia Institute of Technology"
"W" "01-01-1953" 24 "Mississippi" 7 "Sugar Bowl" 1 1 1 1953 "Georgia Tech" "Georgia Institute of Technology"
"W" "01-01-1954" 42 "West Virginia" 19 "Sugar Bowl" 1 1 1 1954 "Georgia Tech" "Georgia Institute of Technology"
"W" "01-01-1955" 14 "Arkansas" 6 "Cotton Bowl" 1 1 1 1955 "Georgia Tech" "Georgia Institute of Technology"
"W" "01-02-1956" 7 "Pittsburgh (PA)" 0 "Sugar Bowl" 1 1 2 1956 "Georgia Tech" "Georgia Institute of Technology"
"W" "12-29-1956" 21 "Pittsburgh (PA)" 14 "Gator Bowl" 1 12 29 1956 "Georgia Tech" "Georgia Institute of Technology"
"L" "01-02-1960" 7 "Arkansas" 14 "Gator Bowl" 1 1 2 1960 "Georgia Tech" "Georgia Institute of Technology"
"L" "12-30-1961" 15 "Penn St." 30 "Gator Bowl" 1 12 30 1961 "Georgia Tech" "Georgia Institute of Technology"
"L" "12-22-1962" 10 "Missouri" 14 "Bluebonnet Bowl" 1 12 22 1962 "Georgia Tech" "Georgia Institute of Technology"
"W" "12-31-1965" 31 "Texas Tech" 21 "Gator Bowl" 1 12 31 1965 "Georgia Tech" "Georgia Institute of Technology"
"L" "01-02-1967" 12 "Florida" 27 "Orange Bowl" 1 1 2 1967 "Georgia Tech" "Georgia Institute of Technology"
"W" "12-19-1970" 17 "Texas Tech" 9 "Sun Bowl" 1 12 19 1970 "Georgia Tech" "Georgia Institute of Technology"
"L" "12-30-1971" 18 "Mississippi" 41 "Peach Bowl" 1 12 30 1971 "Georgia Tech" "Georgia Institute of Technology"
"W" "12-18-1972" 31 "Iowa St." 30 "Liberty Bowl" 1 12 18 1972 "Georgia Tech" "Georgia Institute of Technology"
"L" "12-25-1978" 21 "Purdue (IN)" 41 "Peach Bowl" 1 12 25 1978 "Georgia Tech" "Georgia Institute of Technology"
"W" "12-31-1985" 17 "Michigan St." 14 "Hall of Fame Classic" 1 12 31 1985 "Georgia Tech" "Georgia Institute of Technology"
"W" "01-01-1991" 45 "Nebraska" 21 "Florida Citrus Bowl" 1 1 1 1991 "Georgia Tech" "Georgia Institute of Technology"
"W" "12-25-1991" 18 "Stanford (CA)" 17 "Aloha Bowl" 1 12 25 1991 "Georgia Tech" "Georgia Institute of Technology"
"W" "12-29-1997" 35 "West Virginia" 30 "Carquest Bowl" 1 12 29 1997 "Georgia Tech" "Georgia Institute of Technology"
"W" "01-01-1999" 35 "Notre Dame (IN)" 28 "Gator Bowl" 1 1 1 1999 "Georgia Tech" "Georgia Institute of Technology"
"L" "01-01-2000" 13 "Miami (FL)" 28 "Gator Bowl" 1 1 1 2000 "Georgia Tech" "Georgia Institute of Technology"
"L" "12-29-2000" 14 "Louisiana St." 28 "Peach Bowl" 1 12 29 2000 "Georgia Tech" "Georgia Institute of Technology"
"W" "12-27-2001" 24 "Stanford (CA)" 14 "Seattle Bowl" 1 12 27 2001 "Georgia Tech" "Georgia Institute of Technology"
"L" "12-31-2002" 21 "Fresno St. (CA)" 30 "Silicon Valley Classic" 1 12 31 2002 "Georgia Tech" "Georgia Institute of Technology"
"W" "01-03-2004" 52 "Tulsa (OK)" 10 "Humanitarian Bowl" 1 1 3 2004 "Georgia Tech" "Georgia Institute of Technology"
"W" "12-21-2004" 51 "Syracuse (NY)" 14 "Champs Sports Bowl" 1 12 21 2004 "Georgia Tech" "Georgia Institute of Technology"
