"W.L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team" "offName"
"W" "01-01-2011" 49 "Michigan St." 7 "Capital One Bowl" 1 1 1 2011 "Alabama" "The University of Alabama"
"W" "01-09-2012" 21 "Louisiana St." 0 "BCS Championship Game" 1 1 9 2012 "Alabama" "The University of Alabama"
"L" "12-24-2004" 40 "Hawaii" 59 "Hawaii Bowl" 1 12 24 2004 "Alabama-Birmingham" "The University of Alabama at Birmingham"
"L" "12-26-1921" 0 "Centre (KY)" 38 "San Diego E-W Christmas Classic" 0 12 26 1921 "Arizona" "University of Arizona"
"L" "01-01-1949" 13 "Drake (IA)" 14 "Salad Bowl" 0 1 1 1949 "Arizona" "University of Arizona"
"L" "12-28-1968" 10 "Auburn (AL)" 34 "Sun Bowl" 0 12 28 1968 "Arizona" "University of Arizona"
"L" "12-25-1979" 10 "Pittsburgh (PA)" 16 "Fiesta Bowl" 0 12 25 1979 "Arizona" "University of Arizona"
"T" "12-28-1985" 13 "Georgia" 13 "Sun Bowl" 0 12 28 1985 "Arizona" "University of Arizona"
"W" "12-27-1986" 30 "North Carolina" 21 "Aloha Bowl" 0 12 27 1986 "Arizona" "University of Arizona"
"W" "12-31-1989" 17 "North Carolina St." 10 "Copper Bowl" 0 12 31 1989 "Arizona" "University of Arizona"
"L" "12-25-1990" 0 "Syracuse (NY)" 28 "Aloha Bowl" 0 12 25 1990 "Arizona" "University of Arizona"
"L" "12-31-1992" 15 "Baylor (TX)" 20 "Sun Bowl" 0 12 31 1992 "Arizona" "University of Arizona"
"W" "01-01-1994" 29 "Miami (FL)" 0 "Fiesta Bowl" 0 1 1 1994 "Arizona" "University of Arizona"
"L" "12-27-1994" 13 "Utah" 16 "Freedom Bowl" 0 12 27 1994 "Arizona" "University of Arizona"
"W" "12-27-1997" 20 "New Mexico" 14 "Insight.com Bowl" 0 12 27 1997 "Arizona" "University of Arizona"
"W" "12-30-1998" 23 "Nebraska" 20 "Holiday Bowl (1)" 0 12 30 1998 "Arizona" "University of Arizona"
"W" "12-20-2008" 31 "Brigham Young (UT)" 21 "Las Vegas Bowl" 0 12 20 2008 "Arizona" "University of Arizona"
"L" "12-30-2009" 0 "Nebraska" 33 "Holiday Bowl (1)" 0 12 30 2009 "Arizona" "University of Arizona"
"L" "12-29-2010" 10 "Oklahoma St." 36 "Alamo Bowl" 0 12 29 2010 "Arizona" "University of Arizona"
"L" "11-30-1986" 24 "Stanford (CA)" 29 "Coco-Cola Classic" 1 11 30 1986 "Arizona" "University of Arizona"
"T" "01-01-1940" 0 "Catholic (DC)" 0 "Sun Bowl" 0 1 1 1940 "Arizona St." "Arizona State University"
"L" "01-01-1941" 13 "Western Reserve (OH)" 26 "Sun Bowl" 0 1 1 1941 "Arizona St." "Arizona State University"
"L" "01-01-1950" 21 "Xavier (OH)" 33 "Salad Bowl" 0 1 1 1950 "Arizona St." "Arizona State University"
"L" "01-01-1951" 21 "Miami (OH)" 34 "Salad Bowl" 0 1 1 1951 "Arizona St." "Arizona State University"
"W" "12-30-1970" 48 "North Carolina" 26 "Peach Bowl" 0 12 30 1970 "Arizona St." "Arizona State University"
