"off.rank" "school" "games" "off.points" "off.pass.cmp" "off.pass.att" "off.pass.pct" "off.pass.yds" "off.pass.td" "off.rush.att" "off.rush.yds" "off.rush.avg" "off.rush.td" "off.toff.plays" "off.toff.yds" "off.toff.avg" "off.fd.pass" "off.fd.rush" "off.fd.pen" "off.fd.tot" "off.pen.num" "off.pen.yds" "off.turn.fum" "off.turn.int" "off.turn.tot" "year" "def.rank" "def.points" "def.pass.cmp" "def.pass.att" "def.pass.pct" "def.pass.yds" "def.pass.td" "def.rush.att" "def.rush.yds" "def.rush.avg" "def.rush.td" "def.toff.plays" "def.toff.yds" "def.toff.avg" "def.fd.pass" "def.fd.rush" "def.fd.pen" "def.fd.tot" "def.pen.num" "def.pen.yds" "def.turn.fum" "def.turn.int" "def.turn.tot" "spec.rank" "kick.xpm" "kick.xpa" "kick.xpp" "kick.fgm" "kick.fga" "kick.fgp" "kick.pts" "punt.num" "punt.yds" "punt.avg" "kr.num" "kr.yds" "kr.avg" "kr.td" "pr.num" "pr.yds" "pr.avg" "pr.td"
107 "Temple" 11 18 14.5 30 48.2 167.4 1.1 38.5 117.9 3.1 0.7 68.5 285.3 4.2 7.4 6.5 2.4 16.3 9.1 71.2 1.5 1.4 2.9 2001 78 28.3 15.2 28.8 52.7 182.8 1.5 37.9 129.8 3.4 1.5 66.7 312.6 4.7 7.1 7.5 1.8 16.4 7.8 77.1 1.3 1.4 2.6 94 2 2 100 0.9 1.6 55.6 4.7 6.9 254.9 36.9 3.6 82.4 22.7 0.1 2.9 27.3 9.4 0.1
108 "Eastern Michigan" 11 17.9 18.4 36.7 50 191.9 1.4 33.9 108.9 3.2 0.7 70.6 300.8 4.3 9.4 6.3 1.2 16.8 6.5 55.5 0.6 1.3 1.9 2001 91 32.4 16.2 29.6 54.6 198.2 1.2 44.2 177.5 4 2.5 73.8 375.7 5.1 9 9.9 1 19.9 5.8 55.2 0.7 0.5 1.3 28 1.9 1.9 100 1.1 1.6 66.7 5.2 8.1 286.5 35.4 4 71.8 18 0 2.6 15.3 5.8 0
109 "Mississippi State" 11 17.8 17 32.3 52.7 214.9 1.2 36.1 128.6 3.6 0.9 68.4 343.5 5 8.5 7.8 1.2 17.5 9.5 89.7 0.9 1.5 2.4 2001 66 26.2 15.5 28.3 54.7 214.5 1.9 40.5 156.9 3.9 1.3 68.7 371.5 5.4 9.1 8.3 2.5 19.8 8.2 62.2 0.8 1.2 2 60 1.8 2.1 87 0.7 1.5 50 4 5.8 232.4 39.9 4.3 86.5 20.3 0 1.8 19.4 10.7 0.1
110 "Connecticut" 11 17.5 15.4 34.2 44.9 168.8 0.9 33.1 77.5 2.3 0.9 67.3 246.3 3.7 7.9 5.3 2.5 15.7 6.8 59.1 0.8 1.5 2.4 2001 101 33.6 18.1 30.1 60.1 226.5 1.8 41.9 179.3 4.3 2.2 72 405.8 5.6 11.2 7.9 1.8 20.9 8.9 85.8 1.1 0.8 1.9 25 1.6 1.7 94.7 1.1 1.5 70.6 4.9 7.5 290.9 38.6 4.8 96 19.9 0 2.5 9.2 3.6 0
111 "Tulsa" 11 17.4 21.5 39.1 55.1 215.3 0.9 34.7 131 3.8 1.4 73.8 346.3 4.7 10.8 7.8 0.6 19.3 5.6 48.2 0.5 1.3 1.8 2001 105 35.2 17.9 27.8 64.4 224.5 1.7 41.7 222.3 5.3 2.3 69.5 446.7 6.4 9.9 10.6 1.5 22 7.6 58.8 0.7 0.6 1.4 104 1.7 1.9 90.5 0.5 1.1 50 3.4 5.9 238.8 40.4 3.9 73.4 18.8 0 2 16.9 8.5 0
112 "Houston" 11 17.3 22.8 41.3 55.3 249.2 1.4 29.8 93.4 3.1 1 71.1 342.5 4.8 11.2 5.8 1.8 18.8 8.4 67.7 1.1 1.3 2.4 2001 114 39.3 16.2 27 59.9 224.2 2 44.4 211.5 4.8 2.8 71.4 435.6 6.1 9.5 10.7 2 22.2 6.5 59.8 0.7 0.6 1.4 35 1.8 1.9 95.2 0.2 0.4 50 2.4 5.7 218.1 38.1 5.1 87.8 17.3 0 0.8 3.2 3.9 0
113 "San Diego State" 11 16.7 14.5 30.3 48 175.2 0.5 39 147.9 3.8 1.5 69.3 323.1 4.7 8 7.7 1.4 17.1 5.5 51.8 1.2 1.4 2.5 2001 67 26.4 15.5 28.1 55 198 1.4 40.4 140.5 3.5 1.6 68.5 338.5 4.9 8.1 7.9 1.5 17.5 6.4 54.9 0.5 1.2 1.7 85 1.8 2 90.9 0.9 1.2 76.9 4.5 6.1 252.3 41.4 4 76.5 19.1 0 3.2 26.1 8.2 0
114 "Kansas" 11 16.5 12 26.8 44.7 152.7 0.9 39.8 117.1 2.9 0.6 66.6 269.8 4 5.7 7.4 1.9 15 7 63.5 0.9 1.4 2.3 2001 107 36.2 15 28.3 53.1 190.5 1.6 48.7 237 4.9 2.7 77 427.5 5.6 8.5 12.5 1.9 22.9 6.5 59 0.5 1.1 1.5 41 1.5 1.5 94.1 1.3 1.8 70 5.3 7.3 283.9 39 3 53.4 17.8 0 2.4 25.8 10.9 0
115 "Arkansas State" 11 16.1 11.4 25 45.5 136.8 0.8 38.8 146.4 3.8 1 63.8 283.2 4.4 5.5 8 1.5 15.1 6.4 56.3 0.9 1.4 2.3 2001 92 32.5 16.7 27.1 61.7 220.5 1.6 44.1 182.3 4.1 2.4 71.2 402.7 5.7 10.4 9.1 1.5 21 7 56.9 1.4 0.5 1.8 8 1.5 1.8 80 0.6 1 63.6 3.4 6.4 234.8 36.9 3.7 75.8 20.3 0.1 1.7 9.2 5.3 0
116 "Louisiana-Monroe" 11 13.5 16.1 31.9 50.4 171.1 0.6 28.9 73.6 2.5 0.9 60.8 244.7 4 7.8 4.1 2.4 14.3 6.9 57.5 0.9 1.3 2.2 2001 89 31.9 22 33.5 65.6 264.9 2.4 39.5 137.3 3.5 1.6 73 402.2 5.5 13.6 8.2 1.6 23.5 7.7 73.7 1.3 0.7 2 48 0.7 1.4 53.3 0.7 1 72.7 2.9 6.3 218 34.8 4.6 84.4 18.2 0.1 1.5 10.1 6.9 0.1
117 "Rutgers" 11 10.8 11.6 25.6 45.4 137.1 0.8 41.3 104.5 2.5 0.3 66.9 241.6 3.6 5.2 6.2 1.8 13.2 9.8 72.9 1.9 1.9 3.8 2001 106 36.1 14.1 25.8 54.6 189.5 2 43 230.5 5.4 1.9 68.8 420 6.1 7.5 10.4 1.9 19.8 8.5 75.4 0.9 0.9 1.8 84 0.7 1 72.7 0.6 1 63.6 2.6 7.8 321 41.1 5.1 91.5 18 0 1.7 9.6 5.6 0
1 "Boise State" 13 45.6 19.3 30 64.4 292.9 2.5 43.1 208.5 4.8 3.3 73.1 501.5 6.9 11 11.2 1.8 24.1 8.2 77.2 1.2 0.6 1.8 2002 17 18.5 21.1 40.7 51.8 231.4 1.5 32.2 109.4 3.4 0.7 72.8 340.8 4.7 10.5 5.8 2.5 18.8 7.2 59.4 0.9 1.5 2.4 13 5.8 6 96.2 1.1 1.6 66.7 9 2.8 96.5 34.8 2.8 64.1 23.1 0 3.2 46.6 14.4 0.1
2 "Kansas State" 13 44.8 9.2 17.2 53.8 158.9 1.1 50.4 264.1 5.2 4.1 67.5 423 6.3 6.5 12.9 1.5 21 7.7 58.4 1.4 0.5 1.8 2002 1 11.8 14.7 32.2 45.7 179.5 0.8 34.3 69.5 2 0.5 66.5 249 3.7 7.5 4.5 1.6 13.5 7.3 55.6 1 1.5 2.5 42 5 5.7 87.8 0.8 1.2 68.8 7.5 4.2 168.2 39.7 1.6 36.6 22.7 0.1 3.8 52.8 13.7 0.4
3 "Bowling Green State" 12 40.8 18.9 33.2 57 229.8 2.3 41.7 219.1 5.3 2.8 74.8 448.9 6 10.6 12.8 1.3 24.6 6.3 56.8 0.6 0.9 1.5 2002 54 25.3 17.8 33.2 53.8 211.4 1.3 39.1 153.7 3.9 1.9 72.3 365.1 5.1 9.6 8.2 2.2 19.9 6.2 53.4 1.3 1 2.3 15 5 5.2 96.8 1 1.2 85.7 8 4.3 166.7 39.2 3.4 67.8 19.9 0 3.3 27.1 8.1 0.1
4 "Miami (FL)" 13 40.5 18.5 33.2 55.8 284.2 2.5 35 181.6 5.2 2.5 68.2 465.8 6.8 11.6 7.9 1 20.5 9.5 81.2 0.9 1 1.9 2002 22 19.1 12.5 27.2 46.2 119.7 0.6 44.8 165.3 3.7 1.5 71.9 285 4 5.9 9.5 2.2 17.6 5 39.8 0.9 0.9 1.8 53 5.1 5.4 94.3 1 1.7 59.1 8.1 4.8 186.5 38.5 2.9 61.3 21 0 3.8 50.9 13.2 0.1
5 "Oklahoma" 14 38.6 17.3 29.9 57.8 202 2 42.2 190.6 4.5 2.4 72.1 392.6 5.4 8.6 9.5 1.6 19.7 5.5 44.1 0.4 0.8 1.2 2002 6 15.4 14.7 30.9 47.7 185.3 0.9 35.4 107.9 3 0.6 66.3 293.1 4.4 6.8 6.7 0.9 14.4 6.5 51.6 0.9 1.7 2.6 76 4.4 4.6 93.8 1.1 1.6 72.7 7.8 5.6 208.5 37.4 2.1 41.6 20.1 0 3.4 52.1 15.5 0.4
6 "Texas Tech" 14 38.4 36.8 55 66.9 388.9 3.6 27.5 99.4 3.6 1.1 82.5 488.2 5.9 17.4 7.4 2.4 27.1 6.4 51 1 1.1 2.1 2002 89 31.4 18.8 33.7 55.7 239.6 1.9 39.1 163.9 4.2 2.1 72.9 403.5 5.5 10.4 9.5 0.9 20.7 7.4 61.8 0.2 1.1 1.4 99 4.4 4.6 96.9 0.9 1.4 68.4 7.2 3.5 133.4 38.1 3.6 65.3 17.9 0.1 4.2 54.7 13 0.2
7 "Iowa" 13 37.2 14 24.2 58 210.3 2.1 42.5 214.2 5 1.8 66.7 424.5 6.4 8.8 11.1 0.8 20.8 7.9 66 0.8 0.4 1.2 2002 24 19.7 23.1 41.2 56.1 273.4 1.2 32 81.9 2.6 1.3 73.2 355.3 4.9 13.5 5.5 2.8 21.7 5.6 43 0.8 1.5 2.4 39 4.4 4.5 96.6 1.6 1.8 87.5 9.2 4.1 161 39.5 2.8 71.5 25.1 0.2 2.7 31.8 11.8 0.2
8 "Hawaii" 14 35.9 29.1 52.2 55.7 386.1 2.5 22 109.5 5 1.9 74.2 495.6 6.7 17.1 4.5 2.6 24.1 8.7 74.4 1.1 1.9 2.9 2002 75 27.8 18.1 35.4 51.1 226.3 1.5 42.6 168.7 4 1.7 77.9 395 5.1 10.5 9.4 1.8 21.6 8.6 74.5 0.6 1.3 1.9 34 3.9 4 98.2 1.1 1.6 65.2 7.1 3.6 153.4 43 4.2 90.3 21.4 0 2.8 23.9 8.6 0
9 "Southern California" 13 35.8 24.1 38 63.4 306.8 2.5 39.6 142.5 3.6 1.9 77.6 449.2 5.8 14.3 7.5 2.2 24.1 7 58.5 0.6 0.8 1.4 2002 19 18.5 17.4 34.9 49.8 201.8 1.2 29.8 83.2 2.8 0.7 64.8 284.9 4.4 9.7 5 1.4 16.1 6.3 57.5 1.5 1.3 2.8 89 4.2 4.5 91.5 1.3 2 65.4 8.1 5 202.5 40.5 2 35 17.5 0 3.2 22.8 7.2 0.1
10 "California" 12 35.6 19.2 35.7 53.7 247.6 2.6 32.7 108 3.3 1.2 68.3 355.6 5.2 11.4 6.4 1.3 19.2 7.6 69.7 0.7 0.8 1.5 2002 61 26.5 21.1 36.3 58.2 278.8 1.7 38 114 3 1.3 74.3 392.8 5.3 11.8 6.8 2.8 21.4 8.1 70.8 1.8 1.3 3 18 4.2 4.3 98 1.6 2.3 70.4 8.9 5.5 204.2 37.1 3.6 87.7 24.5 0.1 3 38.4 12.8 0.3
11 "Toledo" 14 35.4 22.1 31.6 69.8 257.9 1.8 42.1 214.3 5.1 2.7 73.8 472.2 6.4 11.9 11.1 1.2 24.1 6.8 59.3 0.8 0.6 1.4 2002 64 27 17.7 30.4 58.2 213.1 1.3 35.9 150.6 4.2 1.9 66.3 363.7 5.5 9.9 8.4 1.2 19.6 5.6 43.1 0.6 1.4 2 101 3.9 4.4 87.1 0.9 1.1 81.3 6.6 3.3 115.1 35 4.3 85.6 20 0 2.4 33.3 14.1 0.1
12 "Marshall" 13 35.2 29.5 44.2 66.6 369.5 2.7 32 125.8 3.9 1.6 76.2 495.3 6.5 15.7 7.6 1.7 25 9 74.5 1.1 1.2 2.2 2002 46 24.2 13.5 28.2 47.8 161.5 0.8 40.6 172.5 4.2 2.2 68.8 334 4.9 7.3 9.2 2 18.5 5.7 44.9 0.5 1.2 1.7 50 3.9 4.2 92.7 1.2 1.6 76.2 7.6 3.5 148.2 41.9 3.3 52 15.7 0 2.1 10 4.8 0
13 "Oklahoma State" 13 34.3 18.7 34.9 53.5 262.6 2.5 33.9 148.5 4.4 1.8 68.8 411.1 6 10.6 8.1 1.8 20.5 8.9 71.6 0.5 1.2 1.7 2002 69 27.4 20.2 36.9 54.8 251.6 1.5 41.5 147.1 3.5 1.9 78.4 398.7 5.1 10.8 8.3 2.5 21.7 7.9 70.2 0.6 0.9 1.5 77 4.2 4.3 98.2 0.8 1.3 64.7 6.8 5.2 216.9 41.5 3.2 62.4 19.8 0 3.3 42.6 12.9 0.1
14 "Penn State" 13 34.3 15.2 27 56.4 195.1 1.3 40.5 228.6 5.7 2.8 67.5 423.7 6.3 8.8 11.2 1.3 21.3 4.9 42 0.5 0.8 1.3 2002 11 17.5 22.2 34.9 63.4 215.3 1.2 36.8 114.8 3.1 0.8 71.8 330.1 4.6 10.4 8 0.9 19.3 5.1 43.7 0.8 1.5 2.4 80 3.5 3.9 88.2 1.3 1.7 77.3 7.4 4 164.4 41.1 2 36.9 18.5 0 3.4 41.4 12.2 0.1
15 "Air Force" 13 33.8 5.2 11.8 43.5 90.4 0.9 60.5 307.8 5.1 3.2 72.3 398.2 5.5 3.3 17.5 1.5 22.3 4.2 33.9 0.8 0.5 1.3 2002 41 23.3 16.2 28.5 56.8 198.8 0.8 39.2 155.5 4 1.9 67.6 354.3 5.2 9.4 9 0.7 19.1 4.9 43.9 1.1 0.9 2 1 3.8 4.1 94.3 1.2 1.4 88.9 7.5 3.7 140.9 38.2 2.5 53.5 21.1 0 1.6 17.6 10.9 0.1
16 "Texas" 13 33.8 18.5 31.1 59.4 250.1 2 39.3 135.5 3.4 1.8 70.4 385.6 5.5 10.2 8.8 1.4 20.3 7.2 61.5 0.5 0.9 1.4 2002 8 16.3 14.8 30.8 48 165.2 1.3 36.5 142.5 3.9 0.8 67.2 307.7 4.6 7.8 7.5 2.1 17.5 7.1 56.7 1 1.7 2.7 96 4.2 4.2 100 1.2 2 61.5 7.9 5.5 215.2 38.8 1.5 36.6 23.8 0 2.8 39 14.1 0.2
17 "Washington State" 13 33.2 21 35.2 59.6 292.7 2.3 33.3 129.2 3.9 1.3 68.5 421.9 6.2 11.4 6.4 2.6 20.4 7.9 67.1 1.2 1.1 2.2 2002 37 22.8 23.5 41.2 57 255.2 1.5 34.8 87.2 2.5 0.8 76 342.5 4.5 11.3 6.6 2.8 20.7 7.2 65 0.6 1.3 1.9 113 3.6 3.8 95.9 1.7 2.5 66.7 8.7 3.8 157.9 41.1 3.2 61.3 19 0.1 3.2 36.4 11.3 0.1
18 "North Carolina State" 14 32.9 19.5 31.9 61.1 247.7 1.4 37.3 144.1 3.9 2.4 69.2 391.8 5.7 11 7.5 1.6 20.1 7.2 62.9 0.9 0.8 1.7 2002 10 17 15.5 31.2 49.7 175.5 0.9 37.5 125.3 3.3 0.9 68.7 300.8 4.4 7.8 8.4 1.9 18 7.4 64.8 1.1 1.1 2.2 69 3.7 4.2 88.1 0.7 1.1 62.5 5.9 4.4 162 37.2 2.6 65.9 24.9 0.2 2.5 20.7 8.3 0.2
19 "Central Florida" 12 32.6 22.5 36.8 61.1 319.8 2.6 30.1 116.3 3.9 1.5 66.9 436.1 6.5 13.5 7.3 1.1 21.8 8 64.3 1.3 1.4 2.8 2002 59 26.3 18 31.7 56.8 204.1 1.6 41.6 149.7 3.6 1.3 73.3 353.8 4.8 8.7 9.9 1.5 20.1 6.1 47.4 1.2 1.1 2.3 19 3.8 4 93.8 1.2 1.8 66.7 7.3 3.3 139.4 41.8 3.3 61.5 18.9 0 2.2 23.3 10.8 0.1
20 "Arizona State" 14 32.3 21.9 39.9 54.8 303.9 2.2 34.9 89 2.5 1.4 74.8 392.9 5.3 12.4 6.4 1.6 20.4 8.1 75.3 1.4 1.1 2.6 2002 79 29.1 17.4 34.8 49.9 244.3 2 35.6 119.4 3.4 1.3 70.4 363.6 5.2 9 7.1 1.8 17.9 7.9 59.9 1.3 1.6 2.9 6 3.5 3.5 100 1.6 2.4 69.7 8.4 5.9 240.9 41.1 4.4 88.5 20.3 0 3.2 28.8 9 0.1
21 "Maryland" 14 32.2 12.8 23.1 55.2 190.6 1.1 42.3 198.8 4.7 2.3 65.4 389.4 6 7.5 10.6 1.2 19.3 6 55.3 0.9 0.9 1.8 2002 7 16.3 17.9 31.7 56.5 210.1 0.9 37.9 128.6 3.4 0.9 69.6 338.8 4.9 9.5 6.9 1.4 17.7 7.4 58.6 0.6 1.3 1.9 51 3.8 3.9 98.1 1.7 2 85.7 8.9 3.9 169.5 43.1 2.1 47.1 22.7 0 4.1 55.2 13.3 0.3
22 "Georgia" 14 32.1 18.4 31.8 57.8 245.4 2 38.3 139.6 3.6 1.3 70.1 384.9 5.5 11.1 8.1 1.4 20.7 7.2 62.8 0.9 0.7 1.6 2002 4 15.1 16.1 29.3 55.1 189.5 1 37.4 114 3 0.8 66.7 303.5 4.5 8.1 7.6 1.6 17.3 6.6 51.5 1.1 1.1 2.2 32 3.7 3.8 98.1 1.9 2.4 78.8 9.3 4.6 193.4 42.3 2.7 54.6 20.1 0.1 3.6 53.3 14.9 0.1
23 "Kentucky" 12 32.1 16.3 29.2 55.7 198.9 2 35.8 148.5 4.1 1.6 65 347.4 5.3 8.3 8.3 1.4 18 8.8 69.7 0.8 0.5 1.3 2002 51 25.1 14.5 30.8 47.2 226.9 1.9 41.3 174.3 4.2 1.1 72 401.3 5.6 9.2 9.3 2.3 20.8 6.9 65.4 1 0.8 1.8 44 3.5 4.1 85.7 0.8 1.2 64.3 5.8 5.9 261.9 44.3 4.1 96.2 23.6 0.2 3.3 52.1 15.6 0.3
24 "Oregon" 13 32.1 16.5 31.7 51.9 227.6 2 36.6 145.6 4 1.6 68.3 373.2 5.5 9.4 7 1.5 17.8 8.5 71.2 0.6 0.8 1.5 2002 76 27.8 20.9 36.5 57.3 291.2 2.7 39 118.2 3 1 75.5 409.3 5.4 11.5 7.5 1.8 20.8 7.2 60.9 0.5 1.4 1.8 78 3.8 3.8 98 1.5 1.8 83.3 8.4 5.9 250 42.2 3.4 80.6 23.8 0 2.8 41.3 14.9 0.2
25 "Miami (OH)" 12 32 23.2 37.2 62.3 277.6 2.1 37.6 127.7 3.4 1.9 74.8 405.3 5.4 13.2 8 1.3 22.5 5.6 50.8 0.6 1.1 1.7 2002 66 27.1 20.9 35.3 59.2 273 1.8 32.8 139.7 4.3 1.7 68.1 412.7 6.1 11.8 7.4 2.1 21.3 6.8 63.8 1.2 1.1 2.3 54 3.7 3.8 95.7 1.2 1.2 100 7.2 4.4 179 40.5 3.9 77.3 19.7 0 2.4 17.1 7.1 0
26 "Oregon State" 13 31.8 17 36 47.2 262.6 2 38.6 148.7 3.9 1.6 74.6 411.3 5.5 11.2 7.5 1.7 20.4 9.7 100.2 0.8 1.1 1.9 2002 28 20.5 17.1 35.1 48.7 199.3 0.8 36.8 94.2 2.6 1 71.9 293.5 4.1 8.7 5.5 3.8 18 7.7 63.3 1 1.5 2.5 79 3.8 3.9 98 1.2 1.5 80 7.5 5.9 232 39.2 3.1 66.6 21.7 0 3.8 31.5 8.2 0
27 "Northern Illinois" 12 31.3 11.3 22.1 50.9 175.4 1.3 45.1 200.8 4.5 2 67.2 376.2 5.6 7.4 9.9 1.3 18.7 5.2 50.5 1.1 0.6 1.7 2002 49 24.8 20.3 35.7 56.8 254.9 1.4 37.3 131.8 3.5 1.4 72.9 386.8 5.3 11 6.6 1.6 19.2 6.3 58.2 0.6 1.8 2.3 71 3.4 3.6 95.3 1.5 2.1 72 7.9 5.4 203.6 37.6 3.5 76.8 21.9 0.1 2.2 43.8 20.2 0.3
28 "Connecticut" 12 31.1 19.3 32.7 59.2 222.6 1.8 37.5 136.6 3.6 1.8 70.2 359.2 5.1 9.8 7.7 1.8 19.3 6.3 49.9 0.7 1 1.7 2002 36 22.5 13.5 26.8 50.3 160.4 1.2 38.3 155.7 4.1 1.5 65.1 316.1 4.9 6.8 7.9 1.6 16.3 5.9 53.8 1 1.7 2.7 25 3.9 4 97.9 1 1.4 70.6 6.9 6.6 255.3 38.8 2.5 47.7 19.1 0 3.2 22.9 7.2 0.2
29 "South Florida" 11 30.8 21.9 38.8 56.4 252 1.8 36.6 134.6 3.7 1.5 75.5 386.6 5.1 10.8 7.3 1.4 19.5 11.6 97.8 0.9 0.5 1.4 2002 18 18.5 19.1 36.4 52.5 221.7 1.5 38.2 87.2 2.3 0.7 74.5 308.9 4.1 10.4 6.3 2.2 18.8 7.3 60.4 1.3 2 3.3 88 3.2 3.6 87.5 1.5 1.9 76.2 7.5 6.9 276.6 40 2.6 59.2 22.4 0.1 3.1 49.1 15.9 0.2
30 "Florida State" 14 30.6 15.5 29.9 51.8 211.1 1.9 40.1 187 4.7 1.4 70.1 398.1 5.7 9.3 10.2 1.9 21.4 7.8 66.8 0.8 0.7 1.5 2002 32 21.5 17.8 33.2 53.5 235.2 1.5 35.5 130.8 3.7 0.9 68.7 366 5.3 9.9 7 1.3 18.1 7.4 64.3 1.1 1.1 2.3 30 3.6 3.6 100 1.4 2 67.9 7.7 5.4 209.4 38.6 3.1 65.8 21.4 0.1 3.2 34.1 10.6 0
31 "Virginia Tech" 14 30.6 12 19.4 61.8 159.2 1 47.1 212.4 4.5 2.5 66.5 371.6 5.6 7.1 10.6 1.9 19.6 6.3 53.1 1.3 0.8 2.1 2002 21 18.8 16.4 31.6 51.9 213.6 1 35.4 121.4 3.4 1.4 67 335.1 5 8.5 6.5 1.4 16.4 7.5 64.4 0.9 1.7 2.6 110 3.6 3.8 96.2 0.9 1.6 52.2 6.2 4.7 185.1 39.3 2.4 48.4 20.5 0 2.9 40.9 14 0.2
32 "Washington" 13 30.6 28.6 47.8 59.9 346.2 2.2 34.9 74.5 2.1 1.2 82.7 420.7 5.1 15.9 6 3 24.9 6.1 52.8 1 1.1 2.1 2002 60 26.3 19.2 34.3 55.8 259.5 1.8 34.4 97.7 2.8 1.2 68.7 357.2 5.2 10.8 5.8 1.7 18.2 8.7 75.7 0.9 1.2 2.2 112 3.2 3.4 95.5 1.7 2.6 64.7 8.3 4.5 170 38.1 3 55.8 18.6 0 1.5 11.4 7.4 0
33 "West Virginia" 13 30.5 11.4 21.5 53 134.8 0.8 54.9 283.6 5.2 3 76.4 418.5 5.5 5.8 13.7 2.1 21.6 7.1 64.5 0.5 0.7 1.2 2002 40 23.2 17.7 32 55.3 213.6 1.3 34.8 121.8 3.5 1.5 66.8 335.5 5 9.5 6.2 1.7 17.3 6.6 56.7 1.2 1.5 2.6 114 3.6 3.9 92.2 0.8 1.2 68.8 6.2 5.5 199.5 36.5 3.2 63.3 20.1 0 2.6 18.4 7 0
34 "Boston College" 13 30.2 18.7 31.8 58.7 231.6 1.4 37.8 159.1 4.2 1.9 69.7 390.7 5.6 10.9 7.8 1.8 20.5 6.2 54.5 0.5 1.3 1.8 2002 23 19.5 15.5 28.7 53.9 172.1 0.9 42.3 167.4 4 1.3 71 339.5 4.8 7.5 9.2 1.6 18.3 7.8 63.4 1.3 1.2 2.5 14 3.1 3.3 93 1.8 2.5 72.7 8.6 4.3 160.1 37.2 3.5 67.9 19.2 0 2.7 26.5 9.9 0.1
35 "Texas Christian" 12 30.1 14.3 24.7 57.8 166.9 1 49.1 203.2 4.1 1.9 73.8 370.1 5 7 10 1 18 7.9 67.4 1.2 1.1 2.3 2002 20 18.5 13.2 33.8 38.9 175.4 1.3 32.8 64.8 2 0.8 66.6 240.3 3.6 7.4 3.8 2.1 13.3 7.2 51.1 1.7 1.8 3.5 98 3 3.2 94.7 1.9 2.5 76.7 8.8 6.7 258.2 38.7 2.7 61.8 23.2 0.1 4.1 36.9 9 0.2
36 "Missouri" 12 30 17 31.7 53.7 203.2 1.4 41.2 183.7 4.5 2.3 72.8 386.8 5.3 9.1 9.1 1.8 19.9 6.8 53.1 0.4 0.6 1 2002 81 29.3 21.1 35.5 59.4 282.6 1.6 42.6 167.8 3.9 1.8 78.1 450.3 5.8 12.4 9.4 1.8 23.6 6.8 56.3 1 1 2 61 3.6 3.8 93.5 0.8 1.3 60 5.8 5.6 237 42.4 4 83.6 20.9 0 2.3 29.4 13.1 0.1
37 "Colorado State" 14 29.9 13.1 25.1 52.4 182.9 1.1 44.4 205.7 4.6 2.3 69.5 388.6 5.6 8.4 10.8 1.1 20.2 3.7 34.5 1.1 0.9 1.9 2002 44 23.7 18.5 31.7 58.3 205.8 1.1 38.8 167.6 4.3 1.8 70.5 373.4 5.3 9.9 9 1.1 20 4.7 37.2 1.1 1 2.1 24 2.9 3.1 90.9 1.7 2.3 75 8 3.9 152.5 39.5 2.6 52.7 19.9 0 2.6 40.9 15.9 0.1
38 "Auburn" 13 29.8 13.4 23 58.2 183.8 1.4 43.3 203.7 4.7 2.5 66.3 387.5 5.8 8.1 9.9 1.1 19.1 8.3 58 1 0.8 1.8 2002 13 17.8 18.1 32.7 55.3 186.5 0.7 35.9 141.7 3.9 1.3 68.6 328.2 4.8 8.9 7.4 1.4 17.7 8.3 66.5 0.8 1.6 2.5 10 3.6 3.6 100 0.5 1.4 38.9 5.2 4.3 180.8 42 2.7 47.8 17.8 0 3.7 40.8 11 0
39 "UCLA" 13 29.8 15.7 28.2 55.6 229.6 1.5 39.9 127.5 3.2 1.5 68.2 357.2 5.2 9.5 7.2 1.5 18.2 6 58.2 0.9 0.8 1.8 2002 52 25.1 16.7 33.2 50.2 228.2 1.5 36.6 129.5 3.5 1.2 69.8 357.8 5.1 9.1 7.5 1.8 18.3 5.9 50.9 0.6 1.3 1.9 105 3.3 3.5 95.6 1.5 2.1 74.1 7.9 5.7 232.4 40.8 3.5 76.2 21.5 0 3.3 45.3 13.7 0.2
40 "Purdue" 13 29.7 20.8 34.8 60 255.7 1.6 44.8 196.5 4.4 2 79.5 452.2 5.7 11.6 10.5 1.1 23.2 5.6 46 1.5 1.2 2.6 2002 35 22.2 15.5 32.2 48.2 201 1.2 34.8 116.2 3.3 0.9 67 317.2 4.7 9 5.8 1 15.8 5.2 40.2 0.7 1.2 1.8 82 3.7 3.8 96 0.8 1.5 52.6 6 5.1 191.2 37.7 2.8 48.5 17.5 0 2.5 22.5 9.2 0.1
41 "Ohio State" 14 29.3 12.4 20 61.8 173.2 1 44.9 191.3 4.3 2.2 64.9 364.5 5.6 7.6 9.5 0.4 17.5 5.4 40.8 0.7 0.5 1.2 2002 2 13.1 22.5 39 57.7 243.1 1 29.9 77.7 2.6 0.4 68.9 320.9 4.7 11.1 5.1 1.1 17.4 4.7 40.1 0.9 1.3 2.1 75 3.2 3.3 97.8 1.8 2 89.3 8.6 4.4 192.6 44.2 2.6 53.4 20.2 0 3.1 25.6 8.3 0
