"off.rank" "school" "games" "off.points" "off.pass.cmp" "off.pass.att" "off.pass.pct" "off.pass.yds" "off.pass.td" "off.rush.att" "off.rush.yds" "off.rush.avg" "off.rush.td" "off.toff.plays" "off.toff.yds" "off.toff.avg" "off.fd.pass" "off.fd.rush" "off.fd.pen" "off.fd.tot" "off.pen.num" "off.pen.yds" "off.turn.fum" "off.turn.int" "off.turn.tot" "year" "def.rank" "def.points" "def.pass.cmp" "def.pass.att" "def.pass.pct" "def.pass.yds" "def.pass.td" "def.rush.att" "def.rush.yds" "def.rush.avg" "def.rush.td" "def.toff.plays" "def.toff.yds" "def.toff.avg" "def.fd.pass" "def.fd.rush" "def.fd.pen" "def.fd.tot" "def.pen.num" "def.pen.yds" "def.turn.fum" "def.turn.int" "def.turn.tot" "spec.rank" "kick.xpm" "kick.xpa" "kick.xpp" "kick.fgm" "kick.fga" "kick.fgp" "kick.pts" "punt.num" "punt.yds" "punt.avg" "kr.num" "kr.yds" "kr.avg" "kr.td" "pr.num" "pr.yds" "pr.avg" "pr.td"
11 "Texas Christian" 11 37.3 9.6 16.7 57.6 145.5 1.5 53.5 275.6 5.2 3 70.2 421.1 6 6.1 13.1 1.5 20.6 8.3 75.9 0.8 0.7 1.5 2000 1 9.6 13 29.4 44.3 160.6 0.9 35.9 84.4 2.3 0.3 65.3 245 3.8 6.6 5.8 2.1 14.5 6.4 46.8 1.1 1.4 2.5 98 4.5 4.6 98 1.5 1.6 88.9 8.9 4.3 170.2 39.8 1.9 55 28.8 0.2 3.4 34.6 10.3 0.1
12 "Northern Illinois" 11 37.2 13.5 24.9 54.4 199.7 1.2 49 228.1 4.7 3.2 73.9 427.8 5.8 9.2 11.5 2.5 23.2 5.8 52.9 0.7 1 1.7 2000 63 25.5 18.5 31.1 59.6 210.1 1.7 36.7 150.7 4.1 1.6 67.8 360.8 5.3 9.6 7.9 1.5 19.1 6.9 65.7 1.4 1.1 2.5 71 4.3 4.5 95.9 1.5 1.7 84.2 8.6 4.1 154.5 37.8 3.6 75.1 20.7 0 2.9 47.1 16.2 0.1
13 "Toledo" 11 36.4 15.4 27.3 56.3 150.7 1.2 46.7 253.8 5.4 2.6 74 404.5 5.5 8.3 12.5 1.2 22 4.5 41.8 0.5 0.4 0.8 2000 3 11.4 16.4 30.7 53.3 187.5 0.5 33.2 81.5 2.5 0.9 63.9 269 4.2 8.5 5.1 0.9 14.5 5.5 43.3 1.5 1.4 2.8 101 4.5 4.5 100 1.4 1.7 78.9 8.5 5 189.4 37.9 2.1 42.5 20.3 0 2.8 23.5 8.3 0.2
14 "Clemson" 11 36 14.5 26.9 53.7 210.1 1.5 50.6 236.4 4.7 3 77.5 446.5 5.8 8.5 12.6 1.6 22.7 8.8 80.9 0.8 0.8 1.6 2000 24 19.3 16.5 33.4 49.6 238.6 0.8 36.1 101.8 2.8 1.4 69.5 340.5 4.9 9.4 5.7 2.2 17.3 7.5 69.5 0.8 1.3 2.1 22 4.5 4.8 92.5 0.8 1.3 64.3 6.9 5.5 214.5 38.7 2.4 48.3 20.4 0 3.2 47.6 15 0.2
15 "Louisville" 11 35.3 21.3 35.4 60.2 256.5 2.5 37.2 134.3 3.6 1.8 72.5 390.8 5.4 12.2 6.4 1.6 20.2 11.6 101.6 1.3 1.1 2.4 2000 44 22.4 18.5 36.1 51.4 224.3 1.5 35.9 79.9 2.2 1.1 72 304.2 4.2 9 6.8 2.5 18.3 7.5 65.4 1 2.5 3.5 49 4.1 4.1 100 1 1.5 68.8 7.1 5.1 200.8 39.4 2.8 73.6 26.1 0 3.5 29.2 8.2 0
16 "Air Force" 11 34.9 10.5 18.6 56.6 157 1.2 58.8 294.9 5 3 77.5 451.9 5.8 7.7 16.4 1.4 25.5 5.4 41.2 0.5 0.5 1.1 2000 60 25.3 15.9 29.5 54 213.5 1.5 37.6 159.5 4.2 1.5 67.1 373 5.6 9.6 8.6 1 19.3 5.1 40.2 1.1 0.6 1.7 1 3.5 3.7 95.1 1.7 2.2 79.2 8.7 4.6 185.5 40 2.3 48.5 21.4 0 2.5 19.4 7.9 0
17 "Michigan" 11 33.9 15.9 27.3 58.3 225.3 2.2 45.5 220.2 4.8 2.1 72.7 445.5 6.1 9.9 11.2 1.1 22.2 5.6 48.6 0.9 0.5 1.4 2000 15 18.3 19.9 35 56.9 229.1 1.2 38.6 152.1 3.9 1 73.6 381.2 5.2 11 8 1.4 20.4 5.7 49.2 1.1 1.3 2.4 55 4.2 4.4 95.8 1 1.6 61.1 7.2 4.9 192.5 39.2 2.9 49.7 17.1 0 2.9 32.8 11.3 0.1
18 "Georgia Tech" 11 33.8 21 34 61.8 271.1 2.1 42.4 164.3 3.9 1.9 76.4 435.4 5.7 12.9 9.5 1.1 23.5 8.4 69.9 0.5 0.5 1.1 2000 22 19 22.5 39.1 57.7 285.2 1.7 33.7 94.5 2.8 0.5 72.8 379.6 5.2 12.1 6.9 1.8 20.8 6.8 53.8 1.4 1.4 2.7 33 4 4.1 97.8 1.1 1.6 66.7 7.3 4.5 189.2 41.6 2.7 64.2 23.5 0 3.5 32.3 9.3 0.1
19 "Oregon State" 11 32.6 14.1 29.1 48.4 225.4 1.5 45.2 186.1 4.1 2.4 74.3 411.5 5.5 9.5 10.2 1.9 21.5 8.8 81 0.8 0.6 1.5 2000 18 18.5 16.7 33.5 50 221.3 1 35 93.1 2.7 0.8 68.5 314.4 4.6 9.8 5 3 17.8 6.8 64.2 0.9 2 2.9 79 3.9 4 97.7 1.3 1.5 82.4 7.7 6 237.2 39.5 2.8 58.3 20.7 0 3.3 26.4 8.1 0
20 "Tennessee" 11 32.6 19.3 32.2 59.9 210.5 1.9 39.9 162.7 4.1 1.8 72.1 373.2 5.2 9.8 9.1 1.4 20.3 6.3 52.3 0.7 1 1.7 2000 26 19.3 17.8 33.3 53.6 220.2 1.5 30.7 74.3 2.4 0.6 64 294.5 4.6 9.8 5.3 2.3 17.4 6.6 57.3 1.3 0.8 2.1 95 3.5 3.5 100 1.6 1.8 90 8.5 5.5 224.1 40.4 2.9 68.3 23.5 0 4.7 45.3 9.6 0
21 "Purdue" 11 32.5 26.5 44.5 59.7 312.5 2.4 37.7 158.6 4.2 1.8 82.2 471.2 5.7 15.5 8.7 1.6 25.8 5.5 43.4 0.6 1.1 1.7 2000 39 21.1 17.8 29.7 59.9 201.4 1.2 36.6 139.1 3.8 1.2 66.4 340.5 5.1 8.5 8.4 1 17.9 6.6 51.5 0.8 0.9 1.7 82 3.8 4 95.5 1 1.4 73.3 6.8 3.7 143.5 38.5 3.4 69.7 20.7 0 2.1 19 9.1 0
22 "Texas-El Paso" 11 32.3 18.8 32.2 58.5 248.2 2.4 43 159.3 3.7 1.7 75.2 407.5 5.4 10.5 8.5 3 22 7.6 61.8 1.2 0.6 1.8 2000 75 27.1 15.8 34.4 46 218 1.3 33.5 153.8 4.6 2.2 67.8 371.8 5.5 9.5 7.6 2 19.2 10 84.1 0.9 1.3 2.2 100 3.6 3.9 93 1.2 1.6 72.2 7.2 5.3 208.6 39.6 3.1 49 15.9 0 2.9 17.8 6.1 0
23 "Washington" 11 32.1 15.5 29.5 52.6 196.2 1.3 44.3 211.7 4.8 2.8 73.8 407.9 5.5 8.6 11 2.3 21.9 7.5 65 1.5 1 2.5 2000 45 22.4 14.9 31.5 47.4 207.9 1.2 37 141.5 3.8 1.4 68.5 349.5 5.1 8.5 7.9 1.6 18 9 71.8 1.6 0.5 2.2 111 3.5 3.9 90.7 1.1 1.5 70.6 6.8 5.1 190.7 37.5 3.4 71.2 21.2 0 2.8 20.6 7.3 0
24 "Middle Tennessee State" 11 31.8 19.8 33.3 59.6 239.2 1.3 36.7 194.4 5.3 2.7 70 433.5 6.2 10.6 9.4 2 22 7.2 65.5 0.9 1 1.9 2000 81 28.7 22.4 36.1 62 236.5 1.7 36.2 151.5 4.2 1.8 72.3 387.9 5.4 10.5 9.6 1.6 21.7 8.5 72.7 0.9 1 1.9 57 3.5 4 88.6 1 1.2 84.6 6.5 5.3 192 36.4 3.9 76.5 19.6 0 2.1 22.5 10.7 0.1
25 "Boston College" 11 31.5 15.5 27.9 55.7 213.9 1.8 41.9 201 4.8 2 69.8 414.9 5.9 9.4 10 1.3 20.6 7.2 53.6 0.3 1.1 1.4 2000 50 23.6 12.5 26.3 47.8 168.2 1.2 43.7 212.5 4.9 1.4 70 380.7 5.4 7.1 11.1 1.5 19.6 6.2 55.1 0.9 1.5 2.4 14 3.7 3.9 95.3 1.1 1.3 85.7 7 5.7 227.5 39.7 3.4 62.7 18.6 0 2.2 19.7 9 0.1
26 "Mississippi State" 11 31.5 14.2 25.6 55.3 192.5 0.8 41.9 193.8 4.6 2.5 67.5 386.4 5.7 7.2 10.1 0.9 18.2 10.3 86.9 1.4 0.8 2.2 2000 54 24.1 18.7 38.7 48.4 242 1.6 33.8 97.5 2.9 1.5 72.5 339.5 4.7 10.9 5.8 2.5 19.3 7 54.7 1.3 1.7 3 60 3.4 3.5 94.9 1.1 1.6 66.7 6.6 5.8 236.5 40.6 3.7 80.3 21.5 0 3.4 33.5 9.9 0
27 "Minnesota" 11 31.4 16.9 29.3 57.8 234.9 1.8 43.9 187.5 4.3 1.5 73.2 422.5 5.8 8.7 10.3 1.5 20.5 7.1 63.5 0.8 0.7 1.5 2000 61 25.5 15.6 30.5 51.2 193.4 1.4 42.5 171.3 4 1.8 73.1 364.6 5 7.9 9.6 2.5 20 6.5 54.5 1.2 0.5 1.7 58 2.8 3.1 91.2 2 3.1 64.7 8.8 4.3 189.1 44.3 3.2 59.6 18.7 0.1 3.1 41.1 13.3 0.1
