"Years" "conference" "offName" "school" "Division" "offName"
2012 "Mountain West Conference" "United States Air Force Academy" "Air Force (CO)" "NCAA Division I-A" "United States Air Force Academy"
1891 "Independent" "University of Akron" "Akron (OH)" NA NA
1892 "Independent" "University of Akron" "Akron (OH)" NA NA
1893 "Independent" "University of Akron" "Akron (OH)" NA NA
1894 "Independent" "University of Akron" "Akron (OH)" NA NA
1895 "Independent" "University of Akron" "Akron (OH)" NA NA
1896 "Independent" "University of Akron" "Akron (OH)" NA NA
1897 "Independent" "University of Akron" "Akron (OH)" NA NA
1898 "Independent" "University of Akron" "Akron (OH)" NA NA
1899 "Independent" "University of Akron" "Akron (OH)" NA NA
1900 "Independent" "University of Akron" "Akron (OH)" NA NA
1901 "Independent" "University of Akron" "Akron (OH)" NA NA
1902 "Independent" "University of Akron" "Akron (OH)" NA NA
1903 "Independent" "University of Akron" "Akron (OH)" NA NA
1904 "Independent" "University of Akron" "Akron (OH)" NA NA
1905 "Independent" "University of Akron" "Akron (OH)" NA NA
1906 "Independent" "University of Akron" "Akron (OH)" NA NA
1907 "Independent" "University of Akron" "Akron (OH)" NA NA
1908 "Independent" "University of Akron" "Akron (OH)" NA NA
1909 "Independent" "University of Akron" "Akron (OH)" NA NA
1910 "Independent" "University of Akron" "Akron (OH)" NA NA
1911 "Independent" "University of Akron" "Akron (OH)" NA NA
1912 "Independent" "University of Akron" "Akron (OH)" NA NA
1913 "Independent" "University of Akron" "Akron (OH)" NA NA
1914 "Independent" "University of Akron" "Akron (OH)" NA NA
1915 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" NA NA
1916 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" NA NA
1917 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" NA NA
1918 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" NA NA
1919 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" NA NA
1920 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" NA NA
1921 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" NA NA
1922 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" NA NA
1923 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" NA NA
1924 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" NA NA
1925 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" NA NA
1926 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" NA NA
1927 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" NA NA
1928 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" NA NA
1929 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" NA NA
1930 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" NA NA
1931 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" NA NA
1932 "Ohio Athletic Conference" "University of Akron" "Akron (OH)" NA NA
