"Year" "Record" "APRank" "CoachRank" "NCAARank" "SportsNetworkRank" "USA/ESPNRank" "school"
"1981" "8-4-0" "" "16" NA NA NA "Arkansas"
"1982" "9-2-1" "9" "8" NA NA NA "Arkansas"
"1985" "10-2-0" "12" "12" NA NA NA "Arkansas"
"1986" "9-3-0" "15" "16" NA NA NA "Arkansas"
"1988" "10-2-0" "12" "13" NA NA NA "Arkansas"
"1989" "10-2-0" "13" "13" NA NA NA "Arkansas"
"1998" "9-3-0" "16" "17" NA NA NA "Arkansas"
"1999" "8-4-0" "17" "19" NA NA NA "Arkansas"
"2006" "10-4-0" "15" "16" NA NA NA "Arkansas"
"2010" "10-3-0" "12" "12" NA NA NA "Arkansas"
"2011" "11-2-0" "5" "5" NA NA NA "Arkansas"
"1984" "8-4-1" NA NA "10" "" "" "Arkansas St."
"1985" "9-4-0" NA NA "6" "" "" "Arkansas St."
"1986" "12-2-1" NA NA "2" "" "" "Arkansas St."
"1987" "8-4-1" NA NA "12" "" "" "Arkansas St."
"1942" "6-4-1" "16" "" NA NA NA "Auburn (AL)"
"1953" "7-3-1" "17" "" NA NA NA "Auburn (AL)"
"1954" "8-3-0" "13" "" NA NA NA "Auburn (AL)"
"1955" "8-2-1" "8" "8" NA NA NA "Auburn (AL)"
"1957" "10-0-0" "1" "2" NA NA NA "Auburn (AL)"
"1958" "9-0-1" "4" "4" NA NA NA "Auburn (AL)"
"1959" "7-3-0" "" "15" NA NA NA "Auburn (AL)"
"1960" "8-2-0" "13" "14" NA NA NA "Auburn (AL)"
"1963" "9-2-0" "5" "6" NA NA NA "Auburn (AL)"
"1968" "7-4-0" "16" "" NA NA NA "Auburn (AL)"
"1969" "8-3-0" "20" "15" NA NA NA "Auburn (AL)"
"1970" "9-2-0" "10" "9" NA NA NA "Auburn (AL)"
"1971" "9-2-0" "12" "5" NA NA NA "Auburn (AL)"
"1972" "10-1-0" "5" "7" NA NA NA "Auburn (AL)"
"1974" "10-2-0" "8" "6" NA NA NA "Auburn (AL)"
"1979" "8-3-0" "16" "" NA NA NA "Auburn (AL)"
"1982" "9-3-0" "14" "14" NA NA NA "Auburn (AL)"
"1983" "11-1-0" "3" "3" NA NA NA "Auburn (AL)"
"1984" "9-4-0" "14" "14" NA NA NA "Auburn (AL)"
"1986" "10-2-0" "6" "8" NA NA NA "Auburn (AL)"
"1987" "9-1-2" "7" "7" NA NA NA "Auburn (AL)"
"1988" "10-2-0" "8" "7" NA NA NA "Auburn (AL)"
"1989" "10-2-0" "6" "6" NA NA NA "Auburn (AL)"
"1990" "8-3-1" "19" "19" NA NA NA "Auburn (AL)"
"1993" "11-0-0" "4" "" NA NA NA "Auburn (AL)"
"1994" "9-1-1" "9" "" NA NA NA "Auburn (AL)"
"1995" "8-4-0" "22" "21" NA NA NA "Auburn (AL)"
"1996" "8-4-0" "24" "25" NA NA NA "Auburn (AL)"
"1997" "10-3-0" "11" "11" NA NA NA "Auburn (AL)"
"2000" "9-4-0" "18" "20" NA NA NA "Auburn (AL)"
"2002" "9-4-0" "14" "16" NA NA NA "Auburn (AL)"
"2004" "13-0-0" "2" "2" NA NA NA "Auburn (AL)"
"2005" "9-3-0" "14" "14" NA NA NA "Auburn (AL)"
"2006" "11-2-0" "9" "8" NA NA NA "Auburn (AL)"
"2007" "9-4-0" "15" "14" NA NA NA "Auburn (AL)"
"2010" "14-0-0" "1" "1" NA NA NA "Auburn (AL)"
"1949" "8-2-0" "20" "" NA NA NA "Baylor (TX)"
"1950" "7-3-0" "" "15" NA NA NA "Baylor (TX)"
"1951" "8-2-1" "9" "9" NA NA NA "Baylor (TX)"
"1954" "7-4-0" "18" "" NA NA NA "Baylor (TX)"
"1956" "9-2-0" "11" "11" NA NA NA "Baylor (TX)"
"1960" "8-3-0" "12" "11" NA NA NA "Baylor (TX)"
"1963" "8-3-0" "" "20" NA NA NA "Baylor (TX)"
"1974" "8-4-0" "14" "14" NA NA NA "Baylor (TX)"
"1976" "7-3-1" "" "19" NA NA NA "Baylor (TX)"
"1979" "8-4-0" "14" "15" NA NA NA "Baylor (TX)"
"1980" "10-2-0" "14" "13" NA NA NA "Baylor (TX)"
"1985" "9-3-0" "17" "15" NA NA NA "Baylor (TX)"
"1986" "9-3-0" "12" "13" NA NA NA "Baylor (TX)"
"2011" "10-3-0" "13" "12" NA NA NA "Baylor (TX)"
"2002" "12-1-0" "15" "12" NA NA NA "Boise St. (ID)"
"2003" "13-1-0" "16" "15" NA NA NA "Boise St. (ID)"
"2004" "11-1-0" "12" "13" NA NA NA "Boise St. (ID)"
"2006" "13-0-0" "5" "6" NA NA NA "Boise St. (ID)"
"2008" "12-1-0" "11" "13" NA NA NA "Boise St. (ID)"
"2009" "14-0-0" "4" "4" NA NA NA "Boise St. (ID)"
"2010" "12-1-0" "9" "7" NA NA NA "Boise St. (ID)"
"2011" "12-1-0" "8" "6" NA NA NA "Boise St. (ID)"
"1939" "9-2-0" "11" "" NA NA NA "Boston College (MA)"
"1940" "11-0-0" "5" "" NA NA NA "Boston College (MA)"
"1942" "8-2-0" "8" "" NA NA NA "Boston College (MA)"
"1983" "9-3-0" "19" "20" NA NA NA "Boston College (MA)"
"1984" "10-2-0" "5" "4" NA NA NA "Boston College (MA)"
"1986" "9-3-0" "19" "18" NA NA NA "Boston College (MA)"
"1992" "8-3-1" "21" "21" NA NA NA "Boston College (MA)"
"1993" "9-3-0" "13" "12" NA NA NA "Boston College (MA)"
"1994" "7-4-1" "23" "22" NA NA NA "Boston College (MA)"
"2001" "8-4-0" "21" "23" NA NA NA "Boston College (MA)"
"2004" "9-3-0" "21" "21" NA NA NA "Boston College (MA)"
"2005" "9-3-0" "18" "17" NA NA NA "Boston College (MA)"
"2006" "10-3-0" "20" "20" NA NA NA "Boston College (MA)"
"2007" "11-3-0" "10" "11" NA NA NA "Boston College (MA)"
"2003" "11-3-0" "23" "23" NA NA NA "Bowling Green (OH)"
"1937" "10-0-1" "2" "" NA NA NA "California"
"1938" "10-1-0" "14" "" NA NA NA "California"
"1947" "9-1-0" "15" "" NA NA NA "California"
"1948" "10-1-0" "4" "" NA NA NA "California"
"1949" "10-1-0" "3" "" NA NA NA "California"
"1950" "9-1-1" "5" "4" NA NA NA "California"
"1951" "8-2-0" "12" "12" NA NA NA "California"
"1958" "7-4-0" "16" "16" NA NA NA "California"
"1975" "8-3-0" "14" "15" NA NA NA "California"
"1991" "10-2-0" "8" "7" NA NA NA "California"
"1993" "9-4-0" "25" "24" NA NA NA "California"
"2004" "10-2-0" "9" "9" NA NA NA "California"
"2005" "8-4-0" "25" "25" NA NA NA "California"
"2006" "10-3-0" "14" "14" NA NA NA "California"
"2008" "9-4-0" "" "25" NA NA NA "California"
"2010" "11-3-0" "21" "20" NA NA NA "Central Florida"
"2009" "12-2-0" "23" "24" NA NA NA "Central Michigan"
"2007" "10-3-0" "17" "20" NA NA NA "Cincinnati (OH)"
"2008" "11-3-0" "17" "17" NA NA NA "Cincinnati (OH)"
"2009" "12-1-0" "8" "9" NA NA NA "Cincinnati (OH)"
"2011" "10-3-0" "25" "21" NA NA NA "Cincinnati (OH)"
"1939" "9-1-0" "12" "" NA NA NA "Clemson (SC)"
"1948" "11-0-0" "11" "" NA NA NA "Clemson (SC)"
"1950" "9-0-1" "10" "12" NA NA NA "Clemson (SC)"
"1951" "7-3-0" "20" "" NA NA NA "Clemson (SC)"
"1956" "7-2-2" "19" "" NA NA NA "Clemson (SC)"
"1957" "7-3-0" "" "18" NA NA NA "Clemson (SC)"
"1958" "8-3-0" "12" "13" NA NA NA "Clemson (SC)"
"1959" "9-2-0" "11" "11" NA NA NA "Clemson (SC)"
"1977" "8-3-1" "19" "" NA NA NA "Clemson (SC)"
"1978" "11-1-0" "6" "7" NA NA NA "Clemson (SC)"
"1981" "12-0-0" "1" "1" NA NA NA "Clemson (SC)"
"1982" "9-1-1" "8" "" NA NA NA "Clemson (SC)"
"1983" "9-1-1" "11" "" NA NA NA "Clemson (SC)"
"1986" "8-2-2" "17" "19" NA NA NA "Clemson (SC)"
"1987" "10-2-0" "12" "10" NA NA NA "Clemson (SC)"
"1988" "10-2-0" "9" "8" NA NA NA "Clemson (SC)"
"1989" "10-2-0" "12" "11" NA NA NA "Clemson (SC)"
"1990" "10-2-0" "9" "9" NA NA NA "Clemson (SC)"
"1991" "9-2-1" "18" "17" NA NA NA "Clemson (SC)"
"1993" "9-3-0" "23" "22" NA NA NA "Clemson (SC)"
"2000" "9-3-0" "16" "14" NA NA NA "Clemson (SC)"
"2003" "9-4-0" "22" "22" NA NA NA "Clemson (SC)"
"2005" "8-4-0" "21" "21" NA NA NA "Clemson (SC)"
"2007" "9-4-0" "21" "22" NA NA NA "Clemson (SC)"
"2009" "9-5-0" "24" "" NA NA NA "Clemson (SC)"
"2011" "10-4-0" "22" "22" NA NA NA "Clemson (SC)"
"1937" "8-1-0" "17" "" NA NA NA "Colorado"
"1956" "8-2-1" "20" "18" NA NA NA "Colorado"
"1961" "9-2-0" "7" "7" NA NA NA "Colorado"
"1965" "6-2-2" "" "20" NA NA NA "Colorado"
"1967" "9-2-0" "" "13" NA NA NA "Colorado"
