"Year" "Record" "APRank" "CoachRank" "NCAARank" "SportsNetworkRank" "USA/ESPNRank" "school"
"1982" "9-4-0" NA NA "11" "" "" "Idaho"
"1985" "9-3-0" NA NA "5" "" "" "Idaho"
"1986" "8-4-0" NA NA "16" "" "" "Idaho"
"1987" "9-3-0" NA NA "5" "" "" "Idaho"
"1988" "11-2-0" NA NA "2" "" "" "Idaho"
"1989" "9-3-0" NA NA "4" "" "" "Idaho"
"1990" "9-4-0" NA NA "13" "" "" "Idaho"
"1992" "9-3-0" NA NA "5" "" "" "Idaho"
"1993" "11-3-0" NA NA "" "11" "" "Idaho"
"1994" "9-3-0" NA NA "" "6" "" "Idaho"
"1995" "6-5-0" NA NA "" "17" "" "Idaho"
"1944" "5-4-1" "15" "" NA NA NA "Illinois"
"1946" "8-2-0" "5" "" NA NA NA "Illinois"
"1950" "7-2-0" "13" "11" NA NA NA "Illinois"
"1951" "9-0-1" "4" "3" NA NA NA "Illinois"
"1953" "7-1-1" "7" "7" NA NA NA "Illinois"
"1959" "5-3-1" "13" "12" NA NA NA "Illinois"
"1962" "2-7-0" "" "18" NA NA NA "Illinois"
"1963" "8-1-1" "3" "4" NA NA NA "Illinois"
"1964" "6-3-0" "" "16" NA NA NA "Illinois"
"1983" "10-2-0" "10" "10" NA NA NA "Illinois"
"1989" "10-2-0" "10" "10" NA NA NA "Illinois"
"1990" "8-4-0" "25" "24" NA NA NA "Illinois"
"1999" "8-4-0" "24" "25" NA NA NA "Illinois"
"2001" "10-2-0" "12" "12" NA NA NA "Illinois"
"2007" "9-4-0" "20" "18" NA NA NA "Illinois"
"1945" "9-0-1" "4" "" NA NA NA "Indiana"
"1946" "6-3-0" "20" "" NA NA NA "Indiana"
"1967" "9-2-0" "4" "6" NA NA NA "Indiana"
"1979" "8-4-0" "19" "16" NA NA NA "Indiana"
"1987" "8-4-0" "" "20" NA NA NA "Indiana"
"1988" "8-3-1" "20" "19" NA NA NA "Indiana"
"1939" "6-1-1" "9" "" NA NA NA "Iowa"
"1953" "5-3-1" "9" "10" NA NA NA "Iowa"
"1955" "3-5-1" "" "19" NA NA NA "Iowa"
"1956" "9-1-0" "3" "3" NA NA NA "Iowa"
"1957" "7-1-1" "6" "5" NA NA NA "Iowa"
"1958" "8-1-1" "2" "2" NA NA NA "Iowa"
"1960" "8-1-0" "3" "2" NA NA NA "Iowa"
"1981" "8-4-0" "18" "15" NA NA NA "Iowa"
"1983" "9-3-0" "14" "14" NA NA NA "Iowa"
"1984" "8-4-1" "16" "15" NA NA NA "Iowa"
"1985" "10-2-0" "10" "9" NA NA NA "Iowa"
"1986" "9-3-0" "16" "15" NA NA NA "Iowa"
"1987" "10-3-0" "16" "16" NA NA NA "Iowa"
"1990" "8-4-0" "18" "16" NA NA NA "Iowa"
"1991" "10-1-1" "10" "10" NA NA NA "Iowa"
"1995" "8-4-0" "25" "22" NA NA NA "Iowa"
"1996" "9-3-0" "18" "18" NA NA NA "Iowa"
"2002" "11-2-0" "8" "8" NA NA NA "Iowa"
"2003" "10-3-0" "8" "8" NA NA NA "Iowa"
"2004" "10-2-0" "8" "8" NA NA NA "Iowa"
"2008" "9-4-0" "20" "20" NA NA NA "Iowa"
"2009" "11-2-0" "7" "7" NA NA NA "Iowa"
"1971" "8-4-0" "" "17" NA NA NA "Iowa St."
"1976" "8-3-0" "19" "18" NA NA NA "Iowa St."
"2000" "9-3-0" "25" "23" NA NA NA "Iowa St."
"1947" "8-1-2" "12" "" NA NA NA "Kansas"
"1951" "8-2-0" "" "20" NA NA NA "Kansas"
"1960" "5-4-1" "11" "9" NA NA NA "Kansas"
"1961" "7-3-1" "" "15" NA NA NA "Kansas"
"1968" "9-2-0" "7" "6" NA NA NA "Kansas"
"1973" "7-4-1" "18" "15" NA NA NA "Kansas"
"1992" "8-4-0" "22" "23" NA NA NA "Kansas"
"1995" "10-2-0" "9" "10" NA NA NA "Kansas"
"2007" "12-1-0" "7" "7" NA NA NA "Kansas"
"1993" "9-2-1" "20" "18" NA NA NA "Kansas St."
"1994" "9-3-0" "19" "16" NA NA NA "Kansas St."
"1995" "10-2-0" "7" "6" NA NA NA "Kansas St."
"1996" "9-3-0" "17" "17" NA NA NA "Kansas St."
"1997" "11-1-0" "8" "7" NA NA NA "Kansas St."
"1998" "11-2-0" "10" "9" NA NA NA "Kansas St."
"1999" "11-1-0" "6" "6" NA NA NA "Kansas St."
"2000" "11-3-0" "9" "8" NA NA NA "Kansas St."
"2002" "11-2-0" "7" "6" NA NA NA "Kansas St."
"2003" "11-4-0" "14" "13" NA NA NA "Kansas St."
"2011" "10-3-0" "15" "16" NA NA NA "Kansas St."
"1949" "9-3-0" "11" "" NA NA NA "Kentucky"
"1950" "11-1-0" "7" "7" NA NA NA "Kentucky"
"1951" "8-4-0" "15" "17" NA NA NA "Kentucky"
"1952" "5-4-2" "20" "19" NA NA NA "Kentucky"
"1953" "7-2-1" "16" "15" NA NA NA "Kentucky"
"1965" "6-4-0" "" "18" NA NA NA "Kentucky"
"1976" "9-3-0" "18" "19" NA NA NA "Kentucky"
"1977" "10-1-0" "6" "" NA NA NA "Kentucky"
"1984" "9-3-0" "19" "19" NA NA NA "Kentucky"
"1936" "9-1-1" "2" "" NA NA NA "Louisiana St."
"1937" "9-2-0" "8" "" NA NA NA "Louisiana St."
"1945" "7-2-0" "15" "" NA NA NA "Louisiana St."
"1946" "9-1-1" "8" "" NA NA NA "Louisiana St."
"1949" "8-3-0" "9" "" NA NA NA "Louisiana St."
"1958" "11-0-0" "1" "1" NA NA NA "Louisiana St."
"1959" "9-2-0" "3" "3" NA NA NA "Louisiana St."
"1961" "10-1-0" "4" "3" NA NA NA "Louisiana St."
"1962" "9-1-1" "7" "8" NA NA NA "Louisiana St."
"1964" "8-2-1" "7" "7" NA NA NA "Louisiana St."
"1965" "8-3-0" "8" "14" NA NA NA "Louisiana St."
"1968" "8-3-0" "19" "" NA NA NA "Louisiana St."
"1969" "9-1-0" "10" "7" NA NA NA "Louisiana St."
"1970" "9-3-0" "7" "6" NA NA NA "Louisiana St."
"1971" "9-3-0" "11" "10" NA NA NA "Louisiana St."
"1972" "9-2-1" "11" "10" NA NA NA "Louisiana St."
"1973" "9-3-0" "13" "14" NA NA NA "Louisiana St."
"1982" "8-3-1" "11" "11" NA NA NA "Louisiana St."
"1984" "8-3-1" "15" "16" NA NA NA "Louisiana St."
"1985" "9-2-1" "20" "20" NA NA NA "Louisiana St."
"1986" "9-3-0" "10" "11" NA NA NA "Louisiana St."
"1987" "10-1-1" "5" "5" NA NA NA "Louisiana St."
"1988" "8-4-0" "19" "" NA NA NA "Louisiana St."
"1995" "7-4-1" "" "25" NA NA NA "Louisiana St."
"1996" "10-2-0" "12" "13" NA NA NA "Louisiana St."
"1997" "9-3-0" "13" "13" NA NA NA "Louisiana St."
"2000" "8-4-0" "22" "" NA NA NA "Louisiana St."
"2001" "10-3-0" "7" "8" NA NA NA "Louisiana St."
"2003" "13-1-0" "2" "1" NA NA NA "Louisiana St."
"2004" "9-3-0" "16" "16" NA NA NA "Louisiana St."
"2005" "11-2-0" "6" "5" NA NA NA "Louisiana St."
"2006" "11-2-0" "3" "3" NA NA NA "Louisiana St."
"2007" "12-2-0" "1" "1" NA NA NA "Louisiana St."
"2009" "9-4-0" "17" "17" NA NA NA "Louisiana St."
"2010" "11-2-0" "8" "8" NA NA NA "Louisiana St."
"2011" "13-1-0" "2" "2" NA NA NA "Louisiana St."
"1982" "10-3-0" NA NA "2" "" "" "Louisiana Tech"
"1984" "10-5-0" NA NA "9" "" "" "Louisiana Tech"
"1985" "8-3-0" NA NA "14" "" "" "Louisiana Tech"
"1983" "8-3-0" NA NA "13" "" "" "Louisiana-Monroe"
"1987" "13-2-0" NA NA "3" "" "" "Louisiana-Monroe"
"1990" "7-5-0" NA NA "14" "" "" "Louisiana-Monroe"
"1991" "7-3-1" NA NA "18" "" "" "Louisiana-Monroe"
"1992" "10-3-0" NA NA "1" "" "" "Louisiana-Monroe"
"1993" "9-3-0" NA NA "" "4" "" "Louisiana-Monroe"
"1972" "9-1-0" "18" "16" NA NA NA "Louisville (KY)"
"1990" "10-1-1" "14" "12" NA NA NA "Louisville (KY)"
"1993" "9-3-0" "24" "23" NA NA NA "Louisville (KY)"
"2001" "11-2-0" "17" "16" NA NA NA "Louisville (KY)"
"2004" "11-1-0" "6" "7" NA NA NA "Louisville (KY)"
"2005" "9-3-0" "19" "20" NA NA NA "Louisville (KY)"
"2006" "12-1-0" "6" "7" NA NA NA "Louisville (KY)"
"1999" "13-0-0" "10" "10" NA NA NA "Marshall (WV)"
"2001" "11-2-0" "" "21" NA NA NA "Marshall (WV)"
"2002" "11-2-0" "24" "19" NA NA NA "Marshall (WV)"
"1949" "9-1-0" "14" "" NA NA NA "Maryland"
"1951" "10-0-0" "3" "4" NA NA NA "Maryland"
"1952" "7-2-0" "13" "13" NA NA NA "Maryland"
"1953" "10-1-0" "1" "1" NA NA NA "Maryland"
"1954" "7-2-1" "8" "11" NA NA NA "Maryland"
"1955" "10-1-0" "3" "3" NA NA NA "Maryland"
"1973" "8-4-0" "20" "18" NA NA NA "Maryland"
"1974" "8-4-0" "13" "13" NA NA NA "Maryland"
"1975" "9-2-1" "13" "11" NA NA NA "Maryland"
"1976" "11-1-0" "8" "11" NA NA NA "Maryland"
"1978" "9-3-0" "20" "" NA NA NA "Maryland"
"1982" "8-4-0" "20" "20" NA NA NA "Maryland"
"1984" "9-3-0" "12" "11" NA NA NA "Maryland"
"1985" "9-3-0" "18" "19" NA NA NA "Maryland"
"2001" "10-2-0" "11" "10" NA NA NA "Maryland"
"2002" "11-3-0" "13" "13" NA NA NA "Maryland"
"2003" "10-3-0" "17" "20" NA NA NA "Maryland"
"2010" "9-4-0" "23" "24" NA NA NA "Maryland"
"1963" "9-0-1" "" "14" NA NA NA "Memphis (TN)"
"1950" "9-1-1" "15" "13" NA NA NA "Miami (FL)"
"1954" "8-1-0" "11" "9" NA NA NA "Miami (FL)"
"1955" "6-3-0" "14" "18" NA NA NA "Miami (FL)"
"1956" "8-1-1" "6" "6" NA NA NA "Miami (FL)"
"1961" "7-4-0" "" "19" NA NA NA "Miami (FL)"
"1962" "7-4-0" "" "18" NA NA NA "Miami (FL)"
"1966" "8-2-1" "9" "10" NA NA NA "Miami (FL)"
"1967" "7-4-0" "" "16" NA NA NA "Miami (FL)"
"1980" "9-3-0" "18" "18" NA NA NA "Miami (FL)"
"1981" "9-2-0" "8" "" NA NA NA "Miami (FL)"
"1983" "11-1-0" "1" "1" NA NA NA "Miami (FL)"
"1984" "8-5-0" "18" "" NA NA NA "Miami (FL)"
"1985" "10-2-0" "9" "8" NA NA NA "Miami (FL)"
"1986" "11-1-0" "2" "2" NA NA NA "Miami (FL)"
"1987" "12-0-0" "1" "1" NA NA NA "Miami (FL)"
"1988" "11-1-0" "2" "2" NA NA NA "Miami (FL)"
"1989" "11-1-0" "1" "1" NA NA NA "Miami (FL)"
"1990" "10-2-0" "3" "3" NA NA NA "Miami (FL)"
"1991" "12-0-0" "1" "2" NA NA NA "Miami (FL)"
"1992" "11-1-0" "3" "3" NA NA NA "Miami (FL)"
"1993" "9-3-0" "15" "15" NA NA NA "Miami (FL)"
"1994" "10-2-0" "6" "6" NA NA NA "Miami (FL)"
"1995" "8-3-0" "20" "" NA NA NA "Miami (FL)"
"1996" "9-3-0" "14" "14" NA NA NA "Miami (FL)"
"1998" "9-3-0" "20" "21" NA NA NA "Miami (FL)"
"1999" "9-4-0" "15" "15" NA NA NA "Miami (FL)"
"2000" "11-1-0" "2" "2" NA NA NA "Miami (FL)"
"2001" "12-0-0" "1" "1" NA NA NA "Miami (FL)"
"2002" "12-1-0" "2" "2" NA NA NA "Miami (FL)"
"2003" "11-2-0" "5" "5" NA NA NA "Miami (FL)"
"2004" "9-3-0" "11" "11" NA NA NA "Miami (FL)"
"2005" "9-3-0" "17" "18" NA NA NA "Miami (FL)"
"2009" "9-4-0" "19" "19" NA NA NA "Miami (FL)"
"1955" "9-0-0" "15" "20" NA NA NA "Miami (OH)"
"1973" "11-0-0" "15" "17" NA NA NA "Miami (OH)"
"1974" "10-0-1" "10" "10" NA NA NA "Miami (OH)"
"1975" "11-1-0" "12" "16" NA NA NA "Miami (OH)"
"2003" "13-1-0" "10" "12" NA NA NA "Miami (OH)"
"1948" "6-2-2" "14" "" NA NA NA "Michigan St."
"1949" "6-3-0" "19" "" NA NA NA "Michigan St."
"1950" "8-1-0" "8" "9" NA NA NA "Michigan St."
"1951" "9-0-0" "2" "2" NA NA NA "Michigan St."
"1952" "9-0-0" "1" "1" NA NA NA "Michigan St."
"1953" "9-1-0" "3" "3" NA NA NA "Michigan St."
"1955" "9-1-0" "2" "2" NA NA NA "Michigan St."
"1956" "7-2-0" "9" "10" NA NA NA "Michigan St."
"1957" "8-1-0" "3" "3" NA NA NA "Michigan St."
"1959" "5-4-0" "" "16" NA NA NA "Michigan St."
"1960" "6-2-1" "15" "11" NA NA NA "Michigan St."
"1961" "7-2-0" "8" "9" NA NA NA "Michigan St."
"1963" "6-2-1" "10" "10" NA NA NA "Michigan St."
"1964" "4-5-0" "" "20" NA NA NA "Michigan St."
"1965" "10-1-0" "2" "1" NA NA NA "Michigan St."
"1966" "9-0-1" "2" "2" NA NA NA "Michigan St."
"1974" "7-3-1" "12" "18" NA NA NA "Michigan St."
"1978" "8-3-0" "12" "" NA NA NA "Michigan St."
"1987" "9-2-1" "8" "8" NA NA NA "Michigan St."
"1989" "8-4-0" "16" "16" NA NA NA "Michigan St."
"1990" "8-3-1" "16" "14" NA NA NA "Michigan St."
"1999" "10-2-0" "7" "7" NA NA NA "Michigan St."
"2008" "9-4-0" "24" "14" NA NA NA "Michigan St."
"2010" "11-2-0" "14" "14" NA NA NA "Michigan St."
"2011" "11-3-0" "11" "10" NA NA NA "Michigan St."
"1983" "8-2-0" NA NA "16" "" "" "Middle Tennessee St."
"1984" "11-3-0" NA NA "6" "" "" "Middle Tennessee St."
"1985" "11-1-0" NA NA "1" "" "" "Middle Tennessee St."
"1989" "9-4-0" NA NA "10" "" "" "Middle Tennessee St."
"1990" "11-2-0" NA NA "1" "" "" "Middle Tennessee St."
"1991" "9-4-0" NA NA "9" "" "" "Middle Tennessee St."
"1992" "10-3-0" NA NA "4" "" "" "Middle Tennessee St."
"1994" "8-3-1" NA NA "" "16" "" "Middle Tennessee St."
"1995" "7-4-0" NA NA "" "25" "" "Middle Tennessee St."
"1936" "7-1-0" "1" "" NA NA NA "Minnesota"
"1937" "6-2-0" "5" "" NA NA NA "Minnesota"
"1938" "6-2-0" "10" "" NA NA NA "Minnesota"
"1940" "8-0-0" "1" "" NA NA NA "Minnesota"
"1941" "8-0-0" "1" "" NA NA NA "Minnesota"
"1942" "5-4-0" "19" "" NA NA NA "Minnesota"
"1948" "7-2-0" "16" "" NA NA NA "Minnesota"
"1949" "7-2-0" "8" "" NA NA NA "Minnesota"
"1954" "7-2-0" "" "20" NA NA NA "Minnesota"
"1956" "6-1-2" "12" "9" NA NA NA "Minnesota"
"1960" "8-2-0" "1" "1" NA NA NA "Minnesota"
"1961" "8-2-0" "6" "6" NA NA NA "Minnesota"
"1962" "6-2-1" "10" "10" NA NA NA "Minnesota"
"1967" "8-2-0" "" "14" NA NA NA "Minnesota"
"1968" "6-4-0" "" "18" NA NA NA "Minnesota"
"1999" "8-4-0" "18" "17" NA NA NA "Minnesota"
"2003" "10-3-0" "20" "17" NA NA NA "Minnesota"
"1941" "6-2-1" "17" "" NA NA NA "Mississippi"
"1947" "9-2-0" "13" "" NA NA NA "Mississippi"
"1948" "8-1-0" "15" "" NA NA NA "Mississippi"
"1952" "8-1-2" "7" "7" NA NA NA "Mississippi"
"1954" "9-2-0" "6" "6" NA NA NA "Mississippi"
"1955" "10-1-0" "10" "9" NA NA NA "Mississippi"
"1957" "9-1-1" "7" "8" NA NA NA "Mississippi"
"1958" "9-2-0" "11" "12" NA NA NA "Mississippi"
"1959" "10-1-0" "2" "2" NA NA NA "Mississippi"
"1960" "10-0-1" "2" "3" NA NA NA "Mississippi"
"1961" "9-2-0" "5" "5" NA NA NA "Mississippi"
"1962" "10-0-0" "3" "3" NA NA NA "Mississippi"
"1963" "7-1-2" "7" "7" NA NA NA "Mississippi"
"1964" "5-5-1" "" "20" NA NA NA "Mississippi"
"1965" "7-4-0" "" "17" NA NA NA "Mississippi"
"1966" "8-3-0" "" "12" NA NA NA "Mississippi"
"1969" "8-3-0" "8" "13" NA NA NA "Mississippi"
"1970" "7-4-0" "20" "" NA NA NA "Mississippi"
"1971" "10-2-0" "15" "20" NA NA NA "Mississippi"
"1990" "9-3-0" "21" "23" NA NA NA "Mississippi"
"1992" "9-3-0" "16" "16" NA NA NA "Mississippi"
"1997" "8-4-0" "22" "22" NA NA NA "Mississippi"
"1999" "8-4-0" "22" "22" NA NA NA "Mississippi"
"2003" "10-3-0" "13" "14" NA NA NA "Mississippi"
"2008" "9-4-0" "14" "15" NA NA NA "Mississippi"
"2009" "9-4-0" "20" "21" NA NA NA "Mississippi"
"1940" "10-0-1" "9" "" NA NA NA "Mississippi St."
"1941" "8-1-1" "16" "" NA NA NA "Mississippi St."
"1942" "8-2-0" "18" "" NA NA NA "Mississippi St."
"1957" "6-2-1" "14" "" NA NA NA "Mississippi St."
"1963" "7-2-2" "" "11" NA NA NA "Mississippi St."
"1974" "9-3-0" "17" "17" NA NA NA "Mississippi St."
"1976" "0-11-0" "20" "" NA NA NA "Mississippi St."
"1980" "9-3-0" "19" "" NA NA NA "Mississippi St."
"1981" "8-4-0" "" "17" NA NA NA "Mississippi St."
"1992" "7-5-0" "23" "" NA NA NA "Mississippi St."
"1994" "8-4-0" "24" "25" NA NA NA "Mississippi St."
"1999" "10-2-0" "13" "12" NA NA NA "Mississippi St."
"2000" "8-4-0" "24" "22" NA NA NA "Mississippi St."
"2010" "9-4-0" "15" "17" NA NA NA "Mississippi St."
"1939" "8-2-0" "6" "" NA NA NA "Missouri"
"1941" "8-2-0" "7" "" NA NA NA "Missouri"
"1949" "7-4-0" "20" "" NA NA NA "Missouri"
"1959" "6-5-0" "18" "19" NA NA NA "Missouri"
"1960" "11-0-0" "5" "4" NA NA NA "Missouri"
"1961" "7-2-1" "11" "11" NA NA NA "Missouri"
"1962" "8-1-2" "" "12" NA NA NA "Missouri"
"1963" "7-3-0" "" "16" NA NA NA "Missouri"
"1964" "6-3-1" "" "18" NA NA NA "Missouri"
"1965" "8-2-1" "6" "6" NA NA NA "Missouri"
"1968" "8-3-0" "9" "17" NA NA NA "Missouri"
"1969" "9-2-0" "6" "6" NA NA NA "Missouri"
"1973" "8-4-0" "17" "" NA NA NA "Missouri"
"1978" "8-4-0" "15" "14" NA NA NA "Missouri"
"1979" "7-5-0" "" "20" NA NA NA "Missouri"
"1981" "8-4-0" "19" "20" NA NA NA "Missouri"
"1997" "7-5-0" "23" "23" NA NA NA "Missouri"
"1998" "8-4-0" "21" "25" NA NA NA "Missouri"
"2007" "12-2-0" "4" "5" NA NA NA "Missouri"
"2008" "10-4-0" "19" "16" NA NA NA "Missouri"
"2010" "10-3-0" "18" "18" NA NA NA "Missouri"
"1936" "7-2-0" "9" "" NA NA NA "Nebraska"
"1937" "6-1-2" "11" "" NA NA NA "Nebraska"
"1939" "7-1-1" "18" "" NA NA NA "Nebraska"
"1940" "8-2-0" "7" "" NA NA NA "Nebraska"
"1950" "6-2-1" "17" "20" NA NA NA "Nebraska"
"1963" "10-1-0" "6" "5" NA NA NA "Nebraska"
"1964" "9-2-0" "6" "6" NA NA NA "Nebraska"
"1965" "10-1-0" "5" "3" NA NA NA "Nebraska"
"1966" "9-2-0" "6" "7" NA NA NA "Nebraska"
"1969" "9-2-0" "11" "12" NA NA NA "Nebraska"
"1970" "11-0-1" "1" "3" NA NA NA "Nebraska"
"1971" "13-0-0" "1" "1" NA NA NA "Nebraska"
"1972" "9-2-1" "4" "9" NA NA NA "Nebraska"
"1973" "9-2-1" "7" "11" NA NA NA "Nebraska"
"1974" "9-3-0" "9" "8" NA NA NA "Nebraska"
"1975" "10-2-0" "9" "9" NA NA NA "Nebraska"
"1976" "9-3-1" "9" "7" NA NA NA "Nebraska"
"1977" "9-3-0" "12" "10" NA NA NA "Nebraska"
"1978" "9-3-0" "8" "8" NA NA NA "Nebraska"
"1979" "10-2-0" "9" "7" NA NA NA "Nebraska"
"1980" "10-2-0" "7" "7" NA NA NA "Nebraska"
"1981" "9-3-0" "11" "9" NA NA NA "Nebraska"
"1982" "12-1-0" "3" "3" NA NA NA "Nebraska"
"1983" "12-1-0" "2" "2" NA NA NA "Nebraska"
"1984" "10-2-0" "4" "3" NA NA NA "Nebraska"
"1985" "9-3-0" "11" "10" NA NA NA "Nebraska"
"1986" "10-2-0" "5" "4" NA NA NA "Nebraska"
"1987" "10-2-0" "6" "6" NA NA NA "Nebraska"
"1988" "11-2-0" "10" "10" NA NA NA "Nebraska"
"1989" "10-2-0" "11" "12" NA NA NA "Nebraska"
"1990" "9-3-0" "24" "17" NA NA NA "Nebraska"
"1991" "9-2-1" "15" "16" NA NA NA "Nebraska"
"1992" "9-3-0" "14" "14" NA NA NA "Nebraska"
"1993" "11-1-0" "3" "3" NA NA NA "Nebraska"
"1994" "13-0-0" "1" "1" NA NA NA "Nebraska"
"1995" "12-0-0" "1" "1" NA NA NA "Nebraska"
"1996" "11-2-0" "6" "6" NA NA NA "Nebraska"
"1997" "13-0-0" "2" "1" NA NA NA "Nebraska"
"1998" "9-4-0" "19" "20" NA NA NA "Nebraska"
"1999" "12-1-0" "3" "2" NA NA NA "Nebraska"
"2000" "10-2-0" "8" "7" NA NA NA "Nebraska"
"2001" "11-2-0" "8" "7" NA NA NA "Nebraska"
"2003" "10-3-0" "19" "18" NA NA NA "Nebraska"
"2005" "8-4-0" "24" "24" NA NA NA "Nebraska"
"2009" "10-4-0" "14" "14" NA NA NA "Nebraska"
"2010" "10-4-0" "20" "19" NA NA NA "Nebraska"
"2011" "9-4-0" "24" "24" NA NA NA "Nebraska"
"2010" "13-1-0" "11" "13" NA NA NA "Nevada"
"1964" "9-2-0" "" "16" NA NA NA "New Mexico"
"1960" "11-0-0" "17" "19" NA NA NA "New Mexico St."
"1937" "7-1-1" "19" "" NA NA NA "North Carolina"
"1946" "8-2-1" "9" "" NA NA NA "North Carolina"
"1947" "8-2-0" "9" "" NA NA NA "North Carolina"
"1948" "9-1-1" "3" "" NA NA NA "North Carolina"
"1949" "7-4-0" "16" "" NA NA NA "North Carolina"
"1963" "9-2-0" "" "19" NA NA NA "North Carolina"
"1971" "9-3-0" "" "18" NA NA NA "North Carolina"
"1972" "11-1-0" "12" "14" NA NA NA "North Carolina"
"1977" "8-3-1" "17" "14" NA NA NA "North Carolina"
"1979" "8-3-1" "15" "14" NA NA NA "North Carolina"
"1980" "11-1-0" "10" "9" NA NA NA "North Carolina"
"1981" "10-2-0" "9" "8" NA NA NA "North Carolina"
"1982" "8-4-0" "18" "13" NA NA NA "North Carolina"
"1992" "9-3-0" "19" "18" NA NA NA "North Carolina"
"1993" "10-3-0" "19" "21" NA NA NA "North Carolina"
"1994" "8-4-0" "" "21" NA NA NA "North Carolina"
"1996" "10-2-0" "10" "10" NA NA NA "North Carolina"
"1997" "11-1-0" "6" "4" NA NA NA "North Carolina"
"1946" "8-3-0" "18" "" NA NA NA "North Carolina St."
"1947" "5-3-1" "17" "" NA NA NA "North Carolina St."
"1957" "7-1-2" "15" "20" NA NA NA "North Carolina St."
"1967" "9-2-0" "" "17" NA NA NA "North Carolina St."
"1972" "8-3-1" "17" "" NA NA NA "North Carolina St."
"1973" "9-3-0" "16" "" NA NA NA "North Carolina St."
"1974" "9-2-1" "11" "9" NA NA NA "North Carolina St."
"1977" "8-4-0" "" "19" NA NA NA "North Carolina St."
"1978" "9-3-0" "18" "19" NA NA NA "North Carolina St."
"1988" "8-3-1" "" "17" NA NA NA "North Carolina St."
"1991" "9-3-0" "24" "25" NA NA NA "North Carolina St."
"1992" "9-3-1" "17" "15" NA NA NA "North Carolina St."
"1994" "9-3-0" "17" "17" NA NA NA "North Carolina St."
"2002" "11-3-0" "12" "11" NA NA NA "North Carolina St."
"2010" "9-4-0" "25" "25" NA NA NA "North Carolina St."
"1977" "10-1-0" "" "16" NA NA NA "North Texas"
"1982" "5-5-0" NA NA "12" "" "" "Northern Illinois"
"1968" "10-1-0" "20" "18" NA NA NA "Ohio"
"1937" "6-2-0" "13" "" NA NA NA "Ohio St."
"1939" "6-2-0" "15" "" NA NA NA "Ohio St."
"1941" "6-1-1" "13" "" NA NA NA "Ohio St."
"1942" "9-1-0" "1" "" NA NA NA "Ohio St."
"1944" "9-0-0" "2" "" NA NA NA "Ohio St."
"1945" "7-2-0" "12" "" NA NA NA "Ohio St."
"1949" "7-1-2" "6" "" NA NA NA "Ohio St."
"1950" "6-3-0" "14" "10" NA NA NA "Ohio St."
"1952" "6-3-0" "17" "15" NA NA NA "Ohio St."
"1953" "6-3-0" "" "20" NA NA NA "Ohio St."
"1954" "10-0-0" "1" "2" NA NA NA "Ohio St."
"1955" "7-2-0" "5" "5" NA NA NA "Ohio St."
"1956" "6-3-0" "15" "" NA NA NA "Ohio St."
"1957" "9-1-0" "2" "1" NA NA NA "Ohio St."
"1958" "6-1-2" "8" "7" NA NA NA "Ohio St."
"1960" "7-2-0" "8" "8" NA NA NA "Ohio St."
"1961" "8-0-1" "2" "2" NA NA NA "Ohio St."
"1962" "6-3-0" "" "13" NA NA NA "Ohio St."
"1964" "7-2-0" "9" "9" NA NA NA "Ohio St."
"1965" "7-2-0" "" "11" NA NA NA "Ohio St."
"1968" "10-0-0" "1" "1" NA NA NA "Ohio St."
"1969" "8-1-0" "4" "5" NA NA NA "Ohio St."
"1970" "9-1-0" "5" "2" NA NA NA "Ohio St."
"1972" "9-2-0" "9" "3" NA NA NA "Ohio St."
"1973" "10-0-1" "2" "3" NA NA NA "Ohio St."
"1974" "10-2-0" "4" "3" NA NA NA "Ohio St."
"1975" "11-1-0" "4" "4" NA NA NA "Ohio St."
"1976" "9-2-1" "6" "5" NA NA NA "Ohio St."
"1977" "9-3-0" "11" "12" NA NA NA "Ohio St."
"1979" "11-1-0" "4" "4" NA NA NA "Ohio St."
"1980" "9-3-0" "15" "15" NA NA NA "Ohio St."
"1981" "9-3-0" "15" "12" NA NA NA "Ohio St."
"1982" "9-3-0" "12" "12" NA NA NA "Ohio St."
"1983" "9-3-0" "9" "8" NA NA NA "Ohio St."
"1984" "9-3-0" "13" "12" NA NA NA "Ohio St."
"1985" "9-3-0" "14" "11" NA NA NA "Ohio St."
"1986" "10-3-0" "7" "6" NA NA NA "Ohio St."
"1989" "8-4-0" "24" "" NA NA NA "Ohio St."
"1992" "8-3-1" "18" "19" NA NA NA "Ohio St."
"1993" "10-1-1" "11" "10" NA NA NA "Ohio St."
"1994" "9-4-0" "14" "9" NA NA NA "Ohio St."
"1995" "11-2-0" "6" "8" NA NA NA "Ohio St."
"1996" "11-1-0" "2" "2" NA NA NA "Ohio St."
"1997" "10-3-0" "12" "12" NA NA NA "Ohio St."
"1998" "11-1-0" "2" "2" NA NA NA "Ohio St."
"2002" "14-0-0" "1" "1" NA NA NA "Ohio St."
"2003" "11-2-0" "4" "4" NA NA NA "Ohio St."
"2004" "8-4-0" "20" "19" NA NA NA "Ohio St."
"2005" "10-2-0" "4" "4" NA NA NA "Ohio St."
"2006" "12-1-0" "2" "2" NA NA NA "Ohio St."
"2007" "11-2-0" "5" "4" NA NA NA "Ohio St."
"2008" "10-3-0" "9" "11" NA NA NA "Ohio St."
"2009" "11-2-0" "5" "5" NA NA NA "Ohio St."
