"W.L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team" "offName"
"W" "01-01-1920" 7 "Oregon" 6 "Tournament of Roses Game" 1 1 1 1920 "Harvard (MA)" "Harvard University"
"L" "01-01-1946" 6 "Miami (FL)" 13 "Orange Bowl" 0 1 1 1946 "Holy Cross (MA)" "College of the Holy Cross"
"W" "11-16-1991" 24 "Fordham (NY)" 19 "Wild Geese Classic" 1 11 16 1991 "Holy Cross (MA)" "College of the Holy Cross"
"L" "12-02-1933" 6 "Florida A&M" 9 "Orange Blossom Classic" 1 12 2 1933 "Howard (DC)" "Howard University"
"L" "12-07-1974" 13 "Florida A&M" 17 "Orange Blossom Classic" 1 12 7 1974 "Howard (DC)" "Howard University"
"W" "12-31-1996" 27 "Southern (LA)" 24 "Heritage Bowl" 1 12 31 1996 "Howard (DC)" "Howard University"
"W" "11-24-1949" 20 "Chadron St. (NE)" 2 "Bean Bowl" 1 11 24 1949 "Idaho St." "Idaho State University"
"W" "12-19-1981" 34 "Eastern Kentucky" 23 "Pioneer Bowl (1) - Division I-AA Championship Game" 1 12 19 1981 "Idaho St." "Idaho State University"
"L" "11-23-1950" 6 "Missouri-Rolla" 7 "Corn Bowl" 1 11 23 1950 "Illinois St." "Illinois State University"
"L" "11-26-1949" 14 "Southern Illinois" 41 "Shrine Bowl (1)" 1 11 26 1949 "Indiana St." "Indiana State University"
"L" "12-09-1961" 8 "Florida A&M" 14 "Orange Blossom Classic" 1 12 9 1961 "Jackson St. (MS)" "Jackson State University"
"W" "12-08-1962" 22 "Florida A&M" 6 "Orange Blossom Classic" 1 12 8 1962 "Jackson St. (MS)" "Jackson State University"
"W" "12-04-1971" 40 "Alabama A&M" 21 "Azalea Classic" 1 12 4 1971 "Jackson St. (MS)" "Jackson State University"
"L" "12-06-2008" 0 "SUNY-Albany (NY)" 28 "Gridiron Classic" 1 12 6 2008 "Jacksonville (FL)" "Jacksonville University"
"W" "12-18-1948" 19 "Troy (AL)" 0 "Paper Bowl" 1 12 18 1948 "Jacksonville St. (AL)" "Jacksonville State University"
"W" "12-16-1949" 12 "West Alabama" 7 "Paper Bowl" 1 12 16 1949 "Jacksonville St. (AL)" "Jacksonville State University"
"L" "12-02-1950" 6 "Pensacola Alumni Cardinals" 7 "Paper Bowl" 1 12 2 1950 "Jacksonville St. (AL)" "Jacksonville State University"
"W" "12-04-1955" 12 "Rhode Island" 10 "Refrigerator Bowl" 1 12 4 1955 "Jacksonville St. (AL)" "Jacksonville State University"
"W" "11-24-1966" 41 "Arkansas-Monticello" 30 "Space City Bowl" 1 11 24 1966 "Jacksonville St. (AL)" "Jacksonville State University"
"W" "12-12-1970" 21 "Florida A&M" 7 "Orange Blossom Classic" 1 12 12 1970 "Jacksonville St. (AL)" "Jacksonville State University"
"W" "12-03-1977" 31 "North Dakota St." 7 "Grantland Rice Bowl - Division II Semifinal Playoff Game" 1 12 3 1977 "Jacksonville St. (AL)" "Jacksonville State University"
"L" "12-10-1977" 0 "Lehigh (PA)" 33 "Pioneer Bowl (1) - Division II Championship Game" 1 12 10 1977 "Jacksonville St. (AL)" "Jacksonville State University"
"W" "12-29-1961" 21 "Middle Tennessee St." 14 "Tangerine Bowl" 1 12 29 1961 "Lamar (TX)" "Lamar University"
"L" "12-12-1964" 17 "Northern Iowa" 19 "Pecan Bowl (2)" 1 12 12 1964 "Lamar (TX)" "Lamar University"
"W" "12-03-1977" 39 "California-Davis" 30 "Knute Rockne Bowl - Division II Semifinal Playoff Game" 1 12 3 1977 "Lehigh (PA)" "Lehigh University"
"W" "12-10-1977" 33 "Jacksonville St. (AL)" 0 "Pioneer Bowl (1) - Division II Championship Game" 1 12 10 1977 "Lehigh (PA)" "Lehigh University"
"L" "12-11-1965" 0 "East Carolina (NC)" 31 "Tangerine Bowl" 1 12 11 1965 "Maine" "University of Maine"
"L" "11-28-1970" 20 "Saint John's (NY)" 30 "Metropolitan Bowl - Club Football Game" 1 11 28 1970 "Marist (NY)" "Marist College"
"L" "11-25-1972" 18 "Seton Hall (NJ)" 20 "Metropolitan Bowl - Club Football Game" 1 11 25 1972 "Marist (NY)" "Marist College"
"W" "12-13-1976" 20 "Tulsa (OK)" 16 "Independence Bowl" 0 12 13 1976 "McNeese St. (LA)" "McNeese State University"
"L" "12-15-1979" 7 "Syracuse (NY)" 31 "Independence Bowl" 0 12 15 1979 "McNeese St. (LA)" "McNeese State University"
"L" "12-13-1980" 14 "Southern Mississippi" 16 "Independence Bowl" 0 12 13 1980 "McNeese St. (LA)" "McNeese State University"
"W" "12-01-1951" 13 "Louisiana College" 6 "Cosmopolitan Bowl" 1 12 1 1951 "McNeese St. (LA)" "McNeese State University"
"W" "12-01-1962" 21 "Samford (AL)" 14 "Golden Isles Bowl" 1 12 1 1962 "McNeese St. (LA)" "McNeese State University"
"L" "12-11-1971" 23 "Tennessee St." 26 "Grantland Rice Bowl" 1 12 11 1971 "McNeese St. (LA)" "McNeese State University"
"L" "12-04-1948" 20 "Emporia St. (KS)" 34 "Missouri-Kansas Bowl" 1 12 4 1948 "Missouri St." "Missouri State University"
"L" "11-30-1963" 14 "Northern Illinois" 21 "Mineral Water Bowl" 1 11 30 1963 "Missouri St." "Missouri State University"
"L" "11-26-1966" 8 "Adams St. (CO)" 14 "Mineral Water Bowl" 1 11 26 1966 "Missouri St." "Missouri State University"
"L" "11-22-2003" 10 "Duquesne (PA)" 12 "Eastern College Athletic Conference Bowl" 1 11 22 2003 "Monmouth (NJ)" "Monmouth University"
"L" "12-02-2006" 7 "San Diego (CA)" 27 "Gridiron Classic" 1 12 2 2006 "Monmouth (NJ)" "Monmouth University"
"L" "12-13-1969" 3 "North Dakota St." 30 "Camellia Bowl (2)" 1 12 13 1969 "Montana" "University of Montana-Missoula"
"L" "12-12-1970" 16 "North Dakota St." 31 "Camellia Bowl (2)" 1 12 12 1970 "Montana" "University of Montana-Missoula"
"L" "11-17-1984" 31 "Army (NY)" 45 "Mirage Bowl" 1 11 17 1984 "Montana" "University of Montana-Missoula"
"T" "01-01-1947" 13 "New Mexico" 13 "Harbor Bowl" 0 1 1 1947 "Montana St." "Montana State University: Bozeman"
"T" "12-22-1956" 0 "Saint Joseph's (IN)" 0 "Aluminum Bowl - NAIA Championship Game" 1 12 22 1956 "Montana St." "Montana State University: Bozeman"
"W" "12-12-1964" 28 "Cal St.-Sacramento" 7 "Camellia Bowl (2)" 1 12 12 1964 "Montana St." "Montana State University: Bozeman"
"L" "12-10-1966" 7 "San Diego St. (CA)" 28 "Hughes Stadium - Camellia Bowl (2)" 1 12 10 1966 "Montana St." "Montana State University: Bozeman"
"W" "12-04-1976" 10 "North Dakota St." 3 "Grantland Rice Bowl - Division II Semifinal Playoff Game" 1 12 4 1976 "Montana St." "Montana State University: Bozeman"
"W" "12-11-1976" 24 "Akron (OH)" 13 "Pioneer Bowl (1) - Division II Championship Game" 1 12 11 1976 "Montana St." "Montana State University: Bozeman"
"L" "12-14-1963" 7 "Florida A&M" 30 "Orange Blossom Classic" 1 12 14 1963 "Morgan St. (MD)" "Morgan State University"
"W" "12-04-1965" 38 "Florida A&M" 7 "Orange Blossom Classic" 1 12 4 1965 "Morgan St. (MD)" "Morgan State University"
"W" "12-10-1966" 14 "West Chester (PA)" 6 "Tangerine Bowl" 1 12 10 1966 "Morgan St. (MD)" "Morgan State University"
"L" "12-12-1970" 23 "Delaware" 38 "Boardwalk Bowl" 1 12 12 1970 "Morgan St. (MD)" "Morgan State University"
"L" "09-04-1976" 16 "Grambling St. (LA)" 42 "Mirage Bowl" 1 9 4 1976 "Morgan St. (MD)" "Morgan State University"
"TRUE" "01-01-1949" 21 "Sul Ross St. (TX)" 21 "Tangerine Bowl" 1 1 1 1949 "Murray St. (KY)" "Murray State University"
"L" "12-06-1947" 14 "Toledo (OH)" 20 "Glass Bowl" 1 12 6 1947 "New Hampshire" "University of New Hampshire"
"L" "12-06-1975" 3 "Western Kentucky" 14 "Grantland Rice Bowl - Division II Semifinal Playoff Game" 1 12 6 1975 "New Hampshire" "University of New Hampshire"
"L" "12-21-1974" 14 "Tuskegee (AL)" 15 "Gate City Bowl" 1 12 21 1974 "Norfolk St. (VA)" "Norfolk State University"
"L" "12-11-1976" 10 "South Carolina St." 26 "Bicentennial Bowl" 1 12 11 1976 "Norfolk St. (VA)" "Norfolk State University"
"L" "12-01-1979" 7 "South Carolina St." 39 "Gold Bowl" 1 12 1 1979 "Norfolk St. (VA)" "Norfolk State University"
"W" "01-01-1943" 14 "Southern (LA)" 12 "Flower Bowl" 1 1 1 1943 "North Carolina A&T" "North Carolina Agricultural and Technical State University"
"L" "01-01-1945" 0 "Tyler JC (TX)" 18 "Flower Bowl" 1 1 1 1945 "North Carolina A&T" "North Carolina Agricultural and Technical State University"
"L" "01-01-1949" 13 "Kentucky St." 23 "Vulcan Bowl" 1 1 1 1949 "North Carolina A&T" "North Carolina Agricultural and Technical State University"
"W" "12-10-1949" 20 "Florida A&M" 14 "Orange Blossom Classic" 1 12 10 1949 "North Carolina A&T" "North Carolina Agricultural and Technical State University"
"L" "12-02-1978" 6 "Virginia Union" 21 "Gold Bowl" 1 12 2 1978 "North Carolina A&T" "North Carolina Agricultural and Technical State University"
"W" "12-06-1980" 37 "North Carolina Central" 0 "Gold Bowl" 1 12 6 1980 "North Carolina A&T" "North Carolina Agricultural and Technical State University"
"L" "12-21-1991" 13 "Alabama St." 36 "Heritage Bowl" 1 12 21 1991 "North Carolina A&T" "North Carolina Agricultural and Technical State University"
"L" "12-06-1941" 6 "Morris Brown (GA)" 7 "Peach Blossom Classic" 1 12 6 1941 "North Carolina Central" "North Carolina Central University"
"L" "12-01-1951" 0 "Florida A&M" 67 "Orange Blossom Classic" 1 12 1 1951 "North Carolina Central" "North Carolina Central University"
"W" "12-04-1954" 19 "Tennessee St." 6 "National Classic" 1 12 4 1954 "North Carolina Central" "North Carolina Central University"
"L" "12-13-1969" 13 "Delaware" 31 "Boardwalk Bowl" 1 12 13 1969 "North Carolina Central" "North Carolina Central University"
"L" "12-02-1972" 6 "Grambling St. (LA)" 56 "Pelican Bowl" 1 12 2 1972 "North Carolina Central" "North Carolina Central University"
"L" "12-06-1980" 0 "North Carolina A&T" 37 "Gold Bowl" 1 12 6 1980 "North Carolina Central" "North Carolina Central University"
"W" "11-27-1965" 37 "Northern Illinois" 20 "Mineral Water Bowl" 1 11 27 1965 "North Dakota" "University of North Dakota"
"W" "12-10-1966" 42 "Parsons (IA)" 24 "Pecan Bowl (2)" 1 12 10 1966 "North Dakota" "University of North Dakota"
"W" "12-10-1972" 38 "Cal Poly-San Luis Obispo" 21 "Camellia Bowl (2)" 1 12 10 1972 "North Dakota" "University of North Dakota"
"W" "11-28-1964" 14 "Western St. (CO)" 13 "Mineral Water Bowl" 1 11 28 1964 "North Dakota St." "North Dakota State University"
"W" "12-11-1965" 20 "Grambling St. (LA)" 7 "Pecan Bowl (2)" 1 12 11 1965 "North Dakota St." "North Dakota State University"
"L" "12-09-1967" 0 "Texas-Arlington" 13 "Pecan Bowl (2)" 1 12 9 1967 "North Dakota St." "North Dakota State University"
"W" "12-14-1968" 23 "Arkansas St." 14 "Pecan Bowl (2)" 1 12 14 1968 "North Dakota St." "North Dakota State University"
"W" "12-13-1969" 30 "Montana" 3 "Camellia Bowl (2)" 1 12 13 1969 "North Dakota St." "North Dakota State University"
"W" "12-12-1970" 31 "Montana" 16 "Camellia Bowl (2)" 1 12 12 1970 "North Dakota St." "North Dakota State University"
"L" "12-04-1976" 3 "Montana St." 10 "Grantland Rice Bowl - Division II Semifinal Playoff Game" 1 12 4 1976 "North Dakota St." "North Dakota State University"
"L" "12-03-1977" 7 "Jacksonville St. (AL)" 31 "Grantland Rice Bowl - Division II Semifinal Playoff Game" 1 12 3 1977 "North Dakota St." "North Dakota State University"
"L" "12-12-1981" 13 "Texas St." 42 "Palm Bowl - Division II Championship Game" 1 12 12 1981 "North Dakota St." "North Dakota State University"
"W" "12-10-1983" 41 "Central St. (OH)" 21 "Palm Bowl - Division II Championship Game" 1 12 10 1983 "North Dakota St." "North Dakota State University"
"L" "12-08-1984" 17 "Troy (AL)" 18 "Palm Bowl - Division II Championship Game" 1 12 8 1984 "North Dakota St." "North Dakota State University"
"W" "12-14-1985" 35 "North Alabama" 7 "Palm Bowl - Division II Championship Game" 1 12 14 1985 "North Dakota St." "North Dakota State University"
"L" "12-20-1958" 13 "Northeastern St. (OK)" 19 "Holiday Bowl (2) - NAIA Championship Game" 1 12 20 1958 "Northern Arizona" "Northern Arizona University"
"L" "11-23-1950" 6 "Doane (NE)" 14 "Bean Bowl" 1 11 23 1950 "Northern Colorado" "University of Northern Colorado"
"L" "11-26-1960" 6 "Hillsdale (MI)" 17 "Mineral Water Bowl" 1 11 26 1960 "Northern Iowa" "University of Northern Iowa"
"W" "12-12-1964" 19 "Lamar (TX)" 17 "Pecan Bowl (2)" 1 12 12 1964 "Northern Iowa" "University of Northern Iowa"
"W" "12-06-1958" 18 "Sam Houston St. (TX)" 11 "Christmas Festival Bowl" 1 12 6 1958 "Northwestern St. (LA)" "Northwestern State University"
"L" "01-01-1917" 0 "Oregon" 14 "Tournament of Roses Game" 1 1 1 1917 "Pennsylvania" "University of Pennsylvania"
"L" "01-01-1929" 0 "Clark Atlanta (GA)" 7 "Prairie View Bowl" 1 1 1 1929 "Prairie View A&M (TX)" "Prairie View A&M University"
"L" "01-01-1930" 0 "Fisk (TN)" 20 "Prairie View Bowl" 1 1 1 1930 "Prairie View A&M (TX)" "Prairie View A&M University"
"L" "01-01-1931" 7 "Tuskegee (AL)" 19 "Prairie View Bowl" 1 1 1 1931 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "01-01-1932" 27 "Alabama St." 2 "Prairie View Bowl" 1 1 1 1932 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "01-01-1933" 14 "Tuskegee (AL)" 0 "Prairie View Bowl" 1 1 1 1933 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "01-01-1934" 20 "Langston (OK)" 7 "Prairie View Bowl" 1 1 1 1934 "Prairie View A&M (TX)" "Prairie View A&M University"
"L" "12-01-1934" 6 "Tuskegee (AL)" 15 "Prairie View Bowl" 1 12 1 1934 "Prairie View A&M (TX)" "Prairie View A&M University"
"L" "01-01-1936" 6 "Wiley (TX)" 7 "Prairie View Bowl" 1 1 1 1936 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "12-05-1936" 6 "Florida A&M" 0 "Orange Blossom Classic" 1 12 5 1936 "Prairie View A&M (TX)" "Prairie View A&M University"
"L" "01-01-1937" 0 "Tuskegee (AL)" 6 "Prairie View Bowl" 1 1 1 1937 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "01-01-1938" 27 "Florida A&M" 14 "Prairie View Bowl" 1 1 1 1938 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "01-02-1939" 34 "Tuskegee (AL)" 0 "Prairie View Bowl" 1 1 2 1939 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "01-01-1940" 7 "Xavier (LA)" 6 "Prairie View Bowl" 1 1 1 1940 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "01-01-1941" 7 "Alabama St." 6 "Prairie View Bowl" 1 1 1 1941 "Prairie View A&M (TX)" "Prairie View A&M University"
"L" "01-01-1942" 13 "Kentucky St." 19 "Prairie View Bowl" 1 1 1 1942 "Prairie View A&M (TX)" "Prairie View A&M University"
"L" "01-01-1943" 13 "Langston (OK)" 18 "Prairie View Bowl" 1 1 1 1943 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "01-01-1944" 6 "Wiley (TX)" 0 "Prairie View Bowl" 1 1 1 1944 "Prairie View A&M (TX)" "Prairie View A&M University"
"L" "01-01-1945" 0 "Wiley (TX)" 26 "Prairie View Bowl" 1 1 1 1945 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "01-01-1946" 12 "Tuskegee (AL)" 0 "Prairie View Bowl" 1 1 1 1946 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "01-01-1947" 14 "Lincoln (MO)" 0 "Prairie View Bowl" 1 1 1 1947 "Prairie View A&M (TX)" "Prairie View A&M University"
"L" "12-14-1947" 0 "Central St. (OH)" 26 "Fruit Bowl" 1 12 14 1947 "Prairie View A&M (TX)" "Prairie View A&M University"
"L" "01-01-1948" 0 "Texas Southern" 13 "Prairie View Bowl" 1 1 1 1948 "Prairie View A&M (TX)" "Prairie View A&M University"
"L" "01-01-1949" 0 "Central St. (OH)" 6 "Prairie View Bowl" 1 1 1 1949 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "01-02-1950" 27 "Fisk (TN)" 6 "Prairie View Bowl" 1 1 2 1950 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "01-01-1951" 6 "Bishop (TX)" 0 "Prairie View Bowl" 1 1 1 1951 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "01-01-1952" 27 "Arkansas-Pine Bluff" 26 "Prairie View Bowl" 1 1 1 1952 "Prairie View A&M (TX)" "Prairie View A&M University"
"L" "01-01-1953" 12 "Texas Southern" 13 "Prairie View Bowl" 1 1 1 1953 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "12-05-1953" 33 "Florida A&M" 27 "Orange Blossom Classic" 1 12 5 1953 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "01-01-1954" 33 "Texas Southern" 8 "Prairie View Bowl" 1 1 1 1954 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "01-01-1955" 14 "Texas Southern" 12 "Prairie View Bowl" 1 1 1 1955 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "01-02-1956" 59 "Fisk (TN)" 0 "Prairie View Bowl" 1 1 2 1956 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "01-01-1957" 27 "Texas Southern" 6 "Prairie View Bowl" 1 1 1 1957 "Prairie View A&M (TX)" "Prairie View A&M University"
"T" "01-01-1958" 6 "Texas Southern" 6 "Prairie View Bowl" 1 1 1 1958 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "12-13-1958" 26 "Florida A&M" 8 "Orange Blossom Classic" 1 12 13 1958 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "01-01-1959" 34 "Langston (OK)" 8 "Prairie View Bowl" 1 1 1 1959 "Prairie View A&M (TX)" "Prairie View A&M University"
"L" "12-05-1959" 7 "Florida A&M" 28 "Orange Blossom Classic" 1 12 5 1959 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "01-01-1960" 47 "Wiley (TX)" 10 "Prairie View Bowl" 1 1 1 1960 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "12-31-1960" 19 "Arkansas-Pine Bluff" 8 "Prairie View Bowl" 1 12 31 1960 "Prairie View A&M (TX)" "Prairie View A&M University"
"W" "12-01-1962" 37 "Central St. (OH)" 16 "Prairie View Bowl" 1 12 1 1962 "Prairie View A&M (TX)" "Prairie View A&M University"
"L" "12-14-1963" 27 "Saint John's (MN)" 33 "Camellia Bowl (2) - NAIA Championship Game" 1 12 14 1963 "Prairie View A&M (TX)" "Prairie View A&M University"
"L" "01-01-1960" 12 "Middle Tennessee St." 21 "Tangerine Bowl" 1 1 1 1960 "Presbyterian (SC)" "Presbyterian College"
"L" "12-04-1955" 10 "Jacksonville St. (AL)" 12 "Refrigerator Bowl" 1 12 4 1955 "Rhode Island" "University of Rhode Island"
"W" "11-22-1973" 34 "Air Force Team" 6 "Turkey Bowl (2)" 1 11 22 1973 "Rhode Island" "University of Rhode Island"
"L" "10-09-1993" 14 "Massachusetts" 36 "Wild Geese Classic" 1 10 9 1993 "Rhode Island" "University of Rhode Island"
"W" "12-27-1968" 49 "Ohio" 42 "Tangerine Bowl" 1 12 27 1968 "Richmond (VA)" "University of Richmond"
"L" "12-28-1971" 3 "Toledo (OH)" 28 "Tangerine Bowl" 1 12 28 1971 "Richmond (VA)" "University of Richmond"
"W" "11-23-1996" 28 "Duquesne (PA)" 26 "Eastern College Athletic Conference Bowl" 1 11 23 1996 "Robert Morris (PA)" "Robert Morris College"
"W" "11-22-1997" 35 "Georgetown (DC)" 13 "Eastern College Athletic Conference Bowl" 1 11 22 1997 "Robert Morris (PA)" "Robert Morris College"
"W" "12-01-2001" 31 "Duquesne (PA)" 15 "Eastern College Athletic Conference Bowl" 1 12 1 2001 "Sacred Heart (CT)" "Sacred Heart University"
"W" "12-27-1952" 41 "Northeastern St. (OK)" 20 "Shrimp Bowl" 1 12 27 1952 "Sam Houston St. (TX)" "Sam Houston State University"
"W" "12-06-1953" 14 "College of Idaho" 12 "Refrigerator Bowl" 1 12 6 1953 "Sam Houston St. (TX)" "Sam Houston State University"
"W" "12-01-1956" 27 "Middle Tennessee St." 13 "Refrigerator Bowl" 1 12 1 1956 "Sam Houston St. (TX)" "Sam Houston State University"
"L" "12-06-1958" 11 "Northwestern St. (LA)" 18 "Christmas Festival Bowl" 1 12 6 1958 "Sam Houston St. (TX)" "Sam Houston State University"
"T" "12-02-1964" 7 "Concordia-Moorhead (MN)" 7 "Championship Bowl - NAIA Championship Game" 1 12 2 1964 "Sam Houston St. (TX)" "Sam Houston State University"
"W" "12-05-1959" 52 "Gordon (GA)" 20 "Textile Bowl" 1 12 5 1959 "Samford (AL)" "Samford University"
"L" "12-01-1962" 14 "McNeese St. (LA)" 21 "Golden Isles Bowl" 1 12 1 1962 "Samford (AL)" "Samford University"
"W" "12-09-1967" 20 "Arkansas-Monticello" 7 "Space City Bowl" 1 12 9 1967 "Samford (AL)" "Samford University"
"W" "11-25-1971" 20 "Ohio Wesleyan" 10 "Amos Alonzo Stagg Bowl - Samford Forfeits?" 1 11 25 1971 "Samford (AL)" "Samford University"
"W" "12-02-2006" 27 "Monmouth (NJ)" 7 "Gridiron Classic" 1 12 2 2006 "San Diego (CA)" "University of San Diego"
"W" "12-07-1946" 13 "Johnson C. Smith (NC)" 6 "Pecan Bowl (1)" 1 12 7 1946 "South Carolina St." "South Carolina State University"
"W" "12-13-1947" 7 "Allen (SC)" 0 "Pecan Bowl (1)" 1 12 13 1947 "South Carolina St." "South Carolina State University"
"L" "12-02-1950" 13 "Allen (SC)" 47 "Peninsula Bowl" 1 12 2 1950 "South Carolina St." "South Carolina State University"
"L" "12-08-1973" 12 "Florida A&M" 23 "Orange Blossom Classic" 1 12 8 1973 "South Carolina St." "South Carolina State University"
"L" "11-30-1974" 0 "Wofford (SC)" 20 "Textile Bowl" 1 11 30 1974 "South Carolina St." "South Carolina State University"
"L" "12-07-1974" 7 "Grambling St. (LA)" 28 "Pelican Bowl" 1 12 7 1974 "South Carolina St." "South Carolina State University"
"L" "12-27-1975" 12 "Southern (LA)" 15 "Pelican Bowl" 1 12 27 1975 "South Carolina St." "South Carolina State University"
"W" "12-11-1976" 26 "Norfolk St. (VA)" 10 "Bicentennial Bowl" 1 12 11 1976 "South Carolina St." "South Carolina State University"
"W" "12-03-1977" 10 "Winston-Salem St. (NC)" 7 "Gold Bowl" 1 12 3 1977 "South Carolina St." "South Carolina State University"
"W" "12-01-1979" 39 "Norfolk St. (VA)" 7 "Gold Bowl" 1 12 1 1979 "South Carolina St." "South Carolina State University"
"L" "01-01-1994" 0 "Southern (LA)" 11 "Heritage Bowl" 1 1 1 1994 "South Carolina St." "South Carolina State University"
"W" "12-30-1994" 31 "Grambling St. (LA)" 27 "Heritage Bowl" 1 12 30 1994 "South Carolina St." "South Carolina State University"
"L" "12-27-1997" 28 "Southern (LA)" 34 "Heritage Bowl" 1 12 27 1997 "South Carolina St." "South Carolina State University"
"W" "11-28-1946" 21 "Milligan (TN)" 13 "Burley Bowl" 1 11 28 1946 "Southeastern Louisiana" "Southeastern Louisiana University"
"L" "01-01-1943" 12 "North Carolina A&T" 14 "Flower Bowl" 1 1 1 1943 "Southern (LA)" "Southern University and Agricultural and Mechanical College"
"W" "12-25-1946" 64 "Tuskegee (AL)" 7 "Yam Bowl" 1 12 25 1946 "Southern (LA)" "Southern University and Agricultural and Mechanical College"
"W" "12-25-1947" 46 "Fort Valley St. (GA)" 0 "Yam Bowl" 1 12 25 1947 "Southern (LA)" "Southern University and Agricultural and Mechanical College"
"W" "1948" 30 "San Francisco St. (CA)" 0 "Fruit Bowl" 1 1948 12 27 "Southern (LA)" "Southern University and Agricultural and Mechanical College"
"W" "12-27-1975" 15 "South Carolina St." 12 "Pelican Bowl" 1 1975 1 1 "Southern (LA)" "Southern University and Agricultural and Mechanical College"
"W" "01-01-1994" 11 "South Carolina St." 0 "Heritage Bowl" 1 1994 12 29 "Southern (LA)" "Southern University and Agricultural and Mechanical College"
"W" "12-29-1995" 30 "Florida A&M" 25 "Heritage Bowl" 1 1995 12 31 "Southern (LA)" "Southern University and Agricultural and Mechanical College"
"L" "12-31-1996" 24 "Howard (DC)" 27 "Heritage Bowl" 1 1996 12 27 "Southern (LA)" "Southern University and Agricultural and Mechanical College"
"W" "12-27-1997" 34 "South Carolina St." 28 "Heritage Bowl" 1 1997 12 26 "Southern (LA)" "Southern University and Agricultural and Mechanical College"
"W" "12-26-1998" 28 "Bethune-Cookman (FL)" 2 "Heritage Bowl" 1 1998 12 18 "Southern (LA)" "Southern University and Agricultural and Mechanical College"
"W" "11-26-1949" 41 "Indiana St." 14 "Shrine Bowl (1)" 0 11 26 1949 "Southern Illinois" "Southern Illinois University Carbondale"
"W" "11-27-1947" 21 "North Central (IL)" 0 "Corn Bowl" 1 11 27 1947 "Southern Illinois" "Southern Illinois University Carbondale"
"W" "12-08-1973" 31 "Gardner-Webb (NC)" 10 "Poultry Bowl" 1 12 8 1973 "Stephen F. Austin (TX)" "Stephen F. Austin State University"
"W" "01-01-1952" 35 "Arkansas St." 20 "Tangerine Bowl" 1 1 1 1952 "Stetson (FL)" "Stetson University"
"W" "11-30-1956" 46 "Havana University (Cuba)" 0 "Conch Bowl" 1 11 30 1956 "Stetson (FL)" "Stetson University"
"W" "11-23-2002" 24 "Duquesne (PA)" 0 "Eastern College Athletic Conference Bowl" 1 11 23 2002 "SUNY-Albany (NY)" "State University of New York at Albany"
"L" "12-01-2007" 21 "Dayton (OH)" 42 "Gridiron Classic" 1 12 1 2007 "SUNY-Albany (NY)" "State University of New York at Albany"
"W" "12-06-2008" 28 "Jacksonville (FL)" 0 "Gridiron Classic" 1 12 6 2008 "SUNY-Albany (NY)" "State University of New York at Albany"
"W" "01-01-1945" 13 "Tuskegee (AL)" 0 "Vulcan Bowl" 1 1 1 1945 "Tennessee St." "Tennessee State University"
"W" "01-01-1946" 33 "Texas College" 6 "Vulcan Bowl" 1 1 1 1946 "Tennessee St." "Tennessee State University"
"W" "01-01-1947" 32 "Louisville Municipal (KY)" 0 "Vulcan Bowl" 1 1 1 1947 "Tennessee St." "Tennessee State University"
"L" "12-04-1954" 6 "North Carolina Central" 19 "National Classic" 1 12 4 1954 "Tennessee St." "Tennessee State University"
"W" "12-01-1956" 41 "Florida A&M" 39 "Orange Blossom Classic" 1 12 1 1956 "Tennessee St." "Tennessee State University"
"T" "12-11-1965" 14 "Ball St. (IN)" 14 "Grantland Rice Bowl" 1 12 11 1965 "Tennessee St." "Tennessee State University"
"W" "12-10-1966" 34 "Muskingum (OH)" 7 "Grantland Rice Bowl" 1 12 10 1966 "Tennessee St." "Tennessee State University"
"W" "12-12-1970" 26 "Louisiana-Lafayette" 25 "Grantland Rice Bowl" 1 12 12 1970 "Tennessee St." "Tennessee State University"
"W" "12-11-1971" 26 "McNeese St. (LA)" 23 "Grantland Rice Bowl" 1 12 11 1971 "Tennessee St." "Tennessee State University"
"W" "12-10-1972" 29 "Drake (IA)" 7 "Pioneer Bowl (1)" 1 12 10 1972 "Tennessee St." "Tennessee State University"
