"Team","Year","oW","oL","cW","cL","stand","bowl","coachRank","apRank","sportsNetworkRank"
"Middle Tennessee",2012,8,4,6,2,2,"",NA,NA,NA
"Middle Tennessee",2013,6,4,4,2,NA,"",NA,NA,NA
"Iowa State",1995,3,8,1,6,7,"",NA,NA,NA
"Iowa State",1996,2,9,1,7,6,"",NA,NA,NA
"Iowa State",1997,1,10,1,7,6,"",NA,NA,NA
"Iowa State",1998,3,8,1,7,5,"",NA,NA,NA
"Iowa State",1999,4,7,1,7,5,"",NA,NA,NA
"Iowa State",2000,9,3,5,3,3,"W Insight.com",23,25,NA
"Iowa State",2001,7,5,4,4,3,"L Independence",NA,NA,NA
"Iowa State",2002,7,7,4,4,3,"L Humanitarian",NA,NA,NA
"Iowa State",2003,2,10,0,8,6,"",NA,NA,NA
"Iowa State",2004,7,5,4,4,1,"W Independence",NA,NA,NA
"Iowa State",2005,7,5,4,4,2,"L Houston",NA,NA,NA
"Iowa State",2006,4,8,1,7,6,"",NA,NA,NA
"North Texas",2011,5,7,4,4,5,"",NA,NA,NA
"North Texas",2012,4,8,3,5,6,"",NA,NA,NA
"North Texas",2013,7,3,5,1,NA,"",NA,NA,NA
"Texas State",2004,5,6,3,2,3,"",NA,NA,NA
"Texas State",2005,11,3,4,1,1,"L NCAA Division I-AA Semifinal",NA,NA,NA
"Texas State",2006,5,6,3,3,4,"",NA,NA,NA
"Rice",2007,3,9,3,5,5,"",NA,NA,NA
"Rice",2008,10,3,7,1,1,"W Texas",NA,NA,NA
"Rice",2009,2,10,2,6,5,"",NA,NA,NA
"Rice",2010,4,8,3,5,4,"",NA,NA,NA
"Rice",2011,4,8,3,5,4,"",NA,NA,NA
"Rice",2012,7,6,4,4,3,"W Armed Forces Bowl",NA,NA,NA
"Rice",2013,7,3,5,1,NA,"",NA,NA,NA
"Southern Miss",2013,0,10,0,6,NA,"",NA,NA,NA
"Tulane",2012,2,10,2,6,6,"",NA,NA,NA
"Tulane",2013,6,4,4,2,1,"",NA,NA,NA
"Tulsa",2011,8,5,7,1,2,"L Armed Forces",NA,NA,NA
"Tulsa",2012,11,3,7,1,1,"W Liberty",NA,NA,NA
"Tulsa",2013,2,8,1,5,NA,"",NA,NA,NA
"UAB",2012,3,9,2,6,5,"",NA,NA,NA
"UAB",2013,2,8,1,5,NA,"",NA,NA,NA
"UTEP",2013,2,8,1,5,NA,"",NA,NA,NA
"Southern Utah",1996,4,7,NA,NA,NA,"",NA,NA,NA
"Cal Poly",2001,6,5,NA,NA,NA,"",NA,NA,NA
"Cal Poly",2002,3,8,NA,NA,NA,"",NA,NA,NA
"Cal Poly",2003,7,4,NA,NA,NA,"",NA,NA,NA
"Cal Poly",2004,9,2,4,1,1,"",NA,NA,NA
"Cal Poly",2005,9,4,4,1,1,"L NCAA Division I-AA Quarterfinal",NA,NA,NA
"Cal Poly",2006,7,4,2,2,NA,"",NA,NA,NA
"Cal Poly",2007,7,4,2,2,NA,"",NA,NA,NA
"Cal Poly",2008,8,3,3,0,1,"L NCAA Division I First Round",NA,NA,NA
"Army",2009,5,7,NA,NA,NA,"",NA,NA,NA
"Army",2010,7,6,NA,NA,NA,"W Armed Forces",NA,NA,NA
"Army",2011,3,9,NA,NA,NA,"",NA,NA,NA
"Army",2012,2,10,NA,NA,NA,"",NA,NA,NA
"Army",2013,3,7,NA,NA,NA,"",NA,NA,NA
"BYU",2005,6,6,5,3,2,"L Las Vegas",NA,NA,NA
"BYU",2006,11,2,8,0,1,"W Las Vegas",16,15,NA
"BYU",2007,11,2,8,0,1,"W Las Vegas",14,14,NA
"BYU",2008,10,3,6,2,3,"L Las Vegas",21,25,NA
"BYU",2009,11,2,7,1,2,"W Las Vegas",12,12,NA
"BYU",2010,7,6,5,3,3,"W New Mexico",NA,NA,NA
"BYU",2011,10,3,NA,NA,NA,"W Armed Forces",25,NA,NA
"BYU",2012,8,5,NA,NA,NA,"W Poinsettia",NA,NA,NA
"BYU",2013,7,3,NA,NA,NA,"",NA,NA,NA
"Idaho",2013,1,9,NA,NA,NA,"",NA,NA,NA
"Navy",2007,0,1,NA,NA,NA,"L Poinsettia Bowl",NA,NA,NA
"Navy",2008,8,5,NA,NA,NA,"L EagleBank Bowl",NA,NA,NA
"Navy",2009,10,4,NA,NA,NA,"W Texas Bowl",NA,NA,NA
"Navy",2010,9,4,NA,NA,NA,"L Poinsettia Bowl",NA,NA,NA
"Navy",2011,5,7,NA,NA,NA,"",NA,NA,NA
"Navy",2012,8,5,NA,NA,NA,"L Kraft Fight Hunger Bowl",NA,NA,NA
"Navy",2013,6,4,NA,NA,NA,"",NA,NA,NA
"Kent State",2004,5,6,4,4,5,"",NA,NA,NA
"Kent State",2005,1,10,0,8,6,"",NA,NA,NA
"Kent State",2006,6,6,5,3,2,"",NA,NA,NA
"Kent State",2007,3,9,1,7,7,"",NA,NA,NA
"Kent State",2008,4,8,3,5,4,"",NA,NA,NA
"Kent State",2009,5,7,4,4,4,"",NA,NA,NA
"Kent State",2010,5,7,4,4,4,"",NA,NA,NA
"New Mexico State",2013,1,9,NA,NA,NA,"",NA,NA,NA
"Grand Valley State",1991,9,3,8,2,2,"L NCAA Division II First Round",NA,NA,NA
"Grand Valley State",1992,8,3,8,2,1,"",NA,NA,NA
"Grand Valley State",1993,6,3,6,2,3,"",NA,NA,NA
"Grand Valley State",1994,8,4,8,2,2,"L NCAA Division II First Round",NA,NA,NA
"Grand Valley State",1995,8,3,8,2,2,"",NA,NA,NA
"Grand Valley State",1996,8,3,8,2,2,"",NA,NA,NA
"Grand Valley State",1997,9,2,9,1,1,"",NA,NA,NA
"Grand Valley State",1998,9,3,9,1,1,"L NCAA Division II First Round",NA,NA,NA
"Grand Valley State",1999,5,5,5,4,7,"",NA,NA,NA
"Grand Valley State",2000,7,4,7,3,3,"",NA,NA,NA
"Grand Valley State",2001,13,1,9,0,1,"L NCAA Division II Championship",2,NA,NA
"Grand Valley State",2002,14,0,9,0,1,"W NCAA Division II Championship",1,NA,NA
"Grand Valley State",2003,14,1,9,1,2,"W NCAA Division II Championship",1,NA,NA
"Central Michigan",2004,4,7,3,5,5,"",NA,NA,NA
"Central Michigan",2005,6,5,5,3,4,"",NA,NA,NA
"Central Michigan",2006,9,4,7,1,1,"Motor City[n 1]",NA,NA,NA
"Cincinnati",2006,NA,NA,0,0,NA,"W International",NA,NA,NA
"Cincinnati",2007,1,1,4,3,3,"W Papajohns.com",20,17,NA
"Cincinnati",2008,0,10,6,1,1,"L Orange†",17,17,NA
"Cincinnati",2009,3,11,7,0,1,"Sugar[n 2]†",4,4,NA
"Notre Dame",2010,3,12,NA,NA,NA,"W Sun",NA,NA,NA
"Notre Dame",2011,0,NA,NA,NA,NA,"L Champs Sports",NA,NA,NA
"Notre Dame",2012,NA,2,NA,NA,NA,"L BCS NCG†",3,4,NA
"Notre Dame",2013,8,5,NA,NA,NA,"",NA,NA,NA
"Salem",1983,3,7,2,6,7,"",NA,NA,NA
"Salem",1984,8,3,7,1,1,"",NA,NA,NA
"Salem",1985,8,3,6,1,1,"",NA,NA,NA
"Samford",1987,9,1,NA,NA,NA,"",NA,NA,NA
"Samford",1988,5,6,NA,NA,NA,"",NA,NA,NA
"Samford",1989,4,7,NA,NA,NA,"",NA,NA,NA
"Samford",1990,6,4,NA,NA,NA,"",NA,NA,NA
"Samford",1991,12,2,NA,NA,NA,"L NCAA Division I-AA Semifinals",NA,NA,NA
"Samford",1992,9,3,NA,NA,NA,"L NCAA Division I-AA 1st Round",NA,NA,NA
"Auburn",1993,11,0,8,0,1,"‡",NA,4,NA
"Auburn",1994,9,1,6,1,2,"‡",NA,9,NA
"Auburn",1995,8,4,5,3,2,"L Outback",21,22,NA
"Auburn",1996,8,4,4,4,3,"W Independence",25,24,NA
"Auburn",1997,10,3,6,2,1,"W Peach",11,11,NA
"Auburn",1998,1,5,1,4,6,"",NA,NA,NA
"North Alabama",2009,NA,NA,NA,NA,1,"L NCAA Division II Quarterfinals",NA,NA,NA
"North Alabama",2010,1,11,1,7,4,"L NCAA Division II 2nd Round",NA,NA,NA
"North Alabama",2011,2,9,1,5,2,"L NCAA Division II 2nd Round",NA,NA,NA
"Akron",2012,4,9,3,2,NA,"",NA,NA,NA
"Akron",2013,3,1,2,0,NA,"",NA,NA,NA
"Lehigh",2001,11,1,7,0,1,"L NCAA Division I-AA Quarterfinal",NA,NA,5
"Lehigh",2002,8,4,4,3,4,"",NA,NA,NA
"Lehigh",2003,8,3,6,1,2,"",NA,NA,23
"Lehigh",2004,9,3,5,1,1,"L NCAA Division I-AA First Round",NA,NA,15
"Lehigh",2005,8,3,4,2,3,"",NA,NA,NA
"Elon",2006,5,6,2,5,5,"",NA,NA,NA
"Elon",2007,7,4,4,3,3,"",NA,NA,23
"Elon",2008,8,4,6,2,3,"",NA,NA,17
"Elon",2009,9,3,7,1,2,"L NCAA Division I First Round",NA,NA,9
"Elon",2010,6,5,5,3,3,"",NA,NA,NA
"Ball State",2011,6,6,4,4,4,"",NA,NA,NA
"Ball State",2012,9,4,6,2,2,"L Beef 'O' Brady's",NA,NA,NA
"Ball State",2013,9,2,6,1,NA,"",NA,NA,NA
"Fordham",1999,0,11,0,6,7,"",NA,NA,NA
"Fordham",2000,3,8,1,5,6,"",NA,NA,NA
"Fordham",2001,7,4,5,2,3,"",NA,NA,NA
"Fordham",2002,10,3,6,1,1,"L Div I-AA Quarterfinals",NA,NA,NA
"Fordham",2003,9,3,4,3,3,"",NA,NA,NA
"Richmond",2004,3,8,0,8,5,"",NA,NA,NA
"Richmond",2005,9,4,7,1,1,"L Div I-AA Quarterfinals",8,NA,NA
"Richmond",2006,6,5,3,5,4,"",NA,NA,NA
"Richmond",2007,11,3,7,1,1,"L Div FCS Semifinals",4,NA,NA
"Bowling Green",2009,7,6,6,2,3,"L Humanitarian",NA,NA,NA
"Bowling Green",2010,2,10,1,7,5,"",NA,NA,NA
"Bowling Green",2011,5,7,3,5,4,"",NA,NA,NA
"Bowling Green",2012,8,5,6,2,2,"L Military",NA,NA,NA
"Bowling Green",2013,7,3,5,1,NA,"",NA,NA,NA
"Central Michigan",2006,1,0,NA,NA,NA,"W Motor City",NA,NA,NA
"Cincinnati",2009,0,1,NA,NA,NA,"L Sugar†",9,8,NA
"Buffalo",2010,2,10,1,7,5,"",NA,NA,NA
"Buffalo",2011,3,9,2,6,6,"",NA,NA,NA
"Buffalo",2012,4,8,3,5,4,"",NA,NA,NA
"Buffalo",2013,8,3,6,1,NA,"",NA,NA,NA
"Central Michigan",2010,3,9,2,6,5,"",NA,NA,NA
"Central Michigan",2011,3,9,2,6,6,"",NA,NA,NA
"Central Michigan",2012,7,6,4,4,4,"W Little Caesars Pizza Bowl",NA,NA,NA
"Central Michigan",2013,4,6,3,3,NA,"",NA,NA,NA
"Wabash",1978,8,1,NA,NA,NA,"",NA,NA,NA
"Wabash",1979,8,1,NA,NA,NA,"",NA,NA,NA
"Wabash",1980,8,0,NA,NA,NA,"",NA,NA,NA
"Wabash",1981,8,1,NA,NA,NA,"",NA,NA,NA
"Wabash",1982,10,0,NA,NA,NA,"",NA,NA,NA
"Marshall",1984,6,5,NA,NA,NA,"",NA,NA,NA
"Marshall",1985,7,3,NA,NA,NA,"",NA,NA,NA
"Kansas State",1986,2,9,1,6,8,"",NA,NA,NA
"Kansas State",1987,0,10,0,6,7,"",NA,NA,NA
"Kansas State",1988,0,11,0,7,8,"",NA,NA,NA
"Ball State",2008,0,1,0,0,NA,"L GMAC",NA,NA,NA
"Ball State",2009,2,10,2,6,5,"",NA,NA,NA
"Ball State",2010,4,8,3,5,4,"",NA,NA,NA
"Eastern Michigan",2013,1,0,1,0,NA,"Michigan MAC Trophy",NA,NA,NA
"Kent State",2013,4,8,3,5,NA,"",NA,NA,NA
"Miami",2013,0,6,0,6,NA,"",NA,NA,NA
"Northern Illinois",2012,0,1,0,0,1,"L Orange†",24,22,NA
"Northern Illinois",2013,NA,NA,6,0,NA,"",NA,NA,NA
"Nebraska",1998,9,4,5,3,2,"L Holiday",20,19,NA
"Nebraska",1999,12,1,8,1,1,"W Fiesta†",2,3,NA
"Nebraska",2000,10,2,6,2,1,"W Alamo",7,8,NA
"Nebraska",2001,11,2,7,1,1,"L Rose†",7,8,NA
"Nebraska",2002,7,7,3,5,4,"L Independence",NA,NA,NA
"Nebraska",2003,9,3,5,3,2,"Alamo*",18,19,NA
"Ohio",2005,4,7,3,5,4,"",NA,NA,NA
"Ohio",2006,9,5,7,1,1,"L GMAC",NA,NA,NA
"Ohio",2007,6,6,4,4,4,"",NA,NA,NA
"Ohio",2008,4,8,3,5,5,"",NA,NA,NA
"Ohio",2009,9,5,7,1,1,"L Little Caesars Pizza",NA,NA,NA
"Ohio",2010,8,5,6,2,2,"L New Orleans",NA,NA,NA
"Ohio",2011,10,4,6,2,1,"W Famous Idaho Potato",NA,NA,NA
"Ohio",2012,9,4,4,4,3,"W Independence",NA,NA,NA
"Ohio",2013,6,5,3,4,NA,"",NA,NA,NA
"Western Michigan",2013,1,10,1,6,NA,"",NA,NA,NA
"Air Force",2007,9,4,6,2,2,"L Armed Forces",NA,NA,NA
"Air Force",2008,8,5,5,3,4,"L Armed Forces",NA,NA,NA
"Air Force",2009,8,5,5,3,4,"W Armed Forces",NA,NA,NA
"Air Force",2010,9,4,5,3,3,"W Independence",NA,NA,NA
"Air Force",2011,7,6,3,4,5,"L Military",NA,NA,NA
"Air Force",2012,6,7,5,3,4,"L Armed Forces Bowl",NA,NA,NA
"Air Force",2013,2,8,0,6,NA,"",NA,NA,NA
"Boise State",2006,13,0,8,0,1,"W Fiesta†",6,5,NA
"Boise State",2007,10,3,7,1,2,"L Hawai'i",NA,NA,NA
"Boise State",2008,12,1,8,0,1,"L Poinsettia",13,11,NA
"Boise State",2009,14,0,8,0,1,"W Fiesta†",4,4,NA
"Boise State",2010,12,1,7,1,1,"W Maaco Las Vegas",7,9,NA
"Boise State",2011,12,1,6,1,2,"W Maaco Las Vegas",6,8,NA
"Boise State",2012,11,2,7,1,1,"W Maaco Las Vegas",14,18,NA
"Boise State",2013,7,3,5,1,NA,"",NA,NA,NA
"Colorado State",2012,4,8,3,5,6,"",NA,NA,NA
"Colorado State",2013,6,5,4,2,NA,"",NA,NA,NA
"Texas A&M",2011,1,0,0,0,6,"W Meineke Car Care",NA,NA,NA
"Fresno State",2012,9,4,7,1,1,"L Hawaii",NA,NA,NA
"Fresno State",2013,9,0,6,0,NA,"",NA,NA,NA
"Hawaii",2012,3,9,1,7,9,"",NA,NA,NA
"Hawaii",2013,0,10,0,7,NA,"",NA,NA,NA
"Nevada",2013,4,7,3,5,NA,"",NA,NA,NA
"Notre Dame",1997,7,6,NA,NA,NA,"L Independence",NA,NA,NA
"Notre Dame",1998,9,3,NA,NA,NA,"L Gator",22,22,NA
"Notre Dame",1999,5,7,NA,NA,NA,"",NA,NA,NA
"Notre Dame",2000,9,3,NA,NA,NA,"L Fiesta†",16,15,NA
"Notre Dame",2001,5,6,NA,NA,NA,"",NA,NA,NA
"New Mexico",2012,4,9,1,7,NA,"",NA,NA,NA
"New Mexico",2013,3,7,1,5,NA,"",NA,NA,NA
"New Mexico",1998,3,9,1,7,7,"",NA,NA,NA
"New Mexico",1999,4,7,3,4,5,"",NA,NA,NA
"New Mexico",2000,5,7,3,4,5,"",NA,NA,NA
"New Mexico",2001,6,5,4,3,3,"",NA,NA,NA
"New Mexico",2002,7,7,5,2,2,"L Las Vegas",NA,NA,NA
"New Mexico",2003,8,5,5,2,2,"L Las Vegas",NA,NA,NA
"New Mexico",2004,7,5,5,2,2,"L Emerald",NA,NA,NA
"New Mexico",2005,6,5,4,4,4,"",NA,NA,NA
"New Mexico",2006,6,7,4,4,5,"L New Mexico",NA,NA,NA
"New Mexico",2007,9,4,5,3,3,"W New Mexico",NA,NA,NA
"New Mexico",2008,4,8,2,6,7,"",NA,NA,NA
"San Diego State",2011,8,5,4,3,4,"L New Orleans",NA,NA,NA
"San Diego State",2012,9,4,7,1,1,"L Poinsettia",NA,NA,NA
"San Diego State",2013,6,4,5,1,NA,"",NA,NA,NA
"San Diego",2007,9,2,6,1,1,"",NA,NA,NA
"San Diego",2008,9,2,6,2,2,"",NA,NA,NA
"San Diego",2009,4,7,3,5,6,"",NA,NA,NA
"San Diego",2010,5,6,5,3,4,"",NA,NA,NA
"San Diego",2011,9,2,7,1,1,"",NA,NA,NA
"San Diego",2012,8,3,7,1,1,"",NA,NA,NA
"San Jose State",2013,5,5,4,3,NA,"",NA,NA,NA
"Utah State",2013,6,4,5,1,NA,"",NA,NA,NA
"Wyoming",2009,7,6,4,4,5,"W New Mexico",NA,NA,NA
"Wyoming",2010,3,9,1,7,8,"",NA,NA,NA
"Wyoming",2011,8,5,5,2,3,"L New Mexico",NA,NA,NA
"Wyoming",2012,4,8,3,5,6,"",NA,NA,NA
"Wyoming",2013,4,6,2,4,NA,"",NA,NA,NA
"Salem",1988,2,8,2,5,5,"",NA,NA,NA
"Glenville State",1990,1,7,1,5,6,"",NA,NA,NA
"Glenville State",1991,4,5,3,4,5,"",NA,NA,NA
"Glenville State",1992,6,4,5,2,3,"",NA,NA,NA
"Glenville State",1993,10,3,6,1,1,"",NA,NA,NA
"Glenville State",1994,8,3,5,1,1,"",NA,NA,NA
"Glenville State",1995,8,2,6,1,1,"",NA,NA,NA
"Glenville State",1996,6,4,6,1,1,"",NA,NA,NA
"West Virginia",2001,3,8,1,6,7,"",NA,NA,NA
"West Virginia",2002,9,4,6,1,2,"L Continental Tire",20,25,NA
"West Virginia",2003,8,5,6,1,1,"L Gator",NA,NA,NA
"West Virginia",2004,8,4,4,2,1,"L Gator",NA,NA,NA
"West Virginia",2005,11,1,7,0,1,"W Sugar†",6,5,NA
"West Virginia",2006,11,2,5,2,2,"W Gator",10,10,NA
"West Virginia",2007,10,2,5,2,1,"Fiesta[n 1]†",9,11,NA
"Michigan",2008,3,9,2,6,9,"",NA,NA,NA
"Michigan",2009,5,7,1,7,10,"",NA,NA,NA
"Michigan",2010,7,6,3,5,7,"L Gator",NA,NA,NA
"Arizona",2012,8,5,4,5,4,"W New Mexico",NA,NA,NA
"Arizona",2013,6,4,3,4,NA,"",NA,NA,NA
"Rice",2006,7,6,6,2,2,"L New Orleans",NA,NA,NA
"Tulsa",2007,10,4,6,3,1,"W GMAC",NA,NA,NA
"Tulsa",2008,11,3,7,2,1,"W GMAC",NA,NA,NA
"Tulsa",2009,5,7,3,5,3,"",NA,NA,NA
"Tulsa",2010,10,3,6,2,1,"W Hawai'i",NA,24,NA
"Pittsburgh",2011,6,6,4,3,4,"BBVA CompassA",NA,NA,NA
"Arizona State",2012,8,5,5,4,2,"W Fight Hunger",NA,NA,NA
"Arizona State",2013,8,2,6,1,NA,"",22,19,NA
"Louisiana Tech",2010,5,7,4,4,5,"",NA,NA,NA
"Louisiana Tech",2011,8,5,6,1,1,"L Poinsettia",NA,NA,NA
"Louisiana Tech",2012,9,3,4,2,3,"",NA,NA,NA
"California",2013,1,10,0,8,NA,"",NA,NA,NA
"San Jose State",2010,1,12,0,8,9,"",NA,NA,NA
"San Jose State",2011,5,7,3,4,4,"",NA,NA,NA
"San Jose State",2012,10,2,5,1,2,"Military*",21,21,NA
"Colorado",2013,4,6,1,6,NA,"",NA,NA,NA
"Oregon",2013,9,1,6,1,1,"",5,5,NA
"Oregon State",1997,3,8,0,8,10,"",NA,NA,NA
"Oregon State",1998,5,6,2,6,8,"",NA,NA,NA
"Oregon State",2003,8,5,4,4,5,"W Las Vegas",NA,NA,NA
"Oregon State",2004,7,5,5,3,3,"W Insight",NA,NA,NA
"Oregon State",2005,5,6,3,5,7,"",NA,NA,NA
"Oregon State",2006,10,4,6,3,3,"W Sun",22,21,NA
"Oregon State",2007,9,4,6,3,3,"W Emerald",NA,25,NA
"Oregon State",2008,9,4,7,2,2,"W Sun",19,18,NA
"Oregon State",2009,8,5,6,3,2,"L Las Vegas",NA,NA,NA
"Oregon State",2010,5,7,4,5,5,"",NA,NA,NA
"Oregon State",2011,3,9,3,6,5,"",NA,NA,NA
"Oregon State",2012,9,4,6,3,3,"L Alamo",19,20,NA
"Oregon State",2013,6,4,4,3,NA,"",NA,NA,NA
"Stanford",2011,11,2,8,1,1,"L Fiesta†",7,7,NA
"Stanford",2012,12,2,8,1,1,"W Rose†",6,7,NA
"Stanford",2013,8,2,6,2,NA,"",NA,NA,NA
"UCLA",2012,9,5,6,3,1,"L Holiday",NA,NA,NA
"UCLA",2013,8,2,5,2,NA,"",NA,NA,NA
"Ole Miss",2005,3,8,1,7,5,"",NA,NA,NA
"Ole Miss",2006,4,8,2,6,4,"",NA,NA,NA
"Ole Miss",2007,3,9,0,8,6,"",NA,NA,NA
"USC",2013,5,1,5,0,NA,"",NA,NA,NA
"Utah*",2004,1,0,0,0,NA,"W Fiesta†",5,4,NA
"Utah",2005,7,5,4,4,4,"W Emerald",NA,NA,NA
"Utah",2006,8,5,5,3,3,"W Armed Forces",NA,NA,NA
"Utah",2007,9,4,5,3,3,"W Poinsettia",NA,NA,NA
"Utah",2008,13,0,8,0,1,"W Sugar†",4,2,NA
"Utah",2009,10,3,6,2,3,"W Poinsettia",18,18,NA
"Utah",2010,10,3,7,1,2,"L Las Vegas",23,NA,NA
"Utah",2011,8,5,4,5,3,"W Sun",NA,NA,NA
"Utah",2012,5,7,3,6,5,"",NA,NA,NA
"Utah",2013,4,6,1,6,NA,"",NA,NA,NA
"Washington",2009,5,7,4,5,7,"",NA,NA,NA
"Washington",2010,7,6,5,4,3,"W Holiday",NA,NA,NA
"Washington",2011,7,6,5,4,3,"L Alamo",NA,NA,NA
"Washington",2012,7,6,5,4,4,"L Maaco",NA,NA,NA
"Washington",2013,6,4,3,4,NA,"",NA,NA,NA
"Toledo",1990,9,2,7,1,1,"",NA,NA,NA
"Michigan State",1995,6,5,4,3,5,"L Independence",NA,NA,NA
"Michigan State",1996,6,6,5,3,5,"L Sun",NA,NA,NA
"Michigan State",1997,7,5,4,4,6,"L Aloha",NA,NA,NA
"Michigan State",1998,6,6,4,4,6,"",NA,NA,NA
"Michigan State",1999,9,2,6,2,2,"Invited to Citrus*",NA,NA,NA
"LSU",2000,8,4,5,3,3,"W Peach",NA,22,NA
"LSU",2001,10,3,5,3,1,"W Sugar†",8,7,NA
"LSU",2002,8,5,5,3,2,"L Cotton",NA,NA,NA
"LSU",2003,13,1,7,1,1,"W Sugar†",1,2,NA
"LSU",2004,9,3,6,2,2,"L Capital One",16,16,NA
"Alabama",2007,2,6,1,4,3,"W Independence",NA,NA,NA
"Alabama",2008,NA,12,NA,8,1,"L Sugar†",6,6,NA
"Alabama",2009,2,14,0,8,1,"W BCS NCG†",1,1,NA
"Alabama",2010,0,10,0,5,4,"W Capital One",11,10,NA
"Alabama",2011,3,12,3,7,2,"W BCS NCG†",1,1,NA
"Alabama",2012,1,13,1,7,1,"W BCS NCG†",1,1,NA
"Alabama",2013,1,10,1,7,NA,"",NA,NA,NA
"Wisconsin",2006,12,1,7,1,2,"W Capital One",5,7,NA
"Wisconsin",2007,9,4,5,3,4,"L Outback",21,24,NA
"Wisconsin",2008,7,6,3,5,6,"L Champs Sports",NA,NA,NA
"Wisconsin",2009,10,3,5,3,4,"W Champs Sports",16,16,NA
"Wisconsin",2010,11,2,7,1,1,"L Rose†",8,7,NA
"Wisconsin",2011,11,3,6,2,1,"L Rose†",11,10,NA
"Wisconsin",2012,8,5,4,4,3,"Rose‡†",NA,NA,NA
"Arkansas",2013,3,7,0,6,NA,"",NA,NA,NA
"Arkansas State",2012,9,3,7,1,1,"GoDaddy.com*",NA,NA,NA
"Auburn",2013,10,1,6,1,NA,"",NA,NA,NA
"Florida",2011,7,6,3,5,3,"W Gator",NA,NA,NA
"Florida",2012,11,2,7,1,1,"L Sugar†",10,9,NA
"Florida",2013,4,6,3,5,NA,"",NA,NA,NA
"Kentucky",2013,2,8,0,6,NA,"",NA,NA,NA
"Oklahoma State",2001,4,7,2,6,5,"",NA,NA,NA
"Oklahoma State",2002,8,5,5,3,2,"W Houston",NA,NA,NA
"Oklahoma State",2003,9,4,5,3,3,"L Cotton",NA,NA,NA
"Oklahoma State",2004,7,5,4,4,5,"L Alamo",NA,NA,NA
"LSU",2005,11,2,7,1,1,"W Peach",5,6,NA
"LSU",2006,11,2,6,2,2,"W Sugar†",3,3,NA
"LSU",2007,12,2,6,2,1,"W BCS NCG†",1,1,NA
"LSU",2008,8,5,3,5,3,"W Chick-fil-A",NA,NA,NA
"LSU",2009,9,4,5,3,2,"L Capital One",17,17,NA
"LSU",2010,11,2,6,2,2,"W Cotton",8,8,NA
"LSU",2011,13,1,8,0,1,"L BCS NCG†",2,2,NA
"LSU",2012,10,3,6,2,2,"L Chick-fil-A",12,13,NA
"LSU",2013,7,3,3,3,NA,"",NA,NA,NA
"Mississippi State",2009,5,7,3,5,4,"",NA,NA,NA
"Mississippi State",2010,9,4,4,4,5,"W Gator",17,15,NA
"Mississippi State",2011,7,6,2,6,5,"W Music City",NA,NA,NA
"Mississippi State",2012,8,5,4,4,4,"L Gator",NA,NA,NA
"Mississippi State",2013,4,6,1,5,NA,"",NA,NA,NA
"Toledo",1991,5,5,4,3,3,"",NA,NA,NA
"Toledo",1992,8,3,5,3,3,"",NA,NA,NA
"Toledo",1993,4,7,3,5,7,"",NA,NA,NA
"Toledo",1994,6,4,4,3,6,"",NA,NA,NA
"Toledo",1995,11,0,7,0,1,"W Las Vegas",NA,24,NA
"Toledo",1996,7,4,6,2,2,"",NA,NA,NA
"Toledo",1997,9,3,7,1,1,"",NA,NA,NA
"Toledo",1998,7,5,6,2,1,"",NA,NA,NA
"Toledo",1999,6,5,5,3,2,"",NA,NA,NA
"Toledo",2000,10,1,6,1,1,"",NA,NA,NA
"Missouri",2001,4,7,3,5,4,"",NA,NA,NA
"Missouri",2002,5,7,2,6,5,"",NA,NA,NA
"Missouri",2003,8,5,4,4,3,"L Independence",NA,NA,NA
"Missouri",2004,5,6,3,5,3,"",NA,NA,NA
"Missouri",2005,7,5,4,4,2,"W Independence",NA,NA,NA
"Missouri",2006,8,5,4,4,2,"L Sun",NA,NA,NA
"Missouri",2007,12,2,7,1,1,"W Cotton",5,4,NA
"Missouri",2008,10,4,5,3,1,"W Alamo",16,19,NA
"Missouri",2009,8,5,4,4,2,"L Texas",NA,NA,NA
"Missouri",2010,10,3,6,2,1,"L Insight",18,18,NA
"Missouri",2011,8,5,5,4,5,"W Independence",NA,NA,NA
"Missouri",2012,7,5,2,6,5,"",NA,NA,NA
"Missouri",2013,7,9,5,1,NA,"",9,9,NA
"Central Michigan",2007,8,6,6,1,1,"L Motor City",NA,NA,NA
"Central Michigan",2008,8,5,6,2,2,"L Motor City",NA,NA,NA
"Central Michigan",2009,11,2,8,0,1,"GMAC*",24,23,NA
"Cincinnati",2010,4,8,2,5,7,"",NA,NA,NA
"Cincinnati",2011,10,3,5,2,1,"W Liberty",21,25,NA
"Cincinnati",2012,9,3,5,2,1,"Belk*",22,NA,NA
"Tennessee",2013,4,6,1,5,NA,"",NA,NA,NA
"Houston",2008,8,5,6,2,3,"W Armed Forces",NA,NA,NA
"Houston",2009,10,4,6,2,1,"L Armed Forces",NA,NA,NA
"Houston",2010,5,7,4,4,3,"",NA,NA,NA
"Houston",2011,12,1,8,0,1,"* TicketCity",14,18,NA
"Texas A&M",2012,11,2,6,2,2,"W Cotton",5,5,NA
"Texas A&M",2013,8,2,4,2,NA,"",NA,NA,NA
"Duke",1987,5,6,2,5,7,"",NA,NA,NA
"Duke",1988,7,3,3,3,6,"",NA,NA,NA
"Duke",1989,8,4,6,1,1,"L All-American",NA,NA,NA
"Florida",1990,9,2,6,1,1,"‡",NA,13,NA
