"Years" "Conference" "offName" "school" "Division" "school"
1972 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA College Division (Small College)" "Alabama A&M"
1973 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1974 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1975 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1976 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1977 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1978 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1979 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1980 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1981 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1982 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1983 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1984 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1985 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1986 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1987 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1988 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1989 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1990 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1991 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1992 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1993 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1994 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1995 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1996 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1997 "Southern Intercollegiate Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1998 "Division II Independent" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division II" "Alabama A&M"
1999 "Southwestern Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division I-AA" "Alabama A&M"
2000 "Southwestern Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division I-AA" "Alabama A&M"
2001 "Southwestern Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division I-AA" "Alabama A&M"
2002 "Southwestern Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division I-AA" "Alabama A&M"
2003 "Southwestern Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division I-AA" "Alabama A&M"
2004 "Southwestern Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division I-AA" "Alabama A&M"
2005 "Southwestern Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division I-AA" "Alabama A&M"
2006 "Southwestern Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division I-AA" "Alabama A&M"
2007 "Southwestern Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division I-AA" "Alabama A&M"
2008 "Southwestern Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division I-AA" "Alabama A&M"
2009 "Southwestern Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division I-AA" "Alabama A&M"
2010 "Southwestern Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division I-AA" "Alabama A&M"
2011 "Southwestern Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division I-AA" "Alabama A&M"
2012 "Southwestern Athletic Conference" "Alabama Agricultural and Mechanical University" "Alabama A&M" "NCAA Division I-AA" "Alabama A&M"
1901 "Independent" "Alabama State University" "Alabama St." NA NA
1902 "Independent" "Alabama State University" "Alabama St." NA NA
1903 "Independent" "Alabama State University" "Alabama St." NA NA
1904 "Independent" "Alabama State University" "Alabama St." NA NA
1905 "Independent" "Alabama State University" "Alabama St." NA NA
1906 "Independent" "Alabama State University" "Alabama St." NA NA
1907 "Independent" "Alabama State University" "Alabama St." NA NA
1908 "Independent" "Alabama State University" "Alabama St." NA NA
1909 "Independent" "Alabama State University" "Alabama St." NA NA
1910 "Independent" "Alabama State University" "Alabama St." NA NA
1911 "Independent" "Alabama State University" "Alabama St." NA NA
1912 "Independent" "Alabama State University" "Alabama St." NA NA
1913 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
1914 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
1915 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." NA NA
