"Years" "Conference" "offName" "school" "Division" "school"
1950 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA College Division (Small College)" "Cal Poly-San Luis Obispo"
1951 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA College Division (Small College)" "Cal Poly-San Luis Obispo"
1952 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA College Division (Small College)" "Cal Poly-San Luis Obispo"
1953 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA College Division (Small College)" "Cal Poly-San Luis Obispo"
1954 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA College Division (Small College)" "Cal Poly-San Luis Obispo"
1955 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA College Division (Small College)" "Cal Poly-San Luis Obispo"
1956 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA College Division (Small College)" "Cal Poly-San Luis Obispo"
1957 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA College Division (Small College)" "Cal Poly-San Luis Obispo"
1958 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA College Division (Small College)" "Cal Poly-San Luis Obispo"
1959 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA College Division (Small College)" "Cal Poly-San Luis Obispo"
1960 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA College Division (Small College)" "Cal Poly-San Luis Obispo"
1961 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA College Division (Small College)" "Cal Poly-San Luis Obispo"
1962 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA College Division (Small College)" "Cal Poly-San Luis Obispo"
1963 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA College Division (Small College)" "Cal Poly-San Luis Obispo"
1964 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA College Division (Small College)" "Cal Poly-San Luis Obispo"
1965 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA College Division (Small College)" "Cal Poly-San Luis Obispo"
1966 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA College Division (Small College)" "Cal Poly-San Luis Obispo"
1967 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA College Division (Small College)" "Cal Poly-San Luis Obispo"
1968 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA College Division (Small College)" "Cal Poly-San Luis Obispo"
1969 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA College Division (Small College)" "Cal Poly-San Luis Obispo"
1970 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA College Division (Small College)" "Cal Poly-San Luis Obispo"
1971 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA College Division (Small College)" "Cal Poly-San Luis Obispo"
1972 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA College Division (Small College)" "Cal Poly-San Luis Obispo"
1973 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division II" "Cal Poly-San Luis Obispo"
1974 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division II" "Cal Poly-San Luis Obispo"
1975 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division II" "Cal Poly-San Luis Obispo"
1976 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division II" "Cal Poly-San Luis Obispo"
1977 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division II" "Cal Poly-San Luis Obispo"
1978 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division II" "Cal Poly-San Luis Obispo"
1979 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division II" "Cal Poly-San Luis Obispo"
1980 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division II" "Cal Poly-San Luis Obispo"
1981 "California Collegiate Athletic Association" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division II" "Cal Poly-San Luis Obispo"
1982 "Western Football Conference" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division II" "Cal Poly-San Luis Obispo"
1983 "Western Football Conference" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division II" "Cal Poly-San Luis Obispo"
1984 "Western Football Conference" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division II" "Cal Poly-San Luis Obispo"
1985 "Western Football Conference" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division II" "Cal Poly-San Luis Obispo"
1986 "Western Football Conference" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division II" "Cal Poly-San Luis Obispo"
1987 "Western Football Conference" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division II" "Cal Poly-San Luis Obispo"
1988 "Western Football Conference" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division II" "Cal Poly-San Luis Obispo"
1989 "Western Football Conference" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division II" "Cal Poly-San Luis Obispo"
1990 "Western Football Conference" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division II" "Cal Poly-San Luis Obispo"
1991 "Western Football Conference" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division II" "Cal Poly-San Luis Obispo"
1992 "Western Football Conference" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division II" "Cal Poly-San Luis Obispo"
1993 "American West Conference" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division II" "Cal Poly-San Luis Obispo"
1994 "American West Conference" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division I-AA" "Cal Poly-San Luis Obispo"
1995 "American West Conference" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division I-AA" "Cal Poly-San Luis Obispo"
1996 "Division I-AA Independent" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division I-AA" "Cal Poly-San Luis Obispo"
1997 "Division I-AA Independent" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division I-AA" "Cal Poly-San Luis Obispo"
1998 "Division I-AA Independent" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division I-AA" "Cal Poly-San Luis Obispo"
1999 "Division I-AA Independent" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division I-AA" "Cal Poly-San Luis Obispo"
2000 "Division I-AA Independent" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division I-AA" "Cal Poly-San Luis Obispo"
2001 "Division I-AA Independent" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division I-AA" "Cal Poly-San Luis Obispo"
2002 "Division I-AA Independent" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division I-AA" "Cal Poly-San Luis Obispo"
2003 "Division I-AA Independent" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division I-AA" "Cal Poly-San Luis Obispo"
2004 "Great West Football Conference" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division I-AA" "Cal Poly-San Luis Obispo"
2005 "Great West Football Conference" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division I-AA" "Cal Poly-San Luis Obispo"
2006 "Great West Football Conference" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division I-AA" "Cal Poly-San Luis Obispo"
2007 "Great West Football Conference" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division I-AA" "Cal Poly-San Luis Obispo"
2008 "Great West Football Conference" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division I-AA" "Cal Poly-San Luis Obispo"
2009 "Great West Football Conference" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division I-AA" "Cal Poly-San Luis Obispo"
2010 "Great West Football Conference" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division I-AA" "Cal Poly-San Luis Obispo"
2011 "Great West Football Conference" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division I-AA" "Cal Poly-San Luis Obispo"
2012 "Big Sky Conference" "California Polytechnic State University: San Luis Obispo" "Cal Poly-San Luis Obispo" "NCAA Division I-AA" "Cal Poly-San Luis Obispo"
1954 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "No Classification" "Cal St.-Sacramento"
1955 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "No Classification" "Cal St.-Sacramento"
1956 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "No Classification" "Cal St.-Sacramento"
1957 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "No Classification" "Cal St.-Sacramento"
1958 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "No Classification" "Cal St.-Sacramento"
1959 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "No Classification" "Cal St.-Sacramento"
1960 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "No Classification" "Cal St.-Sacramento"
1961 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA College Division (Small College)" "Cal St.-Sacramento"
1962 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA College Division (Small College)" "Cal St.-Sacramento"
1963 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA College Division (Small College)" "Cal St.-Sacramento"
1964 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA College Division (Small College)" "Cal St.-Sacramento"
1965 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA College Division (Small College)" "Cal St.-Sacramento"
1966 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA College Division (Small College)" "Cal St.-Sacramento"
1967 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA College Division (Small College)" "Cal St.-Sacramento"
1968 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA College Division (Small College)" "Cal St.-Sacramento"
1969 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA College Division (Small College)" "Cal St.-Sacramento"
1970 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA College Division (Small College)" "Cal St.-Sacramento"
1971 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA College Division (Small College)" "Cal St.-Sacramento"
1972 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA College Division (Small College)" "Cal St.-Sacramento"
1973 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division II" "Cal St.-Sacramento"
1974 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division II" "Cal St.-Sacramento"
1975 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division II" "Cal St.-Sacramento"
1976 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division II" "Cal St.-Sacramento"
1977 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division II" "Cal St.-Sacramento"
1978 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division II" "Cal St.-Sacramento"
1979 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division II" "Cal St.-Sacramento"
1980 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division II" "Cal St.-Sacramento"
1981 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division II" "Cal St.-Sacramento"
1982 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division II" "Cal St.-Sacramento"
1983 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division II" "Cal St.-Sacramento"
1984 "Northern California Athletic Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division II" "Cal St.-Sacramento"
1985 "Western Football Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division II" "Cal St.-Sacramento"
1986 "Western Football Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division II" "Cal St.-Sacramento"
1987 "Western Football Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division II" "Cal St.-Sacramento"
1988 "Western Football Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division II" "Cal St.-Sacramento"
1989 "Western Football Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division II" "Cal St.-Sacramento"
1990 "Western Football Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division II" "Cal St.-Sacramento"
1991 "Western Football Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division II" "Cal St.-Sacramento"
1992 "Western Football Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division II" "Cal St.-Sacramento"
1993 "American West Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division I-AA" "Cal St.-Sacramento"
1994 "American West Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division I-AA" "Cal St.-Sacramento"
1995 "American West Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division I-AA" "Cal St.-Sacramento"
1996 "Big Sky Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division I-AA" "Cal St.-Sacramento"
1997 "Big Sky Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division I-AA" "Cal St.-Sacramento"
1998 "Big Sky Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division I-AA" "Cal St.-Sacramento"
1999 "Big Sky Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division I-AA" "Cal St.-Sacramento"
2000 "Big Sky Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division I-AA" "Cal St.-Sacramento"
2001 "Big Sky Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division I-AA" "Cal St.-Sacramento"
2002 "Big Sky Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division I-AA" "Cal St.-Sacramento"
2003 "Big Sky Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division I-AA" "Cal St.-Sacramento"
2004 "Big Sky Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division I-AA" "Cal St.-Sacramento"
2005 "Big Sky Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division I-AA" "Cal St.-Sacramento"
2006 "Big Sky Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division I-AA" "Cal St.-Sacramento"
2007 "Big Sky Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division I-AA" "Cal St.-Sacramento"
2008 "Big Sky Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division I-AA" "Cal St.-Sacramento"
2009 "Big Sky Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division I-AA" "Cal St.-Sacramento"
2010 "Big Sky Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division I-AA" "Cal St.-Sacramento"
2011 "Big Sky Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division I-AA" "Cal St.-Sacramento"
2012 "Big Sky Conference" "California State University: Sacramento" "Cal St.-Sacramento" "NCAA Division I-AA" "Cal St.-Sacramento"
1915 "Independent" "University of California: Davis" "California-Davis" NA NA
1916 "Independent" "University of California: Davis" "California-Davis" NA NA
1917 "Independent" "University of California: Davis" "California-Davis" NA NA
1918 "Independent" "University of California: Davis" "California-Davis" NA NA
1919 "Independent" "University of California: Davis" "California-Davis" NA NA
1920 "Independent" "University of California: Davis" "California-Davis" NA NA
1921 "Independent" "University of California: Davis" "California-Davis" NA NA
1922 "Independent" "University of California: Davis" "California-Davis" NA NA
1923 "Independent" "University of California: Davis" "California-Davis" NA NA
1924 "Independent" "University of California: Davis" "California-Davis" NA NA
1925 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" NA NA
1926 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" NA NA
1927 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" NA NA
1928 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" NA NA
1929 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" NA NA
1930 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" NA NA
1931 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" NA NA
1932 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" NA NA
1933 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" NA NA
1934 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" NA NA
1935 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" NA NA
1936 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" NA NA
1937 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1938 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1939 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1940 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1941 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1942 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1943 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1944 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1945 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1946 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1947 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1948 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1949 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1950 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1951 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1952 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1953 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1954 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1955 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1956 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1957 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1958 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1959 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1960 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1961 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1962 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1963 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1964 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1965 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1966 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1967 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1968 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1969 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1970 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1971 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1972 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA College Division (Small College)" "California-Davis"
1973 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1974 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1975 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1976 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1977 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1978 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1979 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1980 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1981 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1982 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1983 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1984 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1985 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1986 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1987 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1988 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1989 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1990 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1991 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1992 "Northern California Athletic Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1993 "American West Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1994 "Division II Independent" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1995 "Division II Independent" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1996 "Division II Independent" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1997 "Division II Independent" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1998 "Division II Independent" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
1999 "Division II Independent" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
2000 "Division II Independent" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
2001 "Division II Independent" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
2002 "Division II Independent" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
2003 "Division II Independent" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
2004 "Great West Football Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
2005 "Great West Football Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
2006 "Great West Football Conference" "University of California: Davis" "California-Davis" "NCAA Division II" "California-Davis"
2007 "Great West Football Conference" "University of California: Davis" "California-Davis" "NCAA Division I-AA" "California-Davis"
2008 "Great West Football Conference" "University of California: Davis" "California-Davis" "NCAA Division I-AA" "California-Davis"
2009 "Great West Football Conference" "University of California: Davis" "California-Davis" "NCAA Division I-AA" "California-Davis"
2010 "Great West Football Conference" "University of California: Davis" "California-Davis" "NCAA Division I-AA" "California-Davis"
2011 "Great West Football Conference" "University of California: Davis" "California-Davis" "NCAA Division I-AA" "California-Davis"
2012 "Big Sky Conference" "University of California: Davis" "California-Davis" "NCAA Division I-AA" "California-Davis"
1925 "Independent" "Campbell University" "Campbell (NC)" NA NA
1926 "Independent" "Campbell University" "Campbell (NC)" NA NA
1927 "Independent" "Campbell University" "Campbell (NC)" NA NA
1928 "Independent" "Campbell University" "Campbell (NC)" NA NA
1929 "Independent" "Campbell University" "Campbell (NC)" NA NA
1930 "Independent" "Campbell University" "Campbell (NC)" NA NA
1931 "Independent" "Campbell University" "Campbell (NC)" NA NA
1932 "Independent" "Campbell University" "Campbell (NC)" NA NA
1933 "Independent" "Campbell University" "Campbell (NC)" NA NA
1934 "Independent" "Campbell University" "Campbell (NC)" NA NA
1935 "Independent" "Campbell University" "Campbell (NC)" NA NA
1936 "Independent" "Campbell University" "Campbell (NC)" NA NA
1937 "Independent" "Campbell University" "Campbell (NC)" NA NA
1938 "Independent" "Campbell University" "Campbell (NC)" NA NA
1939 "Independent" "Campbell University" "Campbell (NC)" NA NA
1940 "Independent" "Campbell University" "Campbell (NC)" NA NA
1941 "Independent" "Campbell University" "Campbell (NC)" NA NA
1942 "Independent" "Campbell University" "Campbell (NC)" NA NA
