"Rank1" "espnNames" "conference" "signed" "espn150" "five" "four" "three" "off" "def" "specTeams" "athletes" "year" "espn300" "Score"
105 "Louisiana Tech" "WAC" 19 0 2 2 21 12 5 0 2 2012 NA 81
105 "Louisiana-Lafayette" "Sun Belt" 18 0 1 1 1 9 8 0 1 2007 NA 12
105 "Louisville" "Big East" 18 1 2 13 4 8 9 0 1 2013 3 74
105 "Michigan" "Big Ten" 19 0 2 11 7 6 10 1 2 2011 NA 75
105 "New Mexico State" "WAC" 18 0 1 1 1 10 7 1 0 2008 NA 12
105 "New Mexico State" "WAC" 18 0 1 1 1 10 8 0 0 2006 NA 12
105 "USC" "Pac-12" 18 9 2 2 2 5 9 1 3 2009 NA 24
106 "Bowling Green" "Mid-American" 18 0 1 1 1 7 8 1 2 2007 NA 12
106 "Northwestern" "Big Ten" 17 0 1 1 1 10 6 1 0 2006 NA 12
106 "Notre Dame" "IA Independents" 18 7 2 2 2 7 5 2 4 2009 NA 24
106 "TCU" "Big 12" 18 0 2 2 2 5 8 0 5 2010 NA 24
106 "Utah" "Pac-12" 19 0 2 3 5 12 7 0 0 2011 NA 37
106 "UTEP" "Conference USA" 18 0 2 2 14 7 8 0 2 2013 0 60
106 "Wake Forest" "ACC" 17 0 1 1 1 9 7 0 1 2008 NA 12
106 "Wake Forest" "ACC" 19 0 2 2 12 10 7 0 2 2012 NA 54
107 "Arizona" "Pac-12" 17 2 1 1 1 7 9 1 0 2007 NA 12
107 "California" "Pac-12" 18 1 2 2 2 8 9 1 0 2009 NA 24
107 "Duke" "ACC" 17 0 1 1 1 9 5 1 2 2008 NA 12
107 "Georgia Tech" "ACC" 18 0 2 2 2 5 10 1 2 2010 NA 24
107 "Illinois" "Big Ten" 19 0 2 2 9 6 10 1 2 2012 NA 45
107 "Minnesota" "Big Ten" 18 0 2 2 11 5 9 1 2 2013 0 51
107 "Rice" "Conference USA" 19 0 2 2 18 8 9 0 2 2011 NA 72
107 "Stanford" "Pac-12" 17 0 1 1 1 10 7 0 0 2006 NA 12
108 "Boston College" "ACC" 18 0 2 2 2 9 8 1 0 2009 NA 24
108 "Brigham Young" "IA Independents" 19 0 2 2 19 7 11 1 0 2011 NA 75
108 "Memphis" "Conference USA" 17 0 1 1 1 6 10 1 0 2006 NA 12
108 "Nevada" "Mountain West" 17 0 1 1 1 8 9 0 0 2007 NA 12
108 "New Mexico" "Mountain West" 18 0 2 2 2 9 8 0 1 2010 NA 24
108 "Ohio" "Mid-American" 19 0 2 2 21 9 10 0 0 2012 NA 81
108 "Rice" "Conference USA" 18 0 2 3 19 8 7 0 0 2013 0 79
108 "TCU" "Big 12" 17 1 1 1 1 10 4 1 2 2008 NA 12
109 "Florida Atlantic" "Sun Belt" 16 0 1 1 1 11 4 1 0 2007 NA 12
109 "Florida International" "Sun Belt" 18 0 2 2 14 9 9 0 0 2013 0 60
109 "Fresno State" "Mountain West" 17 0 1 1 1 6 10 1 0 2006 NA 12
109 "Miami (FL)" "ACC" 18 3 2 11 4 4 11 2 1 2011 NA 66
109 "Northwestern" "Big Ten" 18 0 2 2 2 8 9 1 0 2009 NA 24
109 "Notre Dame" "IA Independents" 18 6 2 14 4 9 6 0 2 2012 NA 78
109 "Rice" "Conference USA" 17 0 1 1 1 10 4 1 2 2008 NA 12
109 "Virginia" "ACC" 17 0 2 2 2 11 5 0 1 2010 NA 24
11 "Arizona State" "Pac-12" 28 1 1 1 1 11 13 0 4 2008 NA 12
11 "Connecticut" "Big East" 29 0 1 1 1 15 13 1 0 2007 NA 12
11 "LSU" "SEC" 27 7 2 22 20 10 10 0 4 2013 15 158
11 "Miami (FL)" "ACC" 28 4 2 2 2 16 11 0 1 2010 NA 24
11 "South Carolina" "SEC" 28 6 2 2 2 11 15 0 2 2009 NA 24
11 "South Florida" "Big East" 30 0 1 1 1 12 17 1 0 2006 NA 12
11 "Texas Tech" "Big 12" 31 0 2 10 11 14 15 0 2 2011 NA 83
11 "Virginia Tech" "ACC" 30 1 2 9 27 12 13 1 4 2012 NA 127
11 "Montana" "NCAA Division I-AA" 20 0 2 2 2 11 9 0 0 2010 NA 24
11 "Wofford" "NCAA Division I-AA" 17 0 2 2 14 7 9 0 1 2012 NA 60
11 "Wofford" "NCAA Division I-AA" 19 0 2 2 2 9 10 0 0 2011 NA 24
11 "Georgia Southern" "NCAA Division I-AA" 1 0 1 1 1 1 0 0 0 2007 NA 12
11 "South Carolina State" "NCAA Division I-AA" 9 0 2 2 14 4 5 0 0 2013 0 60
11 "North Dakota State" "NCAA Division I-AA" 8 0 2 2 2 5 3 0 0 2009 NA 24
11 "Youngstown State" "NCAA Division I-AA" 17 0 1 1 1 8 9 0 0 2008 NA 12
110 "Arizona State" "Pac-12" 18 0 2 2 4 8 6 1 3 2011 NA 30
110 "Buffalo" "Mid-American" 17 0 1 1 1 7 9 0 1 2008 NA 12
110 "Central Michigan" "Mid-American" 16 0 1 1 1 9 7 0 0 2007 NA 12
110 "Louisiana-Lafayette" "Sun Belt" 18 0 2 2 2 9 7 0 2 2009 NA 24
110 "Northern Illinois" "Mid-American" 17 0 1 1 1 12 5 0 0 2006 NA 12
110 "Northwestern" "Big Ten" 17 0 2 2 2 7 7 0 3 2010 NA 24
110 "USC" "Pac-12" 18 7 2 16 18 8 9 0 1 2012 NA 128
110 "Western Michigan" "Mid-American" 18 0 2 2 16 9 6 1 2 2013 0 66
111 "Akron" "Mid-American" 18 0 2 2 14 8 8 0 2 2013 0 60
111 "Brigham Young" "IA Independents" 18 0 2 3 8 7 10 0 1 2012 NA 46
111 "Fresno State" "Mountain West" 18 0 2 2 14 7 11 0 0 2011 NA 60
111 "Nevada" "Mountain West" 18 0 2 2 2 9 8 1 0 2009 NA 24
111 "Ohio State" "Big Ten" 15 2 1 1 1 7 8 0 0 2007 NA 12
111 "Oregon State" "Pac-12" 17 0 2 2 2 6 10 1 0 2010 NA 24
111 "Utah" "Pac-12" 16 0 1 1 1 10 4 0 2 2008 NA 12
111 "West Virginia" "Big 12" 16 0 1 1 1 7 9 0 0 2006 NA 12
112 "Buffalo" "Mid-American" 18 0 2 2 2 5 11 0 1 2013 0 24
112 "Florida" "SEC" 17 8 2 2 2 10 6 0 1 2009 NA 24
112 "Louisville" "Big East" 15 0 1 1 1 10 5 0 0 2007 NA 12
112 "Miami (OH)" "Mid-American" 18 0 2 2 14 10 7 0 1 2011 NA 60
112 "Nebraska" "Big Ten" 17 1 2 9 6 6 9 0 2 2012 NA 64
112 "New Mexico State" "WAC" 17 0 2 2 2 9 7 1 0 2010 NA 24
112 "Wake Forest" "ACC" 16 1 1 1 1 8 7 1 0 2006 NA 12
112 "Western Kentucky" "Sun Belt" 16 0 1 1 1 6 9 0 1 2008 NA 12
113 "Bowling Green" "Mid-American" 16 0 1 1 1 7 7 1 1 2008 NA 12
113 "Georgia Tech" "ACC" 17 0 2 9 7 3 8 1 5 2012 NA 67
113 "Kent State" "Mid-American" 16 0 1 1 1 10 5 1 0 2006 NA 12
113 "Kent State" "Mid-American" 18 0 2 2 3 9 6 0 3 2011 NA 27
113 "North Carolina" "ACC" 17 1 2 19 19 8 6 0 2 2013 5 143
113 "Ohio" "Mid-American" 17 0 2 2 2 7 8 0 2 2010 NA 24
113 "Vanderbilt" "SEC" 15 0 1 1 1 9 6 0 0 2007 NA 12
113 "Vanderbilt" "SEC" 17 0 2 2 2 11 6 0 0 2009 NA 24
114 "Boston College" "ACC" 17 0 2 2 6 9 6 0 2 2012 NA 36
114 "Fresno State" "Mountain West" 17 0 2 2 2 3 13 0 1 2009 NA 24
114 "Georgia Tech" "ACC" 15 0 1 1 1 8 7 0 0 2006 NA 12
114 "Texas Tech" "Big 12" 15 0 1 1 1 5 8 1 1 2008 NA 12
114 "Wake Forest" "ACC" 17 0 2 2 5 5 7 2 3 2011 NA 33
114 "Wisconsin" "Big Ten" 17 1 2 12 4 6 8 0 1 2013 1 70
114 "FIU" "Sun Belt" 14 0 1 1 1 9 5 0 0 2007 NA 12
114 "Western Kentucky" "Sun Belt" 16 0 2 2 2 9 7 0 0 2010 NA 24
115 "Northwestern" "Big Ten" 17 1 2 3 8 11 6 0 0 2011 NA 46
115 "Penn State" "Big Ten" 14 1 1 1 1 6 8 0 0 2008 NA 12
115 "Penn State" "Big Ten" 17 2 2 13 21 8 8 0 1 2013 3 125
115 "Rice" "Conference USA" 14 0 1 1 1 10 4 0 0 2006 NA 12
115 "Rice" "Conference USA" 16 0 2 2 2 6 7 0 3 2010 NA 24
115 "San Jose State" "WAC" 13 0 1 1 1 7 6 0 0 2007 NA 12
115 "Syracuse" "Big East" 17 0 2 2 2 6 10 1 0 2009 NA 24
115 "Tulane" "Conference USA" 17 0 2 3 4 12 3 0 2 2012 NA 34
116 "Boston College" "ACC" 17 0 2 2 22 6 7 0 3 2013 0 84
116 "Florida Atlantic" "Sun Belt" 12 0 2 2 2 6 6 0 0 2010 NA 24
116 "Middle Tennessee State" "Sun Belt" 13 0 1 1 1 6 6 1 0 2006 NA 12
116 "Northern Illinois" "Mid-American" 13 0 1 1 1 6 6 0 1 2008 NA 12
116 "Pittsburgh" "Big East" 16 1 2 10 5 6 7 0 3 2012 NA 65
116 "San Jose State" "WAC" 17 0 2 2 2 9 7 1 0 2009 NA 24
116 "UCLA" "Pac-12" 17 1 2 9 20 10 6 0 1 2011 NA 106
116 "UCLA" "Pac-12" 11 2 1 1 1 4 7 0 0 2007 NA 12
117 "Air Force" "Mountain West" 1 0 1 1 1 1 0 0 0 2007 NA 12
117 "Air Force" "Mountain West" 2 0 1 1 1 1 1 0 0 2006 NA 12
117 "Boise State" "Mountain West" 10 0 2 2 2 4 5 0 1 2010 NA 24
117 "Clemson" "ACC" 12 4 2 2 2 7 5 0 0 2009 NA 24
117 "Florida Atlantic" "Sun Belt" 6 0 1 1 1 4 2 0 0 2008 NA 12
117 "Fresno State" "Mountain West" 15 0 2 2 18 10 5 0 0 2012 NA 72
117 "Louisiana-Monroe" "Sun Belt" 16 0 2 2 14 8 7 0 0 2013 0 60
117 "Purdue" "Big Ten" 17 0 2 2 21 8 6 0 3 2011 NA 81
118 "Army" "IA Independents" 1 0 1 1 1 1 0 0 0 2006 NA 12
118 "Missouri" "SEC" 17 0 2 2 21 7 10 0 0 2011 NA 81
118 "Texas" "Big 12" 15 5 2 19 17 8 5 0 2 2013 8 137
118 "Western Kentucky" "Sun Belt" 15 0 2 2 21 8 6 1 0 2012 NA 81
118 "Navy" "IA Independents" 1 0 2 2 2 1 0 0 0 2010 NA 24
12 "Arkansas State" "Sun Belt" 30 0 2 2 6 16 13 0 1 2012 NA 36
12 "Illinois" "Big Ten" 28 1 1 1 1 16 11 0 1 2008 NA 12
12 "Memphis" "Conference USA" 28 0 2 2 2 13 11 0 4 2010 NA 24
12 "Michigan" "Big Ten" 27 10 2 8 22 14 8 0 3 2013 15 108
12 "North Carolina" "ACC" 28 4 2 2 2 11 12 1 4 2009 NA 24
12 "Oklahoma State" "Big 12" 29 2 1 1 1 13 16 0 0 2006 NA 12
12 "Oregon State" "Pac-12" 31 0 2 2 10 13 16 1 1 2011 NA 48
12 "West Virginia" "Big 12" 28 1 1 1 1 12 15 0 1 2007 NA 12
12 "Weber State" "NCAA Division I-AA" 18 0 2 2 14 9 8 0 1 2011 NA 60
12 "Wofford" "NCAA Division I-AA" 17 0 1 1 1 9 8 0 0 2008 NA 12
12 "Georgia Southern" "NCAA Division I-AA" 2 0 2 2 2 0 0 0 0 2009 NA 24
12 "Stephen F. Austin" "NCAA Division I-AA" 1 0 1 1 1 1 0 0 0 2007 NA 12
12 "James Madison" "NCAA Division I-AA" 15 0 2 2 18 4 8 0 3 2012 NA 72
12 "Prairie View A&M" "SWAC" 20 0 2 2 2 7 9 1 3 2010 NA 24
12 "Lehigh" "NCAA Division I-AA" 9 0 2 2 3 4 4 0 0 2013 0 27
13 "Boston College" "ACC" 28 0 1 1 1 13 11 1 3 2008 NA 12
13 "Colorado" "Pac-12" 29 1 2 3 25 14 14 0 1 2012 NA 97
13 "Kansas State" "Big 12" 28 0 2 2 2 13 13 0 2 2010 NA 24
13 "Louisiana-Lafayette" "Sun Belt" 31 0 2 2 14 15 13 1 2 2011 NA 60
13 "Nebraska" "Big Ten" 28 0 1 1 1 12 15 1 0 2007 NA 12
13 "North Carolina" "ACC" 29 1 1 1 1 17 12 0 0 2006 NA 12
13 "Southern Miss" "Conference USA" 27 0 2 3 19 13 11 1 2 2013 0 79
13 "Texas A&M" "SEC" 28 1 2 2 2 8 15 1 4 2009 NA 24
13 "Jacksonville State" "NCAA Division I-AA" 16 0 2 2 14 7 7 0 2 2011 NA 60
13 "McNeese State" "NCAA Division I-AA" 1 0 1 1 1 1 0 0 0 2007 NA 12
13 "James Madison" "NCAA Division I-AA" 19 0 2 2 2 7 8 1 3 2010 NA 24
13 "Maine" "NCAA Division I-AA" 14 0 2 2 16 6 7 1 0 2012 NA 66
13 "Richmond" "NCAA Division I-AA" 9 0 2 2 14 5 3 0 1 2013 0 60
13 "Villanova" "NCAA Division I-AA" 16 0 1 1 1 0 0 0 0 2008 NA 12
13 "Idaho State" "NCAA Division I-AA" 1 0 2 2 2 0 0 0 0 2009 NA 24
14 "Idaho" "WAC" 27 0 2 2 2 11 11 1 3 2013 0 24
14 "Iowa State" "Big 12" 28 0 2 2 2 13 11 1 3 2010 NA 24
14 "Kentucky" "SEC" 28 1 1 1 1 14 13 1 0 2007 NA 12
14 "Kentucky" "SEC" 28 1 2 2 2 13 14 0 1 2009 NA 24
14 "Louisiana Tech" "WAC" 29 0 1 1 1 12 17 0 0 2006 NA 12
14 "Southern Methodist" "Conference USA" 28 0 1 1 1 20 8 0 0 2008 NA 12
14 "UAB" "Conference USA" 29 0 2 2 6 16 11 0 2 2012 NA 36
14 "Utah State" "WAC" 30 0 2 2 3 10 18 1 1 2011 NA 27
14 "Samford" "NCAA Division I-AA" 1 0 2 2 2 0 1 0 0 2009 NA 24
14 "South Carolina State" "NCAA Division I-AA" 1 0 1 1 1 1 0 0 0 2007 NA 12
14 "Delaware" "NCAA Division I-AA" 9 0 2 2 3 2 6 0 1 2013 0 27
14 "Elon" "NCAA Division I-AA" 16 0 2 2 3 8 7 0 1 2011 NA 27
14 "North Dakota State" "NCAA Division I-AA" 16 0 1 1 1 7 8 1 0 2008 NA 12
14 "Western Carolina" "NCAA Division I-AA" 19 0 2 2 2 10 8 0 1 2010 NA 24
14 "Dartmouth" "NCAA Division I-AA" 14 0 2 2 18 7 6 0 1 2012 NA 72
15 "Akron" "Mid-American" 29 0 2 2 21 15 14 0 0 2012 NA 81
15 "Colorado" "Pac-12" 28 2 1 1 1 18 10 0 0 2007 NA 12
15 "Florida State" "ACC" 29 12 3 8 20 14 13 0 2 2011 NA 107
15 "Nebraska" "Big Ten" 27 1 1 1 1 13 10 0 4 2008 NA 12
15 "North Carolina State" "ACC" 28 0 2 2 2 9 15 1 3 2009 NA 24
15 "San Diego State" "Mountain West" 28 0 2 2 2 13 9 1 5 2010 NA 24
15 "Troy" "Sun Belt" 29 0 1 1 1 11 17 1 0 2006 NA 12
15 "Vanderbilt" "SEC" 26 1 2 5 7 11 10 1 1 2013 5 51
15 "Eastern Illinois" "NCAA Division I-AA" 19 0 2 2 2 7 9 1 2 2010 NA 24
15 "Jacksonville State" "NCAA Division I-AA" 1 0 1 1 1 1 0 0 0 2007 NA 12
15 "Southern Illinois" "NCAA Division I-AA" 8 0 2 2 14 3 4 0 0 2013 0 60
15 "Cal Poly" "NCAA Division I-AA" 16 0 1 1 1 14 1 0 1 2008 NA 12
15 "New Hampshire" "NCAA Division I-AA" 13 0 2 2 3 7 6 0 0 2012 NA 27
15 "Bethune-Cookman" "NCAA Division I-AA" 1 0 2 2 2 0 1 0 0 2009 NA 24
15 "Illinois State" "NCAA Division I-AA" 16 0 2 2 2 7 6 0 3 2011 NA 24
16 "Clemson" "ACC" 29 7 4 14 10 16 11 1 1 2011 NA 106
16 "North Carolina State" "ACC" 27 2 1 1 1 9 14 0 4 2008 NA 12
16 "Notre Dame" "IA Independents" 28 10 1 1 1 17 10 1 0 2006 NA 12
16 "Southern Methodist" "Conference USA" 28 0 2 2 2 12 13 1 2 2009 NA 24
16 "Texas Tech" "Big 12" 28 0 1 1 1 17 10 1 0 2007 NA 12
16 "UAB" "Conference USA" 28 0 2 2 2 15 11 0 2 2010 NA 24
