"no","name","pos","ht","wt","class","hometown","year"
54,"Jareth Glanda","LS","6-3",255,"RS SO","Rochester Hills, Mich. (Brother Rice)",2011
54,"Richard Ash","DT","6-3",301,"RS FR","Pahokee, Fla. (Pahokee)",2011
55,"Jibreel Black","DE","6-2",260,"SO","Cincinnati, Ohio (Wyoming)",2011
56,"Joey Burzynski","OL","6-1",284,"RS FR","Carlsbad, Calif. (Carlsbad)",2011
57,"Frank Clark","DE","6-2",228,"FR","Cleveland, Ohio (Glenville)",2011
57,"Elliott Mealer","OL","6-5",310,"RS JR","Wauseon, Ohio (Wauseon)",2011
58,"Brandon Herron","LB","6-2",221,"RS SR","Stafford, Texas (Dulles)",2011
58,"Chris Bryant","OL","6-4",341,"FR","Chicago, Ill. (Simeon)",2011
60,"Jack Miller","OL","6-4",263,"FR","Perrysburg, Ohio (St. John's Jesuit)",2011
60,"Alex Schwab","DT","6-0",241,"RS JR","Manassas, Va. (Osbourn Park)",2011
61,"Graham Glasgow","OL","6-6",314,"FR","Aurora, Ill. (Marmion Academy)",2011
63,"Rocko Khoury","OL","6-4",287,"RS JR","Traverse City, Mich. (Traverse City West)",2011
65,"Patrick Omameh","OL","6-4",299,"RS JR","Columbus, Ohio (St. Francis DeSales)",2011
66,"George Morales","LS","6-0",236,"RS JR","North Las Vegas, Nev. (Mojave)",2011
67,"Nathan Brink","DT","6-5",263,"RS SO","Holland, Mich. (Holland Christian)",2011
68,"Mike Martin","DT","6-2",304,"SR","Redford, Mich. (Catholic Central)",2011
69,"Erik Gunderson","OL","6-8",312,"RS SO","Milan, Mich. (Milan)",2011
70,"Kristian Mateus","OL","6-7",285,"RS FR","Ada, Mich. (Forest Hills Central)",2011
72,"Mark Huyge","OL","6-6",302,"RS SR","Wyoming, Mich. (Catholic Central)",2011
73,"William Campbell","DT","6-5",322,"JR","Detroit, Mich. (Cass Technical)",2011
75,"Michael Schofield","OL","6-7",299,"RS SO","Orland Park, Ill. (Carl Sandburg)",2011
76,"Quinton Washington","DT","6-4",302,"RS SO","St. Stephen, S.C. (Timberland)",2011
77,"Taylor Lewan","OL","6-8",302,"RS SO","Scottsdale, Ariz. (Chaparral)",2011
80,"Ricardo Miller","TE","6-4",234,"RS FR","Orlando, Fla. (Dr. Phillips)",2011
81,"Mike Kwiatkowski","TE","6-5",257,"RS JR","Macomb, Mich. (Dakota)",2011
82,"Terrence Robinson","WR","5-9",177,"RS JR","Klein, Texas (Oak)",2011
83,"Jerald Robinson","WR","6-1",206,"RS FR","Canton, Ohio (South)",2011
84,"Steve Watson","TE","6-4",255,"RS SR","Cherry Hills Village, Colo. (Mullen)",2011
85,"Joe Reynolds","WR","6-1",191,"RS SO","Rochester, Mich. (Rochester Adams)",2011
86,"Kevin Koger","TE","6-4",258,"SR","Toledo, Ohio (Whitmer)",2011
88,"Craig Roh","DE","6-5",269,"JR","Scottsdale, Ariz. (Chaparral)",2011
89,"Brandon Moore","TE","6-5",255,"RS JR","Trotwood, Ohio (Trotwood-Madison)",2011
90,"Jake Ryan","LB","6-3",230,"RS FR","Westlake, Ohio (St. Ignatius)",2011
91,"Tom Pomarico","LS","6-4",240,"RS SR","Jackson, Mich. (Lumen Christi)",2011
92,"Keith Heitzman","DE","6-3",251,"FR","Hilliard, Ohio (Hilliard Davidson)",2011
