"no","name","pos","ht","wt","class","hometown","year"
52," Kevin Leach","LB","6-1",206,"RS SO","Kentwood, Mich. (Grand Rapids Catholic Central)",2009
53," Ryan Van Bergen","DT","6-6",271,"RS SO","Whitehall, Mich. (Whitehall)",2009
54," Jareth Glanda","OL","6-3",265,"FR","Rochester Hills, Mich. (Brother Rice)",2009
55," Brandon Graham","DE","6-2",263,"SR","Detroit, Mich. (Crockett Technical)",2009
56," Ricky Barnum","OL","6-2",275,"RS FR","Lakeland, Fla. (Lake Gibson)",2009
57," Elliott Mealer","OL","6-6",299,"RS FR","Wauseon, Ohio (Wauseon)",2009
58," Brandon Herron","LB","6-2",220,"RS SO","Stafford, Texas (Dulles)",2009
59," Tom Lindley","OL","6-2",290,"FR","Shirley, N.Y. (William Floyd)",2009
59," Paul Gyarmati","LB","6-2",204,"RS FR","Birmingham, Mich. (Brother Rice)",2009
60," David Moosman","OL","6-5",293,"RS SR","Libertyville, Ill. (Libertyville)",2009
61," Zac Ciullo","OL","6-1",258,"RS SO","Bloomfield Hills, Mich. (Brother Rice)",2009
62," Tim McAvoy","OL","6-6",291,"RS SR","Bloomington, Ill. (Bloomington)",2009
62," Dominique Ware","DT","5-7",248,"RS SO","Detroit, Mich. (Inkster)",2009
63," Rocko Khoury","OL","6-5",283,"RS FR","Traverse City, Mich. (Traverse City West)",2009
65," Patrick Omameh","OL","6-4",276,"RS FR","Columbus, Ohio (St. Francis DeSales)",2009
66," George Morales","LS","6-0",220,"RS FR","North Las Vegas, Nev. (Moajve)",2009
66," Christian Brandt","OL","6-6",300,"FR","West Bloomfield, Mich. (Saint Mary's Prep)",2009
67," Nathan Brink","DE","6-5",223,"FR","Holland, Mich. (Holland Christian)",2009
67," Adam Barker","OL","6-1",278,"FR","Adrian, Mich. (Adrian)",2009
68," Mike Martin","DT","6-2",292,"SO","Redford, Mich. (Catholic Central)",2009
69," Erik Gunderson","OL","6-8",330,"FR","Milan, Mich. (Milan)",2009
70," Bryant Nowicki","OL","6-9",325,"RS JR","Bay City, Mich. (John Glenn)",2009
71," Mark Ortmann","OL","6-7",284,"RS SR","Klein, Texas (Klein)",2009
72," Mark Huyge","OL","6-6",288,"RS SO","Wyoming, Mich. (Catholic Central)",2009
73," William Campbell","DT","6-5",318,"FR","Detroit, Mich. (Cass Technical)",2009
74," John Ferrara","OL","6-4",279,"RS JR","Staten Island, N.Y. (Monsignor Farrell)",2009
75," Michael Schofield","OL","6-6",268,"FR","Orland Park, Ill. (Carl Sandburg)",2009
76," Quinton Washington","OL","6-3",325,"FR","St. Stephen, S.C. (Timberland)",2009
77," Taylor Lewan","OL","6-7",268,"FR","Scottsdale, Ariz. (Chaparral)",2009
79," Perry Dorrestein","OL","6-7",306,"RS JR","Plainfield, Ill. (Plainfield Central)",2009
80," Martell Webb","TE","6-4",245,"JR","Pontiac, Mich. (Northern)",2009
81," Steve Watson","OLB","6-4",257,"RS SO","Cherry Hills Village, Colo. (Mullen)",2009
82," LaTerryal Savoy","WR","6-3",210,"RS SR","Mamou, La. (Mamou)",2009
83," Jon Conover","WR","6-3",199,"RS JR","Northville, Mich. (Catholic Central)",2009
84," Cameron Gordon","WR","6-2",208,"FR","Detroit, Mich. (Inkster)",2009
85," Joe Reynolds","WR","6-1",175,"FR","Rochester, Mich. (Rochester Hills)",2009
86," Kevin Koger","TE","6-4",249,"SO","Toledo, Ohio (Whitmer)",2009
88," Brandon Moore","TE","6-6",243,"RS FR","Trotwood, Ohio (Trotwood-Madison)",2009
88," Craig Roh","OLB","6-4",238,"FR","Scottsdale, Ariz. (Chaparral)",2009
89," Tim North","DE","6-1",246,"RS SR","Linden, Mich. (Linden)",2009
89," Patrick Collins","WR","6-0",181,"RS SO","Ann Arbor, Mich. (Pioneer)",2009
90," Anthony LaLota","DE","6-4",256,"FR","Princeton, N.J. (The Hun School)",2009
91," Tom Pomarico","OL","6-4",245,"RS SO","Jackson, Mich. (Lumen Christi)",2009
92," Jason Olesnavage","K","6-5",213,"RS SR","Ferndale, Mich. (Ferndale)",2009
92," Greg Banks","DT","6-4",266,"RS JR","Denver, Colo. (Montbello)",2009
93," Kris Pauloski","PK","6-2",190,"FR","Indianapolis, Ind. (Pike)",2009
94," Curt Graman","LS","6-5",200,"FR","Cincinnati, Ohio (Elder)",2009
95," Renaldo Sagesse","DT","6-4",279,"JR","Montreal, Quebec (Vieux Montreal)",2009
96," Mike Therman","OLB","6-4",239,"RS JR","Ann Arbor, Mich. (Pioneer)",2009
97," Scott Schrimscher","PK","5-10",188,"RS SO","Canton, Mich. (Catholic Central)",2009
99," Adam Patterson","DE","6-3",263,"RS JR","Columbia, S.C. (Richland Northeast)",2009
17,"Tony Anderson*","CB ","5-11 ",181,"So./Fr. ","Redondo Beach, Calif.  (Redondo Union) ",2008
92,"Greg Banks**","DE ","6-4 ",258,"Jr./So. ","Denver, Colo.  (Montbello) ",2008
56,"Ricky Barnum","OL ","6-2 ",265,"Fr. ","Lakeland, Fla.  (Lake Gibson) ",2008
30,"Chris Berry","P ","6-3 ",205,"Jr./So. ","East Kentwood, Mich.  (East Kentwood) ",2008
46,"Jon Bills","TE ","6-3 ",225,"So./Fr. ","Farmington Hills, Mich.  (North Farmington) ",2008
23,"Carlos Brown***","RB ","6-0 ",213,"Jr. ","Franklin, Ga.  (Heard County) ",2008
3,"Stevie Brown***","S ","6-0 ",209,"Jr. ","Columbus, Ind.  (Columbus East) ",2008
85,"Carson Butler***","DE ","6-5 ",250,"Sr./Jr. ","Detroit, Mich.  (Renaissance) ",2008
22,"Bobby Centlivre","CB ","6-0 ",180,"Jr./So. ","Plymouth, Mich.  (University of Detroit Jesuit) ",2008
38,"Artis Chambers","S ","6-0 ",202,"So. ","Fort Wayne, Ind.  (Snider) ",2008
33,"Boubacar Cissoko*","CB ","5-9 ",175,"Fr. ","Detroit, Mich.  (Cass Technical) ",2008
61,"Zac Ciullo","OL ","6-1 ",268,"So./Fr. ","Bloomfield Hills, Mich.  (Brother Rice) ",2008
17,"Toney Clemons**","WR ","6-3 ",201,"So. ","New Kensington, Pa.  (Valley) ",2008
12,"David Cone*","QB ","6-7 ",214,"Jr./So. ","Statesboro, Ga.  (Statesboro) ",2008
89,"Jon Conover**","WR ","6-3 ",199,"Jr./So. ","Northville, Mich.  (Catholic Central) ",2008
15,"Michael Cox","RB ","6-0 ",206,"Fr. ","Dorchester, Mass.  (Avon Old Farms) ",2008
88,"Andre Criswell***","DE ","6-2 ",264,"Sr./Jr. ","Detroit, Mich.  (Renaissance) ",2008
25,"Kenny Demens","LB ","6-1 ",226,"Fr. ","Oak Park, Mich.  (Detroit Country Day) ",2008
79,"Perry Dorrestein*","OL ","6-7 ",308,"Jr./So. ","Plainfield, Ill.  (Plainfield Central) ",2008
35,"Doug Dutch***","CB ","5-11 ",204,"5th Sr. ","Bowie, Md.  (Gonzaga College) ",2008
30,"Shakir Edwards*","S ","6-0 ",210,"5th Sr. ","Detroit, Mich.  (Martin Luther King) ",2008
9,"Marell Evans**","LB ","6-3 ",231,"So. ","Richmond, Va.  (Varina) ",2008
45,"Obi Ezeh**","LB ","6-2 ",247,"Jr./So. ","Grand Rapids, Mich.  (Catholic Central) ",2008
3,"Justin Feagin*","QB ","6-0 ",190,"Fr. ","Deerfield, Fla.  (American Heritage) ",2008
74,"John Ferrara**","OL ","6-4 ",274,"Jr./So. ","Staten Island, N.Y.  (Monsignor Farrell) ",2008
51,"Mike Fish","LB ","6-0 ",201,"Jr./So. ","Kalamazoo, Mich.  (Hackett Catholic Central) ",2008
42,"J.B. Fitzgerald*","LB ","6-3 ",230,"Fr. ","Princeton Junction, N.J.  (West Windsor Plainsboro) ",2008
12,"J.T. Floyd","CB ","6-0 ",190,"Fr. ","Greenville, S.C.  (J.L. Mann) ",2008
34,"Jason Gingell**","K ","5-9 ",194,"5th Sr. ","Northville, Mich.  (Catholic Central) ",2008
24,"Kevin Grady***","RB ","5-9 ",228,"Sr./Jr. ","Grand Rapids, Mich.  (East Grand Rapids) ",2008
55,"Brandon Graham***","DE ","6-2 ",270,"Jr. ","Detroit, Mich.  (Crockett Technical) ",2008
59,"Sean Griffin**","LS ","6-2 ",243,"5th Sr. ","Livonia, Mich.  (Catholic Central) ",2008
59,"Paul Gyarmati","LB ","6-2 ",225,"Fr. ","Birmingham, Mich.  (Brother Rice) ",2008
27,"Brandon Harrison****","S ","5-9 ",206,"Sr. ","Dayton, Ohio  (Chaminade-Julienne) ",2008
39,"Will Heininger*","DE ","6-6 ",239,"So./Fr. ","Ann Arbor, Mich.  (Pioneer) ",2008
32,"Vince Helmuth*","FB ","6-1 ",261,"So. ","Saline, Mich.  (Saline) ",2008
21,"Junior Hemingway*","WR ","6-1 ",214,"So. ","Conway, S.C.  (Conway) ",2008
58,"Brandon Herron*","LB ","6-2 ",218,"So./Fr. ","Stafford, Texas  (Dulles) ",2008
34,"Avery Horn","RB ","5-10 ",185,"So./Fr. ","Hanford, Calif.  (Hanford) ",2008
72,"Mark Huyge","OL ","6-6 ",292,"So./Fr. ","Wyoming, Mich.  (Catholic Central) ",2008
90,"Tim Jamison****","DE ","6-3 ",263,"5th Sr. ","Riverdale, Ill.  (Harvey Thornton) ",2008
19,"Zach Johnson*","CB ","6-2 ",197,"So./Fr. ","Morenci, Mich.  (Morenci) ",2008
97,"Will Johnson****","DT ","6-5 ",285,"5th Sr. ","Oakland, Mich.  (Lake Orion) ",2008
63,"Rocko Khoury","OL ","6-5 ",280,"Fr. ","Traverse City, Mich.  (Traverse City West) ",2008
26,"Nick Koenigsknecht","S ","5-10 ",178,"Jr./So. ","Davisburg, Mich.  (Orchard Lake St. Mary's) ",2008
86,"Kevin Koger*","TE ","6-4 ",220,"Fr. ","Toledo, Ohio  (Whitmer) ",2008
52,"Kevin Leach","LB ","6-1 ",202,"So./Fr. ","Kentwood, Mich.  (Grand Rapids Catholic Central) ",2008
46,"Brandon Logan***","LB ","6-1 ",208,"Sr. ","Lexington, Ky.  (Lexington Catholic) ",2008
84,"K.C. Lopata**","K ","6-2 ",233,"5th Sr. ","Farmington, Mich.  (Farmington) ",2008
68,"Mike Martin*","DT ","6-2 ",285,"Fr. ","Redford, Mich.  (Catholic Central) ",2008
83,"Mike Massey****","TE ","6-5 ",225,"5th Sr. ","Brecksville, Ohio  (St. Ignatius) ",2008
13,"Greg Mathews***","WR ","6-3 ",207,"Jr. ","Orlando, Fla.  (Edgewater) ",2008
62,"Tim McAvoy**","OL ","6-6 ",288,"Sr./Jr. ","Bloomington, Ill.  (Bloomington) ",2008
43,"John McColgan","FB ","6-1 ",220,"So./Fr. ","Saginaw, Mich.  (Nouvel Catholic) ",2008
2,"Sam McGuffie*","RB ","5-11 ",185,"Fr. ","Cypress, Texas  (Cy-Fair) ",2008
57,"Elliott Mealer","OL ","6-6 ",280,"Fr. ","Wauseon, Ohio  (Wauseon) ",2008
41,"Zoltan Mesko***","P ","6-5 ",235,"Sr./Jr. ","Twinsburg, Ohio  (Twinsburg) ",2008
4,"Brandon Minor***","RB ","6-1 ",214,"Jr. ","Richmond, Va.  (Varina) ",2008
50,"David Molk*","OL ","6-2 ",282,"So./Fr. ","Lemont, Ill.  (Lemont Township) ",2008
88,"Brandon Moore","TE ","6-6 ",221,"Fr. ","Trotwood, Ohio  (Trotwood-Madison) ",2008
60,"David Moosman*","OL ","6-5 ",292,"Sr./Jr. ","Libertyville, Ill.  (Libertyville) ",2008
73,"George Morales","LS ","6-0 ",268,"Fr. ","North Las Vegas, Nev.  (Mojave) ",2008
44,"Mark Moundros**","FB ","6-1 ",232,"Jr./So. ","Farmington Hills, Mich.  (North Farmington) ",2008
8,"Jonas Mouton**","LB ","6-2 ",230,"Jr./So. ","Los Angeles, Calif.  (Venice) ",2008
89,"Tim North**","DE ","6-1 ",260,"Sr./Jr. ","Linden, Mich.  (Linden) ",2008
70,"Bryant Nowicki*","OL ","6-9 ",326,"Jr./So. ","Bay City, Mich.  (John Glenn) ",2008
9,"Martavious Odoms*","WR ","5-9 ",171,"Fr. ","Pahokee, Fla.  (Pahokee) ",2008
92,"Jason Olesnavage","K ","6-5 ",214,"Sr./Jr. ","Ferndale, Mich.  (Ferndale) ",2008
65,"Patrick Omameh","OL ","6-4 ",260,"Fr. ","Columbus, Ohio  (St. Francis DeSales) ",2008
78,"Dann O'Neill","OL ","6-7 ",295,"Fr. ","Grand Haven, Mich.  (Grand Haven) ",2008
50,"Ohene Opong-Owusu","LB ","6-2 ",233,"Sr./Jr. ","West Bloomfield, Mich.  (Walled Lake Western) ",2008
71,"Mark Ortmann**","OL ","6-7 ",294,"Sr./Jr. ","Klein, Texas  (Klein) ",2008
54,"Austin Panter**","LB ","6-3 ",231,"Sr. ","Athol, Kan.  (Butler CC)  (Kensington) ",2008
99,"Adam Patterson**","DE ","6-3 ",259,"Jr. ","Columbia, S.C.  (Richland Northeast) ",2008
91,"Tom Pomarico","OL ","6-4 ",248,"So./Fr. ","Jackson, Mich.  (Lumen Christi) ",2008
35,"Jimmy Potempa","RB ","5-7 ",175,"So./Fr. ","Mundelein, Ill.  (Carmel Catholic) ",2008
21,"Jordan Reilly*","S ","5-10 ",185,"So./Fr. ","Taylor, Mich.  (Kennedy) ",2008
37,"Ricky Reyes*","WR ","5-11 ",170,"Jr./So. ","Macomb, Mich.  (Dakota) ",2008
7,"Terrence Robinson","WR ","5-9 ",170,"Fr. ","Klein, Texas  (Oak) ",2008
25,"Doug Rogan","S ","6-1 ",185,"So./Fr. ","Grass Lake, Mich.  (Grass Lake) ",2008
18,"James Rogers**","WR ","6-1 ",180,"So. ","Madison Heights, Mich.  (Lamphere) ",2008
16,"Roy Roundtree","WR ","6-0 ",154,"Fr. ","Trotwood, Ohio  (Trotwood-Madison) ",2008
95,"Renaldo Sagesse**","DT ","6-4 ",308,"So. ","Montreal, Quebec  (Vieux Montreal) ",2008
82,"LaTerryal Savoy**","WR ","6-3 ",210,"Sr./Jr. ","Mamou, La.  (Mamou) ",2008
52,"Stephen Schilling**","OL ","6-5 ",295,"Jr./So. ","Bellevue, Wash.  (Bellevue) ",2008
97,"Scott Schrimscher","K ","5-10 ",186,"So./Fr. ","Canton, Mich.  (Catholic Central) ",2008
20,"Michael Shaw*","WR ","6-0 ",185,"Fr. ","Trotwood, Ohio  (Trotwood-Madison) ",2008
8,"Nick Sheridan*","QB ","6-1 ",212,"Jr./So. ","Saline, Mich.  (Saline) ",2008
23,"Floyd Simmons","S ","5-10 ",185,"Fr. ","Detroit, Mich.  (Crockett Technical) ",2008
28,"Brandon Smith","S ","6-3 ",210,"Fr. ","New Brunswick, N.J.  (New Brunswick) ",2008
5,"Charles Stewart****","S ","6-2 ",206,"5th Sr. ","Farmington Hills, Mich.  (Harrison) ",2008
22,"Darryl Stonum*","WR ","6-2 ",190,"Fr. ","Stafford, Texas  (Dulles) ",2008
67,"Terrance Taylor****","DT ","6-0 ",319,"Sr. ","Muskegon, Mich.  (Muskegon) ",2008
32,"Karl Tech","S ","5-10 ",191,"So./Fr. ","Grosse Pointe, Mich.  (Grosse Pointe North) ",2008
96,"Mike Therman*","TE ","6-4 ",236,"Jr./So. ","Ann Arbor, Mich.  (Pioneer) ",2008
49,"John Thompson****","LB ","6-1 ",239,"5th Sr. ","Detroit, Mich.  (Crockett Technical) ",2008
10,"Steven Threet*","QB ","6-6 ",230,"So./Fr. ","Adrian, Mich.  (Adrian) ",2008
14,"Morgan Trent****","CB ","6-1 ",188,"5th Sr. ","San Diego, Calif.  (Orchard Lake St. Mary's, Mich.) ",2008
53,"Ryan Van Bergen*","DE ","6-6 ",265,"So./Fr. ","Whitehall, Mich.  (Whitehall) ",2008
6,"Donovan Warren**","CB ","6-0 ",180,"So. ","Long Beach, Calif.  (Polytechnic) ",2008
81,"Steve Watson*","TE ","6-4 ",242,"So./Fr. ","Cherry Hills Village, Colo.  (Mullen) ",2008
80,"Martell Webb**","TE ","6-4 ",249,"So. ","Pontiac, Mich.  (Northern) ",2008
64,"Kurt Wermers","OL ","6-5 ",260,"Fr. ","Crown Point, Ind.  (Crown Point) ",2008
40,"Michael Williams*","S ","5-11 ",185,"So./Fr. ","Santa Yuez, Calif.  (St. Bonaventure) ",2008
29,"Troy Woolfolk**","CB ","6-0 ",195,"So. ","Sugar Land, Texas  (Dulles) ",2008
43,"Bryan Wright**","K ","6-1 ",219,"Jr./So. ","Salem, Ohio  (Salem) ",2008
75,"Cory Zirbel","OL ","6-5 ",292,"Sr./Jr. ","Murray, Ky.  (Murray) ",2008
22,"Jamar Adams***","S ","6-2 ",214,"Sr. ","Charlotte, N.C.  (Butler) ",2007
16,"Adrian Arrington**","WR ","6-3 ",195,"Sr. ","Cedar Rapids, Iowa  (Washington) ",2007
26,"Zion Babb","WR ","6-1 ",180,"Fr. ","Alhambra, Calif.  (Alhambra) ",2007
92,"Greg Banks","DE ","6-4 ",262,"So. ","Denver, Colo.  (Montbello) ",2007
18,"Antonio Bass*","WR ","6-0 ",204,"Jr. ","Jackson, Mich.  (Jackson) ",2007
37,"Chris Berry","P ","6-2 ",212,"Fr. ","East Kentwood, Mich.  (East Kentwood) ",2007
65,"Justin Boren**","OL ","6-3 ",310,"So. ","Pickerington, Ohio  (Pickerington North) ",2007
66,"William Bostic","LB ","5-9 ",211,"So. ","Stafford, Texas  (Thurgood Marshall) ",2007
23,"Carlos Brown*","RB ","6-0 ",209,"So. ","Franklin, Ga.  (Heard County) ",2007
3,"Stevie Brown*","S ","6-0 ",205,"So. ","Columbus, Ind.  (Columbus East) ",2007
99,"Sam Buckman","K ","6-4 ",204,"So. ","Tonka Bay, Min.  (Minnetonka) ",2007
85,"Carson Butler*","TE ","6-4 ",247,"Jr. ","Detroit, Mich.  (Renaissance) ",2007
9,"Anton Campbell***","S ","5-11 ",194,"5th ","O'Fallon, Mo.  (Fort Zumwalt West) ",2007
38,"Artis Chambers","S ","6-1 ",185,"Fr. ","Fort Wayne, Ind.  (Snider) ",2007
70,"Jeremy Ciulla","OL ","6-4 ",295,"Sr. ","Kennesaw, Ga.  (Kennesaw Mountain) ",2007
57,"Zac Ciullo","OL ","6-0 ",270,"Fr. ","Bloomfield Hills, Mich.  (Brother Rice) ",2007
17,"Toney Clemons","WR ","6-2 ",205,"Fr. ","New Kensington, Pa.  (Valley) ",2007
94,"Colton Collins","TE ","6-3 ",248,"Fr. ","Flint, Mich.  (Carman-Ainsworth) ",2007
12,"David Cone","QB ","6-6 ",214,"So. ","Statesboro, Ga.  (Statesboro) ",2007
10,"Jon Conover","WR ","6-2 ",198,"So. ","Northville, Mich.  (Catholic Central) ",2007
2,"Shawn Crable***","OLB ","6-5 ",243,"5th ","Massillon, Ohio  (Washington) ",2007
88,"Andre Criswell*","TE ","6-1 ",257,"Jr. ","Detroit, Mich.  (Renaissance) ",2007
64,"Grant DeBenedictis","OL ","6-5 ",304,"Sr. ","Boca Raton, Fla.  (St. Andrews) ",2007
79,"Perry Dorrestein","OL ","6-7 ",299,"So. ","Plainfield, Ill.  (Plainfield Central) ",2007
35,"Doug Dutch*","CB ","5-11 ",199,"Sr. ","Bowie, Md.  (Gonzaga College) ",2007
25,"Shakir Edwards","DB ","6-0 ",206,"Sr. ","Detroit, Mich.  (Martin Luther King) ",2007
31,"Brandent Englemon***","S ","5-11 ",206,"5th ","Covington, Ky.  (Holmes) ",2007
33,"Marell Evans","LB ","6-3 ",224,"Fr. ","Richmond, Va.  (Varina) ",2007
45,"Obi Ezeh","LB ","6-2 ",243,"So. ","Grand Rapids, Mich.  (Catholic Central) ",2007
94,"John Ferrara","DT ","6-4 ",279,"So. ","Staten Island, N.Y.  (Monsignor Farrell) ",2007
74,"Brett Gallimore","DT ","6-4 ",280,"Sr. ","Parkville, Mo.  (Park Hill South) ",2007
34,"Jason Gingell","K ","5-9 ",190,"Sr. ","Northville, Mich.  (Catholic Central) ",2007
24,"Kevin Grady**","RB ","5-9 ",224,"Jr. ","Grand Rapids, Mich.  (East Grand Rapids) ",2007
55,"Brandon Graham*","DE ","6-2 ",270,"So. ","Detroit, Mich.  (Crockett Technical) ",2007
37,"Chris Graham***","LB ","5-11 ",225,"Sr. ","Indianapolis, Ind.  (Warren Central) ",2007
59,"Sean Griffin","LS ","6-2 ",238,"Sr. ","Livonia, Mich.  (Catholic Central) ",2007
27,"Brandon Harrison**","CB/S ","5-8 ",193,"Jr. ","Dayton, Ohio  (Chaminade-Julienne) ",2007
20,"Mike Hart***","RB ","5-9 ",202,"Sr. ","Syracuse, N.Y.  (Onondaga Central) ",2007
39,"Will Heininger","DE ","6-5 ",223,"Fr. ","Ann Arbor, Mich.  (Pioneer) ",2007
32,"Vince Helmuth","FB ","6-1 ",248,"Fr. ","Saline, Mich.  (Saline) ",2007
21,"Junior Hemingway","WR ","6-3 ",202,"Fr. ","Conway, S.C.  (Conway) ",2007
7,"Chad Henne***","QB ","6-2 ",226,"Sr. ","Wyomissing, Pa.  (Wilson) ",2007
58,"Brandon Herron","LB ","6-2 ",199,"Fr. ","Stafford, Texas  (Dulles) ",2007
34,"Avery Horn","RB ","5-10 ",175,"Fr. ","Hanford, Calif.  (Hanford) ",2007
14,"Matt Hornaday","RB ","5-10 ",200,"Jr. ","Germantown, Md.  (Seneca Valley) ",2007
72,"Mark Huyge","OL ","6-6 ",286,"Fr. ","Wyoming, Mich.  (Catholic Central) ",2007
29,"Jermaine Jackson","DB ","5-11 ",210,"Jr. ","Anchorage, Alaska  (Bartlett) ",2007
90,"Tim Jamison**","DE ","6-3 ",266,"Sr. ","Riverdale, Ill.  (Harvey Thornton) ",2007
19,"Zach Johnson","CB ","6-2 ",188,"Fr. ","Morenci, Mich.  (Morenci) ",2007
97,"Will Johnson***","DT ","6-5 ",290,"Sr. ","Oakland, Mich.  (Lake Orion) ",2007
39,"Ankit Kachhal","P ","6-1 ",192,"5th ","Canton, Mich.  (Canton) ",2007
93,"Jason Kates","DT ","6-3 ",324,"So. ","Harrisburg, Pa.  (Bishop McDevitt) ",2007
57,"Adam Kraus***","OL ","6-6 ",295,"5th ","New Orleans, La.  (Brother Martin) ",2007
52,"Kevin Leach","LB ","6-1 ",189,"Fr. ","Kentwood, Mich.  (Grand Rapids Catholic Central) ",2007
46,"Brandon Logan**","LB ","6-0 ",220,"Jr. ","Lexington, Ky.  (Lexington Catholic) ",2007
77,"Jake Long***","OL ","6-7 ",315,"5th ","Lapeer, Mich.  (Lapeer East) ",2007
84,"K.C. Lopata*","K ","6-2 ",226,"Sr. ","Farmington, Mich.  (Farmington) ",2007
63,"Brendan Lopez","LS ","6-0 ",244,"Fr. ","Bellevue, Wash.  (Bellevue) ",2007
61,"Patrick Lyall","OL ","6-0 ",277,"Sr. ","Adrian, Mich.  (Adrian) ",2007
15,"Ryan Mallett","QB ","6-7 ",252,"Fr. ","Texarkana, Ark.  (Texarkana [Texas]) ",2007
86,"Mario Manningham**","WR ","6-0 ",178,"Jr. ","Warren, Ohio  (Warren G. Harding) ",2007
83,"Mike Massey***","TE ","6-4 ",231,"Sr. ","Brecksville, Ohio  (St. Ignatius) ",2007
13,"Greg Mathews**","WR ","6-3 ",231,"So. ","Orlando, Fla.  (Edgewater) ",2007
62,"Tim McAvoy*","OL ","6-5 ",290,"Jr. ","Bloomington, Ill.  (Bloomington) ",2007
43,"John McColgan","FB ","6-1 ",220,"Fr. ","Saginaw, Mich.  (Nouvel Catholic) ",2007
42,"Chris McLaurin*","TE ","6-3 ",232,"Jr. ","Rochester Hills, Mich.  (Orchard Lake St. Mary's) ",2007
41,"Zoltan Mesko**","P ","6-4 ",242,"Jr. ","Twinsburg, Ohio  (Twinsburg) ",2007
84,"David Middleton","WR ","6-2 ",202,"So. ","Southfield, Mich.  (Country Day) ",2007
38,"Mike Milano","RB ","5-7 ",187,"Jr. ","Rocky River, Ohio  (Rocky River) ",2007
4,"Brandon Minor**","RB ","6-0 ",212,"So. ","Richmond, Va.  (Varina) ",2007
73,"Alex Mitchell*","OL ","6-5 ",324,"Sr. ","Bay City, Mich.  (Bay City Central) ",2007
50,"David Molk","OL ","6-2 ",280,"Fr. ","Lemont, Ill.  (Lemont Township) ",2007
60,"David Moosman","OL ","6-4 ",290,"Jr. ","Libertyville, Ill.  (Libertyville) ",2007
44,"Mark Moundros*","FB ","6-1 ",231,"So. ","Farmington Hills, Mich.  (North Farmington) ",2007
8,"Jonas Mouton*","LB ","6-2 ",235,"So. ","Los Angeles, Calif.  (Venice) ",2007
89,"Tim North*","DE ","6-1 ",261,"Jr. ","Linden, Mich.  (Linden) ",2007
68,"Bryant Nowicki","OL ","6-8 ",305,"So. ","Bay City, Mich.  (John Glenn) ",2007
92,"Jason Olesnavage","K ","6-4 ",207,"Jr. ","Ferndale, Mich.  (Ferndale) ",2007
50,"Ohene Opong-Owusu","LB ","6-1 ",235,"Jr. ","West Bloomfield, Mich.  (Walled Lake Western) ",2007
71,"Mark Ortmann*","OL ","6-6 ",297,"Jr. ","Klein, Texas  (Klein) ",2007
54,"Austin Panter*","LB ","6-2 ",232,"Jr. ","Athol, Kan.  (Kensington) ",2007
36,"Quintin Patilla","FB ","6-1 ",234,"So. ","Flint, Mich.  (Carman-Ainsworth) ",2007
99,"Adam Patterson**","DE ","6-2 ",256,"So. ","Columbia, S.C.  (Richland Northeast) ",2007
59,"Lawrence Perry","DT ","6-1 ",280,"Fr. ","Detroit, Mich.  (MacKenzie) ",2007
51,"Max Pollock*","LB ","6-1 ",218,"5th ","Takoma Park, Md.  (Montgomery Blair) ",2007
91,"Tom Pomarico","OL ","6-3 ",246,"Fr. ","Jackson, Mich.  (Lumen Christi) ",2007
35,"Jim Potempa","RB ","5-6 ",171,"Fr. ","Mundelein, Ill.  (Carmel Catholic) ",2007
69,"Michael Ramirez","OL ","6-2 ",277,"So. ","Austin, Texas  (Bowie) ",2007
28,"Jordan Reilly","LS/S ","5-9 ",178,"Fr. ","Taylor, Mich.  (Kennedy) ",2007
30,"Ricky Reyes","WR ","5-11 ",180,"Jr. ","Macomb, Mich.  (Dakota) ",2007
22,"Doug Rogan","S ","6-1 ",175,"Fr. ","Grass Lake, Mich.  (Grass Lake) ",2007
30,"James Rogers*","CB ","6-1 ",169,"Fr. ","Madison Heights, Mich.  (Lamphere) ",2007
95,"Renaldo Sagesse*","DT ","6-4 ",303,"Fr. ","Montreal, Quebec  (Vieux Montreal) ",2007
62,"Jon Saigh","DT ","6-4 ",294,"Sr. ","Kingsford, Mich.  (Kingsford) ",2007
82,"LaTerryal Savoy*","WR ","6-2 ",205,"Jr. ","Mamou, La.  (Mamou) ",2007
52,"Stephen Schilling*","OL ","6-5 ",298,"So. ","Bellevue, Wash.  (Bellevue) ",2007
97,"Scott Schrimscher","PK ","5-9 ",175,"Fr. ","Canton, Mich.  (Detroit Catholic Central) ",2007
8,"Nick Sheridan","QB ","6-1 ",201,"So. ","Saline, Mich.  (Saline) ",2007
91,"Marques Slocum*","DT ","6-6 ",306,"So. ","Philadelphia, Pa.  (West Philadelphia Catholic) ",2007
5,"Charles Stewart***","S ","6-1 ",203,"Sr. ","Farmington Hills, Mich.  (Harrison) ",2007
67,"Terrance Taylor***","DT ","6-0 ",308,"Jr. ","Muskegon, Mich.  (Muskegon) ",2007
12,"Karl Tech","S ","5-10 ",182,"Fr. ","Grosse Pointe, Mich.  (Grosse Pointe North) ",2007
96,"Mike Therman","TE ","6-3 ",238,"So. ","Ann Arbor, Mich.  (Pioneer) ",2007
49,"John Thompson***","ILB ","6-1 ",237,"Sr. ","Detroit, Mich.  (Crockett Technical) ",2007
10,"Steven Threet","QB ","6-5 ",228,"Fr. ","Adrian, Mich.  (Adrian) ",2007
