"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "10-19-1901" "6" "Michigan Alkali Works" "5" "Wyandotte, MI" "" 10 19 1901 "Eastern Michigan"
"L" "10-26-1901" "6" "Michigan Freshmen" "12" "Ypsilanti, MI" "" 10 26 1901 "Eastern Michigan"
"W" "11-02-1901" "12" "Michigan Alkali Works" "10" "Wyandotte, MI" "" 11 2 1901 "Eastern Michigan"
"L" "11-09-1901" "0" "Kalamazoo (MI)" "39" "Ypsilanti, MI" "" 11 9 1901 "Eastern Michigan"
"L" "11-16-1901" "0" "Albion (MI)" "29" "Ypsilanti, MI" "" 11 16 1901 "Eastern Michigan"
"L" "11-25-1901" "6" "Albion (MI)" "39" "Ypsilanti, MI" "" 11 25 1901 "Eastern Michigan"
"W" "11-30-1901" "10" "Michigan School for the Deaf" "5" "Ypsilanti, MI" "" 11 30 1901 "Eastern Michigan"
"L" "10-18-1902" "0" "Detroit University School (MI)" "18" "Detroit, MI" "" 10 18 1902 "Eastern Michigan"
"W" "10-25-1902" "32" "Detroit Business University (MI)" "0" "Detroit, MI" "" 10 25 1902 "Eastern Michigan"
"L" "11-01-1902" "0" "Central Michigan" "10" "Mount Pleasant, MI" "" 11 1 1902 "Eastern Michigan"
"T" "11-08-1902" "6" "Detroit HS (MI)" "6" "Ypsilanti, MI" "" 11 8 1902 "Eastern Michigan"
"L" "11-15-1902" "5" "Hillsdale (MI)" "29" "Hillsdale, MI" "" 11 15 1902 "Eastern Michigan"
"L" "11-22-1902" "0" "Hillsdale (MI)" "22" "Ypsilanti, MI" "" 11 22 1902 "Eastern Michigan"
"L" "11-29-1902" "0" "Michigan School for the Deaf" "40" "Flint, MI" "" 11 29 1902 "Eastern Michigan"
"L" "10-10-1903" "0" "Detroit (MI)" "6" "Detroit, MI" "" 10 10 1903 "Eastern Michigan"
"L" "10-17-1903" "0" "Mount Clemens HS (MI)" "23" "Mount Clemens, MI" "" 10 17 1903 "Eastern Michigan"
"L" "10-24-1903" "0" "Olivet (MI)" "41" "Ypsilanti, MI" "" 10 24 1903 "Eastern Michigan"
"W" "10-31-1903" "10" "Detroit Business University (MI)" "6" "Ypsilanti, MI" "" 10 31 1903 "Eastern Michigan"
