"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "11-17-1881" "10" "City College of New York" "0" "New Brunswick, NJ" "Rutgers 10g,13t - City College of New York  0" 11 17 1881 "Rutgers (NJ)"
"W" "11-22-1881" "1" "Pennsylvania" "0" "New Brunswick, NJ" "Rutgers 1g,2t - Pennsylvania 3t" 11 22 1881 "Rutgers (NJ)"
"L" "11-23-1881" "0" "Columbia (NY)" "1" "New York, NY" "Columbia 1g,3t - Rutgers 3s" 11 23 1881 "Rutgers (NJ)"
"L" "10-14-1882" "0" "Princeton (NJ)" "5" "Princeton, NJ" "Princeton 5g,6t - Rutgers 0" 10 14 1882 "Rutgers (NJ)"
"W" "10-20-1882" "7" "City College of New York" "0" "New Brunswick, NJ" "Rutgers 7g,13t - City College of New York  0" 10 20 1882 "Rutgers (NJ)"
"L" "10-21-1882" "0" "Yale (CT)" "9" "New Haven, CT" "Yale 9g,3t,4s - Rutgers 3s" 10 21 1882 "Rutgers (NJ)"
"L" "10-28-1882" "0" "Yale (CT)" "5" "New Brunswick, NJ" "Yale 5g - Rutgers 1t" 10 28 1882 "Rutgers (NJ)"
"W" "11-04-1882" "3" "Pennsylvania" "1" "Philadelphia, PA" "Rutgers 3t,1s - Pennsylvania 1t" 11 4 1882 "Rutgers (NJ)"
"W" "11-07-1882" "8" "Lafayette (PA)" "0" "New Brunswick, NJ" "Rutgers 8g,4t - Lafayette 0" 11 7 1882 "Rutgers (NJ)"
"W" "11-09-1882" "2" "Columbia (NY)" "0" "New Brunswick, NJ" "Rutgers 2g,1t - Columbia 1t" 11 9 1882 "Rutgers (NJ)"
"L" "11-14-1882" "0" "Princeton (NJ)" "3" "New Brunswick, NJ" "Princeton 3g,4t - Rutgers 2s" 11 14 1882 "Rutgers (NJ)"
"W" "11-18-1882" "1" "Pennsylvania" "0" "New Brunswick, NJ" "Rutgers 1g,2t,1s - Pennsylvania 2t" 11 18 1882 "Rutgers (NJ)"
"W" "11-24-1882" "2" "Stevens Tech (NJ)" "0" "Hoboken, NJ" "Rutgers 2g - Stevens Tech 1s" 11 24 1882 "Rutgers (NJ)"
"L" "10-17-1883" "0" "Princeton (NJ)" "20" "New Brunswick, NJ" "" 10 17 1883 "Rutgers (NJ)"
"L" "10-20-1883" "0" "Wesleyan (CT)" "37" "Middletown, CT" "" 10 20 1883 "Rutgers (NJ)"
"L" "10-27-1883" "0" "Princeton (NJ)" "61" "Princeton, NJ" "" 10 27 1883 "Rutgers (NJ)"
"W" "10-31-1883" "54" "City College of New York" "2" "New Brunswick, NJ" "" 10 31 1883 "Rutgers (NJ)"
"L" "11-06-1883" "0" "Yale (CT)" "92" "New York, NY" "" 11 6 1883 "Rutgers (NJ)"
"L" "11-10-1883" "0" "Lafayette (PA)" "25" "Easton, PA" "" 11 10 1883 "Rutgers (NJ)"
"L" "11-17-1883" "0" "Pennsylvania" "18" "New Brunswick, NJ" "" 11 17 1883 "Rutgers (NJ)"
