"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"L" "11-23-1961" 6 "Fresno St. (CA)" 36 "Mercy Bowl" 1 11 23 1961 "Bowling Green (OH)"
"L" "12-18-1982" 28 "Fresno St. (CA)" 29 "California Bowl" 1 12 18 1982 "Bowling Green (OH)"
"L" "12-14-1985" 7 "Fresno St. (CA)" 51 "California Bowl" 1 12 14 1985 "Bowling Green (OH)"
"W" "12-14-1991" 28 "Fresno St. (CA)" 21 "California Bowl" 1 12 14 1991 "Bowling Green (OH)"
"W" "12-18-1992" 35 "Nevada" 34 "Las Vegas Bowl" 1 12 18 1992 "Bowling Green (OH)"
"W" "12-26-2003" 28 "Northwestern (IL)" 24 "Motor City Bowl" 1 12 26 2003 "Bowling Green (OH)"
"W" "12-22-2004" 52 "Memphis (TN)" 35 "GMAC Bowl" 1 12 22 2004 "Bowling Green (OH)"
"L" "01-06-2008" 7 "Tulsa (OK)" 63 "GMAC Bowl" 1 1 6 2008 "Bowling Green (OH)"
"L" "12-30-2009" 42 "Idaho" 43 "Humanitarian Bowl" 1 12 30 2009 "Bowling Green (OH)"
