"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"L" "12-16-1978" 18 "Arizona St." 34 "Garden State Bowl" 0 12 16 1978 "Rutgers (NJ)"
"L" "12-27-2005" 40 "Arizona St." 45 "Insight Bowl" 0 12 27 2005 "Rutgers (NJ)"
"W" "12-28-2006" 37 "Kansas St." 10 "Texas Bowl" 0 12 28 2006 "Rutgers (NJ)"
"W" "01-05-2008" 52 "Ball St. (IN)" 30 "International Bowl" 0 1 5 2008 "Rutgers (NJ)"
"W" "12-29-2008" 29 "North Carolina St." 23 "Papajohns.com Bowl" 0 12 29 2008 "Rutgers (NJ)"
"W" "12-19-2009" 45 "Central Florida" 24 "Saint Petersburg Bowl" 0 12 19 2009 "Rutgers (NJ)"
"W" "12-30-2011" 27 "Iowa St." 13 "Pinstripe Bowl" 0 12 30 2011 "Rutgers (NJ)"
"L" "12-02-1989" 29 "Pittsburgh (PA)" 46 "Emerald Isle Classic" 1 12 2 1989 "Rutgers (NJ)"
