"W/L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team"
"W" "01-01-1937" 13 "Mississippi St." 12 "Orange Bowl" 0 1 1 1937 "Duquesne (PA)"
"T" "12-05-1931" 0 "Carnegie Mellon (PA)" 0 "Pittsburgh Charity Game" 1 12 5 1931 "Duquesne (PA)"
"W" "01-01-1934" 33 "Miami (FL)" 7 "Palm Festival" 1 1 1 1934 "Duquesne (PA)"
"W" "11-18-1995" 44 "Wagner (NY)" 20 "Eastern College Athletic Conference Bowl" 1 11 18 1995 "Duquesne (PA)"
"L" "11-23-1996" 26 "Robert Morris (PA)" 28 "Eastern College Athletic Conference Bowl" 1 11 23 1996 "Duquesne (PA)"
"L" "12-01-2001" 15 "Sacred Heart (CT)" 31 "Eastern College Athletic Conference Bowl" 1 12 1 2001 "Duquesne (PA)"
"L" "11-23-2002" 0 "SUNY-Albany (NY)" 24 "Eastern College Athletic Conference Bowl" 1 11 23 2002 "Duquesne (PA)"
"W" "11-22-2003" 12 "Monmouth (NJ)" 10 "Eastern College Athletic Conference Bowl" 1 11 22 2003 "Duquesne (PA)"
