"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "10-13-1979" "9" "Manhattan (NY)" "7" "?" "Club Football Game" 10 13 1979 "SUNY-Stony Brook (NY)"
"W" "10-27-1979" "11" "New York Maritime" "6" "Stony Brook, NY" "Club Football Game" 10 27 1979 "SUNY-Stony Brook (NY)"
"W" "09-27-1980" "31" "Ramapo (NJ)" "0" "?" "" 9 27 1980 "SUNY-Stony Brook (NY)"
"W" "10-04-1980" "14" "New York Maritime" "12" "Throggs Neck, NY" "Club Football Game" 10 4 1980 "SUNY-Stony Brook (NY)"
"W" "10-18-1980" "30" "Siena (NY)" "7" "?" "Club Football Game" 10 18 1980 "SUNY-Stony Brook (NY)"
"T" "10-25-1980" "7" "Manhattan (NY)" "7" "?" "Club Football Game" 10 25 1980 "SUNY-Stony Brook (NY)"
"W" "11-01-1980" "34" "Saint John Fisher (NY)" "14" "?" "" 11 1 1980 "SUNY-Stony Brook (NY)"
"L" "11-16-1980" "6" "Bentley (MA)" "31" "Waltham, MA" "NCFA Playoff Game" 11 16 1980 "SUNY-Stony Brook (NY)"
"W" "00-00-1981" "23" "Siena (NY)" "6" "?" "Club Football Game" 0 0 1981 "SUNY-Stony Brook (NY)"
"L" "00-00-1981" "9" "Saint John Fisher (NY)" "27" "?" "" 0 0 1981 "SUNY-Stony Brook (NY)"
"W" "10-17-1981" "28" "Brooklyn (NY)" "6" "Stony Brook, NY" "SUNY-Stony Brook Club Team" 10 17 1981 "SUNY-Stony Brook (NY)"
"W" "10-24-1981" "15" "Manhattan (NY)" "13" "?" "Club Football Game" 10 24 1981 "SUNY-Stony Brook (NY)"
"L" "11-14-1981" "0" "New York Maritime" "9" "Stony Brook, NY" "Club Football Game" 11 14 1981 "SUNY-Stony Brook (NY)"
"L" "09-18-1982" "6" "Fairfield (CT)" "45" "?" "Club Football Game" 9 18 1982 "SUNY-Stony Brook (NY)"
"W" "09-25-1982" "16" "Siena (NY)" "6" "?" "Club Football Game" 9 25 1982 "SUNY-Stony Brook (NY)"
"W" "10-15-1982" "30" "Brooklyn (NY)" "11" "Brooklyn, NY" "SUNY-Stony Brook Club Team" 10 15 1982 "SUNY-Stony Brook (NY)"
"L" "10-23-1982" "23" "Manhattan (NY)" "30" "?" "Club Football Game" 10 23 1982 "SUNY-Stony Brook (NY)"
