"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"T" "11-28-1929" "13" "Middle Tennessee St." "13" "Cookeville, TN" "" 11 28 1929 "Tennessee Tech"
"L" "09-27-1930" "0" "Sewanee (TN)" "14" "Sewanee, TN" "" 9 27 1930 "Tennessee Tech"
"W" "10-04-1930" "20" "Carson-Newman (TN)" "0" "Cookeville, TN" "" 10 4 1930 "Tennessee Tech"
"W" "10-18-1930" "65" "Hiwassee College (TN)" "0" "Cookeville, TN" "" 10 18 1930 "Tennessee Tech"
"L" "10-24-1930" "0" "Bethel (KY)" "6" "Russellville, KY" "" 10 24 1930 "Tennessee Tech"
"W" "11-01-1930" "57" "Lincoln Memorial (TN)" "0" "Cookeville, TN" "" 11 1 1930 "Tennessee Tech"
"W" "11-07-1930" "26" "Murray St. (KY)" "6" "Murray, KY" "" 11 7 1930 "Tennessee Tech"
"W" "00-00-1930" "19" "East Tennessee St." "0" "?" "" 0 0 1930 "Tennessee Tech"
"W" "11-15-1930" "25" "Milligan (TN)" "20" "Johnson City, TN" "" 11 15 1930 "Tennessee Tech"
"T" "11-27-1930" "0" "Middle Tennessee St." "0" "Murfreesboro, TN" "" 11 27 1930 "Tennessee Tech"
"L" "09-26-1931" "7" "Sewanee (TN)" "24" "Sewanee, TN" "" 9 26 1931 "Tennessee Tech"
"L" "10-03-1931" "7" "Carson-Newman (TN)" "20" "Jefferson City, TN" "" 10 3 1931 "Tennessee Tech"
"W" "10-10-1931" "19" "Murray St. (KY)" "7" "Cookeville, TN" "" 10 10 1931 "Tennessee Tech"
"W" "10-17-1931" "37" "Bethel (KY)" "0" "Cookeville, TN" "" 10 17 1931 "Tennessee Tech"
"W" "10-24-1931" "13" "Memphis (TN)" "0" "Memphis, TN" "" 10 24 1931 "Tennessee Tech"
"W" "10-31-1931" "27" "Lincoln Memorial (TN)" "0" "Harrogate, TN" "" 10 31 1931 "Tennessee Tech"
"W" "11-07-1931" "26" "Tennessee JC" "7" "Cookeville, TN" "" 11 7 1931 "Tennessee Tech"
"L" "00-00-1931" "0" "Vanderbilt JV (TN)" "6" "?" "" 0 0 1931 "Tennessee Tech"
"W" "11-26-1931" "13" "Middle Tennessee St." "7" "Cookeville, TN" "" 11 26 1931 "Tennessee Tech"
"L" "10-01-1932" "13" "Lambuth (TN)" "0" "Cookeville, TN" "Tennessee Tech Forfeits" 10 1 1932 "Tennessee Tech"
"T" "10-07-1932" "0" "Tennessee JC" "0" "Martin, TN" "" 10 7 1932 "Tennessee Tech"
"W" "10-15-1932" "24" "Memphis (TN)" "7" "Cookeville, TN" "" 10 15 1932 "Tennessee Tech"
