"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1919" "6" "Saint Mike's" "0" "?" "" 0 0 1919 "Saint Francis (PA)"
"W" "00-00-1919" "2" "Altoona Quakers" "0" "?" "" 0 0 1919 "Saint Francis (PA)"
"L" "00-00-1920" "0" "Altoona HS (PA)" "20" "?" "" 0 0 1920 "Saint Francis (PA)"
"L" "00-00-1921" "0" "Altoona HS (PA)" "34" "?" "" 0 0 1921 "Saint Francis (PA)"
"L" "10-07-1922" "0" "Lehigh (PA)" "37" "Bethlehem, PA" "" 10 7 1922 "Saint Francis (PA)"
"L" "00-00-1922" "0" "Canisius (NY)" "48" "?" "" 0 0 1922 "Saint Francis (PA)"
"L" "00-00-1922" "0" "Kiski Academy (PA)" "51" "?" "" 0 0 1922 "Saint Francis (PA)"
"L" "00-00-1922" "0" "Bellefonte Academy (PA)" "20" "?" "" 0 0 1922 "Saint Francis (PA)"
"L" "00-00-1922" "0" "Alfred (NY)" "14" "?" "" 0 0 1922 "Saint Francis (PA)"
"L" "10-06-1923" "0" "Westminster (PA)" "33" "New Wilmington, PA" "" 10 6 1923 "Saint Francis (PA)"
"L" "10-12-1923" "0" "Duquesne (PA)" "20" "Pittsburgh, PA" "" 10 12 1923 "Saint Francis (PA)"
"L" "00-00-1923" "0" "Slippery Rock (PA)" "92" "?" "" 0 0 1923 "Saint Francis (PA)"
"L" "00-00-1923" "0" "Bellefonte Academy (PA)" "68" "?" "" 0 0 1923 "Saint Francis (PA)"
"L" "10-27-1923" "0" "Mount Saint Mary's (MD)" "41" "Emmitsburg, MD" "" 10 27 1923 "Saint Francis (PA)"
"L" "00-00-1923" "0" "Waynesburg (PA)" "65" "?" "" 0 0 1923 "Saint Francis (PA)"
"L" "11-10-1923" "0" "Canisius (NY)" "54" "Buffalo, NY" "" 11 10 1923 "Saint Francis (PA)"
"L" "00-00-1924" "0" "Davis & Elkins (WV)" "53" "?" "" 0 0 1924 "Saint Francis (PA)"
"W" "00-00-1924" "19" "Patton Independents (PA)" "6" "?" "" 0 0 1924 "Saint Francis (PA)"
"L" "10-18-1924" "7" "Westminster (PA)" "52" "New Wilmington, PA" "" 10 18 1924 "Saint Francis (PA)"
"L" "00-00-1924" "6" "Saint Vincent's (PA)" "14" "?" "" 0 0 1924 "Saint Francis (PA)"
"W" "00-00-1924" "57" "Scranton (PA)" "0" "?" "" 0 0 1924 "Saint Francis (PA)"
"W" "00-00-1925" "28" "Lilly" "0" "?" "" 0 0 1925 "Saint Francis (PA)"
"W" "00-00-1925" "6" "Altoona Apprentice School (PA)" "0" "?" "" 0 0 1925 "Saint Francis (PA)"
"T" "00-00-1925" "0" "Windber HS (PA)" "0" "?" "" 0 0 1925 "Saint Francis (PA)"
"W" "00-00-1925" "4" "Patton Independents (PA)" "0" "?" "" 0 0 1925 "Saint Francis (PA)"
"W" "00-00-1925" "42" "Millersville (PA)" "0" "?" "" 0 0 1925 "Saint Francis (PA)"
"W" "00-00-1925" "56" "Hastings" "0" "?" "" 0 0 1925 "Saint Francis (PA)"
"L" "00-00-1925" "0" "Moxham" "14" "?" "" 0 0 1925 "Saint Francis (PA)"
"W" "00-00-1926" "69" "Lock Haven (PA)" "0" "?" "" 0 0 1926 "Saint Francis (PA)"
"L" "09-25-1926" "0" "Thiel (PA)" "6" "Greenville, PA" "" 9 25 1926 "Saint Francis (PA)"
"W" "00-00-1926" "13" "Altoona Apprentice School (PA)" "7" "?" "" 0 0 1926 "Saint Francis (PA)"
"W" "10-16-1926" "13" "Duquesne (PA)" "0" "Pittsburgh, PA" "" 10 16 1926 "Saint Francis (PA)"
"L" "10-23-1926" "0" "Allegheny (PA)" "34" "Meadville, PA" "" 10 23 1926 "Saint Francis (PA)"
"L" "11-06-1926" "6" "Grove City (PA)" "24" "Grove City, PA" "" 11 6 1926 "Saint Francis (PA)"
"W" "11-25-1926" "41" "Saint Vincent's (PA)" "0" "Latrobe, PA" "" 11 25 1926 "Saint Francis (PA)"
"W" "00-00-1927" "3" "Bethany (WV)" "0" "?" "" 0 0 1927 "Saint Francis (PA)"
"W" "00-00-1927" "3" "Westminster (PA)" "0" "?" "" 0 0 1927 "Saint Francis (PA)"
