"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "10-30-1938" "5" "Bethune-Cookman (FL)" "0" "Savannah, GA" "" 10 30 1938 "Savannah St. (GA)"
"W" "00-00-1938" "6" "Claflin (SC)" "0" "?" "" 0 0 1938 "Savannah St. (GA)"
"W" "00-00-1938" "7" "Allen (SC)" "0" "?" "" 0 0 1938 "Savannah St. (GA)"
"L" "00-00-1938" "0" "Benedict (SC)" "6" "?" "" 0 0 1938 "Savannah St. (GA)"
"W" "00-00-1938" "19" "Voorhees College (SC)" "0" "?" "" 0 0 1938 "Savannah St. (GA)"
"W" "00-00-1938" "6" "Paine (GA)" "0" "?" "" 0 0 1938 "Savannah St. (GA)"
"T" "00-00-1939" "6" "Fort Valley St. (GA)" "6" "?" "" 0 0 1939 "Savannah St. (GA)"
"W" "00-00-1939" "13" "Bethune-Cookman (FL)" "0" "?" "" 0 0 1939 "Savannah St. (GA)"
"W" "00-00-1939" "6" "Voorhees College (SC)" "0" "?" "" 0 0 1939 "Savannah St. (GA)"
"W" "11-23-1939" "13" "Paine (GA)" "0" "?" "" 11 23 1939 "Savannah St. (GA)"
"T" "00-00-1940" "0" "Paine (GA)" "0" "?" "" 0 0 1940 "Savannah St. (GA)"
"L" "10-19-1940" "0" "Tuskegee (AL)" "18" "Tuskegee, AL" "" 10 19 1940 "Savannah St. (GA)"
"L" "10-26-1940" "0" "Edward Waters (FL)" "14" "?" "" 10 26 1940 "Savannah St. (GA)"
"T" "11-02-1940" "0" "Bethune-Cookman (FL)" "0" "Daytona Beach, FL" "" 11 2 1940 "Savannah St. (GA)"
"W" "00-00-1940" "7" "Claflin (SC)" "0" "?" "" 0 0 1940 "Savannah St. (GA)"
"L" "11-09-1940" "6" "Allen (SC)" "20" "?" "" 11 9 1940 "Savannah St. (GA)"
"W" "00-00-1940" "12" "Voorhees College (SC)" "0" "?" "" 0 0 1940 "Savannah St. (GA)"
"L" "10-24-1941" "6" "Benedict (SC)" "13" "?" "" 10 24 1941 "Savannah St. (GA)"
"T" "11-01-1941" "0" "Bethune-Cookman (FL)" "0" "Savannah, GA" "" 11 1 1941 "Savannah St. (GA)"
"L" "11-08-1941" "6" "Allen (SC)" "36" "Columbia, SC" "" 11 8 1941 "Savannah St. (GA)"
"L" "00-00-1941" "0" "Claflin (SC)" "20" "?" "" 0 0 1941 "Savannah St. (GA)"
"W" "00-00-1941" "12" "Voorhees College (SC)" "6" "?" "" 0 0 1941 "Savannah St. (GA)"
"T" "00-00-1942" "0" "Paine (GA)" "0" "?" "" 0 0 1942 "Savannah St. (GA)"
"W" "00-00-1942" "30" "Voorhees College (SC)" "0" "?" "" 0 0 1942 "Savannah St. (GA)"
"L" "10-24-1942" "6" "Benedict (SC)" "12" "?" "" 10 24 1942 "Savannah St. (GA)"
"W" "00-00-1942" "26" "Claflin (SC)" "0" "?" "" 0 0 1942 "Savannah St. (GA)"
"W" "00-00-1942" "56" "Edward Waters (FL)" "0" "Savannah, GA" "" 0 0 1942 "Savannah St. (GA)"
"L" "11-07-1942" "7" "Bethune-Cookman (FL)" "13" "Daytona Beach, FL" "" 11 7 1942 "Savannah St. (GA)"
"W" "11-14-1942" "8" "Allen (SC)" "0" "Savannah, GA" "" 11 14 1942 "Savannah St. (GA)"
"W" "00-00-1942" "25" "Paine (GA)" "7" "?" "" 0 0 1942 "Savannah St. (GA)"
"T" "00-00-1946" "0" "Charleston Bears (SC)" "0" "?" "" 0 0 1946 "Savannah St. (GA)"
"W" "00-00-1946" "6" "Charleston Bears (SC)" "0" "?" "" 0 0 1946 "Savannah St. (GA)"
"W" "00-00-1946" "26" "Claflin (SC)" "0" "?" "" 0 0 1946 "Savannah St. (GA)"
"L" "00-00-1946" "6" "Morris (SC)" "12" "?" "" 0 0 1946 "Savannah St. (GA)"
"W" "00-00-1946" "37" "Albany St. (GA)" "0" "?" "" 0 0 1946 "Savannah St. (GA)"
"L" "00-00-1946" "0" "Allen (SC)" "60" "?" "" 0 0 1946 "Savannah St. (GA)"
"T" "00-00-1946" "6" "Paine (GA)" "6" "?" "" 0 0 1946 "Savannah St. (GA)"
"W" "00-00-1946" "19" "Claflin (SC)" "6" "?" "" 0 0 1946 "Savannah St. (GA)"
"L" "10-11-1947" "0" "Claflin (SC)" "13" "Savannah, GA" "" 10 11 1947 "Savannah St. (GA)"
"L" "10-18-1947" "0" "Bethune-Cookman (FL)" "21" "Daytona Beach, FL" "" 10 18 1947 "Savannah St. (GA)"
"W" "00-00-1947" "7" "Morris (SC)" "0" "?" "" 0 0 1947 "Savannah St. (GA)"
"T" "11-01-1947" "6" "Albany St. (GA)" "6" "Savannah, GA" "" 11 1 1947 "Savannah St. (GA)"
"L" "11-08-1947" "0" "Allen (SC)" "51" "Savannah, GA" "" 11 8 1947 "Savannah St. (GA)"
"L" "11-15-1947" "9" "Florida N&I" "49" "Saint Augustine, FL" "" 11 15 1947 "Savannah St. (GA)"
"L" "11-27-1947" "0" "Paine (GA)" "6" "Augusta, GA" "" 11 27 1947 "Savannah St. (GA)"
"W" "10-02-1948" "15" "Edward Waters (FL)" "6" "Savannah, GA" "" 10 2 1948 "Savannah St. (GA)"
"W" "10-09-1948" "16" "Claflin (SC)" "6" "Orangeburg, SC" "" 10 9 1948 "Savannah St. (GA)"
"W" "10-14-1948" "32" "Morris (SC)" "13" "Savannah, GA" "" 10 14 1948 "Savannah St. (GA)"
"L" "10-21-1948" "0" "Bethune-Cookman (FL)" "20" "Savannah, GA" "" 10 21 1948 "Savannah St. (GA)"
"W" "10-30-1948" "7" "Albany St. (GA)" "0" "Albany, GA" "" 10 30 1948 "Savannah St. (GA)"
"L" "11-13-1948" "13" "Florida N&I" "15" "Savannah, GA" "" 11 13 1948 "Savannah St. (GA)"
"L" "11-20-1948" "0" "Allen (SC)" "26" "Columbia, SC" "" 11 20 1948 "Savannah St. (GA)"
"W" "11-25-1948" "6" "Paine (GA)" "0" "Savannah, GA" "" 11 25 1948 "Savannah St. (GA)"
"L" "09-24-1949" "6" "Kentucky St." "54" "Savannah, GA" "" 9 24 1949 "Savannah St. (GA)"
"L" "10-08-1949" "0" "Claflin (SC)" "27" "Savannah, GA" "" 10 8 1949 "Savannah St. (GA)"
"W" "00-00-1949" "25" "Morris (SC)" "0" "?" "" 0 0 1949 "Savannah St. (GA)"
"L" "10-22-1949" "6" "Bethune-Cookman (FL)" "33" "Daytona Beach, FL" "" 10 22 1949 "Savannah St. (GA)"
"W" "10-29-1949" "20" "Albany St. (GA)" "13" "Savannah, GA" "" 10 29 1949 "Savannah St. (GA)"
"L" "11-05-1949" "7" "Fort Valley St. (GA)" "19" "Savannah, GA" "" 11 5 1949 "Savannah St. (GA)"
"L" "11-19-1949" "6" "Allen (SC)" "33" "Savannah, GA" "" 11 19 1949 "Savannah St. (GA)"
"W" "00-00-1949" "14" "Paine (GA)" "0" "?" "" 0 0 1949 "Savannah St. (GA)"
"L" "09-23-1950" "0" "Kentucky St." "13" "Frankfort, KY" "" 9 23 1950 "Savannah St. (GA)"
"W" "10-07-1950" "19" "Claflin (SC)" "2" "Orangeburg, SC" "" 10 7 1950 "Savannah St. (GA)"
"W" "10-14-1950" "27" "Morris (SC)" "0" "Savannah, GA" "" 10 14 1950 "Savannah St. (GA)"
"L" "10-21-1950" "13" "Bethune-Cookman (FL)" "32" "Savannah, GA" "" 10 21 1950 "Savannah St. (GA)"
"W" "10-28-1950" "13" "Albany St. (GA)" "6" "Albany, GA" "" 10 28 1950 "Savannah St. (GA)"
"L" "11-04-1950" "18" "Fort Valley St. (GA)" "20" "Savannah, GA" "" 11 4 1950 "Savannah St. (GA)"
"T" "11-11-1950" "0" "Florida N&I" "0" "?" "" 11 11 1950 "Savannah St. (GA)"
"L" "11-30-1950" "0" "Paine (GA)" "33" "Savannah, GA" "" 11 30 1950 "Savannah St. (GA)"
"W" "00-00-1951" "26" "Elizabeth City St. (NC)" "7" "?" "" 0 0 1951 "Savannah St. (GA)"
"W" "10-05-1951" "25" "Alabama St." "12" "Savannah, GA" "" 10 5 1951 "Savannah St. (GA)"
"L" "10-13-1951" "15" "Morris (SC)" "28" "Sumter, SC" "" 10 13 1951 "Savannah St. (GA)"
"L" "00-00-1951" "0" "Bethune-Cookman (FL)" "51" "?" "" 0 0 1951 "Savannah St. (GA)"
"W" "10-27-1951" "26" "Albany St. (GA)" "12" "?" "" 10 27 1951 "Savannah St. (GA)"
"W" "11-03-1951" "13" "Morehouse (GA)" "6" "Atlanta, GA" "" 11 3 1951 "Savannah St. (GA)"
"W" "11-10-1951" "48" "Florida N&I" "6" "Savannah, GA" "" 11 10 1951 "Savannah St. (GA)"
"L" "00-00-1951" "7" "Claflin (SC)" "19" "?" "" 0 0 1951 "Savannah St. (GA)"
"T" "00-00-1951" "6" "Paine (GA)" "6" "?" "" 0 0 1951 "Savannah St. (GA)"
"L" "00-00-1951" "13" "Benedict (SC)" "33" "?" "" 0 0 1951 "Savannah St. (GA)"
"L" "10-04-1952" "0" "Elizabeth City St. (NC)" "31" "Elizabeth City, NC" "" 10 4 1952 "Savannah St. (GA)"
"L" "10-10-1952" "7" "Alabama St." "34" "Montgomery, AL" "" 10 10 1952 "Savannah St. (GA)"
"L" "10-17-1952" "0" "Morris (SC)" "37" "Savannah, GA" "" 10 17 1952 "Savannah St. (GA)"
"L" "10-24-1952" "0" "Bethune-Cookman (FL)" "67" "Savannah, GA" "" 10 24 1952 "Savannah St. (GA)"
"L" "11-01-1952" "0" "Albany St. (GA)" "47" "Albany, GA" "" 11 1 1952 "Savannah St. (GA)"
"L" "11-08-1952" "2" "Morehouse (GA)" "7" "Savannah, GA" "" 11 8 1952 "Savannah St. (GA)"
"L" "11-15-1952" "13" "Florida N&I" "18" "Saint Augustine, FL" "" 11 15 1952 "Savannah St. (GA)"
"L" "11-22-1952" "0" "Claflin (SC)" "31" "Orangeburg, SC" "" 11 22 1952 "Savannah St. (GA)"
"W" "11-27-1952" "20" "Paine (GA)" "0" "Savannah, GA" "" 11 27 1952 "Savannah St. (GA)"
"L" "10-02-1953" "0" "Elizabeth City St. (NC)" "42" "Savannah, GA" "" 10 2 1953 "Savannah St. (GA)"
"L" "10-09-1953" "0" "Alabama St." "74" "Montgomery, AL" "" 10 9 1953 "Savannah St. (GA)"
"L" "10-17-1953" "0" "Morris (SC)" "65" "Sumter, SC" "" 10 17 1953 "Savannah St. (GA)"
"L" "10-24-1953" "0" "Bethune-Cookman (FL)" "98" "Daytona Beach, FL" "" 10 24 1953 "Savannah St. (GA)"
"L" "10-30-1953" "6" "Albany St. (GA)" "37" "Savannah, GA" "" 10 30 1953 "Savannah St. (GA)"
"L" "11-14-1953" "0" "Florida N&I" "55" "Savannah, GA" "" 11 14 1953 "Savannah St. (GA)"
"L" "11-20-1953" "0" "Claflin (SC)" "51" "Savannah, GA" "" 11 20 1953 "Savannah St. (GA)"
"L" "11-26-1953" "0" "Paine (GA)" "13" "Augusta, GA" "" 11 26 1953 "Savannah St. (GA)"
"L" "10-02-1954" "6" "Elizabeth City St. (NC)" "65" "Elizabeth City, NC" "" 10 2 1954 "Savannah St. (GA)"
"L" "10-09-1954" "6" "Florida N&I" "20" "Savannah, GA" "" 10 9 1954 "Savannah St. (GA)"
"L" "10-15-1954" "13" "Morris (SC)" "26" "Savannah, GA" "" 10 15 1954 "Savannah St. (GA)"
"L" "10-22-1954" "6" "Bethune-Cookman (FL)" "53" "Savannah, GA" "" 10 22 1954 "Savannah St. (GA)"
"L" "10-30-1954" "6" "Albany St. (GA)" "15" "Albany, GA" "" 10 30 1954 "Savannah St. (GA)"
"L" "11-13-1954" "0" "Alabama St." "38" "Savannah, GA" "" 11 13 1954 "Savannah St. (GA)"
"L" "11-20-1954" "6" "Claflin (SC)" "27" "Orangeburg, SC" "" 11 20 1954 "Savannah St. (GA)"
"W" "11-25-1954" "7" "Paine (GA)" "0" "Savannah, GA" "" 11 25 1954 "Savannah St. (GA)"
"L" "09-24-1955" "2" "Bethune-Cookman (FL)" "43" "Daytona Beach, FL" "" 9 24 1955 "Savannah St. (GA)"
"W" "10-08-1955" "22" "Florida N&I" "14" "Saint Augustine, FL" "" 10 8 1955 "Savannah St. (GA)"
"L" "10-29-1955" "6" "Albany St. (GA)" "23" "Savannah, GA" "" 10 29 1955 "Savannah St. (GA)"
"L" "00-00-1955" "6" "Morris (SC)" "12" "?" "" 0 0 1955 "Savannah St. (GA)"
"L" "11-12-1955" "6" "Alabama St." "14" "Savannah, GA" "" 11 12 1955 "Savannah St. (GA)"
"W" "00-00-1955" "18" "Claflin (SC)" "6" "?" "" 0 0 1955 "Savannah St. (GA)"
"T" "00-00-1955" "0" "Paine (GA)" "0" "?" "" 0 0 1955 "Savannah St. (GA)"
"L" "09-29-1956" "7" "Edward Waters (FL)" "13" "Jacksonville, FL" "" 9 29 1956 "Savannah St. (GA)"
"W" "10-06-1956" "13" "Florida N&I" "7" "Savannah, GA" "" 10 6 1956 "Savannah St. (GA)"
