OvrRank,Team,Division,Rating,W,L,SchScore,SchRank,Wtop10,Ltop10,Wtop30,Ltop30,Year
   1,Miami-Florida,A,106.36,12,0,75.18,27,2,0,6,0,2001
   2,Florida,A,99.46,10,2,75.68,23,2,1,5,1,2001
   3,Texas,A,93.78,11,2,72.93,47,1,2,4,2,2001
   4,Tennessee,A,93.19,11,2,79.37,1,1,0,6,2,2001
   5,Nebraska,A,92.42,11,2,75.04,29,1,2,3,2,2001
   6,Oregon,A,91.61,11,1,75.32,26,1,0,3,1,2001
   7,Oklahoma,A,89.97,11,2,72.11,52,1,1,4,1,2001
   8,Colorado,A,87.94,10,3,78.33,4,2,2,3,3,2001
   9,Florida St.,A,87.69,8,4,79.04,2,1,2,3,3,2001
  10,Maryland,A,87.37,10,2,71.79,56,0,2,2,2,2001
  11,LSU,A,86.78,10,3,75.96,20,1,2,3,2,2001
  12,Washington St.,A,86.7,10,2,71.97,55,0,1,2,2,2001
  13,Syracuse,A,86.64,10,3,76.34,17,0,2,3,3,2001
  14,Stanford,A,85.41,9,3,76.05,19,1,0,3,3,2001
  15,Illinois,A,85.35,10,2,74.26,38,0,0,1,2,2001
  16,UCLA,A,84.68,7,4,77.36,8,0,1,2,3,2001
  17,South Carolina,A,84.22,9,3,74.63,33,0,2,2,2,2001
  18,Michigan,A,83.67,8,4,76.8,13,0,1,1,2,2001
  19,Virginia Tech,A,83.67,8,4,71.54,58,0,2,1,3,2001
  20,Georgia,A,82.47,8,4,72.79,48,1,1,2,3,2001
  21,Kansas St.,A,82.02,6,6,77.15,10,0,3,0,5,2001
  22,Fresno St.,A,81.92,11,3,67.81,74,1,0,1,0,2001
  23,North Carolina,A,81.59,8,5,76.56,16,1,3,1,4,2001
  24,Washington,A,81.28,8,4,77.59,7,0,2,3,3,2001
  25,Boston College,A,81.17,8,4,71.66,57,0,1,1,4,2001
  26,Georgia Tech,A,81.15,8,5,72.55,50,0,2,3,3,2001
  27,Louisville,A,81.03,11,2,65.75,84,0,0,1,1,2001
  28,Brigham Young,A,80.79,12,2,65.86,83,0,0,0,1,2001
  29,Texas Tech,A,80.47,7,5,73.89,41,0,3,1,3,2001
  30,Alabama,A,80.32,7,5,74.45,36,0,1,0,4,2001
  31,Iowa,A,80.17,7,5,74.07,40,0,0,1,1,2001
  32,Texas A&M,A,79.85,8,4,74.71,31,0,3,1,4,2001
  33,Arkansas,A,79.5,7,5,76.08,18,0,2,1,5,2001
  34,Marshall,A,79.09,11,2,64.46,93,0,1,0,1,2001
  35,Ohio St.,A,78.96,7,5,74.35,37,0,0,1,3,2001
  36,Utah,A,78.73,8,4,70.32,62,0,1,0,2,2001
  37,Southern Cal,A,78.47,6,6,75.53,24,0,1,1,4,2001
  38,Michigan St.,A,77.63,7,5,73.36,43,0,0,2,0,2001
  39,Auburn,A,77.44,7,5,77.14,11,1,0,2,4,2001
  40,Iowa St.,A,77.39,7,5,72.78,49,0,2,0,4,2001
  41,Clemson,A,77.35,7,5,73,46,0,2,1,4,2001
  42,Notre Dame,A,76.94,5,6,76.73,14,0,2,0,4,2001
  43,No. Carolina St.,A,76.9,7,5,72.33,51,1,1,1,3,2001
  44,Penn St.,A,76.57,5,6,78.87,3,0,1,0,3,2001
  45,Pittsburgh,A,76.53,7,5,72.09,53,0,1,1,3,2001
  46,Bowling Green,A,75.37,8,3,65.13,86,0,0,0,0,2001
  47,Oregon St.,A,75.11,5,6,74.66,32,0,1,1,4,2001
  48,Indiana,A,74.92,5,6,75.86,21,0,0,0,1,2001
  49,Mississippi,A,74.78,7,4,67.68,76,0,0,2,1,2001
  50,Hawaii,A,74.65,9,3,62.43,103,0,0,2,0,2001
  51,Purdue,A,74.45,6,6,75.39,25,0,0,0,3,2001
  52,Boise St.,A,73.99,8,4,63.44,98,0,0,1,2,2001
  53,Wisconsin,A,73.73,5,7,76.72,15,0,1,0,4,2001
  54,Toledo,A,73.63,10,2,60.83,109,0,0,0,0,2001
  55,Wake Forest,A,73.55,6,5,73.35,44,0,2,1,3,2001
  56,Colorado St.,A,73.13,7,5,70.14,63,0,1,0,4,2001
  57,Montana,AA,72.01,15,1,53.72,133,0,0,0,0,2001
  58,East Carolina,A,71.89,6,6,69.8,66,0,0,0,3,2001
  59,Oklahoma St.,A,70.74,4,7,75.82,22,1,2,1,3,2001
  60,Southern Miss,A,70.65,6,5,66.03,81,0,0,0,2,2001
  61,Arizona St.,A,70.62,4,7,73.24,45,0,1,0,5,2001
  62,Miami-Ohio,A,70.51,7,5,68.03,73,0,0,0,1,2001
  63,Virginia,A,70.38,5,7,74.62,34,0,2,1,4,2001
  64,Louisiana Tech,A,69.83,7,5,66.84,77,0,0,0,2,2001
