cfbDataWarehouse,allAmer,sos,espn,rivals
Texas Tech,Texas Tech,Texas Tech,Texas Tech,Texas Tech
Toledo (OH),Toledo,Toledo,Toledo,Toledo
Troy (AL),,Troy,Troy,Troy
Tulane (LA),Tulane,Tulane,Tulane,Tulane
Tulsa (OK),Tulsa,Tulsa,Tulsa,Tulsa
UCLA,UCLA,UCLA,UCLA,UCLA
Utah,Utah,Utah,Utah,Utah
Utah St.,Utah State,Utah State,Utah State,Utah State
Vanderbilt (TN),Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt
Virginia,Virginia,Virginia,Virginia,Virginia
Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech
Wake Forest (NC),Wake Forest,Wake Forest,Wake Forest,Wake Forest
Washington,Washington,Washington,Washington,Washington
Washington St.,Washington State,Washington State,Washington State,Washington State
West Virginia,West Virginia,West Virginia,West Virginia,West Virginia
Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky
Western Michigan,Western Michigan,Western Michigan,Western Michigan,Western Michigan
Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin
Wyoming,Wyoming,Wyoming,Wyoming,Wyoming
