OvrRank,Team,Division,Rating,W,L,SchScore,SchRank,Wtop10,Ltop10,Wtop30,Ltop30
   1,LSU,A,93.39 ,12,2,76.26,11,2,0,5,2
   2,Kansas,A,92.78 ,12,1,67.68,74,1,1,2,1
   3,West Virginia,A,92.29 ,11,2,73.61,40,1,0,2,1
   4,Southern California,A,90.94 ,11,2,74.45,29,0,1,4,1
   5,Oklahoma,A,90.66 ,11,3,73.1,44,2,1,4,2
   6,Missouri,A,90.48 ,12,2,75.19,25,1,2,4,2
   7,Georgia,A,89.83 ,11,2,75.35,23,1,0,4,1
   8,Oregon,A,88.19 ,9,4,77.4,5,1,0,4,2
   9,Virginia Tech,A,87.84 ,11,3,73.9,36,0,2,2,3
  10,Florida,A,87.59 ,9,4,77.47,3,0,2,2,4
  11,Ohio State,A,87.48 ,11,2,71.25,53,0,1,2,2
  12,Texas,A,85.14 ,10,3,72.27,47,0,1,3,1
  13,Auburn,A,84.42 ,9,4,74.01,35,1,2,3,3
  14,Arizona State,A,84.35 ,10,3,75.73,19,0,2,2,3
  15,Tennessee,A,84.31 ,10,4,76.79,9,1,2,3,3
  16,Oregon State,A,83.18 ,9,4,75.8,16,1,1,2,3
  17,BYU,A,83.18 ,11,2,70.66,59,0,0,0,0
  18,Kentucky,A,83.02 ,8,5,75.78,17,1,2,2,3
  19,Cincinnati,A,82.81 ,10,3,68.39,69,0,1,2,1
  20,South Florida,A,82.45 ,9,4,75.6,21,1,1,2,2
  21,Michigan,A,82.27 ,9,4,73.89,37,1,1,3,2
  22,Clemson,A,81.93 ,9,4,73.14,41,0,1,1,3
  23,Boston College,A,81.61 ,11,3,72.87,45,1,1,3,1
  24,Texas Tech,A,81.46 ,9,4,68.51,68,1,1,1,3
  25,Arkansas,A,81.39 ,8,5,73.12,43,1,1,1,4
  26,Penn State,A,80.60 ,9,4,70,63,0,0,0,3
  27,Oklahoma State,A,79.56 ,7,6,75.76,18,0,3,1,4
  28,Wake Forest,A,79.50 ,9,4,72.14,49,0,0,0,2
  29,California,A,79.33 ,7,6,76.9,7,1,1,2,3
  30,Illinois,A,79.27 ,9,4,73.12,42,0,2,2,3
  31,Alabama,A,79.26 ,7,6,74.37,30,0,2,2,3
  32,South Carolina,A,79.23 ,6,6,76.88,8,1,2,2,5
  33,UCLA,A,78.74 ,6,7,78.9,1,1,1,4,3
  34,Utah,A,78.46 ,9,4,70.58,60,0,0,0,2
  35,Hawaii,A,78.10 ,12,1,58.47,132,0,1,0,1
  36,Wisconsin,A,77.83 ,9,4,70.84,57,0,0,1,4
  37,Mississippi State,A,77.69 ,8,5,74.18,33,0,2,2,4
  38,Rutgers,A,77.24 ,8,5,69.16,65,0,1,1,2
  39,Connecticut,A,77.05 ,9,4,70.19,61,0,1,1,3
  40,Florida State,A,77.01 ,7,6,75.36,22,0,2,1,5
  41,Virginia,A,76.93 ,9,4,72.19,48,0,1,1,2
  42,Texas A&M,A,76.41 ,7,6,74.96,26,0,3,2,5
  43,Arizona,A,76.40 ,5,7,77.22,6,1,1,1,5
  44,Appalachian State,AA,75.73 ,13,2,59.66,123,0,0,1,0
  45,Louisville,A,75.58 ,6,6,71.73,51,0,1,1,3
  46,Central Florida,A,75.46 ,10,4,65.2,83,0,0,0,2
  47,Michigan State,A,75.29 ,7,6,71.35,52,0,0,1,3
  48,Boise State,A,75.13 ,10,3,61.12,113,0,0,0,0
  49,Air Force,A,74.94 ,9,4,67.79,72,0,0,0,2
  50,TCU,A,74.78 ,8,5,68.58,67,0,0,0,2
  51,Maryland,A,74.75 ,6,7,74.85,27,0,1,1,4
  52,Kansas State,A,74.59 ,5,7,73.7,38,0,2,1,4
  53,Troy,A,74.31 ,8,4,66.83,78,0,2,1,3
  54,Vanderbilt,A,74.19 ,5,7,75.8,15,0,2,0,6
