team,official,nickname,color1,color2,color3,color4,conference,subdivision,address,lat,lon
Davidson,Davidson College,Wildcats,#000000,#E51937,#FFFFFF,,Pioneer Football,FCS,,,
Dayton,University of Dayton,Flyers,#151A66,#E70808,#FFFFFF,,Pioneer Football,FCS,,,
Delaware,University of Delaware,Fightin' Blue Hens,#01539B,#FFDD00,#100A04,#FFFFFF,Colonial Athletic Association,FCS,,,
Delaware State,Delaware State University,Hornets,#F11A2D,#01A9EF,#FFFFFF,#261511,MEAC,FCS,,,
Drake,Drake University,Bulldogs,#0053A0,#FFFFFF,#B4B6B8,,Pioneer Football,FCS,,,
Duke,Duke University,Blue Devils,#004C7D,#FFFFFF,,,ACC,FBS,"207 Allen Bldg, Durham, NC, 27708",36.0011241,-78.9373541
Duquesne,Duquesne University,Dukes,#002D62,#D31145,#FFFFFF,,NEC,FCS,,,
East Carolina,East Carolina University,Pirates,#4A1F68,#FFCE28,#FFFFFF,#000000,Conference USA,FBS,"East 5th Street, Greenville, NC, 27858-4353",35.6066409,-77.3559964
Eastern Illinois,Eastern Illinois University,Panthers,#000000,#FFFFFF,#0675D0,,Ohio Valley,FCS,,,
Eastern Kentucky,Eastern Kentucky University,Colonels,#730B27,#FFFFFF,#A7AAAB,,Ohio Valley,FCS,,,
Eastern Michigan,Eastern Michigan University,Eagles,#0B5F24,#FFFFFF,#7F7F7F,,Mid-American,FBS,"120 Hover Hall, Ypsilanti, MI, 48197",42.2411499,-83.6129939
Eastern Washington,Eastern Washington University,Eagles,#D72E34,#FFFFFF,#000000,,Big Sky,FCS,,,
Elon,Elon University,Phoenix,#040404,#AEA460,#9E0152,#FFFFFF,Southern,FCS,,,
Florida,University of Florida,Gators,#2139CE,#FF4208,#FFFFFF,#39734A,SEC,FBS,"355 Tigert Hall, Gainesville, FL, 32611-3115",29.6494114,-82.3398906
Florida A&M,Florida Agricultural and Mechanical University,Rattlers,#F89728,#00B552,#FFFFFF,,MEAC,FCS,,,
Florida Atlantic,Florida Atlantic University,Owls,#004B85,#FFFFFF,#CD1041,,Conference USA,FBS,"777 Glades Rd, Boca Raton, FL, 33431-0991",26.365668,-80.106093
Florida International,Florida International University,Golden Panthers,#002D62,#C5960B,#FFFFFF,,Conference USA,FBS,"11200 SW 8th Street, Miami, FL, 33199",25.760996,-80.376256
Florida State,Florida State University,Seminoles,#900028,#A8936B,#231F20,#FFFFFF,ACC,FBS,"211 Westcott Bldg, Tallahassee, FL, 32306-1037",30.4406686,-84.2916516
Fordham,Fordham University,Rams,#830032,#FFFFFF,#1E1A1B,,Patriot League,FCS,,,
Fresno State,California State University: Fresno,Bulldogs,#00427A,#E32F38,#FFFFFF,,Mountain West,FBS,,,
Furman,Furman University,Paladins,#3A1769,#FFFFFF,,,Southern,FCS,,,
Gardner-Webb,Gardner-Webb University,Runnin' Bulldogs,#BF2C37,#FFFFFF,#231F20,,Big South,FCS,,,
Georgetown,Georgetown University,Hoyas,#49487C,#FFFFFF,#AC928A,,Patriot League,FCS,,,
Georgia,University of Georgia,Bulldogs,#A0000B,#000000,#FFFFFF,,SEC,FBS,"The Administration Building, Athens, GA, 30602",33.9562215,-83.3739514
Georgia Southern,Georgia Southern University,Eagles,#003775,#FFFFFF,#9B8348,#9DB7c4,Southern,FCS,,,
Georgia State,Georgia State University,Panthers,#005DAA,#FFFFFF,#F8112B,,Sun Belt,FBS,,,
Georgia Tech,Georgia Institute of Technology,Yellow Jackets,#160A06,#FDB813,#FFFFFF,,ACC,FBS,"225 North Ave, Atlanta, GA, 30332-0530",33.7724231,-84.3950522
Grambling State,Grambling State University,Tigers,#F88400,#101008,#FFFFFF,,SWAC,FCS,,,
Hampton,Hampton University,Pirates,#0067AC,#FFFFFF,#E5B67D,,MEAC,FCS,,,
Harvard,Harvard University,Crimson,#C41130,#FFFFFF,#231F20,,Ivy League,FCS,,,
Hawaii,University of Hawaii at Manoa,Warriors,#004231,#000000,#FFFFFF,,Mountain West,FBS,"2500 Campus Road, Hawaii Hall, Honolulu, HI, 96822-2301",21.2984111,-157.8202236
Holy Cross,College of the Holy Cross,Crusaders,#090909,#1B2154,#FFFFFF,#909095,Patriot League,FCS,,,
Houston,University of Houston,Cougars,#C90822,#012259,#FFFFFF,,American Athletic,FBS,"212 E. Cullen Building, Houston, TX, 77204-2018",29.72037,-95.34374
Houston Baptist,,,,,,,Independent,FCS,,,
Howard,Howard University,Bison,#EE3A43,#09347A,#FFFFFF,,MEAC,FCS,,,
Idaho,University of Idaho,Vandals,#000000,#FFCC13,#FFFFFF,,Independent,FBS,"875 Perimeter Drive, Moscow, ID, 83844-2282",46.729084,-117.021692
Idaho State,Idaho State University,Bengals,#FF8400,#000000,#FAD001,#FFFFFF,Big Sky,FCS,,,
Illinois,University of Illinois at Urbana-Champaign,Fighting Illini,#F5873C,#1B4178,#FFFFFF,,Big 10,FBS,"601 E John Street, Champaign, IL, 61820-5711",40.1090648,-88.2303519
Illinois State,Illinois State University,Redbirds,#E61731,#010000,#FFFFFF,#FEE818,Missouri Valley,FCS,,,
Incarnate Word,,,,,,,Independent,FCS,,,
Indiana,Indiana University Bloomington,Hoosiers,#A82B3D,#FFFFFF,,,Big 10,FBS,"107 South Indiana Ave., Bloomington, IN, 47405-7000",39.1664826,-86.5268958
Indiana State,Indiana State University,Sycamores,#00669A,#FFFFFF,,,Missouri Valley,FCS,,,
Iowa,University of Iowa,Hawkeyes,#000000,#FFD700,#FFFFFF,,Big 10,FBS,"101 Jessup Hall, Iowa City, IA, 52242-1316",41.6619401,-91.5365244
Iowa State,Iowa State University,Cyclones,#840A2C,#FEC938,#FFFFFF,,Big 12,FBS,"Beardshear Hall, Ames, IA, 50011-2030",42.026063,-93.64807
Jackson State,Jackson State University,Tigers,#123297,#FFFFFF,,,SWAC,FCS,,,
Jacksonville,Jacksonville University,Dolphins,#008568,#FFFFFF,#000000,#8B8B8B,Pioneer Football,FCS,,,
Jacksonville State,Jacksonville State University,Gamecocks,#E53F40,#FFFFFF,#1D1819,,Ohio Valley,FCS,,,
James Madison,James Madison University,Dukes,#263997,#D5A10E,#FFFFFF,#B3B5B8,Colonial Athletic Association,FCS,,,
Kansas,University of Kansas,Jayhawks,#006AB5,#FFFFFF,#FFD204,#E51837,Big 12,FBS,"1651 Naismith, Lawrence, KS, 66045",38.9541438,-95.2527379
Kansas State,Kansas State University,Wildcats,#633194,#FFFFFF,,,Big 12,FBS,"Anderson Hall, Manhattan, KS, 66506",39.1885651,-96.5809246
Kent State,Kent State University,Golden Flashes,#131149,#F7BD0A,#FFFFFF,,Mid-American,FBS,"PO Box 5190, Kent, OH, 44242-0001",41.1527662,-81.3492229
Kentucky,University of Kentucky,Wildcats,#003399,#FFFFFF,#EBEBE4,,SEC,FBS,"101 Main Building, Lexington, KY, 40506-0032",38.046593,-84.496939
Lafayette,Lafayette College,Leopards,#9A0024,#CDBDA3,#0B070B,#FFFFFF,Patriot League,FCS,,,
Lamar,Lamar University,Cardinals,#231F20,#ED1B2E,#FFFFFF,#FCB131,Southland,FCS,,,
Lehigh,Lehigh University,Mountain Hawks,#994708,#CFAB7A,#653600,#FFFFFF,Patriot League,FCS,,,
Liberty,Liberty University,Flames,#02298A,#A70F00,#FFFFFF,,Big South,FCS,,,
Louisiana Tech,Louisiana Tech University,Bulldogs,#006AB5,#ED1C24,#FFFFFF,,Conference USA,FBS,"305 Wisteria, Ruston, LA, 71272",32.5270368,-92.6491978
Louisiana-Lafayette,University of Louisiana at Lafayette,Ragin' Cajuns,#D73347,#FFFFFF,#F4A42A,#231F20,Sun Belt,FBS,"104 University Circle, Lafayette, LA, 70503",30.2095864,-92.0085328
Louisiana-Monroe,University of Louisiana at Monroe,Warhawks,#231F20,#98012E,#FFFFFF,#B38807,Sun Belt,FBS,,,
Louisville,University of Louisville,Cardinals,#FD0B20,#070707,#FFFFFF,#FFC010,American Athletic,FBS,"2301 S 3rd St, Louisville, KY, 40292-0001",38.2150724,-85.7602816
LSU,Louisiana State University and Agricultural and Mechanical College,Tigers,#33297B,#FDB827,#FFFFFF,,SEC,FBS,"P.O. Box 25095, Baton Rouge, LA, 70803-2750",30.41,-91.18
Maine,University of Maine,Black Bears,#2E8DC4,#FFFFFF,#909090,#000000,Colonial Athletic Association,FCS,,,
Marist,Marist College,Red Foxes,#EF1216,#FFFFFF,#210203,,Pioneer Football,FCS,,,
Marshall,Marshall University,Thundering Herd,#01592F,#FFFFFF,#000000,,Conference USA,FBS,"1 John Marshall Dr, Huntington, WV, 25755",38.4231429,-82.4292749
Maryland,University of Maryland: College Park,Terrapins,#D5002B,#FFFFFF,#000000,#C68746,ACC,FBS,"Main Administration Building, College Park, MD, 20742",38.9859861,-76.9397745
Massachusetts,University of Massachusetts Amherst,Minutemen,#9F011A,#FFFFFF,#12090A,,Mid-American,FBS,,,
McNeese State,McNeese State University,Cowboys,#FFD51D,#00529C,#FFFFFF,,Southland,FCS,,,
Memphis,University of Memphis,Tigers,#2A2A9B,#FFFFFF,#FEC003,,American Athletic,FBS,"570 Normal St., Memphis, TN, 38152-3730",35.1156213,-89.9338615
Mercer,,,,,,,Pioneer Football,FCS,,,
Miami (FL),University of Miami,Hurricanes,#003E24,#E75C2D,#FFFFFF,,ACC,FBS,"University of Miami, Coral Gables, FL, 33124",25.75,-80.26
Miami (OH),Miami University: Oxford Campus,RedHawks,#C60808,#080808,#FFFFFF,#3F7D91,Mid-American,FBS,"500 High St, Oxford, OH, 45056",39.5106603,-84.7315621
Michigan,University of Michigan,Wolverines,#272341,#FAC417,#FFFFFF,,Big 10,FBS,"3014 Fleming Bldg, Ann Arbor, MI, 48109",42.2758366,-83.7427399
Michigan State,Michigan State University,Spartans,#1C453A,#FFFFFF,#000000,,Big 10,FBS,"450 Administration Building, East Lansing, MI, 48824-1046",42.727247,-84.494436
