team,official,nickname,color1,color2,color3,color4,conference,subdivision,address,lat,lon
Southern Miss,University of Southern Mississippi,Golden Eagles,#FFAA3C,#201C1D,#FFFFFF,,Conference USA,FBS,"118 College Drive # 0001, Hattiesburg, MS, 39406-0001",31.3296966,-89.295482
Southern University,Southern University and Agricultural and Mechanical College,Jaguars,#004B97,#FFCD02,#FFFFFF,,SWAC,FCS,,,
Southern Utah,Southern Utah University,Thunderbirds,#D12947,#050607,#FFFFFF,,Big Sky,FCS,,,
Stanford,Stanford University,Cardinal,#A80532,#FFFFFF,,,Pac-12,FBS,"450 Serra Mall, Stanford, CA, 94305",37.428443,-122.1695305
Stephen F. Austin,Stephen F. Austin State University,Lumberjacks,#393996,#EE3A42,#FFFFFF,,Southland,FCS,,,
Stetson,,,,,,,Pioneer Football,FCS,,,
Stony Brook,State University of New York at Stony Brook,Seawolves,#115F9A,#B33A4E,#FFFFFF,,Colonial Athletic Association,FCS,,,
Syracuse,Syracuse University,Orange,#002D62,#F37321,#FFFFFF,,ACC,FBS,"Suite 600 Crouse-Hinds Hall, Syracuse, NY, 13244-1100",43.040248,-76.1370235
TCU,Texas Christian University,Horned Frogs,#3C377D,#EBEBEB,#FFFFFF,#1E1B1C,Big 12,FBS,"2800 S University Dr, Fort Worth, TX, 76129",32.7118466,-97.363079
Temple,Temple University,Owls,#A80532,#FFFFFF,#000000,,American Athletic,FBS,"1801 North Broad Street, Philadelphia, PA, 19122-6096",39.980271,-75.157053
Tennessee,University of Tennessee: Knoxville,Volunteers,#EE9627,#FFFFFF,,,SEC,FBS,,,
Tennessee State,Tennessee State University,Tigers,#383C84,#FFFFFF,#060607,,Ohio Valley,FCS,,,
Tennessee Tech,Tennessee Technological University,Golden Eagles,#5A4099,#FFDE00,#FFFFFF,,Ohio Valley,FCS,,,
Tennessee-Martin,University of Tennessee: Martin,Skyhawks,#FF6700,#000099,#FFFFFF,,Ohio Valley,FCS,,,
Texas,The University of Texas at Austin,Longhorns,#EE7524,#FFFFFF,,,Big 12,FBS,"1 University Station, Austin, TX, 78712",30.281613,-97.731489
Texas A&M,Texas A&M University,Aggies,#5C0025,#FFFFFF,,,SEC,FBS,"MS 1246, College Station, TX, 77843",32.7478079,-97.0217213
Texas Southern,Texas Southern University,Tigers,#6A0403,#FFFFFF,,,SWAC,FCS,,,
Texas State,Texas State University-San Marcos,Bobcats,#744143,#9B8449,#FFFFFF,,Sun Belt,FBS,,,
Texas Tech,Texas Tech University,Red Raiders,#C80025,#000000,#FFFFFF,,Big 12,FBS,"Broadway and University Avenue, Lubbock, TX, 79409-5005",33.5845327,-101.8707027
The Citadel,The Citadel,Bulldogs,#002B5C,#FFFFFF,,,Southern,FCS,,,
Toledo,University of Toledo,Rockets,#00488F,#FFD51D,#FFFFFF,,Mid-American,FBS,"2801 W Bancroft, Toledo, OH, 43606-3390",41.6585172,-83.6120617
Towson,Towson University,Tigers,#FFC229,#1E1C1C,#FFFFFF,,Colonial Athletic Association,FCS,,,
Troy,Troy University,Trojans,#AE0210,#FFFFFF,#6E7272,#000000,Sun Belt,FBS,"University Avenue, Troy, AL, 36082-0001",31.7983394,-85.9572618
Tulane,Tulane University,Green Wave,#005837,#FFFFFF,#6EA396,#00A6eb,Conference USA,FBS,"6823 Saint Charles Ave, New Orleans, LA, 70118-5698",29.934585,-90.1230366
Tulsa,University of Tulsa,Golden Hurricane,#004371,#FFFFFF,#E21721,#000000,Conference USA,FBS,"800 South Tucker Drive, Tulsa, OK, 74104-3189",36.1491309,-95.9464523
UAB,The University of Alabama at Birmingham,Blazers,#054338,#040504,#FFFFFF,#E7BD05,Conference USA,FBS,,,
UC Davis,University of California: Davis,Aggies,#183563,#CB992B,#FFFFFF,#CCCCCD,Big Sky,FCS,,,
UCF,University of Central Florida,Knights,#231F20,#B4985A,#FFFFFF,,American Athletic,FBS,,,
UCLA,University of California: Los Angeles,Bruins,#005C8E,#FFB325,#000000,#FFFFFF,Pac-12,FBS,"405 Hilgard Ave, Los Angeles, CA, 90095-1405",34.0709334,-118.4421229
UNC Charlotte,,,,,,,Independent,FCS,,,
UNLV,University of Nevada: Las Vegas,Rebels,#231E1F,#D50026,#FFFFFF,,Mountain West,FBS,,,
USC,University of Southern California,Trojans,#AE2531,#FFAC33,#FFFFFF,,Pac-12,FBS,"University Park, Los Angeles, CA, 90089",34.0133669,-118.1682199
Utah,University of Utah,Utes,#CD1041,#231F20,#FFFFFF,,Pac-12,FBS,"201 Presidents Circle, Room 203, Salt Lake City, UT, 84112-9008",40.765023,-111.848931
Utah State,Utah State University,Aggies,#003263,#FFFFFF,#000000,,Mountain West,FBS,"Old Main Hill, Logan, UT, 84322-1400",41.7408463,-111.8157639
UTEP,University of Texas-El Paso,Miners,#002843,#F9783B,#FFFFFF,#C2BFBC,Conference USA,FBS,"500 W. University Ave, El Paso, TX, 79968-0691",31.7704338,-106.5043979
UTSA,University of Texas at San Antonio,Roadrunners,#002A5C,#F47321,#FFFFFF,,Conference USA,FBS,,,
Valparaiso,Valparaiso University,Crusaders,#794500,#FFD204,#FFFFFF,,Pioneer Football,FCS,,,
Vanderbilt,Vanderbilt University,Commodores,#000000,#BB8D09,#FFFFFF,,SEC,FBS,"2101 West End Avenue, Nashville, TN, 37240",36.1504349,-86.801199
Villanova,Villanova University,Wildcats,#123d7C,#FFFFFF,#80FBFF,,Colonial Athletic Association,FCS,,,
Virginia,University of Virginia,Cavaliers,#00204E,#EA4B0F,#FFFFFF,,ACC,FBS,"PO Box 400224, Charlottesville, VA, 22904",38.0334517,-78.514259
Virginia Tech,Virginia Polytechnic Institute & State University,Hokies,#74232D,#FBB088,#FFFFFF,,ACC,FBS,,,
VMI,Virginia Military Institute,Keydets,#000000,#E52D37,#FFC527,#FFFFFF,Big South,FCS,,,
Wagner,Wagner College,Seahawks,#00483A,#FFFFFF,#BABCBE,,NEC,FCS,,,
Wake Forest,Wake Forest University,Demon Deacons,#000000,#C49544,#FFFFFF,,ACC,FBS,"1834 Wake Forest Road, Winston Salem, NC, 27106",36.1318798,-80.2803994
Washington,University of Washington,Huskies,#2B2F64,#E8D4A3,#FFFFFF,,Pac-12,FBS,"1400 NE Campus Parkway, Seattle, WA, 98195-4550",47.6562222,-122.3132446
Washington State,Washington State University,Cougars,#97002F,#FFFFFF,,,Pac-12,FBS,"French Administration Building, Pullman, WA, 99164-1009",46.7304147,-117.158331
Weber State,Weber State University,Wildcats,#29086B,#FFFFFF,,,Big Sky,FCS,,,
West Virginia,West Virginia University,Mountaineers,#FFC600,#000000,#FFFFFF,,Big 12,FBS,"Stewart Hall, University Avenue, Morgantown, WV, 26506-6201",39.6347691,-79.9545878
Western Carolina,Western Carolina University,Catamounts,#492F91,#FFFFFF,#CFAB7A,,Southern,FCS,,,
Western Illinois,Western Illinois University,Leathernecks,#6812BB,#DFFF16,#FFFFFF,,Missouri Valley,FCS,,,
Western Kentucky,Western Kentucky University,Hilltoppers,#F32026,#010000,#FFFFFF,,Sun Belt,FBS,"1906 College Heights Blvd, Bowling Green, KY, 42101-1000",36.9876083,-86.4508795
Western Michigan,Western Michigan University,Broncos,#7E3E09,#FFFFFF,#B59966,#1D1B1B,Mid-American,FBS,"1903 West Michigan Avenue, Kalamazoo, MI, 49008-5167",42.2836106,-85.6199488
William & Mary,College of William and Mary,Tribe,#103217,#FDF71C,#FFFFFF,,Colonial Athletic Association,FCS,,,
Wisconsin,University of Wisconsin-Madison,Badgers,#A00000,#000000,#FFFFFF,,Big 10,FBS,"500 Lincoln Dr, Madison, WI, 53706-1380",43.0746351,-89.403633
Wofford,Wofford College,Terriers,#000000,#FFD700,#FFFFFF,,Southern,FCS,,,
Wyoming,University of Wyoming,Cowboys,#533B22,#000000,#FFFFFF,,Mountain West,FBS,"Corner of Ninth and Ivinson, Laramie, WY, 82071",41.3114964,-105.5856475
Yale,Yale University,Bulldogs,#004A81,#040404,#FFFFFF,,Ivy League,FCS,,,
Youngstown State,Youngstown State University,Penguins,#E51937,#231F20,#FFFFFF,,Missouri Valley,FCS,,,
