"","No","WL","Date","PF","Opponent","PA","Bowl","Team","offName"
"487","38","W","01-01-2011","37","Penn St.","24","Outback Bowl","Florida","University of Florida"
"488","39","W","01-02-2012","24","Ohio St.","17","Gator Bowl","Florida","University of Florida"
"489","40","L","01-02-2013","23","Louisville (KY)","33","Sugar Bowl","Florida","University of Florida"
"490","1","W","12-21-2007","44","Memphis (TN)","27","New Orleans Bowl","Florida Atlantic","Florida Atlantic University"
"491","2","W","12-26-2008","24","Central Michigan","21","Motor City Bowl","Florida Atlantic","Florida Atlantic University"
"492","1","W","12-26-2010","34","Toledo (OH)","32","Little Caesars Pizza Bowl","Florida International","Florida International University"
"493","2","L","12-20-2011","10","Marshall (WV)","20","Saint Petersburg Bowl","Florida International","Florida International University"
"494","1","L","01-01-1955","20","Texas-El Paso","47","Sun Bowl","Florida St.","Florida State University"
"495","2","L","12-13-1958","6","Oklahoma St.","15","Bluegrass Bowl","Florida St.","Florida State University"
"496","3","W","01-02-1965","36","Oklahoma","19","Gator Bowl","Florida St.","Florida State University"
"497","4","L","12-24-1966","20","Wyoming","28","Sun Bowl","Florida St.","Florida State University"
"498","5","T","12-30-1967","17","Penn St.","17","Gator Bowl","Florida St.","Florida State University"
"499","6","L","12-30-1968","27","Louisiana St.","31","Peach Bowl","Florida St.","Florida State University"
"500","7","L","12-27-1971","38","Arizona St.","45","Fiesta Bowl","Florida St.","Florida State University"
"501","8","W","12-23-1977","40","Texas Tech","17","Tangerine Bowl","Florida St.","Florida State University"
"502","9","L","01-01-1980","7","Oklahoma","24","Orange Bowl","Florida St.","Florida State University"
"503","10","L","01-01-1981","17","Oklahoma","18","Orange Bowl","Florida St.","Florida State University"
"504","11","W","12-30-1982","31","West Virginia","12","Gator Bowl","Florida St.","Florida State University"
"505","12","W","12-30-1983","28","North Carolina","3","Peach Bowl","Florida St.","Florida State University"
"506","13","T","12-22-1984","17","Georgia","17","Florida Citrus Bowl","Florida St.","Florida State University"
"507","14","W","12-30-1985","34","Oklahoma St.","23","Gator Bowl","Florida St.","Florida State University"
"508","15","W","12-31-1986","27","Indiana","13","All-American Bowl (2)","Florida St.","Florida State University"
"509","16","W","01-01-1988","31","Nebraska","28","Fiesta Bowl","Florida St.","Florida State University"
"510","17","W","01-02-1989","13","Auburn (AL)","7","Sugar Bowl","Florida St.","Florida State University"
"511","18","W","01-01-1990","41","Nebraska","17","Fiesta Bowl","Florida St.","Florida State University"
"512","19","W","12-28-1990","24","Penn St.","17","Blockbuster Bowl","Florida St.","Florida State University"
"513","20","W","01-01-1992","10","Texas A&M","2","Cotton Bowl","Florida St.","Florida State University"
"514","21","W","01-01-1993","27","Nebraska","14","Orange Bowl","Florida St.","Florida State University"
"515","22","W","01-01-1994","18","Nebraska","16","Orange Bowl","Florida St.","Florida State University"
"516","23","W","01-02-1995","23","Florida","17","Sugar Bowl","Florida St.","Florida State University"
"517","24","W","01-01-1996","31","Notre Dame (IN)","26","Orange Bowl","Florida St.","Florida State University"
"518","25","L","01-02-1997","20","Florida","52","Sugar Bowl","Florida St.","Florida State University"
"519","26","W","01-01-1998","31","Ohio St.","14","Sugar Bowl","Florida St.","Florida State University"
"520","27","L","01-04-1999","16","Tennessee","23","Fiesta Bowl","Florida St.","Florida State University"
"521","28","W","01-04-2000","46","Virginia Tech","29","Sugar Bowl","Florida St.","Florida State University"
"522","29","L","01-03-2001","2","Oklahoma","13","Orange Bowl","Florida St.","Florida State University"
"523","30","W","01-01-2002","30","Virginia Tech","17","Gator Bowl","Florida St.","Florida State University"
"524","31","L","01-01-2003","13","Georgia","26","Sugar Bowl","Florida St.","Florida State University"
"525","32","L","01-01-2004","14","Miami (FL)","16","Orange Bowl","Florida St.","Florida State University"
"526","33","W","01-01-2005","30","West Virginia","18","Gator Bowl","Florida St.","Florida State University"
"527","34","L","01-03-2006","23","Penn St.","26","Orange Bowl - Penn St. Vacated Game","Florida St.","Florida State University"
"528","35","N/A","12-27-2006","44","UCLA","27","Emerald Bowl - Florida St. Vacated Game","Florida St.","Florida State University"
"529","36","L","12-31-2007","28","Kentucky","35","Music City Bowl","Florida St.","Florida State University"
"530","37","W","12-27-2008","42","Wisconsin","13","Champs Sports Bowl","Florida St.","Florida State University"
"531","38","W","01-01-2010","33","West Virginia","21","Gator Bowl","Florida St.","Florida State University"
"532","39","W","12-31-2010","26","South Carolina","17","Peach Bowl","Florida St.","Florida State University"
"533","40","W","12-29-2011","18","Notre Dame (IN)","14","Champs Sports Bowl","Florida St.","Florida State University"
"534","41","W","01-01-2013","31","Northern Illinois","10","Orange Bowl","Florida St.","Florida State University"
"535","42","W","01-06-2014","34","Auburn (AL)","31","BCS Championship Game","Florida St.","Florida State University"
"536","1","L","01-01-1946","12","Drake (IA)","13","Raisin Bowl","Fresno St. (CA)","California State University: Fresno"
"537","2","W","11-23-1961","36","Bowling Green (OH)","6","Mercy Bowl","Fresno St. (CA)","California State University: Fresno"
"538","3","W","12-18-1982","29","Bowling Green (OH)","28","California Bowl","Fresno St. (CA)","California State University: Fresno"
"539","4","W","12-14-1985","51","Bowling Green (OH)","7","California Bowl","Fresno St. (CA)","California State University: Fresno"
"540","5","W","12-10-1988","35","Western Michigan","30","California Bowl","Fresno St. (CA)","California State University: Fresno"
"541","6","W","12-09-1989","27","Ball St. (IN)","6","California Bowl","Fresno St. (CA)","California State University: Fresno"
"542","7","L","12-14-1991","21","Bowling Green (OH)","28","California Bowl","Fresno St. (CA)","California State University: Fresno"
"543","8","W","12-29-1992","24","Southern California","7","Freedom Bowl","Fresno St. (CA)","California State University: Fresno"
"544","9","L","12-25-1993","30","Colorado","41","Aloha Bowl","Fresno St. (CA)","California State University: Fresno"
"545","10","L","12-18-1999","16","Utah","17","Las Vegas Bowl","Fresno St. (CA)","California State University: Fresno"
"546","11","L","12-31-2000","34","Air Force (CO)","37","Silicon Valley Classic","Fresno St. (CA)","California State University: Fresno"
"547","12","L","12-31-2001","35","Michigan St.","44","Silicon Valley Classic","Fresno St. (CA)","California State University: Fresno"
"548","13","W","12-31-2002","30","Georgia Tech","21","Silicon Valley Classic","Fresno St. (CA)","California State University: Fresno"
"549","14","W","12-30-2003","17","UCLA","9","Silicon Valley Classic","Fresno St. (CA)","California State University: Fresno"
"550","15","W","12-27-2004","37","Virginia","34","MPC Computers Bowl","Fresno St. (CA)","California State University: Fresno"
"551","16","L","12-31-2005","24","Tulsa (OK)","31","Liberty Bowl","Fresno St. (CA)","California State University: Fresno"
"552","17","W","12-31-2007","40","Georgia Tech","28","Humanitarian Bowl","Fresno St. (CA)","California State University: Fresno"
"553","18","L","12-20-2008","35","Colorado St.","40","New Mexico Bowl","Fresno St. (CA)","California State University: Fresno"
"554","19","L","12-19-2009","28","Wyoming","35","New Mexico Bowl","Fresno St. (CA)","California State University: Fresno"
"555","20","L","12-18-2010","17","Northern Illinois","40","Humanitarian Bowl","Fresno St. (CA)","California State University: Fresno"
"556","21","L","12-24-2012","10","Southern Methodist (TX)","43","Hawaii Bowl","Fresno St. (CA)","California State University: Fresno"
"557","22","L","12-21-2013","20","Southern California","45","Las Vegas Bowl","Fresno St. (CA)","California State University: Fresno"
"558","1","W","01-01-1942","40","Texas Christian","26","Orange Bowl","Georgia","University of Georgia"
"559","2","W","01-01-1943","9","UCLA","0","Rose Bowl","Georgia","University of Georgia"
"560","3","W","01-01-1946","20","Tulsa (OK)","6","Oil Bowl","Georgia","University of Georgia"
"561","4","W","01-01-1947","20","North Carolina","10","Sugar Bowl","Georgia","University of Georgia"
"562","5","T","01-01-1948","20","Maryland","20","Gator Bowl","Georgia","University of Georgia"
"563","6","L","01-01-1949","28","Texas","41","Orange Bowl","Georgia","University of Georgia"
"564","7","L","12-09-1950","20","Texas A&M","40","Presidential Cup Bowl","Georgia","University of Georgia"
"565","8","W","01-01-1960","14","Missouri","0","Orange Bowl","Georgia","University of Georgia"
"566","9","W","12-26-1964","7","Texas Tech","0","Sun Bowl","Georgia","University of Georgia"
"567","10","W","12-31-1966","24","Southern Methodist (TX)","9","Cotton Bowl","Georgia","University of Georgia"
"568","11","L","12-16-1967","7","North Carolina St.","14","Liberty Bowl","Georgia","University of Georgia"
"569","12","L","01-01-1969","2","Arkansas","16","Sugar Bowl","Georgia","University of Georgia"
"570","13","L","12-20-1969","6","Nebraska","45","Sun Bowl","Georgia","University of Georgia"
"571","14","W","12-31-1971","7","North Carolina","3","Gator Bowl","Georgia","University of Georgia"
"572","15","W","12-28-1973","17","Maryland","16","Peach Bowl","Georgia","University of Georgia"
"573","16","L","12-21-1974","10","Miami (OH)","21","Tangerine Bowl","Georgia","University of Georgia"
"574","17","L","01-01-1976","10","Arkansas","31","Cotton Bowl","Georgia","University of Georgia"
"575","18","L","01-01-1977","3","Pittsburgh (PA)","27","Sugar Bowl","Georgia","University of Georgia"
"576","19","L","12-31-1978","22","Stanford (CA)","25","Bluebonnet Bowl","Georgia","University of Georgia"
"577","20","W","01-01-1981","17","Notre Dame (IN)","10","Sugar Bowl","Georgia","University of Georgia"
"578","21","L","01-01-1982","20","Pittsburgh (PA)","24","Sugar Bowl","Georgia","University of Georgia"
"579","22","L","01-01-1983","23","Penn St.","27","Sugar Bowl","Georgia","University of Georgia"
"580","23","W","01-02-1984","10","Texas","9","Cotton Bowl","Georgia","University of Georgia"
"581","24","T","12-22-1984","17","Florida St.","17","Florida Citrus Bowl","Georgia","University of Georgia"
"582","25","T","12-28-1985","13","Arizona","13","Sun Bowl","Georgia","University of Georgia"
"583","26","L","12-23-1986","24","Boston College (MA)","27","Hall of Fame Bowl","Georgia","University of Georgia"
"584","27","W","12-29-1987","20","Arkansas","17","Liberty Bowl","Georgia","University of Georgia"
"585","28","W","01-01-1989","34","Michigan St.","27","Gator Bowl","Georgia","University of Georgia"
"586","29","L","12-30-1989","18","Syracuse (NY)","19","Peach Bowl","Georgia","University of Georgia"
"587","30","W","12-29-1991","24","Arkansas","15","Independence Bowl","Georgia","University of Georgia"
"588","31","W","01-01-1993","21","Ohio St.","14","Florida Citrus Bowl","Georgia","University of Georgia"
"589","32","L","12-30-1995","27","Virginia","34","Peach Bowl","Georgia","University of Georgia"
"590","33","W","01-01-1998","33","Wisconsin","6","Outback Bowl","Georgia","University of Georgia"
"591","34","W","12-31-1998","35","Virginia","33","Peach Bowl","Georgia","University of Georgia"
"592","35","W","01-01-2000","28","Purdue (IN)","25","Outback Bowl","Georgia","University of Georgia"
"593","36","W","12-24-2000","37","Virginia","14","Oahu Classic","Georgia","University of Georgia"
"594","37","L","12-28-2001","16","Boston College (MA)","20","Music City Bowl","Georgia","University of Georgia"
"595","38","W","01-01-2003","26","Florida St.","13","Sugar Bowl","Georgia","University of Georgia"
"596","39","W","01-01-2004","34","Purdue (IN)","27","Capital One Bowl","Georgia","University of Georgia"
"597","40","W","01-01-2005","24","Wisconsin","21","Outback Bowl","Georgia","University of Georgia"
"598","41","L","01-02-2006","35","West Virginia","38","Sugar Bowl","Georgia","University of Georgia"
"599","42","W","12-30-2006","31","Virginia Tech","24","Peach Bowl","Georgia","University of Georgia"
"600","43","W","01-01-2008","41","Hawaii","10","Sugar Bowl","Georgia","University of Georgia"
"601","44","W","01-01-2009","24","Michigan St.","12","Capital One Bowl","Georgia","University of Georgia"
"602","45","W","12-28-2009","44","Texas A&M","20","Independence Bowl","Georgia","University of Georgia"
"603","46","L","12-31-2010","6","Central Florida","10","Liberty Bowl","Georgia","University of Georgia"
"604","47","L","01-02-2012","30","Michigan St.","33","Outback Bowl","Georgia","University of Georgia"
"605","48","W","01-01-2013","45","Nebraska","31","Capital One Bowl","Georgia","University of Georgia"
"606","49","L","01-01-2014","19","Nebraska","24","Gator Bowl","Georgia","University of Georgia"
"607","1","W","01-01-1929","8","California","7","Rose Bowl","Georgia Tech","Georgia Institute of Technology"
"608","2","W","01-01-1940","21","Missouri","7","Orange Bowl","Georgia Tech","Georgia Institute of Technology"
"609","3","L","01-01-1943","7","Texas","14","Cotton Bowl","Georgia Tech","Georgia Institute of Technology"
"610","4","W","01-01-1944","20","Tulsa (OK)","18","Sugar Bowl","Georgia Tech","Georgia Institute of Technology"
"611","5","L","01-01-1945","12","Tulsa (OK)","26","Orange Bowl","Georgia Tech","Georgia Institute of Technology"
"612","6","W","01-01-1947","41","Saint Mary's (CA)","19","Oil Bowl","Georgia Tech","Georgia Institute of Technology"
"613","7","W","01-01-1948","20","Kansas","14","Orange Bowl","Georgia Tech","Georgia Institute of Technology"
"614","8","W","01-01-1952","17","Baylor (TX)","14","Orange Bowl","Georgia Tech","Georgia Institute of Technology"
"615","9","W","01-01-1953","24","Mississippi","7","Sugar Bowl","Georgia Tech","Georgia Institute of Technology"
"616","10","W","01-01-1954","42","West Virginia","19","Sugar Bowl","Georgia Tech","Georgia Institute of Technology"
"617","11","W","01-01-1955","14","Arkansas","6","Cotton Bowl","Georgia Tech","Georgia Institute of Technology"
"618","12","W","01-02-1956","7","Pittsburgh (PA)","0","Sugar Bowl","Georgia Tech","Georgia Institute of Technology"
"619","13","W","12-29-1956","21","Pittsburgh (PA)","14","Gator Bowl","Georgia Tech","Georgia Institute of Technology"
"620","14","L","01-02-1960","7","Arkansas","14","Gator Bowl","Georgia Tech","Georgia Institute of Technology"
"621","15","L","12-30-1961","15","Penn St.","30","Gator Bowl","Georgia Tech","Georgia Institute of Technology"
"622","16","L","12-22-1962","10","Missouri","14","Bluebonnet Bowl","Georgia Tech","Georgia Institute of Technology"
"623","17","W","12-31-1965","31","Texas Tech","21","Gator Bowl","Georgia Tech","Georgia Institute of Technology"
"624","18","L","01-02-1967","12","Florida","27","Orange Bowl","Georgia Tech","Georgia Institute of Technology"
"625","19","W","12-19-1970","17","Texas Tech","9","Sun Bowl","Georgia Tech","Georgia Institute of Technology"
"626","20","L","12-30-1971","18","Mississippi","41","Peach Bowl","Georgia Tech","Georgia Institute of Technology"
"627","21","W","12-18-1972","31","Iowa St.","30","Liberty Bowl","Georgia Tech","Georgia Institute of Technology"
"628","22","L","12-25-1978","21","Purdue (IN)","41","Peach Bowl","Georgia Tech","Georgia Institute of Technology"
"629","23","W","12-31-1985","17","Michigan St.","14","Hall of Fame Classic","Georgia Tech","Georgia Institute of Technology"
"630","24","W","01-01-1991","45","Nebraska","21","Florida Citrus Bowl","Georgia Tech","Georgia Institute of Technology"
"631","25","W","12-25-1991","18","Stanford (CA)","17","Aloha Bowl","Georgia Tech","Georgia Institute of Technology"
"632","26","W","12-29-1997","35","West Virginia","30","Carquest Bowl","Georgia Tech","Georgia Institute of Technology"
"633","27","W","01-01-1999","35","Notre Dame (IN)","28","Gator Bowl","Georgia Tech","Georgia Institute of Technology"
"634","28","L","01-01-2000","13","Miami (FL)","28","Gator Bowl","Georgia Tech","Georgia Institute of Technology"
"635","29","L","12-29-2000","14","Louisiana St.","28","Peach Bowl","Georgia Tech","Georgia Institute of Technology"
"636","30","W","12-27-2001","24","Stanford (CA)","14","Seattle Bowl","Georgia Tech","Georgia Institute of Technology"
"637","31","L","12-31-2002","21","Fresno St. (CA)","30","Silicon Valley Classic","Georgia Tech","Georgia Institute of Technology"
"638","32","W","01-03-2004","52","Tulsa (OK)","10","Humanitarian Bowl","Georgia Tech","Georgia Institute of Technology"
"639","33","W","12-21-2004","51","Syracuse (NY)","14","Champs Sports Bowl","Georgia Tech","Georgia Institute of Technology"
"640","34","L","12-29-2005","10","Utah","38","Emerald Bowl","Georgia Tech","Georgia Institute of Technology"
"641","35","L","01-01-2007","35","West Virginia","38","Gator Bowl","Georgia Tech","Georgia Institute of Technology"
"642","36","L","12-31-2007","28","Fresno St. (CA)","40","Humanitarian Bowl","Georgia Tech","Georgia Institute of Technology"
"643","37","L","12-31-2008","3","Louisiana St.","38","Peach Bowl","Georgia Tech","Georgia Institute of Technology"
"644","38","L","01-05-2010","14","Iowa","24","Orange Bowl","Georgia Tech","Georgia Institute of Technology"
"645","39","L","12-27-2010","7","Air Force (CO)","14","Independence Bowl","Georgia Tech","Georgia Institute of Technology"
"646","40","L","12-31-2011","27","Utah","30","Sun Bowl","Georgia Tech","Georgia Institute of Technology"
"647","41","W","12-31-2012","21","Southern California","7","Sun Bowl","Georgia Tech","Georgia Institute of Technology"
"648","42","L","12-30-2013","17","Mississippi","25","Music City Bowl","Georgia Tech","Georgia Institute of Technology"
"649","1","L","12-25-1989","13","Michigan St.","33","Aloha Bowl","Hawaii","University of Hawaii at Manoa"
"650","2","W","12-30-1992","27","Illinois","17","Holiday Bowl (1)","Hawaii","University of Hawaii at Manoa"
"651","3","W","12-25-1999","23","Oregon St.","17","Oahu Classic","Hawaii","University of Hawaii at Manoa"
"652","4","L","12-25-2002","28","Tulane (LA)","36","Hawaii Bowl","Hawaii","University of Hawaii at Manoa"
"653","5","W","12-25-2003","54","Houston (TX)","48","Hawaii Bowl","Hawaii","University of Hawaii at Manoa"
"654","6","W","12-24-2004","59","Alabama-Birmingham","40","Hawaii Bowl","Hawaii","University of Hawaii at Manoa"
"655","7","W","12-24-2006","41","Arizona St.","24","Hawaii Bowl","Hawaii","University of Hawaii at Manoa"
"656","8","L","01-01-2008","10","Georgia","41","Sugar Bowl","Hawaii","University of Hawaii at Manoa"
"657","9","L","12-24-2008","21","Notre Dame (IN)","49","Hawaii Bowl","Hawaii","University of Hawaii at Manoa"
"658","10","L","12-24-2010","35","Tulsa (OK)","62","Hawaii Bowl","Hawaii","University of Hawaii at Manoa"
"659","1","W","01-01-1952","26","Dayton (OH)","21","Salad Bowl","Houston (TX)","University of Houston"
"660","2","W","12-31-1969","36","Auburn (AL)","7","Bluebonnet Bowl","Houston (TX)","University of Houston"
"661","3","L","12-31-1971","17","Colorado","29","Bluebonnet Bowl","Houston (TX)","University of Houston"
"662","4","W","12-29-1973","47","Tulane (LA)","7","Bluebonnet Bowl","Houston (TX)","University of Houston"
"663","5","T","12-23-1974","31","North Carolina St.","31","Bluebonnet Bowl","Houston (TX)","University of Houston"
"664","6","W","01-01-1977","30","Maryland","21","Cotton Bowl","Houston (TX)","University of Houston"
"665","7","L","01-01-1979","34","Notre Dame (IN)","35","Cotton Bowl","Houston (TX)","University of Houston"
"666","8","W","01-01-1980","17","Nebraska","14","Cotton Bowl","Houston (TX)","University of Houston"
"667","9","W","12-14-1980","35","Navy (MD)","0","Garden State Bowl","Houston (TX)","University of Houston"
"668","10","L","12-26-1981","14","Oklahoma","40","Sun Bowl","Houston (TX)","University of Houston"
"669","11","L","01-01-1985","28","Boston College (MA)","45","Cotton Bowl","Houston (TX)","University of Houston"
"670","12","L","12-25-1988","22","Washington St.","24","Aloha Bowl","Houston (TX)","University of Houston"
"671","13","L","12-27-1996","17","Syracuse (NY)","30","Liberty Bowl","Houston (TX)","University of Houston"
"672","14","L","12-25-2003","48","Hawaii","54","Hawaii Bowl","Houston (TX)","University of Houston"
"673","15","L","12-23-2005","13","Kansas","42","Fort Worth Bowl","Houston (TX)","University of Houston"
"674","16","L","12-29-2006","36","South Carolina","44","Liberty Bowl","Houston (TX)","University of Houston"
"675","17","L","12-28-2007","13","Texas Christian","20","Texas Bowl","Houston (TX)","University of Houston"
"676","18","W","12-31-2008","34","Air Force (CO)","28","Armed Forces Bowl","Houston (TX)","University of Houston"
"677","19","L","12-31-2009","20","Air Force (CO)","47","Armed Forces Bowl","Houston (TX)","University of Houston"
"678","20","W","01-02-2012","30","Penn St.","14","TicketCity Bowl","Houston (TX)","University of Houston"
"679","21","L","01-04-2014","24","Vanderbilt (TN)","41","BBVA Compass Bowl","Houston (TX)","University of Houston"
"680","1","W","01-01-1947","45","UCLA","14","Rose Bowl","Illinois","University of Illinois at Urbana-Champaign"
"681","2","W","01-01-1952","40","Stanford (CA)","7","Rose Bowl","Illinois","University of Illinois at Urbana-Champaign"
"682","3","W","01-01-1964","17","Washington","7","Rose Bowl","Illinois","University of Illinois at Urbana-Champaign"
"683","4","L","12-29-1982","15","Alabama","21","Liberty Bowl","Illinois","University of Illinois at Urbana-Champaign"
"684","5","L","01-02-1984","9","UCLA","45","Rose Bowl","Illinois","University of Illinois at Urbana-Champaign"
"685","6","L","12-31-1985","29","Army (NY)","31","Peach Bowl","Illinois","University of Illinois at Urbana-Champaign"
"686","7","L","12-29-1988","10","Florida","14","All-American Bowl (2)","Illinois","University of Illinois at Urbana-Champaign"
"687","8","W","01-01-1990","31","Virginia","21","Florida Citrus Bowl","Illinois","University of Illinois at Urbana-Champaign"
"688","9","L","01-01-1991","0","Clemson (SC)","30","Hall of Fame Bowl","Illinois","University of Illinois at Urbana-Champaign"
"689","10","L","12-31-1991","3","UCLA","6","Sun Bowl","Illinois","University of Illinois at Urbana-Champaign"
"690","11","L","12-30-1992","17","Hawaii","27","Holiday Bowl (1)","Illinois","University of Illinois at Urbana-Champaign"
"691","12","W","12-31-1994","30","East Carolina (NC)","0","Liberty Bowl","Illinois","University of Illinois at Urbana-Champaign"
"692","13","W","12-30-1999","63","Virginia","21","Micron PC Bowl","Illinois","University of Illinois at Urbana-Champaign"
"693","14","L","01-01-2002","34","Louisiana St.","47","Sugar Bowl","Illinois","University of Illinois at Urbana-Champaign"
"694","15","L","01-01-2008","17","Southern California","49","Rose Bowl","Illinois","University of Illinois at Urbana-Champaign"
"695","16","W","12-29-2010","38","Baylor (TX)","14","Texas Bowl","Illinois","University of Illinois at Urbana-Champaign"
"696","17","W","12-31-2011","20","UCLA","14","Kraft Fight Hunger Bowl","Illinois","University of Illinois at Urbana-Champaign"
"697","1","L","01-01-1968","3","Southern California","14","Rose Bowl","Indiana","Indiana University Bloomington"
"698","2","W","12-21-1979","38","Brigham Young (UT)","37","Holiday Bowl (1)","Indiana","Indiana University Bloomington"
"699","3","L","12-31-1986","13","Florida St.","27","All-American Bowl (2)","Indiana","Indiana University Bloomington"
"700","4","L","01-02-1988","22","Tennessee","27","Peach Bowl","Indiana","Indiana University Bloomington"
"701","5","W","12-28-1988","34","South Carolina","10","Liberty Bowl","Indiana","Indiana University Bloomington"
"702","6","L","12-29-1990","23","Auburn (AL)","27","Peach Bowl","Indiana","Indiana University Bloomington"
"703","7","W","12-31-1991","24","Baylor (TX)","0","Copper Bowl","Indiana","Indiana University Bloomington"
"704","8","L","12-31-1993","20","Virginia Tech","45","Independence Bowl","Indiana","Indiana University Bloomington"
"705","9","L","12-31-2007","33","Oklahoma St.","49","Insight Bowl","Indiana","Indiana University Bloomington"
"706","1","W","01-01-1957","35","Oregon St.","19","Rose Bowl","Iowa","University of Iowa"
"707","2","W","01-01-1959","38","California","12","Rose Bowl","Iowa","University of Iowa"
"708","3","L","01-01-1982","0","Washington","28","Rose Bowl","Iowa","University of Iowa"
"709","4","W","12-31-1982","28","Tennessee","22","Peach Bowl","Iowa","University of Iowa"
"710","5","L","12-30-1983","6","Florida","14","Gator Bowl","Iowa","University of Iowa"
"711","6","W","12-26-1984","55","Texas","17","Freedom Bowl","Iowa","University of Iowa"
"712","7","L","01-01-1986","28","UCLA","45","Rose Bowl","Iowa","University of Iowa"
"713","8","W","12-30-1986","39","San Diego St. (CA)","38","Jack Murphy Stadium - Holiday Bowl (1)","Iowa","University of Iowa"
"714","9","W","12-30-1987","20","Wyoming","19","Holiday Bowl (1)","Iowa","University of Iowa"
"715","10","L","12-31-1988","23","North Carolina St.","28","Peach Bowl","Iowa","University of Iowa"
"716","11","L","01-01-1991","34","Washington","46","Rose Bowl","Iowa","University of Iowa"
"717","12","T","12-30-1991","13","Brigham Young (UT)","13","Holiday Bowl (1)","Iowa","University of Iowa"
"718","13","L","12-31-1993","3","California","37","Alamo Bowl","Iowa","University of Iowa"
"719","14","W","12-29-1995","38","Washington","18","Sun Bowl","Iowa","University of Iowa"
"720","15","W","12-29-1996","27","Texas Tech","0","Alamo Bowl","Iowa","University of Iowa"
"721","16","L","12-31-1997","7","Arizona St.","17","Sun Bowl","Iowa","University of Iowa"
"722","17","W","12-29-2001","19","Texas Tech","16","Alamo Bowl","Iowa","University of Iowa"
"723","18","L","01-02-2003","17","Southern California","38","Orange Bowl","Iowa","University of Iowa"
"724","19","W","01-01-2004","37","Florida","17","Outback Bowl","Iowa","University of Iowa"
"725","20","W","01-01-2005","30","Louisiana St.","25","Capital One Bowl","Iowa","University of Iowa"
"726","21","L","01-02-2006","24","Florida","31","Outback Bowl","Iowa","University of Iowa"
"727","22","L","12-30-2006","24","Texas","26","Alamo Bowl","Iowa","University of Iowa"
"728","23","W","01-01-2009","31","South Carolina","10","Outback Bowl","Iowa","University of Iowa"
"729","24","W","01-05-2010","24","Georgia Tech","14","Orange Bowl","Iowa","University of Iowa"
"730","25","W","12-28-2010","27","Missouri","24","Insight Bowl","Iowa","University of Iowa"
"731","26","L","12-30-2011","14","Oklahoma","31","Insight Bowl","Iowa","University of Iowa"
"732","27","L","01-01-2014","14","Louisiana St.","21","Outback Bowl","Iowa","University of Iowa"
"733","1","L","12-18-1971","15","Louisiana St.","33","Sun Bowl","Iowa St.","Iowa State University"
"734","2","L","12-18-1972","30","Georgia Tech","31","Liberty Bowl","Iowa St.","Iowa State University"
"735","3","L","12-31-1977","14","North Carolina St.","24","Peach Bowl","Iowa St.","Iowa State University"
"736","4","L","12-20-1978","12","Texas A&M","28","Hall of Fame Classic","Iowa St.","Iowa State University"
"737","5","W","12-28-2000","37","Pittsburgh (PA)","29","Insight.com Bowl","Iowa St.","Iowa State University"
"738","6","L","12-27-2001","13","Alabama","14","Independence Bowl","Iowa St.","Iowa State University"
"739","7","L","12-31-2002","16","Boise St. (ID)","34","Humanitarian Bowl","Iowa St.","Iowa State University"
"740","8","W","12-28-2004","17","Miami (OH)","13","Independence Bowl","Iowa St.","Iowa State University"
"741","9","L","12-31-2005","24","Texas Christian","27","Houston Bowl","Iowa St.","Iowa State University"
"742","10","W","12-31-2009","14","Minnesota","13","Insight Bowl","Iowa St.","Iowa State University"
"743","11","L","12-30-2011","13","Rutgers (NJ)","27","Pinstripe Bowl","Iowa St.","Iowa State University"
"744","12","L","12-31-2012","17","Tulsa (OK)","31","Liberty Bowl","Iowa St.","Iowa State University"
"745","1","L","01-01-1948","14","Georgia Tech","20","Orange Bowl","Kansas","University of Kansas"
"746","2","W","12-16-1961","33","Rice (TX)","7","Bluebonnet Bowl","Kansas","University of Kansas"
"747","3","L","01-01-1969","14","Penn St.","15","Orange Bowl","Kansas","University of Kansas"
"748","4","L","12-17-1973","18","North Carolina St.","31","Liberty Bowl","Kansas","University of Kansas"
"749","5","L","12-26-1975","19","Pittsburgh (PA)","33","Sun Bowl","Kansas","University of Kansas"
"750","6","L","12-31-1981","0","Mississippi St.","10","Hall of Fame Classic","Kansas","University of Kansas"
"751","7","W","12-25-1992","23","Brigham Young (UT)","20","Aloha Bowl","Kansas","University of Kansas"
"752","8","W","12-25-1995","51","UCLA","30","Aloha Bowl","Kansas","University of Kansas"
"753","9","L","12-22-2003","26","North Carolina St.","56","Tangerine Bowl","Kansas","University of Kansas"
"754","10","W","12-23-2005","42","Houston (TX)","13","Fort Worth Bowl","Kansas","University of Kansas"
"755","11","W","01-03-2008","24","Virginia Tech","21","Orange Bowl","Kansas","University of Kansas"
"756","12","W","12-31-2008","42","Minnesota","21","Insight Bowl","Kansas","University of Kansas"
"757","1","L","12-11-1982","3","Wisconsin","14","Independence Bowl","Kansas St.","Kansas State University"
"758","2","W","12-29-1993","52","Wyoming","17","Copper Bowl","Kansas St.","Kansas State University"
"759","3","L","12-25-1994","7","Boston College (MA)","12","Aloha Bowl","Kansas St.","Kansas State University"
"760","4","W","12-29-1995","54","Colorado St.","21","Holiday Bowl (1)","Kansas St.","Kansas State University"
"761","5","L","01-01-1997","15","Brigham Young (UT)","19","Cotton Bowl","Kansas St.","Kansas State University"
