"","RivalsRank","School","Total","5-Star","4-Star","3-Star","AvgStar","Points","Year"
"679","33","Texas A&M",28,0,8,10,2.93,1501,2004
"680","33","Texas Tech",25,0,5,15,3,1110,2009
"681","33","Virginia",25,0,5,11,2.84,1110,2009
"682","33","Virginia Tech",21,0,4,14,3.05,928,2011
"683","33","Wisconsin",23,0,2,13,2.74,767,2005
"684","34","Arkansas",24,0,2,21,3.04,1001,2012
"685","34","California",21,0,5,12,3.05,1070,2008
"686","34","Kansas",27,0,2,21,2.93,899,2011
"687","34","Louisville",25,0,4,15,2.92,975,2006
"688","34","North Carolina State",19,1,4,9,3.05,1092,2010
"689","34","North Carolina State",24,1,4,7,2.75,1338,2002
"690","34","Penn State",25,2,2,15,3,1430,2004
"691","34","Pittsburgh",26,0,0,19,2.73,1315,2003
"692","34","Pittsburgh",27,1,2,15,2.81,1568,2013
"693","34","Wisconsin",18,1,3,10,3.06,1056,2007
"694","35","Arizona State",26,0,5,17,3.04,1083,2010
"695","35","Illinois",23,0,7,8,2.78,1092,2009
"696","35","Louisville",31,0,2,8,2.39,1303,2003
"697","35","Maryland",22,0,4,14,3,1328,2002
"698","35","Maryland",23,1,2,14,2.91,975,2012
"699","35","Maryland",26,1,3,13,2.85,1024,2007
"700","35","Michigan State",24,0,1,16,2.75,762,2005
"701","35","Oklahoma State",23,0,3,17,3,1564,2013
"702","35","Penn State",16,0,5,8,3.13,890,2011
"703","35","Tennessee",18,0,4,11,3.06,1027,2008
"704","35","Washington",22,0,4,10,2.82,891,2006
"705","35","Washington State",27,0,4,9,2.63,1416,2004
"706","36","Arkansas",25,0,6,10,2.88,1015,2008
"707","36","Brigham Young",24,2,3,6,2.75,1268,2002
"708","36","Colorado",27,0,2,20,2.89,965,2012
"709","36","Kansas State",21,0,3,13,2.9,740,2005
"710","36","Kentucky",30,0,3,10,2.53,829,2006
"711","36","Maryland",21,0,4,15,3.1,1058,2010
"712","36","Maryland",22,0,5,11,2.95,1409,2004
"713","36","Miami (FL)",16,0,2,13,3.06,855,2011
"714","36","Oklahoma State",24,0,5,13,2.96,1049,2009
"715","36","TCU",22,0,1,17,2.9,1560,2013
"716","36","UCLA",19,0,6,9,3.11,1299,2003
"717","36","Washington",27,0,3,16,2.81,982,2007
"718","37","Arizona",23,0,4,16,3.04,1036,2010
"719","37","Arizona",25,0,2,18,2.88,1548,2013
"720","37","Auburn",29,0,4,10,2.48,1391,2004
"721","37","Boston College",20,0,2,13,2.85,794,2006
"722","37","Clemson",12,0,7,4,3.5,1019,2009
"723","37","Minnesota",26,0,2,14,2.69,1293,2003
"724","37","Rutgers",23,0,3,15,2.83,950,2007
"725","37","Southern Miss",27,1,2,14,2.78,998,2008
"726","37","TCU",22,0,3,17,3.05,952,2012
"727","37","Texas Tech",21,0,1,12,2.67,719,2005
"728","37","Utah",19,0,2,14,2.95,853,2011
"729","37","West Virginia",33,0,2,6,2.3,1245,2002
"730","38","Arizona State",23,0,3,15,2.91,944,2012
"731","38","Boston College",23,0,4,9,2.74,834,2011
"732","38","Kansas",25,0,1,16,2.72,762,2006
"733","38","Kansas State",33,0,3,16,2.67,873,2007
"734","38","Maryland",18,0,6,8,3.11,976,2008
"735","38","Mississippi",23,0,2,14,2.78,1287,2003
"736","38","Mississippi State",26,0,5,14,2.92,1032,2010
"737","38","Oregon State",25,0,1,21,2.92,1500,2013
"738","38","Pittsburgh",24,0,1,11,2.54,694,2005
"739","38","Purdue",27,0,2,11,2.48,1243,2002
"740","38","Rutgers",23,0,4,15,3,981,2009
"741","38","South Carolina",29,0,3,11,2.59,1382,2004
"742","39","Alabama",27,0,4,16,2.89,1366,2004
"743","39","Arizona",23,0,5,12,2.96,974,2008
"744","39","Baylor",23,0,4,17,3.09,1025,2010
"745","39","Iowa",21,0,2,11,2.71,735,2006
"746","39","Kansas",26,0,2,14,2.69,1283,2003
"747","39","Michigan State",18,0,3,14,3.11,1478,2013
"748","39","Minnesota",20,0,3,15,3.05,974,2009
"749","39","Mississippi State",34,0,4,13,2.62,871,2007
"750","39","Missouri",23,0,1,17,2.83,662,2005
"751","39","Oregon State",23,0,2,16,2.87,917,2012
"752","39","Pittsburgh",24,0,4,7,2.63,1238,2002
"753","39","UCF",29,0,3,19,2.86,778,2011
"754","4","Auburn",32,3,13,13,3.5,2485,2010
"755","4","Florida",29,2,14,12,3.59,2792,2013
"756","4","Florida State",23,6,14,2,4.09,2415,2002
"757","4","Florida State",27,1,16,8,3.59,2377,2004
"758","4","Georgia",28,2,14,12,3.64,2436,2006
"759","4","LSU",26,2,19,5,3.88,2695,2007
"760","4","Ohio State",20,4,9,7,3.85,2481,2008
"761","4","Ohio State",25,2,14,9,3.72,2382,2012
"762","4","Oklahoma",24,0,16,6,3.58,2121,2003
"763","4","Tennessee",27,1,16,9,3.63,2403,2005
"764","4","USC",19,4,11,2,3.89,2410,2009
"765","4","USC",30,1,14,13,3.47,2315,2011
"766","40","Brigham Young",27,0,3,15,2.78,997,2010
"767","40","Kansas",20,0,2,18,3.1,899,2008
"768","40","Mississippi",19,0,2,14,2.95,907,2012
"769","40","Missouri",20,0,1,18,3,1462,2013
"770","40","Missouri",25,1,1,15,2.8,970,2009
"771","40","Nebraska",18,1,5,8,3.17,1233,2002
"772","40","Notre Dame",15,0,2,11,3,661,2005
"773","40","Texas Tech",26,1,4,7,2.69,1365,2004
"774","40","UCLA",11,0,6,4,3.27,848,2007
"775","40","Wisconsin",20,0,3,15,3.05,767,2011
"776","40","Wisconsin",22,1,3,10,2.82,1278,2003
"777","40","Wisconsin",23,0,3,10,2.7,672,2006
"778","41","Georgia Tech",22,0,1,18,2.91,759,2011
"779","41","Illinois",23,0,2,13,2.74,1215,2002
"780","41","Kentucky",29,0,3,16,2.69,958,2009
"781","41","Louisville",17,1,2,11,3.06,845,2007
"782","41","Michigan State",18,0,3,14,3.11,876,2012
"783","41","Michigan State",30,0,6,16,2.93,1347,2004
"784","41","North Carolina",17,0,2,15,3.12,1460,2013
"785","41","Ohio State",16,0,7,8,3.38,1267,2003
"786","41","Oregon State",33,0,2,14,2.36,650,2006
"787","41","Stanford",16,0,4,5,2.81,640,2005
"788","41","Texas Tech",25,0,5,15,3,986,2010
"789","41","Wisconsin",24,0,3,14,2.83,829,2008
"790","42","California",20,0,6,8,2.9,931,2009
"791","42","Illinois",27,0,1,21,2.85,711,2011
"792","42","Iowa",21,0,4,13,3,977,2010
"793","42","Louisville",22,0,3,16,3,873,2012
"794","42","Michigan State",23,0,3,12,2.7,808,2007
"795","42","Nebraska",19,0,4,12,3.05,1230,2003
"796","42","North Carolina",24,0,1,13,2.63,1210,2002
"797","42","Oklahoma State",21,1,0,13,2.76,628,2005
"798","42","Penn State",17,1,3,8,3,1456,2013
"799","42","Rutgers",26,0,2,10,2.54,648,2006
"800","42","Washington",23,1,3,9,2.78,1320,2004
"801","42","West Virginia",27,0,3,10,2.52,757,2008
"802","43","Boston College",17,0,5,11,3.24,1191,2002
"803","43","Colorado",25,0,1,15,2.68,613,2005
"804","43","Georgia Tech",18,0,5,11,3.17,950,2010
"805","43","Indiana",22,0,4,13,2.95,1455,2013
"806","43","Iowa",21,0,3,11,2.81,1190,2003
"807","43","Iowa",24,0,4,15,2.96,853,2012
"808","43","Kansas State",30,0,2,11,2.5,647,2006
"809","43","Maryland",21,0,1,15,2.81,692,2011
"810","43","Penn State",14,0,4,6,3,700,2008
"811","43","Texas A&M",19,0,4,11,2.89,795,2007
"812","43","UCLA",26,0,1,14,2.62,1307,2004
"813","43","Utah",23,0,1,20,2.96,1455,2013
"814","43","Wisconsin",21,0,5,11,3,923,2009
"815","44","Arizona",18,0,4,9,2.72,792,2007
"816","44","Mississippi State",22,0,1,21,3.05,673,2011
"817","44","Mississippi State",27,0,4,7,2.56,686,2008
"818","44","North Carolina",23,0,3,18,3.04,813,2012
"819","44","North Carolina",24,0,1,10,2.5,594,2005
"820","44","North Carolina",25,0,3,10,2.56,1301,2004
"821","44","Oregon State",18,0,4,12,3.11,924,2010
"822","44","Syracuse",25,0,2,11,2.52,1190,2002
"823","44","Texas Tech",25,0,2,11,2.6,1150,2003
"824","44","Utah",25,1,2,14,2.84,886,2009
"825","44","Virginia",23,0,3,8,2.52,604,2006
"826","45","Arizona",24,0,3,17,2.96,830,2009
"827","45","Arizona State",24,0,2,13,2.63,783,2007
"828","45","Baylor",24,0,3,18,3,810,2012
"829","45","Houston",27,0,2,18,2.81,835,2010
"830","45","Louisville",27,0,4,8,2.59,541,2005
"831","45","Mississippi",25,0,3,11,2.6,1296,2004
"832","45","Rutgers",22,0,1,16,2.82,1452,2013
"833","45","Rutgers",24,0,1,13,2.63,1143,2003
"834","45","Texas Tech",16,0,3,10,3,678,2008
"835","45","UCLA",16,0,3,10,3,636,2011
"836","45","Virginia Tech",21,1,3,8,2.81,1180,2002
"837","45","Washington State",24,0,1,12,2.58,596,2006
"838","46","Arizona",24,0,2,17,2.88,808,2012
"839","46","Baylor",19,0,1,16,2.95,628,2011
"840","46","Boston College",18,0,2,11,2.83,756,2007
"841","46","Duke",23,0,1,6,2.26,496,2005
"842","46","Iowa State",26,0,0,12,2.46,1120,2003
"843","46","Kansas",24,0,2,19,2.96,1440,2013
"844","46","Mississippi State",24,0,3,10,2.67,595,2006
"845","46","Missouri",25,0,5,4,2.56,1293,2004
"846","46","Rutgers",20,0,3,7,2.65,662,2008
"847","46","Southern Miss",29,0,3,4,2.34,1163,2002
"848","46","TCU",18,0,2,16,3.11,823,2010
"849","46","TCU",20,0,4,12,3,827,2009
"850","46","West Virginia",25,0,0,13,2.52,1120,2003
"851","47","Boston College",21,0,2,14,2.86,815,2010
"852","47","Illinois",25,0,2,14,2.72,1425,2013
"853","47","Maryland",22,0,6,10,3,1261,2004
"854","47","Michigan State",21,0,1,13,2.71,623,2008
"855","47","Missouri",25,0,1,13,2.52,564,2006
"856","47","North Carolina State",23,0,0,19,2.83,1425,2013
"857","47","Oregon State",20,0,2,8,2.6,493,2005
"858","47","Oregon State",35,0,2,16,2.51,690,2007
"859","47","Pittsburgh",16,0,4,10,3.13,795,2012
"860","47","Pittsburgh",20,0,4,11,2.95,804,2009
"861","47","Rutgers",24,0,4,6,2.58,1150,2002
"862","47","West Virginia",22,0,3,15,2.95,624,2011
"863","48","Colorado",19,0,4,8,2.84,744,2009
"864","48","Colorado",22,0,0,14,2.64,520,2006
"865","48","Iowa State",29,0,1,10,2.38,1211,2004
"866","48","Kansas",26,0,1,15,2.65,435,2005
"867","48","Louisville",28,0,3,18,2.86,778,2010
"868","48","Missouri",17,0,1,16,3.06,607,2011
"869","48","San Diego State",28,0,2,4,2.29,1103,2003
"870","48","Syracuse",26,0,4,6,2.54,621,2008
"871","48","Syracuse",27,0,1,13,2.56,679,2007
"872","48","Texas Tech",26,0,2,9,2.42,1145,2002
"873","48","West Virginia",28,0,1,24,2.93,787,2012
"874","49","Alabama",17,0,4,10,3.06,1102,2003
"875","49","Arizona",29,0,1,10,2.38,1210,2004
"876","49","Arkansas",25,0,3,18,2.96,766,2010
"877","49","Boston College",16,0,2,9,2.81,434,2005
"878","49","Cincinnati",24,0,1,20,2.92,605,2011
"879","49","Georgia Tech",20,0,1,11,2.65,581,2008
"880","49","Georgia Tech",21,0,1,17,2.9,732,2009
"881","49","North Carolina State",25,0,2,12,2.64,565,2007
"882","49","Oregon",21,0,1,12,2.67,515,2006
"883","49","Oregon",23,2,2,3,2.57,1123,2002
"884","49","South Florida",20,0,2,16,3,780,2012
"885","49","South Florida",23,0,2,16,2.87,1410,2013
"886","5","Alabama",26,1,15,9,3.62,2308,2010
"887","5","Florida State",26,1,16,7,3.62,2353,2004
"888","5","Georgia",26,2,12,11,3.58,2309,2011
"889","5","Miami (FL)",24,3,10,10,3.63,2067,2003
"890","5","Miami (FL)",33,2,15,8,3.33,2467,2008
"891","5","Michigan",27,1,16,9,3.63,2661,2013
"892","5","Nebraska",30,2,11,12,3.33,2178,2005
"893","5","Ohio State",26,3,14,8,3.65,2342,2002
"894","5","Stanford",22,3,10,9,3.73,2297,2012
"895","5","Texas",20,3,11,6,3.85,2375,2009
"896","5","Texas",24,2,16,5,3.79,2562,2007
"897","5","Texas",25,2,11,12,3.6,2283,2006
"898","50","Brigham Young",21,0,2,14,2.86,640,2009
"899","50","Cincinnati",29,0,0,25,2.86,756,2012
"900","50","Georgia Tech",21,0,2,10,2.67,1096,2003
"901","50","Houston",25,0,0,17,2.68,1365,2013
"902","50","Kansas",23,0,1,13,2.57,491,2007
"903","50","Kentucky",26,0,1,18,2.77,742,2010
"904","50","Purdue",27,0,1,10,2.3,490,2006
"905","50","South Florida",21,0,1,7,2.43,417,2005
"906","50","Southern Methodist",27,0,1,20,2.81,504,2011
"907","50","Stanford",17,0,2,8,2.71,502,2008
"908","50","Syracuse",32,0,0,9,2.28,1195,2004
"909","50","Wisconsin",25,0,1,10,2.48,1120,2002
"910","51","Baylor",22,0,1,8,2.45,453,2008
"911","51","California",19,0,6,6,2.95,1193,2004
"912","51","Duke",27,0,2,13,2.63,634,2009
"913","51","Illinois",21,0,3,6,2.57,385,2005
"914","51","Iowa",22,0,2,9,2.59,1100,2002
"915","51","Iowa State",23,0,0,15,2.65,478,2011
"916","51","Minnesota",25,0,2,18,2.88,702,2010
"917","51","North Carolina State",21,0,0,10,2.48,478,2006
"918","51","Oregon State",23,0,0,13,2.57,1075,2003
"919","51","Penn State",19,0,2,11,2.79,708,2012
"920","51","Stanford",19,0,1,10,2.63,480,2007
"921","51","Texas Tech",23,0,1,12,2.61,1344,2013
"922","52","Duke",20,0,1,10,2.6,621,2012
"923","52","Fresno State",21,0,1,15,2.81,630,2010
"924","52","Kentucky",28,0,1,10,2.36,1185,2004
"925","52","Louisville",17,0,2,13,3,1342,2013
"926","52","Minnesota",24,0,0,19,2.79,468,2011
"927","52","North Carolina State",27,0,1,19,2.78,618,2009
"928","52","Northwestern",20,0,0,10,2.5,382,2005
"929","52","Oregon State",18,1,0,10,2.72,450,2008
"930","52","Oregon State",21,0,3,9,2.71,1075,2002
"931","52","Syracuse",24,0,2,6,2.42,451,2006
"932","52","Texas Tech",26,0,1,17,2.73,469,2007
"933","52","UCF",26,0,0,9,2.35,1055,2003
"934","52","Washington State",20,0,0,10,2.5,382,2005
"935","53","Boise State",19,0,0,11,2.58,453,2011
"936","53","Boston College",20,1,1,11,2.8,1168,2004
"937","53","Fresno State",27,0,2,3,2.26,1045,2002
"938","53","Iowa",21,0,0,17,2.81,1335,2013
"939","53","Iowa",24,0,0,13,2.54,428,2008
"940","53","North Carolina State",22,0,0,17,2.77,618,2012
"941","53","Northwestern",19,0,0,14,2.74,459,2007
"942","53","Northwestern",19,0,1,15,2.89,1335,2013
"943","53","Southern Miss",22,0,3,15,2.95,610,2009
"944","53","Southern Miss",26,0,2,19,2.88,629,2010
"945","53","Syracuse",23,0,1,9,2.48,1045,2003
"946","53","Washington State",22,0,1,16,2.82,1335,2013
"947","53","West Virginia",16,0,0,10,2.63,431,2006
"948","54","Boise State",22,0,0,13,2.59,605,2012
"949","54","Kansas State",26,0,5,11,2.81,1162,2004
"950","54","Kentucky",29,0,1,9,2.31,452,2007
"951","54","Marshall",29,0,0,18,2.62,451,2011
"952","54","Oregon State",24,0,1,13,2.63,595,2009
"953","54","Purdue",24,0,1,13,2.63,564,2010
"954","54","South Florida",24,0,2,9,2.46,391,2008
"955","54","Stanford",16,1,4,6,3.06,1040,2002
"956","54","Stanford",18,0,0,10,2.44,409,2006
"957","54","TCU",21,0,1,6,2.38,349,2005
"958","54","UNLV",28,0,1,5,2.25,1043,2003
"959","55","Arizona",21,0,1,15,2.81,435,2011
"960","55","Arizona State",22,0,1,12,2.64,1147,2004
"961","55","Baylor",28,0,3,14,2.71,590,2009
"962","55","Kansas",18,0,2,12,2.89,555,2010
"963","55","Louisville",22,0,1,11,2.59,378,2008
"964","55","Minnesota",18,0,1,10,2.67,335,2005
"965","55","Minnesota",28,0,0,7,2.25,1035,2002
"966","55","Oregon State",24,0,1,15,2.71,435,2011
"967","55","Southern Miss",32,0,1,7,2.16,439,2007
"968","55","Temple",28,0,1,4,2.21,1026,2003
"969","55","Utah",25,0,1,9,2.44,406,2006
"970","55","Washington State",27,0,2,15,2.7,602,2012
"971","56","Brigham Young",26,0,1,10,2.46,427,2007
"972","56","Duke",26,0,1,8,2.38,400,2006
"973","56","Georgia Tech",17,0,2,13,3,587,2012
"974","56","Louisiana-Lafayette",31,0,0,4,2.13,1015,2003
"975","56","Purdue",23,0,1,15,2.74,1294,2013
"976","56","Syracuse",20,0,1,6,2.4,290,2005
"977","56","Tulsa",25,0,1,14,2.64,512,2009
"978","56","UCF",18,0,0,11,2.61,317,2008
"979","56","UCF",21,0,3,7,2.62,1033,2002
"980","56","UCF",22,0,2,12,2.73,515,2010
"981","56","Virginia Tech",20,0,4,8,2.8,1115,2004
"982","56","Wisconsin",12,0,3,7,3.08,587,2012
"983","57","Arizona State",14,0,2,7,2.64,413,2011
"984","57","Georgia Tech",16,0,1,9,2.69,372,2006
"985","57","Houston",27,0,1,10,2.15,1030,2002
"986","57","Kentucky",20,0,1,8,2.5,315,2008
"987","57","Memphis",27,0,1,13,2.48,511,2010
"988","57","Minnesota",24,0,1,9,2.46,406,2007
"989","57","San Diego State",27,0,2,11,2.56,286,2005
"990","57","South Florida",25,0,2,7,2.36,1110,2004
"991","57","Troy",40,0,2,10,2.35,500,2009
"992","57","Wake Forest",23,0,0,12,2.52,1010,2003
"993","57","Wisconsin",17,0,3,11,3,1268,2013
"994","58","Colorado State",27,0,1,13,2.56,491,2010
"995","58","Fresno State",23,0,0,10,2.43,314,2008
"996","58","Iowa State",25,0,1,12,2.56,1245,2013
"997","58","Iowa State",25,0,2,9,2.52,277,2005
"998","58","Kansas",22,0,1,10,2.45,1005,2002
"999","58","Kansas State",21,0,1,14,2.76,580,2012
"1000","58","Marshall",22,0,3,8,2.64,1245,2013
"1001","58","Middle Tennessee",30,0,0,5,2.17,1005,2003
"1002","58","Nebraska",20,0,2,11,2.55,1109,2004
"1003","58","Northwestern",18,0,1,10,2.67,471,2009
"1004","58","Pittsburgh",20,0,2,10,2.7,385,2011
"1005","58","South Florida",27,1,0,10,2.48,381,2007
"1006","58","Southern Miss",28,0,0,8,2.29,326,2006
"1007","58","Wake Forest",17,0,0,8,2.47,314,2008
"1008","58","Wake Forest",23,0,0,16,2.7,1245,2013
"1009","59","Baylor",20,0,1,5,2.35,264,2005
"1010","59","Cincinnati",22,0,1,10,2.55,490,2010
"1011","59","Houston",24,0,1,16,2.75,531,2012
"1012","59","Indiana",19,0,0,13,2.68,455,2009
"1013","59","Indiana",21,0,1,12,2.67,384,2011
"1014","59","Indiana",26,0,0,8,2.31,990,2003
"1015","59","Louisville",23,0,2,5,2.39,970,2002
"1016","59","North Carolina State",18,1,3,7,2.89,1097,2004
"1017","59","Purdue",19,0,1,11,2.68,371,2007
"1018","59","South Florida",28,0,1,8,2.36,315,2006
"1019","59","Utah",24,0,1,5,2.29,264,2005
"1020","6","Auburn",33,1,11,16,3.21,2296,2002
"1021","6","Florida State",19,3,10,5,3.79,2263,2012
"1022","6","Georgia",19,1,14,4,3.84,2179,2009
"1023","6","Georgia",25,2,8,13,3.4,1947,2003
"1024","6","LSU",22,3,9,9,3.64,2224,2011
"1025","6","LSU",26,2,15,9,3.73,2643,2013
"1026","6","LSU",29,1,15,13,3.59,2255,2010
"1027","6","Miami (FL)",28,3,10,9,3.36,2329,2004
"1028","6","Michigan",23,1,10,11,3.48,1995,2005
"1029","6","Oklahoma",21,3,12,5,3.81,2422,2008
"1030","6","Penn State",24,1,14,8,3.63,2241,2006
"1031","6","South Carolina",31,1,14,13,3.42,2190,2007
"1032","60","Cincinnati",25,0,2,8,2.48,430,2009
"1033","60","Iowa State",25,0,1,9,2.44,343,2007
"1034","60","Iowa State",28,0,2,16,2.71,472,2010
"1035","60","Kansas State",16,0,4,8,3,989,2003
"1036","60","Memphis",24,0,2,4,2.33,965,2002
"1037","60","Northwestern",21,0,2,12,2.76,525,2012
"1038","60","San Diego State",23,0,0,13,2.57,365,2011
"1039","60","TCU",18,0,0,10,2.56,299,2006
"1040","60","Utah",15,0,1,9,2.73,297,2008
"1041","60","Wisconsin",23,0,1,9,2.48,1092,2004
"1042","61","Brigham Young",15,0,2,9,2.87,514,2012
"1043","61","Clemson",27,0,1,7,2.33,1085,2004
"1044","61","Colorado State",27,0,1,2,2.15,945,2002
"1045","61","Houston",25,0,1,11,2.52,378,2009
"1046","61","Kentucky",24,0,1,21,2.96,357,2011
"1047","61","Minnesota",19,0,0,14,2.74,1215,2013
"1048","61","Minnesota",22,0,0,9,2.23,297,2006
"1049","61","South Florida",28,0,0,5,2.18,985,2003
"1050","61","Tulsa",22,0,0,7,2.32,262,2005
"1051","61","UCF",29,0,1,7,2.31,298,2007
"1052","61","Vanderbilt",24,0,1,17,2.79,469,2010
"1053","61","Virginia",18,0,1,7,2.5,284,2008
"1054","62","Baylor",25,0,1,7,2.12,940,2002
"1055","62","Boise State",22,0,0,13,2.59,1200,2013
"1056","62","Brigham Young",19,0,1,9,2.58,325,2011
"1057","62","Georgia Tech",19,0,0,7,2.37,255,2005
"1058","62","Iowa State",24,0,1,6,2.33,281,2008
"1059","62","Kent State",23,0,1,5,2.22,357,2009
"1060","62","Kentucky",26,0,1,21,2.88,504,2012
"1061","62","Oklahoma State",19,0,3,7,2.68,1066,2004
"1062","62","South Florida",20,0,2,13,2.85,464,2010
"1063","62","Southern Methodist",23,0,0,10,2.43,980,2003
"1064","62","Vanderbilt",25,0,0,6,2.24,292,2006
"1065","62","Washington State",27,0,1,14,2.44,280,2007
"1066","63","Boston College",16,0,2,8,2.75,468,2012
"1067","63","Brigham Young",16,0,1,3,2.31,254,2005
"1068","63","Georgia Tech",16,0,3,8,2.88,920,2002
"1069","63","Iowa",19,0,2,5,2.47,343,2009
"1070","63","Iowa State",30,0,0,15,2.5,285,2006
"1071","63","Kansas State",17,0,2,12,2.94,458,2010
"1072","63","Kentucky",21,0,1,8,2.48,965,2003
"1073","63","Purdue",26,0,1,10,2.38,278,2008
"1074","63","San Diego State",22,0,0,8,2.27,279,2007
"1075","63","South Florida",21,0,1,16,2.86,322,2011
"1076","63","Stanford",12,0,4,8,3.33,1176,2013
"1077","63","West Virginia",24,0,2,7,2.38,1061,2004
"1078","64","Akron",24,0,0,4,2.17,265,2006
"1079","64","Baylor",29,0,1,12,2.34,274,2007
"1080","64","Boise State",16,0,1,5,2.44,235,2005
"1081","64","California",21,0,3,3,2.43,910,2002
"1082","64","Colorado State",27,0,0,11,2.41,310,2011
"1083","64","Connecticut",25,0,0,12,2.48,1155,2013
"1084","64","Illinois",19,0,0,14,2.74,459,2012
"1085","64","Middle Tennessee",25,0,1,6,2.32,272,2008
"1086","64","Rutgers",24,0,2,14,2.75,454,2010
"1087","64","UAB",30,0,0,2,2.07,940,2003
"1088","64","Virginia",19,0,3,8,2.74,1059,2004
"1089","64","Wake Forest",23,0,0,11,2.48,331,2009
"1090","65","Arkansas State",29,0,1,0,2.07,930,2003
"1091","65","Brigham Young",28,0,0,8,2.29,1040,2004
"1092","65","Connecticut",29,0,1,5,2.24,272,2007
"1093","65","Duke",17,0,0,7,2.41,241,2008
"1094","65","Fresno State",29,0,0,10,2.34,1110,2013
"1095","65","Hawaii",28,0,0,11,2.39,404,2010
"1096","65","Kansas State",19,0,2,9,2.72,1110,2013
"1097","65","Memphis",29,0,0,17,2.59,309,2011
"1098","65","Middle Tennessee",25,0,2,5,1.96,890,2002
"1099","65","Northwestern",22,0,1,6,2.27,890,2002
"1100","65","Syracuse",21,0,0,13,2.62,437,2012
"1101","65","UAB",24,0,1,11,2.54,262,2006
"1102","65","UAB",28,0,0,13,2.18,317,2009
"1103","65","Wake Forest",19,0,0,5,2.26,221,2005
"1104","65","Western Michigan",25,0,1,1,2.12,241,2008
"1105","66","Colorado",22,0,0,15,2.68,399,2010
"1106","66","Indiana",25,0,0,18,2.72,436,2012
"1107","66","Marshall",26,0,0,8,2.15,271,2007
"1108","66","Marshall",30,0,0,4,2.13,240,2006
"1109","66","Michigan State",19,0,1,10,2.63,925,2003
"1110","66","San Diego State",23,0,2,5,2.39,1033,2004
"1111","66","Toledo",20,0,1,7,2.45,298,2011
"1112","66","UCF",24,0,1,8,2.42,315,2009
"1113","66","Washington",13,0,2,3,2.54,216,2005
"1114","67","Brigham Young",26,0,0,5,2.19,228,2006
"1115","67","Cincinnati",24,0,0,6,2.25,230,2008
"1116","67","Clemson",17,0,2,10,2.82,923,2003
"1117","67","Colorado",19,0,0,13,2.68,1095,2013
"1118","67","Duke",20,0,0,11,2.55,1095,2013
"1119","67","East Carolina",26,0,1,8,2.38,295,2011
"1120","67","Hawaii",22,1,1,2,2.32,883,2002
"1121","67","Iowa",21,1,1,7,2.48,1019,2004
"1122","67","Kentucky",26,0,0,4,2.15,211,2005
"1123","67","Marshall",21,0,1,10,2.57,427,2012
"1124","67","Memphis",21,0,1,8,2.48,305,2009
"1125","67","Vanderbilt",14,0,1,5,2.5,270,2007
"1126","67","Virginia",18,0,1,12,2.78,392,2010
"1127","68","Arkansas State",29,0,0,17,2.59,420,2012
"1128","68","Baylor",29,0,0,10,2.34,226,2006
"1129","68","Boise State",29,0,0,7,2.24,262,2007
"1130","68","Duke",22,0,1,4,2.27,845,2002
"1131","68","Houston",24,0,0,7,2.29,920,2003
"1132","68","Kansas State",25,0,0,17,2.68,291,2011
"1133","68","Rutgers",22,0,1,5,2.32,191,2005
"1134","68","Toledo",24,0,0,5,2.13,221,2008
"1135","68","Toledo",27,0,1,13,2.56,388,2010
"1136","68","Washington",19,0,1,15,2.89,286,2009
"1137","68","Washington",23,1,3,9,2.78,1011,2004
"1138","69","Akron",24,0,1,6,2.33,281,2009
"1139","69","Arkansas State",24,0,1,0,2.08,780,2002
"1140","69","East Carolina",27,0,0,4,2.15,205,2006
"1141","69","Idaho",25,0,0,1,2.04,780,2002
"1142","69","Marshall",21,0,0,8,2.38,202,2008
"1143","69","Middle Tennessee",30,0,1,3,2.17,1010,2004
"1144","69","Northwestern",22,0,0,8,2.36,910,2003
"1145","69","Southern Methodist",25,0,0,1,2.04,780,2002
"1146","69","TCU",21,0,1,6,2.38,910,2003
"1147","69","Toledo",19,0,0,6,2.32,238,2007
"1148","69","Toledo",23,0,0,8,2.35,1080,2013
"1149","69","Troy",33,0,0,8,2.24,202,2008
"1150","69","UAB",27,0,1,3,2.19,176,2005
"1151","69","Wake Forest",14,0,0,11,2.79,288,2011
"1152","69","Wake Forest",19,0,0,16,2.84,409,2012
"1153","69","Wake Forest",19,0,1,12,2.74,377,2010
"1154","7","Auburn",24,1,13,10,3.63,2194,2011
"1155","7","Auburn",30,0,13,15,3.37,2013,2007
"1156","7","Florida State",21,2,10,8,3.62,2154,2009
"1157","7","Georgia",24,2,13,8,3.67,2321,2008
"1158","7","LSU",26,2,12,11,3.5,2219,2006
"1159","7","Miami (FL)",17,2,11,3,3.82,1976,2005
"1160","7","Miami (FL)",28,3,10,9,3.36,2237,2004
"1161","7","Michigan",25,2,10,13,3.56,2132,2012
"1162","7","Mississippi",27,3,9,15,3.56,2496,2013
"1163","7","North Carolina State",28,1,6,17,3.14,1889,2003
"1164","7","Oklahoma",24,3,13,8,3.79,2244,2002
"1165","7","Oklahoma",29,0,16,13,3.55,2213,2010
"1166","70","Boise State",18,0,0,3,2.17,180,2006
"1167","70","Boston College",17,0,1,6,2.47,260,2009
"1168","70","Brigham Young",29,0,1,7,2.31,1065,2013
"1169","70","Cincinnati",20,0,0,12,2.6,1065,2013
"1170","70","East Carolina",26,0,0,4,2.15,211,2007
