OvrRank,Team,Division,Rating,W,L,SchScore,SchRank,Wtop10,Ltop10,Wtop30,Ltop30
   1,Oklahoma,A,101.63,13,0,75.82,14,4,0,6,0
   2,Miami-Florida,A,101.48,11,1,75.91,12,3,1,3,1
   3,Florida St.,A,100.34,11,2,76.25,11,1,2,3,2
   4,Nebraska,A,95.63,10,2,75.38,20,0,2,3,2
   5,Virginia Tech,A,94.87,11,1,74.21,31,0,1,1,1
   6,Oregon St.,A,92.83,11,1,75.3,23,1,1,2,1
   7,Washington,A,91.46,11,1,79,3,2,1,3,1
   8,Florida,A,91.26,10,3,77.11,9,0,2,5,3
   9,Kansas St.,A,90.71,11,3,73.66,35,1,2,3,3
  10,Oregon,A,87.53,10,2,75.72,16,1,1,2,2
  11,Texas,A,86.85,9,3,69.5,67,0,2,1,2
  12,Michigan,A,85.46,9,3,72.31,45,0,0,3,2
  13,Notre Dame,A,84.9,9,3,75.14,24,0,2,2,2
  14,Georgia Tech,A,83.87,9,3,70.15,61,0,1,2,1
  15,Clemson,A,83.6,9,3,70.13,62,0,2,1,3
  16,Toledo,A,83.17,10,1,59.75,112,0,0,0,0
  17,Texas A&M,A,83.13,7,5,75.8,15,1,1,2,4
  18,TCU,A,82.4,10,2,62.12,102,0,0,1,0
  19,Purdue,A,82.34,8,4,72.54,43,0,1,4,2
  20,Georgia,A,82.27,8,4,73.48,36,0,1,1,4
  21,Ohio St.,A,81.91,8,4,74.12,33,0,0,1,3
  22,Mississippi St.,A,81.66,8,4,74.31,28,1,0,3,1
  23,South Carolina,A,81.27,8,4,72.79,41,0,1,3,3
  24,Wisconsin,A,80.61,9,4,74.25,29,1,0,1,4
  25,Auburn,A,80.25,9,4,72.51,44,0,2,1,4
  26,Tennessee,A,80.16,8,4,71.47,52,0,2,1,3
  27,Northwestern,A,80.1,8,4,74.18,32,0,1,2,3
  28,Iowa St.,A,79.77,9,3,72.94,39,0,2,0,3
  29,Colorado St.,A,79.43,10,2,65.88,83,0,0,0,0
  30,Boise St.,A,79,10,2,60.85,107,0,0,0,0
  31,LSU,A,78.94,8,4,71.69,46,0,1,3,2
  32,Southern Miss,A,78.3,8,4,70.23,60,0,0,1,1
  33,Louisville,A,78.26,9,3,65.61,85,0,1,0,2
  34,Syracuse,A,78.24,6,5,72.99,38,0,2,0,2
  35,UCLA,A,78.15,6,6,78.87,4,0,3,1,4
  36,Arizona,A,78.06,5,6,77.78,7,0,3,0,4
  37,East Carolina,A,78.04,8,4,69.12,70,0,1,0,1
  38,Western Michigan,A,77.64,9,3,62.02,103,0,0,1,1
  39,Boston College,A,77.41,7,5,70.74,56,0,2,0,3
  40,Stanford,A,77.22,5,6,79.2,2,0,2,1,3
  41,West Virginia,A,76.72,7,5,75.47,19,0,2,0,3
  42,Pittsburgh,A,76.53,7,5,71.61,47,0,2,0,3
  43,Arizona St.,A,76.08,6,6,75.36,21,0,2,1,2
  44,UC Davis,II,76.02,12,1,50.5,145,0,0,0,0
  45,UTEP,A,75.25,8,4,69.15,69,0,1,0,4
  46,No. Carolina St.,A,74.85,8,4,68.34,75,0,1,1,2
  47,Air Force,A,74.63,9,3,64.07,94,0,0,1,1
  48,Texas Tech,A,73.87,7,6,70.48,59,0,3,0,5
  49,Colorado,A,73.73,3,8,79.69,1,0,3,1,6
  50,Mississippi,A,73.38,7,5,70.13,63,0,0,1,2
  51,Southern Cal,A,73.32,5,7,76.37,10,0,2,0,3
  52,Georgia Southern,AA,73.18,13,2,57.94,121,0,0,0,1
  53,Fresno St.,A,73.08,7,5,67.66,79,0,0,0,2
  54,Michigan St.,A,72.89,5,6,75.72,17,0,0,2,4
  55,Washington St.,A,72.39,4,7,77.51,8,0,3,1,3
  56,UNLV,A,72.34,8,5,65.33,87,0,0,0,2
  57,Delaware,AA,72.26,12,2,53.47,137,0,0,0,0
  58,Arkansas,A,72.21,6,6,71.09,54,0,0,2,4
  59,Montana,AA,71.77,13,2,57.44,125,0,0,0,0
  60,Virginia,A,71.65,6,6,74.23,30,0,2,0,5
  61,California,A,71.59,3,8,78.58,5,0,3,0,3
  62,Minnesota,A,71.43,6,6,68.61,73,0,0,1,3
  63,Illinois,A,71.13,5,6,71.45,53,0,0,0,3
  64,North Carolina,A,70.81,6,5,71.55,49,0,1,0,3
  65,Brigham Young,A,70.35,6,6,71.52,51,0,1,0,3
  66,Alabama,A,70.26,3,8,75.89,13,0,0,1,3
  67,Northern Illinois,A,70.05,6,5,64.09,93,0,0,0,3
  68,San Jose St.,A,69.94,7,5,67.96,77,0,1,1,1
  69,UAB,A,69.76,7,4,64.55,89,0,0,0,0
  70,Maryland,A,69.47,5,6,71.55,48,0,1,0,3
  71,Penn St.,A,69.47,5,7,72.9,40,0,0,1,3
  72,Cincinnati,A,69.44,7,5,67.3,80,0,0,0,1
  73,Ohio U.,A,69.13,7,4,60.19,111,0,0,0,1
  74,Marshall,A,68.67,8,5,62.56,101,0,0,0,1
  75,Central Florida,A,68.22,7,4,60.33,110,0,1,0,2
  76,Iowa,A,67.43,3,9,77.89,6,0,2,1,5
  77,Lehigh,AA,66.91,12,1,50.42,146,0,0,0,0
  78,Utah,A,66.74,4,7,68.17,76,0,0,0,1
  79,Kansas,A,66.74,4,7,75.05,25,0,3,0,5
  80,New Mexico,A,66.72,5,7,69,71,0,1,0,3
  81,Appalachian St.,AA,66.3,10,4,55.42,130,0,0,0,0
  82,Indiana,A,65.55,3,8,73.9,34,0,0,0,4
  83,Missouri,A,65.35,3,8,74.9,27,0,2,0,5
  84,Portland St.,AA,64.66,8,4,58.93,117,0,0,0,0
  85,Temple,A,64.65,4,7,70.66,57,0,2,0,2
  86,Furman,AA,64.52,9,3,52.6,139,0,0,0,0
  87,Eastern Washington,AA,64.31,6,5,63.53,97,0,1,0,2
  88,Oklahoma St.,A,64.18,3,8,73.11,37,0,1,0,4
  89,Idaho,A,63.19,5,6,67.91,78,0,2,0,3
  90,Tulane,A,63.17,6,5,62.66,100,0,0,0,0
  91,Hofstra,AA,63.08,9,4,55.21,131,0,0,0,0
  92,Western Kentucky,AA,62.92,11,2,44.05,186,0,0,0,0
  93,Kentucky,A,62.84,2,9,75.34,22,0,1,0,5
  94,Sacramento St.,AA,62.53,7,4,57.18,127,0,0,0,0
  95,San Diego St.,A,62.35,3,8,72.66,42,0,1,0,2
  96,Vanderbilt,A,62.28,3,8,70.78,55,0,1,0,5
  97,Middle Tennessee,A,62.19,6,5,59.59,113,0,1,0,2
  98,Richmond,AA,61.97,10,3,55.65,129,0,0,0,0
  99,Weber St.,AA,61.73,7,4,60.54,108,0,0,0,1
 100,Akron,A,61.7,6,5,59.41,114,0,1,0,1
 101,Memphis,A,61.28,4,7,64.17,92,0,0,0,2
 102,Troy St.,AA,60.92,9,3,49.97,153,0,0,0,0
 103,Miami-Ohio,A,60.65,6,5,60.88,106,0,0,0,1
 104,Utah St.,A,59.79,5,6,64.04,95,0,0,0,1
 105,Eastern Illinois,AA,59.68,8,4,49.63,155,0,0,0,1
 106,Tulsa,A,59.67,5,7,63.18,99,0,0,0,1
 107,Western Illinois,AA,59.4,9,3,46.11,176,0,0,0,0
 108,Rice,A,58.21,3,8,69.49,68,0,1,0,3
 109,New Mexico St.,A,58.19,3,8,65.82,84,0,0,0,3
 110,South Florida,AA,58.12,7,4,50.71,143,0,0,0,0
 111,Youngstown St.,AA,57.43,9,3,50,151,0,0,0,0
 112,Ball St.,A,57.34,5,6,65.56,86,0,2,0,3
 113,McNeese St.,AA,56.9,8,4,48.53,161,0,1,0,1
 114,Houston,A,56.76,3,8,69.95,65,0,0,0,1
 115,Rutgers,A,56.64,3,8,71.53,50,0,2,0,3
 116,Tennessee Tech,AA,56.27,8,3,44.8,182,0,0,0,0
 117,Southern Utah,AA,56.12,7,4,54.31,133,0,0,0,0
 118,Wofford,AA,56.11,7,4,51.54,141,0,0,0,0
 119,Pennsylvania,AA,54.87,7,3,46.37,175,0,0,0,0
 120,Massachusetts,AA,54.86,7,4,50.36,150,0,0,0,0
 121,Baylor,A,54.8,2,9,75.05,26,0,2,0,5
 122,Idaho St.,AA,54.77,6,5,58.01,120,0,0,0,0
 123,East Tennessee St.,AA,54.17,6,5,53.1,138,0,0,0,1
 124,Hawaii,A,54.14,3,9,64.21,91,0,0,0,2
 125,Wake Forest,A,53.13,2,9,70.56,58,0,1,0,3
 126,SMU,A,53.1,3,9,65.23,88,0,0,0,1
 127,Illinois St.,AA,53.06,7,4,45.88,177,0,0,0,0
 128,Chattanooga,AA,52.72,5,6,50.37,149,0,0,0,0
 129,CS Northridge,AA,52.38,4,7,58.34,119,0,0,0,0
 130,James Madison,AA,52.28,6,5,50.38,147,0,0,0,0
