OvrRank,Team,Division,Rating,W,L,SchScore,SchRank,Wtop10,Ltop10,Wtop30,Ltop30,Year
   1,Southern Cal,A,95.87 ,11,2,81.67,1,1,1,6,2,2002
   2,Miami-Florida,A,95.05 ,12,1,73.71,37,0,1,6,1,2002
   3,Ohio St.,A,93.26 ,14,0,74.34,30,2,0,5,0,2002
   4,Oklahoma,A,93.04 ,12,2,74.96,26,2,0,6,0,2002
   5,Kansas St.,A,92.47 ,11,2,72.35,55,1,1,1,2,2002
   6,Georgia,A,91.97 ,13,1,75.03,24,1,0,4,1,2002
   7,Texas,A,90.21 ,11,2,75.31,20,1,1,2,2,2002
   8,Iowa,A,89.37 ,11,2,73.17,46,1,1,2,1,2002
   9,Alabama,A,87.46 ,10,3,75.7,15,0,2,2,3,2002
  10,Michigan,A,86.72 ,10,3,77.7,6,0,2,2,3,2002
  11,Florida St.,A,86.52 ,9,5,79.52,3,0,2,3,4,2002
  12,Washington St.,A,86.42 ,10,3,75.56,16,1,2,2,2,2002
  13,Maryland,A,86.35 ,11,3,72.53,53,0,0,2,3,2002
  14,No. Carolina St.,A,86.13 ,11,3,71.33,59,0,0,3,2,2002
  15,Auburn,A,85.66 ,9,4,74.57,27,1,2,3,4,2002
  16,Penn St.,A,85.52 ,9,4,74.36,29,0,3,1,4,2002
  17,Notre Dame,A,85.03 ,10,3,75.76,14,1,1,4,3,2002
  18,Boise St.,A,84.44 ,12,1,62.12,112,0,0,0,1,2002
  19,Colorado,A,83.90 ,9,5,78.48,4,1,3,3,3,2002
  20,Texas Tech,A,83.55 ,9,5,77.51,7,1,2,1,4,2002
  21,Virginia Tech,A,82.34 ,10,4,72.22,56,0,1,3,3,2002
  22,Florida,A,81.75 ,8,5,76.91,9,1,2,2,4,2002
  23,West Virginia,A,81.70 ,9,4,72.51,54,0,1,3,3,2002
  24,UCLA,A,81.17 ,8,5,77.27,8,0,1,1,3,2002
  25,Arkansas,A,81.04 ,9,5,75.37,18,0,2,3,2,2002
  26,Boston College,A,80.80 ,9,4,70.77,63,0,1,1,4,2002
  27,Pittsburgh,A,80.63 ,9,4,73.01,47,0,1,3,3,2002
  28,LSU,A,80.52 ,8,5,74.21,33,0,2,1,5,2002
  29,Virginia,A,80.28 ,9,5,76.44,11,0,0,3,3,2002
  30,Oregon St.,A,79.95 ,8,5,73.35,43,0,1,0,3,2002
  31,California,A,79.36 ,7,5,74.26,31,0,1,1,3,2002
  32,Wisconsin,A,79.14 ,8,6,76.01,12,0,3,2,4,2002
  33,Tennessee,A,79.11 ,8,5,73.22,45,0,3,1,5,2002
  34,South Florida,A,79.03 ,9,2,64.32,102,0,1,0,2,2002
  35,Iowa St.,A,78.95 ,7,7,76.46,10,1,3,2,6,2002
  36,Arizona St.,A,78.28 ,8,6,75.13,23,0,2,1,3,2002
  37,Washington,A,78.07 ,7,6,75.36,19,0,2,2,3,2002
  38,Purdue,A,77.87 ,7,6,73.85,35,0,3,0,4,2002
  39,Oklahoma St.,A,77.42 ,8,5,71.56,58,1,2,1,4,2002
  40,Colorado St.,A,77.40 ,10,4,70.63,64,0,0,2,1,2002
  41,Nebraska,A,76.82 ,7,7,74.44,28,0,2,0,4,2002
  42,Wake Forest,A,76.45 ,7,6,74.18,34,0,0,0,4,2002
  43,Georgia Tech,A,76.34 ,7,6,75.13,22,0,1,2,3,2002
  44,Mississippi,A,76.32 ,7,6,73.65,38,0,2,1,6,2002
  45,Clemson,A,76.07 ,7,6,75.8,13,0,1,0,6,2002
  46,Minnesota,A,75.97 ,8,5,70.77,62,0,3,1,3,2002
  47,Oregon,A,75.85 ,7,6,72.6,52,0,1,1,3,2002
  48,Kentucky,A,75.80 ,7,5,70.31,65,0,1,1,3,2002
  49,TCU,A,75.62 ,10,2,64.02,105,0,0,0,0,2002
  50,Texas A&M,A,75.44 ,6,6,73.27,44,1,1,2,3,2002
  51,Missouri,A,74.61 ,5,7,74.99,25,0,2,0,4,2002
  52,Toledo,A,74.33 ,9,5,67.31,84,0,0,0,2,2002
  53,Marshall,A,74.01 ,11,2,62.04,113,0,0,0,1,2002
  54,Bowling Green,A,73.84 ,9,3,61.94,114,0,0,0,0,2002
  55,Northern Illinois,A,73.60 ,8,4,67.44,80,0,0,0,0,2002
  56,Miami-Ohio,A,73.02 ,7,5,68.32,71,0,1,0,2,2002
  57,Illinois,A,73.01 ,5,7,73.37,42,0,2,0,3,2002
  58,Air Force,A,72.73 ,8,5,65.93,92,0,0,0,2,2002
  59,Cincinnati,A,72.69 ,7,7,70.24,66,0,1,0,2,2002
  60,South Carolina,A,72.43 ,5,7,75.27,21,0,1,0,5,2002
  61,Western Kentucky,AA,72.26 ,12,3,61.49,116,0,1,0,1,2002
  62,McNeese St.,AA,71.70 ,13,2,57.66,123,0,0,0,0,2002
  63,North Texas,A,71.68 ,8,5,67.78,76,0,2,0,2,2002
  64,Fresno St.,A,71.11 ,9,5,68.05,73,0,0,0,2,2002
