OvrRank,Team,Division,Rating,W,L,SchScore,SchRank,Wtop10,Ltop10,Wtop30,Ltop30,Year
   1,Ohio St.,A,99.2,11,1,76.75,25,1,0,5,0,1998
   2,Tennessee,A,98.49,13,0,76.81,24,2,0,6,0,1998
   3,Florida St.,A,97.44,11,2,79.58,5,2,1,6,1,1998
   4,Kansas St.,A,96.28,11,2,73.34,56,1,1,4,2,1998
   5,Florida,A,93.72,10,2,74.22,47,0,2,2,2,1998
   6,Wisconsin,A,93.63,11,1,73.34,55,1,0,3,1,1998
   7,Texas A&M,A,91.86,11,3,80.86,3,2,2,3,3,1998
   8,UCLA,A,91.75,10,2,78.85,6,1,1,4,2,1998
   9,Nebraska,A,89.37,9,4,78.03,10,0,3,2,4,1998
  10,Arizona,A,89.29,12,1,71.42,68,1,1,2,1,1998
  11,Penn St.,A,88.99,9,3,77.42,16,0,2,1,3,1998
  12,Missouri,A,87.95,8,4,79.76,4,0,4,2,4,1998
  13,Purdue,A,87.95,9,4,77.99,12,1,1,1,4,1998
  14,Virginia Tech,A,87.78,9,3,71.44,67,0,0,2,2,1998
  15,Syracuse,A,87.77,8,4,76.62,27,0,2,3,3,1998
  16,Texas,A,87.76,9,3,78.09,9,2,2,3,2,1998
  17,Air Force,A,87.34,12,1,67.2,83,0,0,0,0,1998
  18,Michigan,A,87.29,10,3,75.88,31,1,1,3,3,1998
  19,Tulane,A,87.2,12,0,64.76,91,0,0,0,0,1998
  20,Arkansas,A,86.81,9,3,74.26,46,0,1,0,3,1998
  21,Georgia Tech,A,86.58,10,2,73.66,52,0,1,3,1,1998
  22,Virginia,A,86.36,9,3,75.47,32,0,1,1,3,1998
  23,Miami-Florida,A,85.89,9,3,72.53,61,1,1,2,3,1998
  24,Southern Cal,A,84.51,8,5,78,11,0,2,2,3,1998
  25,Oregon,A,83.93,8,4,75.08,38,0,2,1,3,1998
  26,West Virginia,A,83.81,8,4,73.72,51,0,1,1,4,1998
  27,Notre Dame,A,83.48,9,3,75.22,36,0,0,2,2,1998
  28,Georgia,A,83.23,9,3,74.21,48,0,2,1,3,1998
  29,Colorado,A,81.38,8,4,75.97,28,0,2,1,3,1998
  30,Mississippi St.,A,80.66,8,5,74.16,49,0,1,1,2,1998
  31,Michigan St.,A,80.05,6,6,77.68,14,1,0,2,4,1998
  32,Kentucky,A,80.03,7,5,75.93,30,0,2,1,5,1998
  33,Texas Tech,A,78.84,7,5,74.39,44,0,1,1,3,1998
  34,Alabama,A,78.77,7,5,78.66,7,0,2,0,5,1998
  35,Southern Mississippi,A,78.66,7,5,71.91,63,0,1,0,3,1998
  36,Oklahoma St.,A,78.08,5,6,77.72,13,0,3,1,4,1998
  37,Colorado St.,A,77.9,8,4,70.7,73,0,0,0,2,1998
  38,No. Carolina St.,A,77.6,7,5,75.38,33,1,0,2,3,1998
  39,LSU,A,77.32,4,7,77.01,23,0,1,1,4,1998
  40,Washington,A,76.71,6,6,78.1,8,0,3,0,6,1998
  41,Central Florida,A,76.46,9,2,59.46,106,0,0,0,1,1998
  42,Miami-Ohio,A,75.79,10,1,59.41,107,0,0,0,0,1998
  43,Wyoming,A,75.31,8,3,70.06,75,0,0,0,2,1998
  44,Minnesota,A,75.04,5,6,77.14,19,0,2,0,5,1998
  45,North Carolina,A,75.02,7,5,73.41,54,0,1,0,3,1998
  46,Brigham Young,A,74.16,9,5,66.23,88,0,0,0,2,1998
  47,Oklahoma,A,74.16,5,6,77.13,20,0,1,0,4,1998
  48,TCU,A,73.99,7,5,70.62,74,0,0,2,0,1998
  49,Arizona St.,A,73.96,5,6,75.08,39,0,1,0,4,1998
  50,Oregon St.,A,73.94,5,6,75.22,35,0,2,1,3,1998
  51,Mississippi,A,73.85,7,5,71.19,71,0,0,0,3,1998
  52,Auburn,A,73.32,3,8,81.24,2,0,2,0,6,1998
  53,California,A,72.81,5,6,77.09,22,0,3,1,3,1998
  54,Marshall,A,72.53,12,1,56.2,118,0,0,0,0,1998
  55,Indiana,A,71.87,4,7,77.41,17,0,2,0,4,1998
  56,Rice,A,71.59,5,6,73.31,57,0,0,0,3,1998
  57,Louisville,A,71.32,7,5,67.71,82,0,0,0,1,1998
  58,San Diego St.,A,71.07,7,5,69.33,77,0,2,0,3,1998
  59,Utah,A,70.99,7,4,62.14,101,0,0,0,0,1998
  60,Boston College,A,70.43,4,7,74.73,41,0,0,1,5,1998
  61,Louisiana Tech,A,70.17,6,6,67.75,81,0,2,0,3,1998
  62,Kansas,A,69.84,4,7,75.1,37,0,3,1,4,1998
  63,Baylor,A,69.43,2,9,81.52,1,0,2,0,5,1998
  64,Richmond,AA,69.41,9,3,58.71,113,0,0,0,0,1998
  65,Massachusetts,AA,68.77,12,3,59.3,108,0,0,0,0,1998
  66,Georgia Southern,AA,68.47,14,1,47.98,144,0,0,0,0,1998
  67,SMU,A,68.34,5,7,70.78,72,0,0,0,3,1998
  68,Iowa St.,A,67.9,3,8,77.11,21,0,2,0,5,1998
  69,Idaho,A,67.88,9,3,59.82,105,0,0,0,0,1998
  70,Stanford,A,67.82,3,8,77.36,18,0,2,0,5,1998
  71,Fresno St.,A,67.78,5,6,66.61,86,0,0,0,1,1998
  72,Iowa,A,66.81,3,8,77.47,15,0,3,0,5,1998
  73,Tulsa,A,66.73,4,7,71.36,69,0,0,0,2,1998
  74,East Carolina,A,65.92,6,5,66.02,89,0,0,0,1,1998
  75,Clemson,A,65.89,3,8,72.53,60,0,1,0,4,1998
  76,Toledo,A,65.69,7,5,63.59,95,0,1,0,1,1998
  77,Houston,A,65.61,3,8,73.77,50,0,2,0,3,1998
  78,Nevada,A,65.47,6,5,62.29,100,0,0,0,0,1998
  79,Connecticut,AA,65.36,10,3,58.31,117,0,0,0,0,1998
  80,Bowling Green,A,65.3,5,6,66.51,87,0,0,0,2,1998
  81,Rutgers,A,64.76,5,6,73.42,53,0,0,0,5,1998
  82,Wake Forest,A,64.73,3,8,74.31,45,0,1,0,4,1998
  83,Army,A,64.66,3,8,72.09,62,0,0,0,3,1998
  84,Washington St.,A,64.35,3,8,75.06,40,0,2,0,4,1998
  85,Duke,A,64.01,4,7,71.82,64,0,1,0,3,1998
  86,Northwestern,A,63.57,3,9,74.47,43,0,2,0,5,1998
  87,Maryland,A,63.39,3,8,73.3,58,0,1,0,4,1998
  88,Delaware,AA,63.05,7,4,59.24,110,0,0,0,0,1998
  89,NW Louisiana,AA,62.61,11,3,52.49,126,0,0,0,1,1998
  90,Illinois,A,61.6,3,8,75.29,34,0,2,0,4,1998
  91,Ohio U.,A,61.56,5,6,63.89,92,0,1,0,1,1998
  92,San Jose St.,A,61.42,4,8,68.37,80,0,0,0,2,1998
  93,South Carolina,A,61.34,1,10,75.96,29,0,2,0,5,1998
  94,Western Michigan,A,61.31,7,4,56.2,119,0,0,0,0,1998
  95,Western Illinois,AA,60.91,11,3,50.54,131,0,0,0,0,1998
  96,Pittsburgh,A,60.2,2,9,73.01,59,0,0,0,5,1998
  97,Memphis,A,60.05,2,9,71.57,66,0,0,0,3,1998
  98,McNeese St.,AA,59.7,9,3,48.77,138,0,0,0,0,1998
  99,Florida A&M,AA,59.53,11,2,40.01,178,0,0,0,0,1998
 100,William & Mary,AA,59.39,7,4,54.81,122,0,0,0,0,1998
 101,Appalachian St.,AA,59.37,10,3,47.95,145,0,0,0,0,1998
 102,UTEP,A,59.31,3,8,67.09,84,0,0,0,1,1998
 103,Boise St.,A,58.84,6,5,58.4,116,0,0,0,0,1998
 104,Vanderbilt,A,58.51,2,9,76.74,26,0,2,0,4,1998
 105,North Texas,A,58.38,3,8,69.34,76,0,1,0,1,1998
 106,Central Michigan,A,58.26,6,5,58.48,115,0,0,0,0,1998
 107,Maine,AA,58.12,6,5,54.42,123,0,0,0,0,1998
 108,Lehigh,AA,58.09,12,1,39.72,181,0,0,0,0,1998
 109,Hofstra,AA,57.98,8,3,46.47,154,0,0,0,0,1998
 110,Villanova,AA,57.94,6,5,55.7,121,0,0,0,0,1998
 111,Navy,A,57.85,3,8,68.65,79,0,0,0,4,1998
 112,Northeastern,AA,57.09,5,6,56.09,120,0,0,0,0,1998
 113,Temple,A,56.11,2,9,71.6,65,0,0,1,3,1998
 114,NE Louisiana,A,55.97,5,6,63.14,96,0,3,0,3,1998
 115,New Mexico St.,A,55.88,3,8,65.82,90,0,0,0,2,1998
 116,New Hampshire,AA,55.27,4,7,60.92,103,0,0,0,0,1998
 117,Utah St.,A,55.22,3,8,63.08,97,0,0,0,1,1998
 118,Cincinnati,A,55.09,2,9,71.2,70,0,0,0,3,1998
 119,Akron,A,55.04,4,7,58.91,112,0,0,0,0,1998
 120,UAB,A,54.79,4,7,61.8,102,0,2,0,3,1998
 121,Tennessee St.,AA,54.7,9,3,42.4,167,0,0,0,0,1998
 122,Illinois St.,AA,54.09,8,4,52.34,128,0,0,0,0,1998
 123,UC Davis,II,53.75,10,2,34.21,203,0,0,0,0,1998
 124,Rhode Island,AA,52.95,3,8,59.01,111,0,0,0,0,1998
 125,Troy St.,AA,52.8,8,4,48.54,141,0,0,0,0,1998
 126,Hampton,AA,52.6,9,3,38.76,187,0,0,0,0,1998
 127,UNLV,A,52.6,0,11,74.68,42,0,1,0,2,1998
 128,New Mexico,A,52.57,3,9,63.01,98,0,0,0,1,1998
 129,Northern Iowa,AA,52.29,7,4,48.66,139,0,0,0,0,1998
 130,James Madison,AA,52.24,3,8,59.25,109,0,0,0,0,1998
 131,CS Northridge,AA,51.98,7,4,47.13,150,0,0,0,0,1998
 132,South Florida,AA,51.98,8,3,41.01,174,0,0,0,0,1998
 133,Montana St.,AA,51.22,7,4,49.36,135,0,0,0,0,1998
 134,Colgate,AA,51.18,8,4,42.46,166,0,0,0,0,1998
 135,Arkansas St.,A,50.59,4,8,60.8,104,0,0,0,0,1998
 136,Montana,AA,50.16,8,4,45.68,158,0,0,0,0,1998
 137,SW Louisiana,A,49.93,2,9,69.15,78,0,0,0,2,1998
 138,Pennsylvania,AA,49.93,8,2,40,179,0,0,0,0,1998
 139,Eastern Michigan,A,49.31,3,8,58.7,114,0,0,0,1,1998
 140,Western Kentucky,AA,48.85,7,4,41.95,171,0,0,0,0,1998
 141,Youngstown St.,AA,48.76,6,5,53.41,125,0,0,0,0,1998
 142,SW Missouri St.,AA,48.42,5,6,50.53,132,0,0,0,0,1998
 143,Northern Illinois,A,48.42,2,9,63.81,94,0,1,0,1,1998
 144,Indiana St.,AA,47.93,5,6,53.61,124,0,1,0,1,1998
 145,Jacksonville St.,AA,47.7,7,4,46.8,152,0,0,0,0,1998
 146,Murray St.,AA,47.54,7,4,44.02,164,0,0,0,0,1998
 147,Western Carolina,AA,47.47,6,5,46.97,151,0,0,0,0,1998
 148,Elon College,AA,47.17,5,6,45.56,159,0,0,0,0,1998
 149,Citadel,AA,47.14,5,6,52.36,127,0,1,0,1,1998
 150,Eastern Washington,AA,46.44,5,6,48.81,136,0,0,0,0,1998
 151,Portland St.,AA,46.38,5,6,47.57,148,0,0,0,0,1998
 152,Weber St.,AA,46.19,6,5,48.09,143,0,0,0,0,1998
 153,Chattanooga,AA,46.14,5,6,47.42,149,0,0,0,0,1998
 154,Ball St.,A,45.36,1,10,63.86,93,0,0,0,0,1998
 155,Southern U.,AA,44.94,9,3,35.93,195,0,0,0,0,1998
 156,Northern Arizona,AA,44.73,6,5,44.63,161,0,0,0,0,1998
 157,East Tennessee St.,AA,44.54,4,7,51.14,130,0,0,0,2,1998
 158,Eastern Kentucky,AA,44.14,6,5,46.18,155,0,0,0,0,1998
 159,Brown,AA,44.02,7,3,39.18,185,0,0,0,0,1998
 160,Furman,AA,44,5,6,45.93,156,0,0,0,0,1998
 161,Middle Tennessee,AA,43.91,5,5,44.49,162,0,0,0,0,1998
 162,Stephen F. Austin,AA,43.11,3,8,49.87,133,0,0,0,0,1998
 163,Eastern Illinois,AA,43.11,6,5,45.36,160,0,0,0,0,1998
 164,Sacramento St.,AA,43.03,5,6,44.43,163,0,0,0,0,1998
 165,Southern Utah,AA,42.96,5,6,47.84,146,0,0,0,0,1998
 166,Jackson St.,AA,42.5,7,4,35.27,199,0,0,0,0,1998
