OvrRank,Team,Division,Rating,W,L,SchScore,SchRank,Wtop10,Ltop10,Wtop30,Ltop30,Year
   1,Florida State,A,101.90 ,14,0,69.16,62,1,0,2,0 ,2013
   2,Oregon,A,93.58 ,11,2,74.9,29,1,1,3,2 ,2013
   3,Alabama,A,93.37 ,11,2,73.42,39,0,1,3,2 ,2013
   4,Auburn,A,91.76 ,12,2,77.25,13,2,1,5,2 ,2013
   5,Stanford,A,91.57 ,11,3,80.73,1,2,1,7,2 ,2013
   6,Michigan State,A,90.76 ,13,1,70.89,51,1,0,2,1 ,2013
   7,Missouri,A,90.33 ,12,2,75.65,24,0,2,4,2 ,2013
   8,UCLA,A,89.39 ,10,3,78.61,7,0,2,3,3 ,2013
   9,Baylor,A,89.28 ,11,2,71.61,48,0,0,3,2 ,2013
  10,South Carolina,A,88.99 ,11,2,76.24,20,1,0,4,1 ,2013
  11,Washington,A,88.39 ,9,4,76.5,17,0,3,2,4 ,2013
  12,Oklahoma,A,88.08 ,11,2,74.73,32,1,1,5,1 ,2013
  13,Oklahoma State,A,88.04 ,10,3,75.75,22,1,1,3,2 ,2013
  14,Clemson,A,87.22 ,11,2,70.63,54,0,2,2,2 ,2013
  15,LSU,A,87.22 ,10,3,75.45,25,1,1,2,3 ,2013
  16,Ohio State,A,86.57 ,12,2,70.17,58,0,1,1,2 ,2013
  17,North Dakota State,AA,86.38 ,15,0,58.5,130,0,0,1,0 ,2013
  18,Wisconsin,A,85.79 ,9,4,71.38,49,0,1,0,3 ,2013
  19,Arizona State,A,85.51 ,10,4,80.72,2,1,2,6,4 ,2013
  20,Louisville,A,85.05 ,12,1,61.67,103,0,0,0,1 ,2013
  21,Southern California,A,84.55 ,10,4,76.01,21,1,1,3,3 ,2013
  22,Texas A&M,A,83.56 ,9,4,75.25,26,0,3,1,4 ,2013
  23,Kansas State,A,83.39 ,8,5,74.07,34,0,1,1,4 ,2013
  24,Arizona,A,83.32 ,8,5,74.74,31,1,1,1,4 ,2013
  25,Central Florida(UCF),A,82.02 ,12,1,64.96,79,1,1,2,1 ,2013
  26,Georgia,A,81.96 ,8,5,78.28,8,1,2,2,3 ,2013
  27,Mississippi,A,80.49 ,8,5,77.87,9,0,3,1,4 ,2013
  28,Notre Dame,A,79.80 ,9,4,74.83,30,1,1,3,2 ,2013
  29,Oregon State,A,79.72 ,7,6,76.47,18,0,2,0,5 ,2013
  30,Texas Tech,A,79.64 ,8,5,73.03,42,0,1,1,4 ,2013
  31,Mississippi State,A,79.58 ,7,6,76.61,15,0,3,1,6 ,2013
  32,Iowa,A,78.68 ,8,5,72.86,43,0,1,0,4 ,2013
  33,Texas,A,78.63 ,8,5,77.64,11,0,2,3,4 ,2013
  34,Utah,A,78.49 ,5,7,80.58,3,1,2,1,6 ,2013
  35,BYU,A,77.87 ,8,5,73.54,38,0,0,0,3 ,2013
  36,Vanderbilt,A,77.76 ,9,4,71.17,50,0,2,1,4 ,2013
  37,Georgia Tech,A,77.14 ,7,6,72.37,46,0,0,0,3 ,2013
  38,Nebraska,A,76.82 ,9,4,70.46,55,0,2,1,2 ,2013
  39,Bowling Green,A,76.54 ,10,4,58.79,123,0,0,0,0 ,2013
  40,Washington State,A,76.21 ,6,7,79.58,5,0,3,2,6 ,2013
  41,Utah State,A,76.15 ,9,5,65.89,74,0,0,0,1 ,2013
  42,Duke,A,75.97 ,10,4,69.5,60,0,1,0,2 ,2013
  43,Virginia Tech,A,75.91 ,8,5,72.81,44,0,2,0,2 ,2013
  44,Michigan,A,75.75 ,7,6,73.41,40,0,1,1,3 ,2013
  45,North Carolina,A,75.68 ,7,6,69.44,61,0,1,0,1 ,2013
  46,Eastern Illinois,AA,75.23 ,12,2,56.55,139,0,0,0,0 ,2013
  47,Boise State,A,74.53 ,8,5,65.6,75,0,0,0,2 ,2013
  48,TCU,A,74.11 ,4,8,76.6,16,0,1,0,6 ,2013
  49,Miami-Florida,A,73.86 ,9,4,70.33,56,0,1,0,2 ,2013
  50,Houston,A,73.84 ,8,5,66.22,73,0,0,0,2 ,2013
  51,Navy,A,73.53 ,9,4,64.85,81,0,0,0,1 ,2013
  52,Penn State,A,73.47 ,7,5,70.78,53,0,0,1,2 ,2013
  53,Florida,A,73.43 ,4,8,76.33,19,0,3,0,5 ,2013
  54,Fresno State,A,73.01 ,11,2,61.84,100,0,0,0,1 ,2013
  55,Pittsburgh,A,72.94 ,7,6,73.67,37,0,1,1,1 ,2013
  56,East Carolina,A,72.54 ,10,3,59.6,117,0,0,0,0 ,2013
  57,Indiana,A,72.06 ,5,7,73.67,36,0,2,0,4 ,2013
  58,Minnesota,A,72.06 ,8,5,70.89,52,0,1,0,2 ,2013
  59,Northern Illinois,A,71.86 ,12,2,59.89,116,0,0,0,0 ,2013
  60,Tennessee,A,71.86 ,5,7,77.65,10,1,4,1,5 ,2013
  61,Marshall,A,71.46 ,10,4,58.9,122,0,0,0,0 ,2013
  62,Syracuse,A,70.91 ,7,6,70.26,57,0,1,0,2 ,2013
  63,North Texas,A,70.81 ,9,4,58.62,125,0,0,0,1 ,2013
  64,Boston College,A,70.60 ,7,6,71.75,47,0,1,0,4 ,2013
  65,Northwestern,A,70.08 ,5,7,72.54,45,0,1,0,3 ,2013
  66,Towson,AA,69.79 ,13,3,57.31,134,0,0,0,1 ,2013
  67,Cincinnati,A,69.66 ,9,4,60.62,111,0,0,0,1 ,2013
  68,Toledo,A,67.69 ,7,5,65.35,77,0,1,0,1 ,2013
  69,Rice,A,67.67 ,10,4,62.07,98,0,0,0,1 ,2013
  70,Ball State,A,67.35 ,10,3,56.18,140,0,0,0,0 ,2013
  71,Colorado State,A,67.14 ,8,6,62.06,99,0,1,0,1 ,2013
  72,Iowa State,A,67.06 ,3,9,75.74,23,0,1,0,5 ,2013
  73,Maryland,A,66.79 ,7,6,66.5,70,0,1,0,2 ,2013
  74,West Virginia,A,66.75 ,4,8,74.2,33,0,1,1,4 ,2013
  75,Colorado,A,66.42 ,4,8,78.89,6,0,2,0,7 ,2013
  76,Illinois,A,66.33 ,4,8,73.33,41,0,1,0,4 ,2013
  77,Arkansas,A,66.21 ,3,9,77.35,12,0,3,0,6 ,2013
  78,San Diego State,A,65.89 ,8,5,65.15,78,0,0,0,2 ,2013
  79,Eastern Washington,AA,65.60 ,12,3,55.39,145,0,0,1,0 ,2013
  80,Texas-San Antonio,A,65.58 ,7,5,63.84,87,0,0,0,2 ,2013
  81,Louisiana-Lafayette,A,65.44 ,9,4,59.18,121,0,0,0,1 ,2013
  82,San Jose State,A,65.34 ,6,6,66.92,68,0,1,0,1 ,2013
  83,Buffalo,A,64.97 ,8,5,58.1,131,0,1,0,2 ,2013
  84,SE Louisiana,AA,64.81 ,11,3,52.73,158,0,0,0,0 ,2013
  85,Western Kentucky,A,64.78 ,8,4,59.41,120,0,0,0,0 ,2013
  86,Wake Forest,A,64.72 ,4,8,70.07,59,0,1,0,2 ,2013
  87,Florida Atlantic,A,64.59 ,6,6,60.6,112,0,1,0,1 ,2013
  88,Villanova,AA,64.37 ,6,5,58.02,132,0,0,0,0 ,2013
  89,New Hampshire,AA,64.33 ,10,5,57.14,136,0,0,0,1 ,2013
  90,South Alabama,A,64.20 ,6,6,59.94,115,0,0,0,0 ,2013
  91,Tulane,A,64.14 ,7,6,61.83,101,0,0,0,0 ,2013
  92,William & Mary,AA,63.69 ,7,5,56.63,138,0,0,0,0 ,2013
  93,Northern Iowa,AA,63.45 ,7,5,56.95,137,0,0,0,1 ,2013
  94,South Dakota State,AA,63.32 ,9,5,58.56,128,0,0,0,1 ,2013
  95,Arkansas State,A,62.79 ,8,5,60.69,110,0,2,0,2 ,2013
  96,Coastal Carolina,AA,62.76 ,12,3,50.6,171,0,1,0,2 ,2013
  97,Southern Illinois,AA,62.71 ,7,5,60.32,113,0,0,0,1 ,2013
  98,Nevada,A,62.59 ,4,8,68.58,64,0,2,0,2 ,2013
  99,UNLV,A,62.26 ,7,6,63.78,88,0,0,0,1 ,2013
 100,Rutgers,A,61.85 ,6,7,64.86,80,0,0,0,3 ,2013
 101,Jacksonville State,AA,61.58 ,11,4,50.04,177,0,0,0,0 ,2013
 102,SMU,A,61.57 ,5,7,67.44,67,0,0,0,3 ,2013
 103,Middle Tennessee,A,61.04 ,8,5,61.33,104,0,0,0,0 ,2013
 104,Kentucky,A,60.92 ,2,10,76.83,14,0,3,0,5 ,2013
 105,Sam Houston State,AA,60.82 ,9,5,47.68,194,0,0,0,1 ,2013
 106,Virginia,A,60.57 ,2,10,74.04,35,0,1,0,2 ,2013
 107,Memphis,A,60.46 ,3,9,64.83,82,0,0,0,2 ,2013
 108,Youngstown State,AA,60.39 ,8,4,54.01,152,0,1,0,2 ,2013
 109,Maine,AA,60.20 ,10,3,52.86,157,0,0,0,0 ,2013
 110,Montana,AA,60.05 ,10,3,49.94,180,0,0,0,0 ,2013
 111,Missouri State,AA,60.00 ,5,7,57.28,135,0,0,0,1 ,2013
 112,Princeton,AA,59.84 ,8,2,45.55,206,0,0,0,0 ,2013
 113,NC State,A,59.79 ,3,9,68.83,63,0,1,0,2 ,2013
 114,Harvard,AA,59.55 ,9,1,46.6,200,0,0,0,0 ,2013
 115,Troy,A,59.36 ,6,6,61.72,102,0,0,0,1 ,2013
 116,Liberty,AA,58.93 ,8,4,48.35,189,0,0,0,0 ,2013
 117,Temple,A,58.73 ,2,10,65.55,76,0,0,0,3 ,2013
 118,California,A,58.54 ,1,11,80.29,4,0,3,0,8 ,2013
 119,Kansas,A,58.41 ,3,9,74.91,28,0,1,0,5 ,2013
 120,Tennessee State,AA,58.30 ,10,4,50.15,176,0,0,0,0 ,2013
 121,Connecticut,A,58.28 ,3,9,66.53,69,0,0,0,2 ,2013
 122,Ohio,A,58.18 ,7,6,58.58,127,0,0,0,1 ,2013
 123,Kent State,A,58.08 ,4,8,64.35,84,0,0,0,1 ,2013
 124,Illinois State,AA,57.76 ,5,6,60.78,108,0,0,0,1 ,2013
 125,McNeese State,AA,57.68 ,10,3,50.65,170,0,0,0,0 ,2013
 126,Richmond,AA,56.74 ,6,6,54.28,151,0,0,0,0 ,2013
 127,Hawai'i,A,56.73 ,1,11,67.93,66,0,0,0,2 ,2013
 128,Louisiana-Monroe,A,56.71 ,6,6,63.18,93,0,1,0,2 ,2013
 129,Bethune-Cookman,AA,56.60 ,10,3,42.61,223,0,1,0,1 ,2013
 130,Fordham,AA,56.46 ,12,2,45.89,203,0,0,0,0 ,2013
 131,James Madison,AA,55.97 ,6,6,53.55,154,0,0,0,0 ,2013
 132,Tulsa,A,55.86 ,3,9,66.44,71,0,0,0,1 ,2013
 133,Old Dominion,AA,55.85 ,8,4,48.01,191,0,0,0,0 ,2013
 134,Wyoming,A,55.84 ,5,7,60.84,107,0,0,0,0 ,2013
 135,Central Arkansas,AA,55.63 ,7,5,52.98,156,0,0,0,0 ,2013
 136,Stony Brook,AA,55.49 ,5,6,55.31,148,0,0,0,0 ,2013
 137,Akron,A,55.42 ,5,7,62.57,95,0,0,0,1 ,2013
 138,Cal Poly-SLO,AA,55.37 ,6,6,50.53,174,0,0,0,0 ,2013
 139,Central Michigan,A,55.27 ,6,6,59.56,118,0,0,0,0 ,2013
 140,Chattanooga,AA,55.08 ,8,4,47.64,195,0,1,0,1 ,2013
 141,Tennessee-Martin,AA,54.89 ,7,5,55.39,146,0,0,0,0 ,2013
 142,Texas State,A,53.72 ,6,6,56.06,142,0,0,0,1 ,2013
 143,South Florida,A,53.66 ,2,10,67.99,65,0,1,0,3 ,2013
 144,Eastern Kentucky,AA,53.66 ,6,6,51.2,165,0,0,0,1 ,2013
 145,Delaware,AA,53.53 ,7,5,51.49,163,0,0,0,0 ,2013
 146,New Mexico,A,53.40 ,3,9,63.32,91,0,0,0,0 ,2013
 147,Furman,AA,52.86 ,8,6,51.45,164,0,0,0,2 ,2013
 148,Georgia Southern,AA,52.72 ,7,4,46.28,201,0,0,0,0 ,2013
 149,Northern Arizona,AA,52.55 ,9,3,50.02,178,0,0,0,1 ,2013
 150,Dartmouth,AA,52.34 ,6,4,44.99,208,0,0,0,0 ,2013
 151,SC State,AA,52.31 ,9,4,41.15,225,0,0,0,1 ,2013
 152,Brown,AA,52.21 ,6,4,43.96,216,0,0,0,0 ,2013
 153,Murray State,AA,52.09 ,6,6,58.58,126,0,1,0,1 ,2013
 154,Samford,AA,52.07 ,8,5,50.54,173,0,0,0,0 ,2013
 155,Army,A,51.95 ,3,9,60.89,106,0,1,0,1 ,2013
 156,Montana State,AA,51.74 ,7,5,45.96,202,0,0,0,0 ,2013
 157,Purdue,A,51.65 ,1,11,75,27,0,1,0,4 ,2013
 158,Sacred Heart,AA,50.67 ,10,3,43.5,217,0,0,0,0 ,2013
 159,Western Illinois,AA,50.56 ,4,8,58.72,124,0,0,0,0 ,2013
 160,South Dakota,AA,49.90 ,4,8,57.71,133,0,0,0,1 ,2013
 161,Air Force,A,49.87 ,2,10,63.86,86,0,0,0,1 ,2013
 162,Portland State,AA,49.52 ,6,6,48.67,185,0,0,0,0 ,2013
 163,Lafayette,AA,49.11 ,5,7,51.01,167,0,0,0,0 ,2013
 164,Yale,AA,48.61 ,5,5,50,179,0,0,0,0 ,2013
 165,Abilene Christian,AA,48.28 ,6,5,39.87,228,0,0,0,0 ,2013
 166,Louisiana Tech,A,48.21 ,4,8,55.75,144,0,0,0,0 ,2013
 167,UAB,A,47.93 ,2,10,63.94,85,0,0,0,1 ,2013
 168,The Citadel,AA,47.88 ,5,7,48.22,190,0,0,0,1 ,2013
 169,Charleston Southern,AA,47.53 ,10,3,45.58,205,0,0,0,0 ,2013
 170,Lehigh,AA,47.51 ,8,3,44.6,212,0,0,0,0 ,2013
 171,Southern Utah,AA,47.12 ,8,5,50.96,169,0,0,0,0 ,2013
 172,Pennsylvania,AA,46.61 ,4,6,51.73,162,0,0,0,0 ,2013
 173,Northwestern State,AA,46.60 ,6,6,53.36,155,0,0,0,0 ,2013
 174,San Diego,AA,46.24 ,8,3,32.42,244,0,0,0,0 ,2013
 175,Appalachian State,AA,46.16 ,4,8,49.68,183,0,0,0,1 ,2013
 176,Wofford,AA,45.23 ,5,6,47.47,196,0,1,0,1 ,2013
 177,UC Davis,AA,45.14 ,5,7,48.66,186,0,0,0,0 ,2013
 178,Tennessee Tech,AA,45.01 ,5,7,52.72,159,0,0,0,1 ,2013
 179,Sacramento State,AA,44.96 ,5,7,49.61,184,0,0,0,1 ,2013
 180,Gardner-Webb,AA,44.79 ,7,5,49.78,182,0,0,0,0 ,2013
 181,Monmouth-NJ,AA,44.73 ,6,6,43,220,0,0,0,0 ,2013
 182,Bucknell,AA,44.66 ,6,5,44.16,214,0,0,0,0 ,2013
 183,Georgia State,A,44.65 ,0,12,60.73,109,0,1,0,1 ,2013
 184,NC A&T,AA,44.58 ,7,4,37.97,230,0,0,0,0 ,2013
 185,UTEP,A,44.42 ,2,10,60.91,105,0,0,0,1 ,2013
 186,Lamar,AA,44.19 ,5,7,52.08,160,0,0,0,1 ,2013
 187,Marist,AA,42.94 ,8,3,28.27,250,0,0,0,0 ,2013
 188,Saint Francis-Pa.,AA,42.77 ,5,6,44.61,211,0,0,0,0 ,2013
 189,Holy Cross,AA,42.68 ,3,9,47.37,197,0,0,0,0 ,2013
 190,Idaho,A,42.44 ,1,11,66.25,72,0,1,0,2 ,2013
 191,New Mexico State,A,42.38 ,2,10,63.54,89,0,1,0,1 ,2013
 192,Western Michigan,A,42.38 ,1,11,62.53,96,0,1,0,1 ,2013
 193,Massachusetts,A,41.45 ,1,11,64.55,83,0,0,0,2 ,2013
 194,Duquesne,AA,41.37 ,7,4,41.82,224,0,0,0,0 ,2013
 195,Nicholls State,AA,41.24 ,4,8,56.02,143,0,1,0,1 ,2013
 196,Alabama State,AA,41.13 ,8,4,32.85,242,0,0,0,0 ,2013
 197,Stephen F. Austin,AA,40.95 ,3,9,51.84,161,0,0,0,1 ,2013
 198,Indiana State,AA,40.74 ,1,11,60.04,114,0,0,0,1 ,2013
 199,Southern Miss,A,40.57 ,1,11,63.45,90,0,0,0,0 ,2013
 200,SE Missouri State,AA,40.14 ,3,9,58.55,129,0,0,0,1 ,2013
 201,Bryant,AA,40.12 ,5,7,43.5,218,0,0,0,0 ,2013
 202,Cornell,AA,39.44 ,3,7,48.39,188,0,0,0,0 ,2013
 203,Howard,AA,39.11 ,6,6,39.69,229,0,0,0,0 ,2013
 204,Hampton,AA,39.04 ,4,8,45.71,204,0,0,0,0 ,2013
 205,Charlotte,AA,39.00 ,5,6,40.2,227,0,0,0,0 ,2013
 206,Rhode Island,AA,38.88 ,3,9,56.15,141,0,0,0,0 ,2013
 207,Alcorn State,AA,38.86 ,9,3,32.36,245,0,0,0,0 ,2013
 208,Eastern Michigan,A,38.81 ,2,10,63.01,94,0,0,0,0 ,2013
 209,Robert Morris,AA,38.68 ,5,6,40.34,226,0,0,0,0 ,2013
 210,Colgate,AA,38.62 ,4,8,46.84,199,0,0,0,0 ,2013
 211,Elon,AA,38.16 ,2,10,51.15,166,0,0,0,0 ,2013
 212,Butler,AA,38.00 ,9,4,34.32,236,0,0,0,0 ,2013
 213,Dayton,AA,37.63 ,7,4,32.84,243,0,0,0,0 ,2013
 214,Jackson State,AA,37.61 ,7,4,35.22,232,0,0,0,0 ,2013
 215,Prairie View A&M,AA,36.92 ,6,6,34.96,235,0,0,0,0 ,2013
 216,NC Central,AA,36.92 ,5,7,45.12,207,0,0,0,0 ,2013
 217,Delaware State,AA,36.84 ,5,6,44.8,210,0,0,0,1 ,2013
 218,Western Carolina,AA,36.78 ,2,10,54.88,149,0,1,0,1 ,2013
 219,Albany-NY,AA,36.78 ,1,11,54.33,150,0,0,0,0 ,2013
 220,Morgan State,AA,36.30 ,5,7,44.14,215,0,0,0,0 ,2013
 221,Fla. International,A,35.80 ,1,11,62.08,97,0,0,0,2 ,2013
 222,Incarnate Word,AA,35.54 ,6,5,53.95,153,0,0,0,0 ,2013
 223,Southern U.,AA,35.40 ,9,4,33.72,240,0,0,0,0 ,2013
 224,Miami-Ohio,A,35.24 ,0,12,63.27,92,0,0,0,0 ,2013
 225,North Dakota,AA,35.19 ,3,8,47.96,192,0,0,0,0 ,2013
 226,Drake,AA,35.15 ,6,5,30.25,248,0,0,0,0 ,2013
 227,Florida A&M,AA,35.06 ,3,9,42.91,221,0,0,0,1 ,2013
 228,Weber State,AA,34.73 ,2,10,55.34,147,0,0,0,0 ,2013
 229,Idaho State,AA,34.70 ,3,9,50.98,168,0,0,0,1 ,2013
 230,Central Connecticut,AA,34.62 ,4,8,42.64,222,0,0,0,0 ,2013
 231,Presbyterian College,AA,34.27 ,3,8,50.24,175,0,0,0,0 ,2013
 232,VMI,AA,34.21 ,2,10,49.91,181,0,0,0,0 ,2013
 233,Norfolk State,AA,32.91 ,3,9,44.46,213,0,0,0,0 ,2013
 234,Northern Colorado,AA,31.66 ,1,11,48.48,187,0,0,0,0 ,2013
 235,Jacksonville,AA,30.70 ,5,6,31.2,247,0,0,0,0 ,2013
 236,Wagner,AA,30.67 ,3,8,43.44,219,0,0,0,0 ,2013
 237,Georgetown,AA,30.38 ,2,9,44.85,209,0,0,0,0 ,2013
 238,Mercer,AA,28.79 ,10,2,22.18,252,0,0,0,0 ,2013
