OvrRank,Team,Division,Rating,W,L,SchScore,SchRank,Wtop10,Ltop10,Wtop30,Ltop30
   1,Texas,A,106.93 ,13,0,77.24,13,3,0,4,0
   2,Southern California,A,98.93 ,12,1,78.37,8,2,1,5,1
   3,Ohio State,A,95.37 ,10,2,79.63,2,1,2,4,2
   4,Penn State,A,93.47 ,11,1,76.98,17,1,0,4,1
   5,Virginia Tech,A,93.07 ,11,2,75.78,26,1,0,3,2
   6,West Virginia,A,88.69 ,11,1,71.44,63,0,1,2,1
   7,LSU,A,88.28 ,11,2,73.42,50,0,0,5,1
   8,Notre Dame,A,86.75 ,9,3,77.1,14,0,2,1,2
   9,Oklahoma,A,86.27 ,8,4,80.34,1,0,2,2,4
  10,UCLA,A,85.93 ,10,2,75.16,33,1,1,3,1
  11,Texas Tech,A,85.73 ,9,3,70.95,66,1,1,2,2
  12,Boston College,A,85.10 ,9,3,76.06,22,0,1,1,2
  13,Miami-Florida,A,84.93 ,9,3,74.86,35,1,1,2,2
  14,Wisconsin,A,84.75 ,10,3,74.38,39,0,1,3,2
  15,TCU,A,84.73 ,11,1,70.02,71,1,0,2,0
  16,Michigan,A,84.45 ,7,5,79.6,3,1,2,2,5
  17,Oregon,A,84.39 ,10,2,74.87,34,0,2,2,2
  18,Alabama,A,84.31 ,10,2,71.73,59,0,1,2,2
  19,Florida,A,83.95 ,9,3,74.09,40,0,1,3,2
  20,Georgia,A,83.32 ,10,3,73.54,49,1,1,1,3
  21,Auburn,A,83.14 ,9,3,71.62,61,0,1,2,2
  22,Louisville,A,82.57 ,9,3,70.5,68,0,2,0,2
  23,Florida State,A,82.31 ,8,5,75.48,30,1,1,3,3
  24,Nebraska,A,81.39 ,8,4,74.83,36,0,1,2,2
  25,Clemson,A,81.20 ,8,4,73.87,44,0,0,1,2
  26,Iowa,A,81.09 ,7,5,76.84,18,0,1,2,4
  27,Minnesota,A,81.04 ,7,5,77.71,12,0,2,1,4
  28,Arizona State,A,80.14 ,7,5,75.5,28,0,3,0,4
  29,California,A,79.38 ,8,4,70.51,67,0,2,0,3
  30,Iowa State,A,79.27 ,7,5,74.66,38,0,0,1,2
  31,Virginia,A,79.11 ,7,5,73.54,48,0,1,2,3
  32,Kansas,A,78.89 ,7,5,75.9,24,0,2,2,3
  33,NC State,A,78.87 ,7,5,73.96,43,0,1,1,3
  34,Northwestern,A,78.69 ,7,5,79.42,4,0,3,2,5
  35,Michigan State,A,78.68 ,5,6,76.12,21,1,2,1,4
  36,Colorado,A,77.67 ,7,6,78.73,6,0,2,0,6
  37,Purdue,A,77.35 ,5,6,77,15,0,2,0,5
  38,Maryland,A,77.27 ,5,6,77.91,10,0,2,0,5
  39,Missouri,A,76.88 ,7,5,73.59,47,0,1,2,1
  40,Texas A&M,A,76.69 ,5,6,77.72,11,0,2,0,5
  41,Georgia Tech,A,76.50 ,7,5,77,16,0,1,3,2
  42,Stanford,A,76.41 ,5,6,77.92,9,0,3,1,5
  43,North Carolina,A,75.53 ,5,6,78.78,5,0,1,1,4
  44,Tulsa,A,75.04 ,9,4,66.77,84,0,1,0,2
  45,South Carolina,A,74.92 ,7,5,73.69,45,0,0,1,4
  46,Boise State,A,74.51 ,9,4,64.73,98,0,0,0,2
  47,Tennessee,A,74.49 ,5,6,75.18,32,1,1,1,4
  48,Fresno State,A,74.28 ,8,5,66.4,87,0,1,0,2
  49,Toledo,A,73.57 ,9,3,62.39,111,0,0,0,0
  50,Washington State,A,72.96 ,4,7,74.08,41,0,2,0,5
  51,Utah,A,72.78 ,7,5,68.94,76,0,0,0,1
  52,Navy,A,72.71 ,8,4,64.31,100,0,1,0,1
  53,Rutgers,A,72.60 ,7,5,67.86,80,0,1,0,3
  54,South Florida,A,72.48 ,6,6,72.85,53,0,2,1,3
  55,BYU,A,72.41 ,6,6,71.12,65,0,1,0,4
  56,Kansas State,A,72.29 ,5,6,73.09,52,0,1,0,4
  57,Baylor,A,72.07 ,5,6,75.49,29,0,2,1,4
  58,Oregon State,A,72.04 ,5,6,75.23,31,0,1,1,4
  59,Pittsburgh,A,72.00 ,5,6,72.3,55,0,2,0,4
  60,Northern Illinois,A,71.59 ,7,5,64.81,97,0,0,0,1
  61,Wake Forest,A,71.04 ,4,7,75.74,27,0,0,1,4
  62,Arkansas,A,70.97 ,4,7,73.41,51,0,2,0,5
  63,San Diego State,A,70.78 ,5,7,71.33,64,0,2,0,3
  64,Southern Miss,A,70.21 ,7,5,66.38,88,0,0,0,1
  65,Arizona,A,69.94 ,3,8,75.99,23,1,1,1,4
  66,Miami-Ohio,A,69.92 ,7,4,63.48,105,0,1,0,1
  67,Vanderbilt,A,69.74 ,5,6,71.51,62,0,1,0,3
  68,Connecticut,A,69.31 ,5,6,65.37,91,0,1,0,2
  69,Appalachian State,AA,69.29 ,12,3,57.27,124,0,1,0,1
  70,Memphis,A,69.10 ,7,5,64.94,94,0,0,0,0
