"No","Year","Record","APRank","CoachRank","Team","offName"
"16","1970","9-3-0","13","17","Georgia Tech","Georgia Institute of Technology"
"17","1972","7-4-1","20","","Georgia Tech","Georgia Institute of Technology"
"18","1985","9-2-1","19","18","Georgia Tech","Georgia Institute of Technology"
"19","1990","11-0-1","2","1","Georgia Tech","Georgia Institute of Technology"
"20","1997","7-5-0","25","","Georgia Tech","Georgia Institute of Technology"
"21","1998","10-2-0","9","11","Georgia Tech","Georgia Institute of Technology"
"22","1999","8-4-0","20","21","Georgia Tech","Georgia Institute of Technology"
"23","2000","9-3-0","17","19","Georgia Tech","Georgia Institute of Technology"
"24","2001","8-5-0","24","","Georgia Tech","Georgia Institute of Technology"
"25","2008","9-4-0","22","22","Georgia Tech","Georgia Institute of Technology"
"26","2009","10-3-0","13","13","Georgia Tech","Georgia Institute of Technology"
"1","1992","11-2-0","20","20","Hawaii","University of Hawaii at Manoa"
"2","2006","11-3-0","","24","Hawaii","University of Hawaii at Manoa"
"3","2007","12-1-0","19","17","Hawaii","University of Hawaii at Manoa"
"1","1952","8-2-0","","19","Houston (TX)","University of Houston"
"2","1966","8-2-0","","17","Houston (TX)","University of Houston"
"3","1967","7-3-0","","19","Houston (TX)","University of Houston"
"4","1968","6-2-2","18","20","Houston (TX)","University of Houston"
"5","1969","9-2-0","12","16","Houston (TX)","University of Houston"
"6","1970","8-3-0","19","13","Houston (TX)","University of Houston"
"7","1971","9-3-0","17","14","Houston (TX)","University of Houston"
"8","1973","11-1-0","9","13","Houston (TX)","University of Houston"
"9","1974","8-3-1","19","11","Houston (TX)","University of Houston"
"10","1976","10-2-0","4","4","Houston (TX)","University of Houston"
"11","1978","9-3-0","10","11","Houston (TX)","University of Houston"
"12","1979","11-1-0","5","5","Houston (TX)","University of Houston"
"13","1988","9-3-0","18","","Houston (TX)","University of Houston"
"14","1989","9-2-0","14","","Houston (TX)","University of Houston"
"15","1990","10-1-0","10","","Houston (TX)","University of Houston"
"16","2011","13-1-0","18","14","Houston (TX)","University of Houston"
"1","1944","5-4-1","15","","Illinois","University of Illinois at Urbana-Champaign"
"2","1946","8-2-0","5","","Illinois","University of Illinois at Urbana-Champaign"
"3","1950","7-2-0","13","11","Illinois","University of Illinois at Urbana-Champaign"
"4","1951","9-0-1","4","3","Illinois","University of Illinois at Urbana-Champaign"
"5","1953","7-1-1","7","7","Illinois","University of Illinois at Urbana-Champaign"
"6","1959","5-3-1","13","12","Illinois","University of Illinois at Urbana-Champaign"
"7","1962","2-7-0","","18","Illinois","University of Illinois at Urbana-Champaign"
"8","1963","8-1-1","3","4","Illinois","University of Illinois at Urbana-Champaign"
"9","1964","6-3-0","","16","Illinois","University of Illinois at Urbana-Champaign"
"10","1983","10-2-0","10","10","Illinois","University of Illinois at Urbana-Champaign"
"11","1989","10-2-0","10","10","Illinois","University of Illinois at Urbana-Champaign"
"12","1990","8-4-0","25","24","Illinois","University of Illinois at Urbana-Champaign"
"13","1999","8-4-0","24","25","Illinois","University of Illinois at Urbana-Champaign"
"14","2001","10-2-0","12","12","Illinois","University of Illinois at Urbana-Champaign"
"15","2007","9-4-0","20","18","Illinois","University of Illinois at Urbana-Champaign"
"1","1945","9-0-1","4","","Indiana","Indiana University Bloomington"
"2","1946","6-3-0","20","","Indiana","Indiana University Bloomington"
"3","1967","9-2-0","4","6","Indiana","Indiana University Bloomington"
"4","1979","8-4-0","19","16","Indiana","Indiana University Bloomington"
"5","1987","8-4-0","","20","Indiana","Indiana University Bloomington"
"6","1988","8-3-1","20","19","Indiana","Indiana University Bloomington"
"1","1939","6-1-1","9","","Iowa","University of Iowa"
"2","1953","5-3-1","9","10","Iowa","University of Iowa"
"3","1955","3-5-1","","19","Iowa","University of Iowa"
"4","1956","9-1-0","3","3","Iowa","University of Iowa"
"5","1957","7-1-1","6","5","Iowa","University of Iowa"
"6","1958","8-1-1","2","2","Iowa","University of Iowa"
"7","1960","8-1-0","3","2","Iowa","University of Iowa"
"8","1981","8-4-0","18","15","Iowa","University of Iowa"
"9","1983","9-3-0","14","14","Iowa","University of Iowa"
"10","1984","8-4-1","16","15","Iowa","University of Iowa"
"11","1985","10-2-0","10","9","Iowa","University of Iowa"
"12","1986","9-3-0","16","15","Iowa","University of Iowa"
"13","1987","10-3-0","16","16","Iowa","University of Iowa"
"14","1990","8-4-0","18","16","Iowa","University of Iowa"
"15","1991","10-1-1","10","10","Iowa","University of Iowa"
"16","1995","8-4-0","25","22","Iowa","University of Iowa"
"17","1996","9-3-0","18","18","Iowa","University of Iowa"
"18","2002","11-2-0","8","8","Iowa","University of Iowa"
"19","2003","10-3-0","8","8","Iowa","University of Iowa"
"20","2004","10-2-0","8","8","Iowa","University of Iowa"
"21","2008","9-4-0","20","20","Iowa","University of Iowa"
"22","2009","11-2-0","7","7","Iowa","University of Iowa"
"1","1971","8-4-0","","17","Iowa St.","Iowa State University"
"2","1976","8-3-0","19","18","Iowa St.","Iowa State University"
"3","2000","9-3-0","25","23","Iowa St.","Iowa State University"
"1","1947","8-1-2","12","","Kansas","University of Kansas"
"2","1951","8-2-0","","20","Kansas","University of Kansas"
"3","1960","5-4-1","11","9","Kansas","University of Kansas"
"4","1961","7-3-1","","15","Kansas","University of Kansas"
"5","1968","9-2-0","7","6","Kansas","University of Kansas"
"6","1973","7-4-1","18","15","Kansas","University of Kansas"
"7","1992","8-4-0","22","23","Kansas","University of Kansas"
"8","1995","10-2-0","9","10","Kansas","University of Kansas"
"9","2007","12-1-0","7","7","Kansas","University of Kansas"
"1","1993","9-2-1","20","18","Kansas St.","Kansas State University"
"2","1994","9-3-0","19","16","Kansas St.","Kansas State University"
"3","1995","10-2-0","7","6","Kansas St.","Kansas State University"
"4","1996","9-3-0","17","17","Kansas St.","Kansas State University"
"5","1997","11-1-0","8","7","Kansas St.","Kansas State University"
"6","1998","11-2-0","10","9","Kansas St.","Kansas State University"
"7","1999","11-1-0","6","6","Kansas St.","Kansas State University"
"8","2000","11-3-0","9","8","Kansas St.","Kansas State University"
"9","2002","11-2-0","7","6","Kansas St.","Kansas State University"
"10","2003","11-4-0","14","13","Kansas St.","Kansas State University"
"11","2011","10-3-0","15","16","Kansas St.","Kansas State University"
"12","2012","11-2-0","12","11","Kansas St.","Kansas State University"
"1","1949","9-3-0","11","","Kentucky","University of Kentucky"
"2","1950","11-1-0","7","7","Kentucky","University of Kentucky"
"3","1951","8-4-0","15","17","Kentucky","University of Kentucky"
"4","1952","5-4-2","20","19","Kentucky","University of Kentucky"
"5","1953","7-2-1","16","15","Kentucky","University of Kentucky"
"6","1965","6-4-0","","18","Kentucky","University of Kentucky"
"7","1976","9-3-0","18","19","Kentucky","University of Kentucky"
"8","1977","10-1-0","6","","Kentucky","University of Kentucky"
"9","1984","9-3-0","19","19","Kentucky","University of Kentucky"
"1","1936","9-1-1","2","","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"2","1937","9-2-0","8","","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"3","1945","7-2-0","15","","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"4","1946","9-1-1","8","","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"5","1949","8-3-0","9","","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"6","1958","11-0-0","1","1","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"7","1959","9-2-0","3","3","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"8","1961","10-1-0","4","3","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"9","1962","9-1-1","7","8","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"10","1964","8-2-1","7","7","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"11","1965","8-3-0","8","14","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"12","1968","8-3-0","19","","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"13","1969","9-1-0","10","7","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"14","1970","9-3-0","7","6","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"15","1971","9-3-0","11","10","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"16","1972","9-2-1","11","10","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"17","1973","9-3-0","13","14","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"18","1982","8-3-1","11","11","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"19","1984","8-3-1","15","16","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"20","1985","9-2-1","20","20","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"21","1986","9-3-0","10","11","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"22","1987","10-1-1","5","5","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"23","1988","8-4-0","19","","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"24","1995","7-4-1","","25","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"25","1996","10-2-0","12","13","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"26","1997","9-3-0","13","13","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"27","2000","8-4-0","22","","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"28","2001","10-3-0","7","8","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"29","2003","13-1-0","2","1","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"30","2004","9-3-0","16","16","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"31","2005","11-2-0","6","5","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"32","2006","11-2-0","3","3","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"33","2007","12-2-0","1","1","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"34","2009","9-4-0","17","17","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"35","2010","11-2-0","8","8","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"36","2011","13-1-0","2","2","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"37","2012","10-3-0","14","12","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"38","2013","10-3-0","14","14","Louisiana St.","Louisiana State University and Agricultural and Mechanical College"
"1","1972","9-1-0","18","16","Louisville (KY)","University of Louisville"
"2","1990","10-1-1","14","12","Louisville (KY)","University of Louisville"
"3","1993","9-3-0","24","23","Louisville (KY)","University of Louisville"
"4","2001","11-2-0","17","16","Louisville (KY)","University of Louisville"
"5","2004","11-1-0","6","7","Louisville (KY)","University of Louisville"
"6","2005","9-3-0","19","20","Louisville (KY)","University of Louisville"
"7","2006","12-1-0","6","7","Louisville (KY)","University of Louisville"
"8","2012","11-2-0","13","13","Louisville (KY)","University of Louisville"
"9","2013","12-1-0","15","15","Louisville (KY)","University of Louisville"
"1","1999","13-0-0","10","10","Marshall (WV)","Marshall University"
"2","2001","11-2-0","","21","Marshall (WV)","Marshall University"
"3","2002","11-2-0","24","19","Marshall (WV)","Marshall University"
"1","1949","9-1-0","14","","Maryland","University of Maryland: College Park"
"2","1951","10-0-0","3","4","Maryland","University of Maryland: College Park"
"3","1952","7-2-0","13","13","Maryland","University of Maryland: College Park"
"4","1953","10-1-0","1","1","Maryland","University of Maryland: College Park"
"5","1954","7-2-1","8","11","Maryland","University of Maryland: College Park"
"6","1955","10-1-0","3","3","Maryland","University of Maryland: College Park"
"7","1973","8-4-0","20","18","Maryland","University of Maryland: College Park"
"8","1974","8-4-0","13","13","Maryland","University of Maryland: College Park"
"9","1975","9-2-1","13","11","Maryland","University of Maryland: College Park"
"10","1976","11-1-0","8","11","Maryland","University of Maryland: College Park"
"11","1978","9-3-0","20","","Maryland","University of Maryland: College Park"
"12","1982","8-4-0","20","20","Maryland","University of Maryland: College Park"
"13","1984","9-3-0","12","11","Maryland","University of Maryland: College Park"
"14","1985","9-3-0","18","19","Maryland","University of Maryland: College Park"
"15","2001","10-2-0","11","10","Maryland","University of Maryland: College Park"
"16","2002","11-3-0","13","13","Maryland","University of Maryland: College Park"
"17","2003","10-3-0","17","20","Maryland","University of Maryland: College Park"
"18","2010","9-4-0","23","24","Maryland","University of Maryland: College Park"
"1","1963","9-0-1","","14","Memphis (TN)","University of Memphis"
"1","1950","9-1-1","15","13","Miami (FL)","University of Miami"
"2","1954","8-1-0","11","9","Miami (FL)","University of Miami"
"3","1955","6-3-0","14","18","Miami (FL)","University of Miami"
"4","1956","8-1-1","6","6","Miami (FL)","University of Miami"
"5","1961","7-4-0","","19","Miami (FL)","University of Miami"
"6","1962","7-4-0","","18","Miami (FL)","University of Miami"
"7","1966","8-2-1","9","10","Miami (FL)","University of Miami"
"8","1967","7-4-0","","16","Miami (FL)","University of Miami"
"9","1980","9-3-0","18","18","Miami (FL)","University of Miami"
"10","1981","9-2-0","8","","Miami (FL)","University of Miami"
"11","1983","11-1-0","1","1","Miami (FL)","University of Miami"
"12","1984","8-5-0","18","","Miami (FL)","University of Miami"
"13","1985","10-2-0","9","8","Miami (FL)","University of Miami"
"14","1986","11-1-0","2","2","Miami (FL)","University of Miami"
"15","1987","12-0-0","1","1","Miami (FL)","University of Miami"
"16","1988","11-1-0","2","2","Miami (FL)","University of Miami"
"17","1989","11-1-0","1","1","Miami (FL)","University of Miami"
"18","1990","10-2-0","3","3","Miami (FL)","University of Miami"
"19","1991","12-0-0","1","2","Miami (FL)","University of Miami"
"20","1992","11-1-0","3","3","Miami (FL)","University of Miami"
"21","1993","9-3-0","15","15","Miami (FL)","University of Miami"
"22","1994","10-2-0","6","6","Miami (FL)","University of Miami"
"23","1995","8-3-0","20","","Miami (FL)","University of Miami"
"24","1996","9-3-0","14","14","Miami (FL)","University of Miami"
"25","1998","9-3-0","20","21","Miami (FL)","University of Miami"
"26","1999","9-4-0","15","15","Miami (FL)","University of Miami"
"27","2000","11-1-0","2","2","Miami (FL)","University of Miami"
"28","2001","12-0-0","1","1","Miami (FL)","University of Miami"
"29","2002","12-1-0","2","2","Miami (FL)","University of Miami"
"30","2003","11-2-0","5","5","Miami (FL)","University of Miami"
"31","2004","9-3-0","11","11","Miami (FL)","University of Miami"
"32","2005","9-3-0","17","18","Miami (FL)","University of Miami"
"33","2009","9-4-0","19","19","Miami (FL)","University of Miami"
"1","1955","9-0-0","15","20","Miami (OH)","Miami University: Oxford Campus"
"2","1973","11-0-0","15","17","Miami (OH)","Miami University: Oxford Campus"
"3","1974","10-0-1","10","10","Miami (OH)","Miami University: Oxford Campus"
"4","1975","11-1-0","12","16","Miami (OH)","Miami University: Oxford Campus"
"5","2003","13-1-0","10","12","Miami (OH)","Miami University: Oxford Campus"
"1","1938","6-1-1","16","","Michigan","University of Michigan"
"2","1939","6-2-0","20","","Michigan","University of Michigan"
"3","1940","7-1-0","3","","Michigan","University of Michigan"
"4","1941","6-1-1","5","","Michigan","University of Michigan"
"5","1942","7-3-0","9","","Michigan","University of Michigan"
"6","1943","8-1-0","3","","Michigan","University of Michigan"
"7","1944","8-2-0","8","","Michigan","University of Michigan"
"8","1945","7-3-0","6","","Michigan","University of Michigan"
"9","1946","6-2-1","6","","Michigan","University of Michigan"
"10","1947","10-0-0","2","","Michigan","University of Michigan"
"11","1948","9-0-0","1","","Michigan","University of Michigan"
"12","1949","6-2-1","7","","Michigan","University of Michigan"
"13","1950","6-3-1","9","6","Michigan","University of Michigan"
"14","1953","6-3-0","20","19","Michigan","University of Michigan"
"15","1954","6-3-0","15","15","Michigan","University of Michigan"
"16","1955","7-2-0","12","13","Michigan","University of Michigan"
"17","1956","7-2-0","7","7","Michigan","University of Michigan"
"18","1964","9-1-0","4","4","Michigan","University of Michigan"
"19","1968","8-2-0","12","15","Michigan","University of Michigan"
"20","1969","8-3-0","9","8","Michigan","University of Michigan"
"21","1970","9-1-0","9","7","Michigan","University of Michigan"
"22","1971","11-1-0","6","4","Michigan","University of Michigan"
"23","1972","10-1-0","6","6","Michigan","University of Michigan"
"24","1973","10-0-1","6","6","Michigan","University of Michigan"
"25","1974","10-1-0","3","5","Michigan","University of Michigan"
"26","1975","8-2-2","8","8","Michigan","University of Michigan"
"27","1976","10-2-0","3","3","Michigan","University of Michigan"
"28","1977","10-2-0","9","8","Michigan","University of Michigan"
"29","1978","10-2-0","5","5","Michigan","University of Michigan"
"30","1979","8-4-0","18","19","Michigan","University of Michigan"
"31","1980","10-2-0","4","4","Michigan","University of Michigan"
"32","1981","9-3-0","12","10","Michigan","University of Michigan"
"33","1982","8-4-0","","15","Michigan","University of Michigan"
"34","1983","9-3-0","8","9","Michigan","University of Michigan"
"35","1985","10-1-1","2","2","Michigan","University of Michigan"
"36","1986","11-2-0","8","7","Michigan","University of Michigan"
"37","1987","8-4-0","19","18","Michigan","University of Michigan"
"38","1988","9-2-1","4","4","Michigan","University of Michigan"
"39","1989","10-2-0","7","8","Michigan","University of Michigan"
"40","1990","9-3-0","7","8","Michigan","University of Michigan"
"41","1991","10-2-0","6","6","Michigan","University of Michigan"
"42","1992","9-0-3","5","5","Michigan","University of Michigan"
"43","1993","8-4-0","21","19","Michigan","University of Michigan"
"44","1994","8-4-0","12","12","Michigan","University of Michigan"
"45","1995","9-4-0","17","19","Michigan","University of Michigan"
"46","1996","8-4-0","20","20","Michigan","University of Michigan"
"47","1997","12-0-0","1","2","Michigan","University of Michigan"
"48","1998","10-3-0","12","12","Michigan","University of Michigan"
"49","1999","10-2-0","5","5","Michigan","University of Michigan"
"50","2000","9-3-0","11","10","Michigan","University of Michigan"
"51","2001","8-4-0","20","20","Michigan","University of Michigan"
"52","2002","10-3-0","9","9","Michigan","University of Michigan"
"53","2003","10-3-0","6","7","Michigan","University of Michigan"
"54","2004","9-3-0","14","12","Michigan","University of Michigan"
"55","2006","11-2-0","8","9","Michigan","University of Michigan"
"56","2007","9-4-0","18","19","Michigan","University of Michigan"
"57","2011","11-2-0","12","9","Michigan","University of Michigan"
"58","2012","8-5-0","24","","Michigan","University of Michigan"
"1","1948","6-2-2","14","","Michigan St.","Michigan State University"
"2","1949","6-3-0","19","","Michigan St.","Michigan State University"
"3","1950","8-1-0","8","9","Michigan St.","Michigan State University"
"4","1951","9-0-0","2","2","Michigan St.","Michigan State University"
"5","1952","9-0-0","1","1","Michigan St.","Michigan State University"
"6","1953","9-1-0","3","3","Michigan St.","Michigan State University"
"7","1955","9-1-0","2","2","Michigan St.","Michigan State University"
"8","1956","7-2-0","9","10","Michigan St.","Michigan State University"
"9","1957","8-1-0","3","3","Michigan St.","Michigan State University"
"10","1959","5-4-0","","16","Michigan St.","Michigan State University"
"11","1960","6-2-1","15","11","Michigan St.","Michigan State University"
"12","1961","7-2-0","8","9","Michigan St.","Michigan State University"
"13","1963","6-2-1","10","10","Michigan St.","Michigan State University"
"14","1964","4-5-0","","20","Michigan St.","Michigan State University"
"15","1965","10-1-0","2","1","Michigan St.","Michigan State University"
"16","1966","9-0-1","2","2","Michigan St.","Michigan State University"
"17","1974","7-3-1","12","18","Michigan St.","Michigan State University"
"18","1978","8-3-0","12","","Michigan St.","Michigan State University"
"19","1987","9-2-1","8","8","Michigan St.","Michigan State University"
"20","1989","8-4-0","16","16","Michigan St.","Michigan State University"
"21","1990","8-3-1","16","14","Michigan St.","Michigan State University"
"22","1999","10-2-0","7","7","Michigan St.","Michigan State University"
"23","2008","9-4-0","24","14","Michigan St.","Michigan State University"
"24","2010","11-2-0","14","14","Michigan St.","Michigan State University"
"25","2011","11-3-0","11","10","Michigan St.","Michigan State University"
"26","2013","13-1-0","3","3","Michigan St.","Michigan State University"
"1","1936","7-1-0","1","","Minnesota","University of Minnesota: Twin Cities"
"2","1937","6-2-0","5","","Minnesota","University of Minnesota: Twin Cities"
"3","1938","6-2-0","10","","Minnesota","University of Minnesota: Twin Cities"
"4","1940","8-0-0","1","","Minnesota","University of Minnesota: Twin Cities"
"5","1941","8-0-0","1","","Minnesota","University of Minnesota: Twin Cities"
"6","1942","5-4-0","19","","Minnesota","University of Minnesota: Twin Cities"
"7","1948","7-2-0","16","","Minnesota","University of Minnesota: Twin Cities"
"8","1949","7-2-0","8","","Minnesota","University of Minnesota: Twin Cities"
"9","1954","7-2-0","","20","Minnesota","University of Minnesota: Twin Cities"
"10","1956","6-1-2","12","9","Minnesota","University of Minnesota: Twin Cities"
"11","1960","8-2-0","1","1","Minnesota","University of Minnesota: Twin Cities"
"12","1961","8-2-0","6","6","Minnesota","University of Minnesota: Twin Cities"
"13","1962","6-2-1","10","10","Minnesota","University of Minnesota: Twin Cities"
"14","1967","8-2-0","","14","Minnesota","University of Minnesota: Twin Cities"
"15","1968","6-4-0","","18","Minnesota","University of Minnesota: Twin Cities"
"16","1999","8-4-0","18","17","Minnesota","University of Minnesota: Twin Cities"
"17","2003","10-3-0","20","17","Minnesota","University of Minnesota: Twin Cities"
"1","1941","6-2-1","17","","Mississippi","University of Mississippi"
"2","1947","9-2-0","13","","Mississippi","University of Mississippi"
"3","1948","8-1-0","15","","Mississippi","University of Mississippi"
"4","1952","8-1-2","7","7","Mississippi","University of Mississippi"
"5","1954","9-2-0","6","6","Mississippi","University of Mississippi"
"6","1955","10-1-0","10","9","Mississippi","University of Mississippi"
"7","1957","9-1-1","7","8","Mississippi","University of Mississippi"
"8","1958","9-2-0","11","12","Mississippi","University of Mississippi"
"9","1959","10-1-0","2","2","Mississippi","University of Mississippi"
"10","1960","10-0-1","2","3","Mississippi","University of Mississippi"
"11","1961","9-2-0","5","5","Mississippi","University of Mississippi"
"12","1962","10-0-0","3","3","Mississippi","University of Mississippi"
"13","1963","7-1-2","7","7","Mississippi","University of Mississippi"
"14","1964","5-5-1","","20","Mississippi","University of Mississippi"
"15","1965","7-4-0","","17","Mississippi","University of Mississippi"
"16","1966","8-3-0","","12","Mississippi","University of Mississippi"
"17","1969","8-3-0","8","13","Mississippi","University of Mississippi"
"18","1970","7-4-0","20","","Mississippi","University of Mississippi"
"19","1971","10-2-0","15","20","Mississippi","University of Mississippi"
"20","1990","9-3-0","21","23","Mississippi","University of Mississippi"
"21","1992","9-3-0","16","16","Mississippi","University of Mississippi"
"22","1997","8-4-0","22","22","Mississippi","University of Mississippi"
"23","1999","8-4-0","22","22","Mississippi","University of Mississippi"
"24","2003","10-3-0","13","14","Mississippi","University of Mississippi"
"25","2008","9-4-0","14","15","Mississippi","University of Mississippi"
"26","2009","9-4-0","20","21","Mississippi","University of Mississippi"
"1","1940","10-0-1","9","","Mississippi St.","Mississippi State University"
"2","1941","8-1-1","16","","Mississippi St.","Mississippi State University"
"3","1942","8-2-0","18","","Mississippi St.","Mississippi State University"
"4","1957","6-2-1","14","","Mississippi St.","Mississippi State University"
"5","1963","7-2-2","","11","Mississippi St.","Mississippi State University"
"6","1974","9-3-0","17","17","Mississippi St.","Mississippi State University"
"7","1976","0-11-0","20","","Mississippi St.","Mississippi State University"
"8","1980","9-3-0","19","","Mississippi St.","Mississippi State University"
"9","1981","8-4-0","","17","Mississippi St.","Mississippi State University"
"10","1992","7-5-0","23","","Mississippi St.","Mississippi State University"
"11","1994","8-4-0","24","25","Mississippi St.","Mississippi State University"
"12","1999","10-2-0","13","12","Mississippi St.","Mississippi State University"
"13","2000","8-4-0","24","22","Mississippi St.","Mississippi State University"
"14","2010","9-4-0","15","17","Mississippi St.","Mississippi State University"
"1","1939","8-2-0","6","","Missouri","University of Missouri: Columbia"
"2","1941","8-2-0","7","","Missouri","University of Missouri: Columbia"
"3","1949","7-4-0","20","","Missouri","University of Missouri: Columbia"
"4","1959","6-5-0","18","19","Missouri","University of Missouri: Columbia"
"5","1960","11-0-0","5","4","Missouri","University of Missouri: Columbia"
"6","1961","7-2-1","11","11","Missouri","University of Missouri: Columbia"
"7","1962","8-1-2","","12","Missouri","University of Missouri: Columbia"
"8","1963","7-3-0","","16","Missouri","University of Missouri: Columbia"
"9","1964","6-3-1","","18","Missouri","University of Missouri: Columbia"
"10","1965","8-2-1","6","6","Missouri","University of Missouri: Columbia"
"11","1968","8-3-0","9","17","Missouri","University of Missouri: Columbia"
"12","1969","9-2-0","6","6","Missouri","University of Missouri: Columbia"
"13","1973","8-4-0","17","","Missouri","University of Missouri: Columbia"
"14","1978","8-4-0","15","14","Missouri","University of Missouri: Columbia"
"15","1979","7-5-0","","20","Missouri","University of Missouri: Columbia"
"16","1981","8-4-0","19","20","Missouri","University of Missouri: Columbia"
"17","1997","7-5-0","23","23","Missouri","University of Missouri: Columbia"
"18","1998","8-4-0","21","25","Missouri","University of Missouri: Columbia"
"19","2007","12-2-0","4","5","Missouri","University of Missouri: Columbia"
"20","2008","10-4-0","19","16","Missouri","University of Missouri: Columbia"
"21","2010","10-3-0","18","18","Missouri","University of Missouri: Columbia"
"22","2013","12-2-0","5","5","Missouri","University of Missouri: Columbia"
"1","1936","6-3-0","18","","Navy (MD)","United States Naval Academy"
"2","1941","7-1-1","10","","Navy (MD)","United States Naval Academy"
"3","1943","8-1-0","4","","Navy (MD)","United States Naval Academy"
"4","1944","6-3-0","4","","Navy (MD)","United States Naval Academy"
"5","1945","7-1-1","3","","Navy (MD)","United States Naval Academy"
"6","1950","3-6-0","","19","Navy (MD)","United States Naval Academy"
"7","1952","6-2-1","","17","Navy (MD)","United States Naval Academy"
"8","1954","8-2-0","5","5","Navy (MD)","United States Naval Academy"
"9","1955","6-2-1","18","20","Navy (MD)","United States Naval Academy"
"10","1956","6-1-2","16","19","Navy (MD)","United States Naval Academy"
"11","1957","9-1-1","5","6","Navy (MD)","United States Naval Academy"
"12","1960","9-2-0","4","6","Navy (MD)","United States Naval Academy"
"13","1963","9-2-0","2","2","Navy (MD)","United States Naval Academy"
"14","1978","9-3-0","","17","Navy (MD)","United States Naval Academy"
"15","2004","10-2-0","24","24","Navy (MD)","United States Naval Academy"
"1","1936","7-2-0","9","","Nebraska","University of Nebraska - Lincoln"
"2","1937","6-1-2","11","","Nebraska","University of Nebraska - Lincoln"
"3","1939","7-1-1","18","","Nebraska","University of Nebraska - Lincoln"
"4","1940","8-2-0","7","","Nebraska","University of Nebraska - Lincoln"
"5","1950","6-2-1","17","20","Nebraska","University of Nebraska - Lincoln"
"6","1963","10-1-0","6","5","Nebraska","University of Nebraska - Lincoln"
"7","1964","9-2-0","6","6","Nebraska","University of Nebraska - Lincoln"
"8","1965","10-1-0","5","3","Nebraska","University of Nebraska - Lincoln"
"9","1966","9-2-0","6","7","Nebraska","University of Nebraska - Lincoln"
"10","1969","9-2-0","11","12","Nebraska","University of Nebraska - Lincoln"
"11","1970","11-0-1","1","3","Nebraska","University of Nebraska - Lincoln"
"12","1971","13-0-0","1","1","Nebraska","University of Nebraska - Lincoln"
"13","1972","9-2-1","4","9","Nebraska","University of Nebraska - Lincoln"
"14","1973","9-2-1","7","11","Nebraska","University of Nebraska - Lincoln"
"15","1974","9-3-0","9","8","Nebraska","University of Nebraska - Lincoln"
"16","1975","10-2-0","9","9","Nebraska","University of Nebraska - Lincoln"
"17","1976","9-3-1","9","7","Nebraska","University of Nebraska - Lincoln"
"18","1977","9-3-0","12","10","Nebraska","University of Nebraska - Lincoln"
"19","1978","9-3-0","8","8","Nebraska","University of Nebraska - Lincoln"
"20","1979","10-2-0","9","7","Nebraska","University of Nebraska - Lincoln"
"21","1980","10-2-0","7","7","Nebraska","University of Nebraska - Lincoln"
"22","1981","9-3-0","11","9","Nebraska","University of Nebraska - Lincoln"
"23","1982","12-1-0","3","3","Nebraska","University of Nebraska - Lincoln"
"24","1983","12-1-0","2","2","Nebraska","University of Nebraska - Lincoln"
"25","1984","10-2-0","4","3","Nebraska","University of Nebraska - Lincoln"
"26","1985","9-3-0","11","10","Nebraska","University of Nebraska - Lincoln"
"27","1986","10-2-0","5","4","Nebraska","University of Nebraska - Lincoln"
