OvrRank,Team,Division,Rating,W,L,SchScore,SchRank,Wtop10,Ltop10,Wtop30,Ltop30
  85,New Mexico,A,64.75,4,7,69.91,71,0,0,0,2
  86,Northwestern,A,64.59,3,8,78.11,9,0,3,0,6
  87,Toledo,A,64.51,6,5,61.2,107,0,0,0,1
  88,Youngstown St.,AA,64.47,12,3,58.58,115,0,0,0,0
  89,Washington St.,A,64.43,3,9,72.84,46,0,0,0,3
  90,Hofstra,AA,64.4,11,2,48.1,146,0,0,0,0
  91,UTEP,A,64.07,5,7,69.72,73,0,1,0,2
  92,Massachusetts,AA,63.62,9,4,53.23,122,0,0,0,0
  93,Florida A&M,AA,63.43,10,4,48.9,140,0,0,0,1
  94,Utah St.,A,62.46,4,7,69.13,78,0,1,0,3
  95,Akron,A,62.43,7,4,59.79,110,0,1,0,1
  96,Northern Iowa,AA,62.39,8,3,54.41,120,0,0,0,0
  97,Iowa,A,61.67,1,10,79.77,4,0,4,0,7
  98,Tulane,A,60.92,3,8,70.93,66,0,0,0,2
  99,Appalachian St.,AA,60.88,9,3,49.35,136,0,0,0,0
 100,Temple,A,60.76,2,9,77.55,13,0,2,0,4
 101,SMU,A,60.61,4,6,64.89,94,0,0,0,1
 102,Montana,AA,60.38,9,3,45.57,163,0,0,0,0
 103,Army,A,60.29,3,8,69.28,77,0,0,0,1
 104,Elon College,AA,60.29,9,2,45.93,160,0,0,0,0
 105,Central Florida,A,60.11,4,7,64.51,97,0,0,0,3
 106,Ohio U.,A,59.8,5,6,62.47,104,0,0,0,3
 107,Arkansas St.,A,59.33,4,7,65.65,91,0,0,0,2
 108,Western Illinois,AA,59.13,7,4,49.23,137,0,0,0,0
 109,James Madison,AA,58.71,8,4,55.05,119,0,1,0,1
 110,South Carolina,A,58.34,0,11,79.95,3,0,1,0,6
 111,Troy St.,AA,58.33,11,2,44.02,170,0,0,0,0
 112,Bowling Green,A,58.25,5,6,60.2,109,0,0,0,1
 113,Tennessee St.,AA,57.47,11,1,40.76,179,0,0,0,0
 114,Northern Illinois,A,57.37,5,6,58.9,114,0,0,0,1
 115,No. Carolina A&T,AA,57.12,11,2,44.69,166,0,0,0,0
 116,Louisiana-Monroe,A,56.99,5,6,63.52,101,0,0,0,3
 117,Nevada,A,56.89,3,8,67.25,85,0,0,0,1
 118,Eastern Michigan,A,56.86,4,7,64.64,96,0,1,0,1
 119,San Jose St.,A,55.86,3,7,66.53,88,0,0,1,0
 120,UNLV,A,55.77,3,8,68.87,83,0,0,0,2
 121,Villanova,AA,55.6,7,4,52.64,124,0,0,0,0
 122,South Florida,AA,54.46,7,4,51.79,125,0,0,0,0
 123,William & Mary,AA,52.95,6,5,50.12,133,0,0,0,0
 124,Murray St.,AA,52.92,7,4,47.1,152,0,1,0,1
 125,UC Davis,II,52.82,10,2,42.39,175,0,0,0,0
 126,Lehigh,AA,52.64,10,2,32.46,195,0,0,0,0
 127,Portland St.,AA,52.6,8,3,46.34,158,0,0,0,0
 128,Rutgers,A,52.48,1,10,75.01,30,0,1,0,3
 129,Northern Arizona,AA,52.37,8,4,47.21,151,0,0,0,0
 130,Southern Illinois,AA,51.96,5,6,53.35,121,0,0,0,0
 131,Delaware,AA,51.59,7,4,47.99,148,0,0,0,0
 132,Tulsa,A,51.34,2,9,65.52,92,0,0,0,1
 133,SW Missouri St.,AA,51.21,5,6,48.46,142,0,0,0,0
 134,Stephen F. Austin,AA,50.99,8,3,43.33,173,0,0,0,0
 135,Wofford,AA,50.63,6,5,45.77,161,0,0,0,0
 136,Colgate,AA,49.96,10,2,35.18,188,0,0,0,0
 137,Eastern Kentucky,AA,49.91,7,4,44.96,165,0,0,0,0
 138,Kent St.,A,49.83,2,9,63.52,102,0,0,0,1
 139,North Texas,A,49.82,2,9,65.04,93,0,0,0,0
 140,Baylor,A,49.81,1,10,72.73,51,0,1,0,4
 141,Central Michigan,A,49.8,4,7,58.92,113,0,0,0,1
 142,New Hampshire,AA,49.55,5,6,48.99,138,0,0,0,0
 143,Indiana St.,AA,49.37,3,8,58.48,116,0,0,0,1
 144,Eastern Washington,AA,48.4,7,4,48.61,141,0,0,0,0
 145,Southern Utah,AA,48.38,8,3,42.28,176,0,0,0,0
 146,Sacramento St.,AA,48.33,6,5,41.41,178,0,0,0,0
 147,Louisiana-Lafayette,A,48.11,2,9,65.71,90,0,0,0,1
 148,Jackson St.,AA,47.85,9,3,32.57,194,0,0,0,0
 149,Middle Tennessee,A,47.67,3,8,59.25,112,0,0,0,2
 150,Southern U.,AA,47.54,11,2,34.38,190,0,0,0,0
 151,Richmond,AA,46.44,5,6,47.99,149,0,0,0,0
 152,Yale,AA,46.09,9,1,30.58,203,0,0,0,0
 153,Tennessee Tech,AA,45.52,5,5,43.97,171,0,0,0,0
 154,Sam Houston St.,AA,45.18,6,5,46.86,155,0,0,0,0
 155,Western Kentucky,AA,45.06,6,5,45.71,162,0,0,0,0
 156,East Tennessee St.,AA,44.99,6,5,46.71,157,0,0,0,0
 157,Hampton,AA,44.26,8,4,39.24,183,0,0,0,0
 158,Chattanooga,AA,43.84,5,6,51.04,126,0,0,0,0
 159,Maine,AA,43.13,4,7,48.32,144,0,0,0,0
 160,Samford,AA,42.94,7,4,34.72,189,0,0,0,0
 161,Brown,AA,42.04,9,1,28.7,212,0,0,0,0
 162,Connecticut,AA,40.92,4,7,50.26,132,0,0,0,0
 163,Ball St.,A,40.85,0,11,64.65,95,0,1,0,1
 164,McNeese St.,AA,40.71,6,5,43.76,172,0,0,0,0
 165,NW Louisiana,AA,40.61,4,7,48.25,145,0,0,0,1
 166,Cal Poly SLO,AA,40.59,3,8,50.99,127,0,0,0,0
 167,CS Northridge,AA,40.5,5,6,48.91,139,0,0,0,0
 168,New Haven,II,39.22,5,5,48.07,147,0,0,0,0
 169,Eastern Illinois,AA,38.96,2,10,50.45,130,0,0,0,0
 170,Bucknell,AA,38.19,7,4,30.98,201,0,0,0,0
 171,Liberty,AA,37.69,4,7,55.26,118,0,0,0,1
 172,Northeastern,AA,37.58,2,9,52.92,123,0,0,0,0
 173,Cornell,AA,37.49,7,3,31.52,200,0,0,0,0
 174,Bethune-Cookman,AA,36.99,7,4,38.91,184,0,0,0,0
 175,SW Texas St.,AA,36.8,3,8,44.28,169,0,0,0,0
 176,SE Missouri St.,AA,36.52,3,8,46.96,153,0,0,0,0
 177,Delaware St.,AA,36.35,4,7,44.41,168,0,0,0,0
 178,Towson,AA,36.23,7,4,30.4,205,0,0,0,0
 179,Drake,AA,36.01,7,4,29.45,210,0,0,0,0
 180,Robert Morris,AA,35.6,8,2,13.06,224,0,0,0,0
 181,Harvard,AA,35.49,5,5,32,198,0,0,0,0
 182,Howard,AA,35.42,5,6,39.71,182,0,0,0,0
 183,Dayton,AA,35.31,6,4,24.78,217,0,0,0,0
 184,Valparaiso,AA,34.68,9,2,27.23,215,0,0,0,0
 185,Pennsylvania,AA,34.57,5,5,32.41,196,0,0,0,0
 186,Western Carolina,AA,33.85,3,8,50.7,128,0,0,0,0
 187,Buffalo,A,33.55,0,11,62.64,103,0,0,0,1
 188,Grambling,AA,33.39,7,4,28.37,213,0,0,0,0
 189,So. Carolina St.,AA,32.22,4,6,40.04,180,0,0,0,0
 190,Weber St.,AA,32.14,3,8,48.4,143,0,0,0,0
 191,Citadel,AA,31.55,2,9,49.6,135,0,0,0,0
 192,Rhode Island,AA,31.27,1,10,46.87,154,0,0,0,0
 193,Texas Southern,AA,30.7,6,5,30.92,202,0,0,0,0
 194,Alabama A&M,AA,30.59,6,5,30.58,204,0,0,0,0
 195,Idaho St.,AA,30.05,3,8,46.24,159,0,0,0,0
 196,Albany (NY),AA,29.84,7,2,8.92,227,0,0,0,0
 197,Morehead St.,AA,29.49,5,5,28.26,214,0,0,0,0
 198,Ark.-Pine Bluff,AA,29.28,6,5,29.92,208,0,0,0,0
 199,Montana St.,AA,28.47,3,8,45.55,164,0,0,0,0
 200,Morgan St.,AA,27.88,2,8,42.12,177,0,0,0,0
 201,Charleston Southern,AA,26.98,4,6,34.16,192,0,0,0,0
 202,Columbia,AA,26.77,3,7,37.23,186,0,0,0,0
 203,Princeton,AA,26.58,3,7,32.38,197,0,0,0,0
 204,Nicholls St.,AA,26.41,1,10,47.43,150,0,0,0,0
 205,Fairfield,AA,25.89,9,2,3.83,234,0,0,0,0
 206,Jacksonville St.,AA,25.35,2,9,44.69,167,0,0,0,0
 207,Lafayette,AA,23.78,4,7,30.03,207,0,0,0,0
 208,Norfolk St.,AA,23.73,2,9,39.98,181,0,0,0,0
 209,Duquesne,AA,23.65,8,3,7.68,230,0,0,0,0
 210,Dartmouth,AA,23.01,2,8,37.54,185,0,0,0,0
 211,San Diego,AA,22.79,5,5,24.98,216,0,0,0,0
 212,Georgetown,AA,22.71,9,2,4.6,232,0,0,0,0
 213,Holy Cross,AA,22.43,3,8,32.66,193,0,0,0,0
 214,Saint Mary's-Cal.,AA,21.72,2,9,43.16,174,0,0,0,0
 215,VMI,AA,20.7,1,10,50.54,129,0,0,0,0
 216,Alcorn St.,AA,19.7,3,7,29.9,209,0,0,0,0
 217,Wagner,AA,19.65,5,5,14.66,222,0,0,0,0
 218,Alabama St.,AA,19.53,2,9,34.3,191,0,0,0,0
 219,Miss. Valley St.,AA,18.76,3,8,31.54,199,0,0,0,0
 220,Jacksonville,AA,15.21,3,6,19.17,220,0,0,0,0
 221,Davidson,AA,13.9,8,3,16.8,221,0,0,0,0
 222,Stony Brook,AA,13.18,5,5,11.75,225,0,0,0,0
 223,St. John's,AA,12.93,7,4,3.08,237,0,0,0,0
 224,Fordham,AA,11.07,0,11,35.89,187,0,0,0,0
 225,Tenn.-Martin,AA,10.85,1,10,46.82,156,0,0,0,0
 226,Marist,AA,9.13,6,5,6.48,231,0,0,0,0
 227,Central Conn. St.,AA,8.55,4,6,13.13,223,0,0,0,0
 228,Monmouth-NJ,AA,6.41,2,8,20.43,219,0,0,0,0
 229,Butler,AA,3.61,5,5,24.3,218,0,0,0,0
 230,Prairie View A&M,AA,2.34,2,8,30.4,206,0,0,0,0
 231,Iona,AA,1.06,5,5,2.75,238,0,0,0,0
 232,Austin Peay,AA,-0.2,3,8,29.01,211,0,0,0,0
 233,La Salle,AA,-3.4,4,6,3.25,236,0,0,0,0
 234,Siena,AA,-6.4,3,7,3.5,235,0,0,0,0
 235,St. Francis-Pa.,AA,-12.5,2,9,9.08,226,0,0,0,0
 236,Sacred Heart,AA,-13,2,9,7.73,229,0,0,0,0
 237,St. Peter's,AA,-18.07,1,10,4.35,233,0,0,0,0
 238,Canisius,AA,-25.93,1,10,8.01,228,0,0,0,0
