OvrRank,Team,Division,Rating,W,L,SchScore,SchRank,Wtop10,Ltop10,Wtop30,Ltop30
   1,Florida St.,A,102.07,12,0,77.77,11,1,0,5,0
   2,Nebraska,A,97.5,12,1,76.87,18,2,0,5,1
   3,Virginia Tech,A,96.46,11,1,73.03,43,0,1,2,1
   4,Kansas St.,A,92.46,11,1,69.76,72,0,1,1,1
   5,Michigan St.,A,92.45,10,2,79.28,6,2,1,6,2
   6,Michigan,A,92.15,10,2,80.28,2,3,1,5,2
   7,Penn St.,A,92.14,10,3,78.15,8,0,2,5,3
   8,Wisconsin,A,91.83,10,2,72.06,59,1,1,5,1
   9,Tennessee,A,91.7,9,3,77.32,14,1,1,1,3
  10,Alabama,A,91.02,10,3,80.79,1,0,2,6,2
  11,Miami-Florida,A,88.32,9,4,76.19,21,0,3,2,3
  12,Florida,A,88.16,9,4,77.7,12,1,4,1,4
  13,Marshall,A,87.74,13,0,59.76,111,0,0,2,0
  14,Southern Miss,A,85.11,9,3,71.69,62,0,2,0,3
  15,Illinois,A,84.79,8,4,76.42,19,1,2,2,3
  16,Minnesota,A,84.5,8,4,73.24,40,1,1,2,4
  17,Mississippi St.,A,83.23,10,2,71.71,61,0,1,2,2
  18,Texas,A,83.19,9,5,75.84,22,1,2,3,4
  19,Purdue,A,82.9,7,5,77.18,15,1,3,2,4
  20,Arkansas,A,82.72,8,4,72.61,53,1,1,3,2
  21,Texas A&M,A,82.46,8,4,73.81,34,0,2,2,3
  22,Georgia Tech,A,82.4,8,4,75.13,28,0,1,1,2
  23,Oregon,A,82.06,9,3,72.78,48,0,1,1,1
  24,Clemson,A,81.73,6,6,78.64,7,0,2,0,5
  25,Utah,A,81.73,9,3,69.71,74,0,0,1,0
  26,Mississippi,A,81.6,8,4,73.27,39,0,1,2,2
  27,Oklahoma,A,81.35,7,5,71.32,63,0,0,1,2
  28,Stanford,A,80.01,8,4,73.39,38,0,1,0,2
  29,Ohio St.,A,79.84,6,6,79.46,5,0,4,2,6
  30,Brigham Young,A,79.66,8,4,72.95,45,0,0,0,2
  31,East Carolina,A,79.41,9,3,69.46,76,0,0,1,1
  32,Colorado,A,79.22,7,5,73.4,37,0,2,1,2
  33,Colorado St.,A,79.04,8,4,71.97,60,0,0,1,2
  34,Washington,A,78.72,7,5,75.68,24,0,1,2,2
  35,Louisiana Tech,A,78.66,8,3,68.98,81,1,1,1,2
  36,Georgia,A,78.52,8,4,73.88,33,0,1,2,3
  37,Virginia,A,77.53,7,5,75.62,25,0,2,2,4
  38,Notre Dame,A,76.65,5,7,78.03,10,0,3,1,5
  39,Oregon St.,A,76.44,7,5,72.14,58,0,0,0,2
  40,Wake Forest,A,76.37,7,5,72.54,54,0,1,1,2
  41,Southern Cal,A,75.96,6,6,73.73,36,0,0,0,2
  42,Syracuse,A,75.67,7,5,70.59,68,0,2,0,3
  43,Louisville,A,75.45,7,5,69.64,75,0,0,0,3
  44,Auburn,A,75.36,5,6,76.37,20,0,2,0,6
  45,Wyoming,A,74.57,7,4,68.45,84,0,1,2,1
  46,Georgia Southern,AA,74.36,13,2,49.85,134,0,0,0,0
  47,Air Force,A,74.05,6,5,70.45,70,0,0,0,2
  48,Memphis,A,73.93,5,6,72.67,52,0,1,0,4
  49,San Diego St.,A,73.79,5,6,72.36,56,0,0,0,3
  50,Kentucky,A,73.62,6,6,73.12,41,0,1,1,3
  51,TCU,A,73.52,8,4,63.52,100,0,0,0,0
  52,Houston,A,73.49,7,4,68.88,82,0,1,0,1
  53,Boise St.,A,73.4,10,3,61.88,106,0,0,1,0
  54,Fresno St.,A,73.01,8,5,65.99,89,0,0,0,1
  55,Boston College,A,72.76,8,4,68.99,80,0,1,0,2
  56,Arizona,A,72.58,6,6,73.1,42,0,1,0,3
  57,Arizona St.,A,72.51,6,6,73.03,44,0,0,0,2
  58,No. Carolina St.,A,72.16,6,6,75.12,29,0,1,2,2
  59,Oklahoma St.,A,71.4,5,6,72.82,47,0,2,0,6
  60,Vanderbilt,A,71.16,5,6,72.37,55,0,2,1,4
  61,Maryland,A,71.14,5,6,71.21,64,0,1,0,3
  62,UAB,A,71.03,5,6,73.77,35,0,1,0,1
  63,Pittsburgh,A,70.62,5,6,70.81,67,0,2,0,3
  64,California,A,69.76,4,7,75.81,23,0,1,0,4
  65,UCLA,A,69.62,4,7,75.43,26,0,0,1,2
  66,Texas Tech,A,69.57,6,5,69.05,79,0,0,2,1
  67,West Virginia,A,69.27,4,7,72.36,57,0,1,0,2
  68,Iowa St.,A,68.92,4,7,72.76,49,0,2,0,4
  69,Hawaii,A,68.3,9,4,62.31,105,0,0,0,0
  70,Western Michigan,A,68.21,7,5,64.24,98,0,0,0,3
  71,Missouri,A,68.2,4,7,76.97,17,0,2,0,4
  72,Indiana,A,68.13,4,7,74.69,31,0,3,1,5
  73,LSU,A,67.93,3,8,74.52,32,0,1,1,4
  74,Rice,A,67.92,5,6,70.52,69,0,1,0,2
  75,Idaho,A,67.9,7,4,63.99,99,0,0,0,0
  76,Illinois St.,AA,67.84,11,3,58.1,117,0,0,0,1
  77,Cincinnati,A,67.04,3,8,72.73,50,1,0,1,2
  78,Kansas,A,66.61,5,7,71.03,65,0,2,0,3
  79,Navy,A,66.45,5,7,66.82,87,0,0,0,1
  80,Miami-Ohio,A,66.39,7,4,60.34,108,0,0,0,1
  81,North Carolina,A,66.23,3,8,75.21,27,0,1,0,3
  82,Furman,AA,65.94,9,3,50.32,131,0,0,0,0
  83,Duke,A,65.48,3,8,77.01,16,0,1,0,3
  84,New Mexico St.,A,65.16,6,5,66.94,86,0,0,0,0
