OvrRank,Team,Division,Rating,W,L,SchScore,SchRank,Wtop10,Ltop10,Wtop30,Ltop30,Year
 181,Tennessee-Martin,AA,48.79 ,6,5,50.27,181,0,0,0,0,2010
 182,Tennessee Tech,AA,48.63 ,5,6,53.71,167,0,2,0,2,2010
 183,Eastern Michigan,A,47.94 ,2,10,63.59,99,0,1,0,1,2010
 184,Northwestern State,AA,47.76 ,5,6,53.75,166,0,0,0,0,2010
 185,Buffalo,A,47.70 ,2,10,61.87,112,0,0,0,0,2010
 186,Bryant,AA,47.62 ,7,4,45.17,202,0,0,0,0,2010
 187,Dartmouth,AA,47.56 ,6,4,43.05,212,0,0,0,0,2010
 188,Jackson State,AA,47.52 ,8,3,38.84,229,0,0,0,0,2010
 189,Northern Colorado,AA,47.31 ,3,8,59.79,130,0,0,0,0,2010
 190,North Dakota,AA,47.07 ,3,8,56.54,154,0,0,0,0,2010
 191,Nicholls State,AA,46.65 ,4,7,56.42,156,0,0,0,0,2010
 192,SC State,AA,46.64 ,9,3,34.34,240,0,0,0,0,2010
 193,Western Carolina,AA,46.62 ,2,9,60.27,124,0,0,0,1,2010
 194,Georgia State,AA,46.14 ,6,5,42.58,216,0,1,0,1,2010
 195,Texas State,AA,46.08 ,4,7,54.09,165,0,0,0,0,2010
 196,Holy Cross,AA,45.79 ,6,5,45.62,199,0,0,0,0,2010
 197,Prairie View A&M,AA,45.63 ,7,4,42.61,215,0,0,0,0,2010
 198,Drake,AA,45.55 ,7,4,39.98,227,0,0,0,0,2010
 199,Bethune-Cookman,AA,45.51 ,10,2,31.26,245,0,0,0,0,2010
 200,Citadel,AA,44.87 ,3,8,60.12,125,0,0,0,1,2010
 201,Fordham,AA,44.69 ,5,6,45.77,198,0,0,0,0,2010
 202,Monmouth-NJ,AA,44.08 ,3,8,47.68,187,0,0,0,0,2010
 203,Wagner,AA,43.77 ,5,6,43.95,210,0,0,0,0,2010
 204,Alabama State,AA,43.28 ,7,5,39.49,228,0,0,0,0,2010
 205,SE Louisiana,AA,43.27 ,2,9,52.03,174,0,0,0,0,2010
 206,Akron,A,42.68 ,1,11,62.15,111,0,0,0,0,2010
 207,Towson,AA,42.62 ,1,10,59.93,127,0,0,0,0,2010
 208,San Diego,AA,42.38 ,5,6,40.5,223,0,0,0,0,2010
 209,Lamar,AA,41.61 ,5,6,52.74,170,0,0,0,0,2010
 210,Columbia,AA,41.39 ,4,6,44.28,206,0,0,0,0,2010
 211,Idaho State,AA,41.26 ,1,10,60.44,122,0,0,0,0,2010
 212,Alcorn State,AA,41.00 ,5,6,42.93,213,0,0,0,1,2010
 213,Eastern Illinois,AA,40.99 ,2,9,52.5,171,0,0,0,1,2010
 214,Sacred Heart,AA,39.83 ,4,7,44.7,203,0,0,0,0,2010
 215,Florida A&M,AA,39.39 ,8,3,33.34,244,0,0,0,0,2010
 216,Ark.-Pine Bluff,AA,38.56 ,5,6,42.7,214,0,0,0,0,2010
 217,Georgetown,AA,37.13 ,4,7,42.09,218,0,0,0,0,2010
 218,Lafayette,AA,36.80 ,2,9,45.96,196,0,0,0,0,2010
 219,Gardner-Webb,AA,36.62 ,4,7,45.58,200,0,0,0,0,2010
 220,Tennessee State,AA,36.52 ,3,8,44.06,209,0,0,0,0,2010
 221,Austin Peay,AA,35.89 ,2,9,53.03,168,0,0,0,1,2010
 222,VMI,AA,35.51 ,3,8,51.53,177,0,0,0,0,2010
 223,Hampton,AA,35.12 ,6,5,36.09,239,0,0,0,0,2010
 224,Presbyterian College,AA,34.49 ,2,9,46.08,194,0,0,0,0,2010
 225,Cornell,AA,33.44 ,2,8,45.95,197,0,0,0,0,2010
 226,Saint Francis-Pa.,AA,33.27 ,1,10,48.11,185,0,0,0,0,2010
 227,Norfolk State,AA,32.87 ,6,5,33.92,242,0,0,0,0,2010
 228,Morehead State,AA,32.78 ,5,6,38.83,230,0,0,0,0,2010
 229,Princeton,AA,32.40 ,1,9,47.63,188,0,0,0,0,2010
 230,Charleston Southern,AA,32.31 ,3,8,52.11,173,0,0,0,0,2010
 231,Butler,AA,30.87 ,4,7,40.02,225,0,0,0,0,2010
 232,Alabama A&M,AA,30.71 ,3,8,41.1,221,0,0,0,0,2010
 233,Marist,AA,30.49 ,3,8,36.57,237,0,0,0,0,2010
 234,Campbell,AA,30.16 ,3,8,38.48,232,0,0,0,0,2010
 235,Morgan State,AA,28.92 ,4,7,38.36,233,0,0,0,0,2010
 236,Davidson,AA,28.87 ,3,8,38.77,231,0,0,0,0,2010
 237,Bucknell,AA,28.59 ,1,10,44.67,204,0,0,0,0,2010
 238,Southern University,AA,28.41 ,2,9,40.17,224,0,0,0,0,2010
 239,Delaware State,AA,27.56 ,3,8,33.39,243,0,0,0,0,2010
 240,NC Central,AA,25.59 ,3,8,38.32,234,0,0,0,0,2010
 241,Savannah State,AA,22.26 ,1,10,46.82,191,0,0,0,0,2010
 242,Miss. Valley State,AA,21.01 ,0,10,44.08,208,0,0,0,0,2010
 243,NC A&T,AA,19.08 ,1,10,34.08,241,0,0,0,0,2010
 244,Howard,AA,17.77 ,1,10,37.72,235,0,0,0,0,2010
 245,Valparaiso,AA,16.98 ,0,11,42.04,219,0,0,0,0,2010
