OvrRank,Team,Division,Rating,W,L,SchScore,SchRank,Wtop10,Ltop10,Wtop30,Ltop30,Year
   1,LSU,A,97.43 ,13,1,74.95,28,3,0,6,1,2003
   2,Southern Cal,A,95.54 ,12,1,75.57,19,1,0,4,1,2003
   3,Oklahoma,A,92.88 ,12,2,74.29,39,0,1,2,2,2003
   4,Georgia,A,90.67 ,11,3,77.6,5,0,2,4,3,2003
   5,Miami-Ohio,A,90.63 ,13,1,68.46,72,0,1,0,1,2003
   6,Florida St.,A,90.55 ,10,3,79.43,2,1,2,4,3,2003
   7,Miami-Florida,A,89.02 ,11,2,73.58,40,2,0,3,1,2003
   8,Michigan,A,88.96 ,10,3,74.51,36,0,2,3,2,2003
   9,Iowa,A,88.39 ,10,3,74.92,29,2,0,4,2,2003
  10,Maryland,A,87.46 ,10,3,73.24,43,0,1,3,1,2003
  11,Ohio St.,A,87.24 ,11,2,76.11,15,1,1,4,1,2003
  12,Boise St.,A,86.74 ,13,1,63.84,103,0,0,0,1,2003
  13,Texas,A,86.25 ,10,3,72.6,47,0,1,3,3,2003
  14,Kansas St.,A,85.53 ,11,4,72.42,49,1,0,3,2,2003
  15,Washington St.,A,85.37 ,10,3,74.39,38,0,1,2,1,2003
  16,Mississippi,A,85.29 ,10,3,72.16,52,0,1,3,2,2003
  17,Clemson,A,85.25 ,9,4,75.33,23,1,2,3,3,2003
  18,Auburn,A,84.59 ,8,5,76.2,13,0,3,2,4,2003
  19,Arkansas,A,84.07 ,9,4,74.55,35,0,1,1,4,2003
  20,Tennessee,A,84.01 ,10,3,74.82,30,1,1,2,3,2003
  21,Florida,A,83.62 ,8,5,76.83,7,2,3,3,5,2003
  22,Purdue,A,83.35 ,9,4,74.79,31,1,2,1,3,2003
  23,Nebraska,A,82.96 ,10,3,71.28,58,0,0,0,2,2003
  24,Minnesota,A,82.67 ,10,3,68.75,69,0,2,0,2,2003
  25,Utah,A,82.18 ,10,2,70.44,62,0,0,1,0,2003
  26,No. Carolina St.,A,82.01 ,8,5,75.27,24,0,2,3,3,2003
  27,Virginia,A,81.81 ,8,5,75.68,18,0,2,0,4,2003
  28,Oregon St.,A,81.46 ,8,5,72.23,51,0,1,2,2,2003
  29,California,A,80.54 ,8,6,75.35,22,1,0,1,3,2003
  30,Texas Tech,A,80.46 ,8,5,72.52,48,0,1,1,3,2003
  31,Bowling Green,A,80.38 ,11,3,67.69,79,0,2,1,3,2003
  32,Oklahoma St.,A,79.83 ,9,4,69.91,64,0,1,2,4,2003
  33,Georgia Tech,A,79.66 ,7,6,77.24,6,1,2,3,4,2003
  34,Michigan St.,A,78.02 ,8,5,73.41,41,1,1,2,3,2003
  35,Oregon,A,77.81 ,8,5,74.77,32,1,0,3,3,2003
  36,Virginia Tech,A,77.25 ,8,5,70.5,60,1,0,1,2,2003
  37,Boston College,A,77.05 ,8,5,72.33,50,0,1,0,1,2003
  38,Wisconsin,A,76.82 ,7,6,74.72,34,0,1,1,4,2003
  39,Pittsburgh,A,76.17 ,8,5,71.65,55,0,1,0,2,2003
  40,Delaware,AA,76.15 ,15,1,56.85,127,0,0,0,0,2003
  41,Missouri,A,76.10 ,8,5,69.59,68,0,1,2,3,2003
  42,West Virginia,A,76.02 ,8,5,71.54,56,0,3,0,3,2003
  43,Notre Dame,A,75.19 ,5,7,79.45,1,0,3,1,4,2003
  44,Colorado St.,A,74.61 ,7,6,73.09,45,0,1,1,2,2003
  45,TCU,A,74.51 ,11,2,63.63,107,0,0,0,1,2003
  46,Wake Forest,A,74.51 ,5,7,76.3,12,0,2,2,4,2003
  47,Northern Illinois,A,74.45 ,10,2,61.6,114,1,0,1,0,2003
  48,Alabama,A,74.31 ,4,9,78.43,3,0,3,0,7,2003
  49,New Mexico,A,73.98 ,8,5,68.71,70,0,0,1,3,2003
  50,Washington,A,73.89 ,6,6,73.11,44,0,1,2,3,2003
  51,Southern Miss,A,73.72 ,9,4,68.41,74,0,0,0,3,2003
  52,South Carolina,A,73.55 ,5,7,76.72,9,0,2,1,7,2003
  53,Connecticut,A,73.39 ,9,3,64.59,98,0,0,0,1,2003
  54,Air Force,A,73.05 ,7,5,68.3,77,0,0,0,1,2003
  55,Fresno St.,A,72.77 ,9,5,67.87,78,0,1,1,3,2003
  56,Marshall,A,72.70 ,8,4,66.16,84,0,1,1,2,2003
  57,Colorado,A,72.52 ,5,7,76.77,8,0,2,0,6,2003
  58,Northwestern,A,72.29 ,6,7,75.47,20,0,2,0,5,2003
  59,Toledo,A,72.13 ,8,4,63.68,106,0,0,0,0,2003
  60,Memphis,A,71.96 ,9,4,62.17,113,0,0,1,0,2003
  61,Syracuse,A,71.79 ,6,6,70.87,59,0,1,0,1,2003
  62,Arizona St.,A,71.70 ,5,7,74.42,37,0,2,0,5,2003
  63,Louisville,A,71.47 ,9,4,63.72,104,0,1,0,1,2003
  64,UCLA,A,71.46 ,6,7,75.22,25,0,2,1,3,2003
  65,UNLV,A,70.65 ,6,6,71.5,57,0,0,0,1,2003
  66,Hawaii,A,70.30 ,9,5,65.27,93,0,1,0,2,2003
  67,Navy,A,69.22 ,8,5,62.94,108,0,0,0,1,2003
  68,BYU,A,68.87 ,4,8,76.15,14,0,1,0,3,2003
  69,Stanford,A,68.48 ,4,7,75.73,17,0,1,0,4,2003
  70,San Diego St.,A,68.44 ,6,6,68.37,75,0,0,0,2,2003
  71,Penn St.,A,68.29 ,3,9,74.74,33,0,1,0,5,2003
