OvrRank,Team,Division,Rating,W,L,SchScore,SchRank,Wtop10,Ltop10,Wtop30,Ltop30,Year
  72,Kansas,A,68.24 ,6,7,70.47,61,0,0,0,3,2003
  73,North Texas,A,67.79 ,9,4,62.42,112,0,1,0,2,2003
  74,Rutgers,A,66.66 ,5,7,69.85,66,0,1,0,1,2003
  75,Duke,A,66.63 ,4,8,75.2,26,0,2,0,6,2003
  76,Tulsa,A,66.48 ,8,5,63.98,102,0,0,0,3,2003
  77,Western Illinois,AA,66.20 ,9,4,58.84,120,0,1,0,1,2003
  78,Southern Illinois,AA,66.19 ,10,2,55.53,132,0,0,0,0,2003
  79,Northern Iowa,AA,66.06 ,10,3,57.96,124,0,0,0,0,2003
  80,Texas A&M,A,65.97 ,4,8,75.13,27,0,1,1,4,2003
  81,Kentucky,A,65.71 ,4,8,68.62,71,0,1,0,4,2003
  82,South Florida,A,65.46 ,7,4,59.18,118,0,0,0,0,2003
  83,Wyoming,A,65.31 ,4,8,71.83,54,0,0,0,2,2003
  84,Montana,AA,65.23 ,9,4,54.78,140,0,0,0,0,2003
  85,Massachusetts,AA,65.21 ,10,3,55.09,135,0,0,0,1,2003
  86,Louisiana Tech,A,65.05 ,5,7,69.89,65,0,2,0,3,2003
  87,Colgate,AA,65.04 ,15,1,49.28,156,0,0,0,0,2003
  88,Houston,A,64.97 ,7,6,65.26,94,0,1,0,1,2003
  89,Western Kentucky,AA,64.89 ,9,4,58.87,119,0,0,0,1,2003
  90,Akron,A,64.65 ,7,5,60.61,115,0,1,0,1,2003
  91,Pennsylvania,AA,64.54 ,10,0,43.9,188,0,0,0,0,2003
  92,Western Michigan,A,64.17 ,5,7,67.32,82,0,0,0,1,2003
  93,North Carolina,A,64.16 ,2,10,76.62,11,0,2,0,5,2003
  94,UAB,A,64.13 ,5,7,67.36,81,0,1,0,1,2003
  95,Nevada,A,64.07 ,6,6,66.01,86,0,0,0,1,2003
  96,Cincinnati,A,63.80 ,5,7,65.86,88,0,1,0,1,2003
  97,Wofford,AA,63.74 ,12,2,51.05,151,0,0,0,0,2003
  98,Troy St.,A,62.50 ,6,6,64.65,97,0,0,0,4,2003
  99,Northern Arizona,AA,62.40 ,9,4,54.89,138,0,0,0,0,2003
 100,Villanova,AA,62.34 ,7,4,54.82,139,0,0,0,0,2003
 101,Arizona,A,61.66 ,2,10,77.75,4,0,2,0,6,2003
 102,Northeastern,AA,61.53 ,8,4,54.17,142,0,0,0,0,2003
 103,Rice,A,61.51 ,5,7,64.26,99,0,0,0,1,2003
 104,Kent St.,A,61.25 ,5,7,66.16,85,0,1,0,1,2003
 105,Vanderbilt,A,61.16 ,2,10,73.27,42,0,1,0,5,2003
 106,Iowa St.,A,60.75 ,2,10,76.69,10,0,2,0,6,2003
 107,Florida Atlantic,AA,60.69 ,11,3,47.93,164,0,0,0,0,2003
 108,Ball St.,A,60.41 ,4,8,68.44,73,0,1,0,1,2003
 109,Tulane,A,60.28 ,5,7,64.84,96,0,0,0,1,2003
 110,McNeese St.,AA,60.09 ,10,2,50.77,152,0,0,0,1,2003
 111,Mississippi St.,A,59.63 ,2,10,75.97,16,0,1,0,5,2003
 112,Montana St.,AA,59.57 ,7,6,55.15,134,0,0,0,0,2003
 113,Northern Colorado   A,AA,59.35 ,9,2,58.49,122,0,0,0,0,2003
 114,Idaho St.,AA,58.91 ,8,4,59.3,117,0,0,0,1,2003
 115,Eastern Washington,AA,58.10 ,6,5,57.78,125,0,0,0,0,2003
 116,Illinois,A,57.95 ,1,11,75.36,21,0,2,0,5,2003
 117,Weber St.,AA,57.61 ,8,4,54.93,137,0,0,0,0,2003
 118,Lehigh,AA,57.39 ,8,3,46.51,174,0,0,0,0,2003
 119,Middle Tennessee,A,57.35 ,4,8,63.71,105,0,1,0,2,2003
 120,Temple,A,56.93 ,1,11,72.01,53,0,1,0,1,2003
 121,Indiana,A,56.87 ,2,10,72.8,46,0,1,0,4,2003
 122,Maine,AA,56.79 ,6,5,53.99,144,0,0,0,0,2003
 123,Cal Poly-SLO,AA,56.60 ,7,4,52.65,147,0,0,0,0,2003
 124,Baylor,A,55.80 ,3,9,70.01,63,0,1,0,4,2003
 125,Utah St.,A,55.78 ,3,9,64.21,100,0,0,0,2,2003
 126,UCF(Central Florida),A,55.28 ,3,9,65.95,87,0,1,0,1,2003
 127,San Jose St.,A,54.62 ,3,8,64.94,95,0,0,0,2,2003
 128,William & Mary,AA,54.21 ,5,5,55.35,133,0,0,0,0,2003
 129,Stephen F. Austin,AA,54.16 ,7,4,47.92,165,0,0,0,0,2003
 130,Furman,AA,53.86 ,6,5,49.26,157,0,0,0,1,2003
 131,Idaho,A,53.73 ,3,9,62.74,110,0,0,0,2,2003
 132,Central Michigan,A,53.54 ,3,9,65.38,90,0,1,0,1,2003
 133,Eastern Michigan,A,53.52 ,3,9,65.28,92,0,1,0,1,2003
 134,Ohio U.,A,53.32 ,2,10,65.42,89,0,1,0,2,2003
 135,Jacksonville St.,AA,53.25 ,8,4,46.63,173,0,0,0,0,2003
 136,Louisiana-Lafayette,A,52.99 ,4,8,62.78,109,0,0,0,1,2003
 137,Appalachian St.,AA,52.96 ,7,4,48.64,161,0,0,0,0,2003
 138,James Madison,AA,52.71 ,6,6,51.62,150,0,0,0,0,2003
 139,Fordham,AA,52.58 ,9,3,45.9,178,0,0,0,0,2003
 140,Harvard,AA,52.50 ,7,3,44.74,183,0,0,0,0,2003
 141,Illinois St.,AA,52.29 ,6,6,53.32,145,0,0,0,0,2003
 142,New Mexico St.,A,51.86 ,3,9,65.28,91,0,0,0,3,2003
 143,East Carolina,A,51.25 ,1,11,68.3,76,0,1,0,1,2003
 144,New Hampshire,AA,51.20 ,5,7,51.66,149,0,0,0,0,2003
 145,Georgia Southern,AA,50.81 ,7,4,43.74,190,0,0,0,0,2003
 146,Nicholls St.,AA,50.74 ,5,6,50.02,154,0,0,0,0,2003
 147,Arkansas St.,A,50.29 ,5,7,58.14,123,0,0,0,1,2003
 148,SMS(SW Missouri St.),AA,50.19 ,4,7,60.09,116,0,0,0,0,2003
 149,Eastern Kentucky,AA,50.16 ,7,5,49.08,159,0,0,0,0,2003
 150,Yale,AA,50.04 ,6,4,45.82,179,0,0,0,0,2003
 151,Rhode Island,AA,50.00 ,4,8,56.1,131,0,0,0,0,2003
 152,Youngstown St.,AA,49.54 ,5,7,56.69,128,0,0,0,0,2003
 153,Southern U.,AA,49.33 ,12,1,31.42,217,0,0,0,0,2003
 154,Portland St.,AA,49.27 ,4,7,58.51,121,0,0,0,0,2003
 155,Buffalo,A,49.11 ,1,11,69.82,67,0,2,0,2,2003
 156,Southern Utah,AA,48.38 ,4,7,54.51,141,0,0,0,0,2003
 157,Samford,AA,48.08 ,7,4,44.34,184,0,0,0,0,2003
 158,UC Davis            A,AA,47.61 ,6,4,46.87,169,0,0,0,0,2003
 159,Citadel,AA,47.53 ,6,6,50.08,153,0,1,0,1,2003
 160,UTEP,A,46.86 ,2,11,62.74,111,0,0,0,1,2003
 161,NW Louisiana,AA,46.80 ,6,6,45.25,182,0,0,0,0,2003
 162,Grambling,AA,46.17 ,9,3,33.07,211,0,0,0,0,2003
 163,Western Carolina,AA,46.07 ,5,7,52.44,148,0,0,0,1,2003
 164,Brown,AA,45.91 ,5,5,46.16,176,0,0,0,0,2003
 165,Sacramento St.,AA,45.62 ,2,9,56.41,129,0,0,0,1,2003
 166,No. Carolina A&T,AA,45.42 ,10,3,38.11,198,0,0,0,0,2003
 167,Dartmouth,AA,44.85 ,5,5,47.31,167,0,0,0,0,2003
 168,Tennessee St.,AA,44.79 ,7,5,40.63,193,0,0,0,0,2003
 169,Bethune-Cookman,AA,44.61 ,9,3,35.17,206,0,0,0,0,2003
 170,Hofstra,AA,44.46 ,2,10,56.2,130,0,0,0,0,2003
 171,Army,A,44.20 ,0,13,66.81,83,0,0,0,0,2003
 172,Louisiana-Monroe,A,44.04 ,1,11,64.18,101,0,1,0,3,2003
 173,So. Carolina St.,AA,44.02 ,8,4,36.95,201,0,0,0,0,2003
 174,SMU,A,43.90 ,0,12,67.39,80,0,0,0,2,2003
 175,SE Missouri St.,AA,43.60 ,5,7,46.41,175,0,0,0,0,2003
 176,Gardner-Webb,AA,43.59 ,8,4,41.85,192,0,0,0,0,2003
 177,Lafayette,AA,43.56 ,5,6,41.95,191,0,0,0,0,2003
 178,Richmond,AA,43.08 ,2,9,56.87,126,0,0,0,0,2003
 179,East Tennessee St.,AA,42.30 ,5,7,46.01,177,0,0,0,0,2003
 180,Alabama A&M,AA,42.24 ,8,4,31.58,216,0,0,0,0,2003
 181,Texas State,AA,42.08 ,4,8,52.76,146,0,0,0,0,2003
 182,Bucknell,AA,41.89 ,6,6,43.82,189,0,0,0,0,2003
 183,Indiana St.,AA,41.86 ,3,9,54.01,143,0,0,0,0,2003
 184,Columbia,AA,41.56 ,4,6,46.65,172,0,0,0,0,2003
 185,Hampton,AA,41.52 ,7,4,35.58,204,0,0,0,0,2003
 186,Towson,AA,41.46 ,6,6,44.11,185,0,0,0,0,2003
 187,Princeton,AA,40.11 ,2,8,49.59,155,0,0,0,0,2003
 188,Sam Houston St.,AA,39.50 ,2,9,54.95,136,0,0,0,0,2003
 189,Florida A&M,AA,39.49 ,6,6,40.28,194,0,0,0,1,2003
 190,Alabama St.,AA,39.12 ,8,5,34.59,209,0,0,0,0,2003
 191,Eastern Illinois,AA,39.06 ,4,8,46.83,170,0,0,0,0,2003
 192,Fla. International,AA,38.77 ,2,10,47.9,166,0,0,0,0,2003
 193,San Diego,AA,38.17 ,8,2,23.43,228,0,0,0,0,2003
 194,VMI,AA,38.05 ,6,6,34.78,208,0,0,0,0,2003
 195,Alcorn St.,AA,37.97 ,7,5,33.07,212,0,0,0,0,2003
 196,Murray St.,AA,37.63 ,4,8,45.59,181,0,0,0,0,2003
 197,Liberty,AA,37.26 ,6,6,44.09,186,0,0,0,0,2003
 198,Tennessee Tech,AA,36.98 ,2,9,48.72,160,0,0,0,0,2003
 199,Morehead St.,AA,36.86 ,8,3,29.32,218,0,0,0,0,2003
 200,Morgan St.,AA,36.66 ,6,5,35.11,207,0,0,0,0,2003
 201,Chattanooga,AA,35.68 ,3,9,48.45,162,0,0,0,0,2003
 202,Albany (NY),AA,34.94 ,7,4,28.25,223,0,0,0,0,2003
 203,Dayton,AA,34.41 ,9,2,23.41,229,0,0,0,0,2003
 204,Elon,AA,34.33 ,2,10,47.97,163,0,0,0,0,2003
 205,Duquesne,AA,34.26 ,8,3,23.15,230,0,0,0,0,2003
 206,Monmouth-NJ,AA,33.67 ,10,2,21.48,234,0,0,0,0,2003
 207,Georgetown,AA,33.51 ,4,8,39.89,195,0,0,0,0,2003
 208,Holy Cross,AA,31.76 ,1,11,46.65,171,0,0,0,0,2003
 209,Howard,AA,31.13 ,4,7,36.74,202,0,0,0,0,2003
 210,Cornell,AA,30.47 ,1,9,47.3,168,0,0,0,0,2003
 211,Valparaiso,AA,30.44 ,8,4,27.19,226,0,0,0,0,2003
 212,Texas Southern,AA,28.68 ,5,6,33.22,210,0,0,0,0,2003
 213,SE Louisiana,AA,28.47 ,5,7,39.12,196,0,0,0,0,2003
 214,Drake,AA,27.35 ,6,6,31.86,214,0,0,0,0,2003
 215,Saint Mary's-Cal.,AA,27.24 ,1,11,49.1,158,0,0,0,0,2003
 216,Tenn.-Martin,AA,26.94 ,2,10,44.06,187,0,0,0,0,2003
 217,Jackson St.,AA,26.12 ,2,10,37.78,199,0,0,0,0,2003
 218,Coastal Carolina,AA,25.56 ,6,5,28.68,220,0,0,0,0,2003
 219,Stony Brook,AA,25.14 ,6,4,20.93,236,0,0,0,0,2003
 220,Robert Morris,AA,24.63 ,6,4,22.93,231,0,0,0,0,2003
 221,Ark.-Pine Bluff,AA,23.91 ,4,7,31.84,215,0,0,0,0,2003
 222,Jacksonville,AA,23.71 ,5,6,27.69,225,0,0,0,0,2003
 223,Delaware St.,AA,22.80 ,1,10,38.82,197,0,0,0,0,2003
 224,Sacred Heart,AA,20.90 ,6,5,19.38,237,0,0,0,0,2003
 225,Wagner,AA,20.01 ,6,5,17.93,238,0,0,0,0,2003
 226,Iona,AA,17.72 ,6,5,17.5,239,0,0,0,0,2003
 227,Davidson,AA,17.71 ,3,8,28.32,222,0,0,0,0,2003
 228,Norfolk St.,AA,16.68 ,1,11,36.41,203,0,0,0,0,2003
 229,Central Conn. St.,AA,16.56 ,3,8,27.95,224,0,0,0,0,2003
 230,Miss. Valley St.,AA,16.40 ,2,9,32.86,213,0,0,0,0,2003
 231,Austin Peay,AA,16.34 ,4,7,28.34,221,0,0,0,0,2003
 232,Charleston Southern,AA,16.10 ,1,11,45.79,180,0,0,0,0,2003
 233,Marist,AA,14.02 ,4,6,21.11,235,0,0,0,0,2003
 234,Butler,AA,11.73 ,2,9,28.88,219,0,0,0,0,2003
 235,Savannah St.,AA,9.25 ,0,12,37.59,200,0,0,0,0,2003
 236,St. Francis-Pa.,AA,8.79 ,1,9,24.71,227,0,0,0,0,2003
 237,Saint Peter's,AA,8.69 ,2,8,22.58,232,0,0,0,0,2003
 238,Prairie View A&M,AA,5.70 ,1,10,35.47,205,0,0,0,0,2003
 239,La Salle,AA,5.70 ,3,8,16.97,240,0,0,0,0,2003
 240,Siena,AA,-1.40 ,0,11,21.68,233,0,0,0,0,2003
