OvrRank,Team,Division,Rating,W,L,SchScore,SchRank,Wtop10,Ltop10,Wtop30,Ltop30
   1,Florida,A,98.74 ,13,1,76.87,4,2,1,5,1
   2,Southern California,A,94.85 ,12,1,75.23,16,1,0,5,1
   3,Oklahoma,A,94.15 ,12,2,76.38,7,2,2,5,2
   4,Texas,A,93.50 ,12,1,75.47,14,1,1,4,1
   5,Utah,A,91.37 ,13,0,70.85,56,2,0,3,0
   6,Alabama,A,89.48 ,12,2,73.83,28,1,2,4,2
   7,TCU,A,89.09 ,11,2,69.77,69,0,2,1,2
   8,Penn State,A,88.26 ,11,2,71.19,55,0,1,2,2
   9,Texas Tech,A,86.75 ,11,2,73.83,27,1,2,3,2
  10,Mississippi,A,86.28 ,9,4,74.65,20,2,1,3,2
  11,Oregon,A,85.47 ,10,3,74.15,22,0,1,3,3
  12,Boise State,A,85.13 ,12,1,64.86,94,0,1,1,1
  13,Oregon State,A,85.11 ,9,4,76.34,8,1,2,4,3
  14,Ohio State,A,84.83 ,10,3,72.24,46,0,3,0,3
  15,Georgia,A,84.81 ,10,3,75.98,11,0,2,1,2
  16,California,A,83.58 ,9,4,74.07,24,0,1,1,3
  17,Florida State,A,83.18 ,9,4,71.96,48,0,1,2,3
  18,Virginia Tech,A,82.93 ,10,4,73.89,26,0,0,3,2
  19,Missouri,A,82.80 ,10,4,72.33,45,0,2,1,3
  20,Oklahoma State,A,82.16 ,9,4,72.65,43,0,3,1,4
  21,LSU,A,81.96 ,8,5,73.34,33,0,3,0,4
  22,Iowa,A,81.79 ,9,4,70.08,63,1,0,1,1
  23,Nebraska,A,80.70 ,9,4,72.89,38,0,2,1,4
  24,Arizona,A,80.50 ,8,5,70.63,57,0,1,1,3
  25,Wake Forest,A,79.43 ,8,5,76.16,9,1,0,3,1
  26,West Virginia,A,79.27 ,9,4,72.09,47,0,0,1,1
  27,Pittsburgh,A,79.03 ,9,4,74,25,0,0,2,1
  28,Boston College,A,78.94 ,9,5,73.02,35,0,0,3,3
  29,North Carolina,A,78.88 ,8,5,74.32,21,0,0,1,2
  30,Clemson,A,78.87 ,7,6,73.83,29,0,1,1,4
  31,Kansas,A,78.80 ,8,5,72.81,39,0,3,1,4
  32,BYU,A,78.66 ,10,3,69.05,74,0,2,0,3
  33,Michigan State,A,78.17 ,9,4,72.73,41,0,1,1,4
  34,Cincinnati,A,77.89 ,11,3,70.33,60,0,1,2,2
  35,Miami-Florida,A,77.42 ,7,6,75.38,15,0,1,2,4
  36,Georgia Tech,A,77.13 ,9,4,72.79,40,0,0,4,3
  37,Rutgers,A,77.11 ,8,5,69.09,73,0,0,1,2
  38,South Carolina,A,77.06 ,7,6,77.13,3,1,1,1,5
  39,Vanderbilt,A,76.47 ,7,6,75.7,13,1,1,2,3
  40,Connecticut,A,76.40 ,8,5,71.27,53,0,0,0,3
