OvrRank,Team,Division,Rating,W,L,SchScore,SchRank,Wtop10,Ltop10,Wtop30,Ltop30,Year
   1,Alabama,A,100.25 ,14,0,77.28,2,3,0,7,0,2009
   2,Florida,A,95.75 ,13,1,75.39,15,1,1,4,1,2009
   3,Texas,A,92.39 ,13,1,73.09,38,0,1,3,1,2009
   4,TCU,A,90.16 ,12,1,70.59,60,0,1,3,1,2009
   5,Boise State,A,89.35 ,14,0,64.97,96,1,0,2,0,2009
   6,Ohio State,A,88.35 ,11,2,72.05,50,2,0,4,1,2009
   7,Virginia Tech,A,87.69 ,10,3,75.77,13,0,1,2,2,2009
   8,Cincinnati,A,86.84 ,12,1,72.51,44,0,1,2,1,2009
   9,Iowa,A,85.82 ,11,2,72.64,41,1,1,3,1,2009
  10,Penn State,A,85.43 ,11,2,69.21,73,0,2,1,2,2009
  11,Oregon,A,85.27 ,10,3,76.29,6,0,2,2,3,2009
  12,Georgia Tech,A,84.60 ,11,3,76.17,10,1,1,3,3,2009
  13,LSU,A,84.22 ,9,4,76.64,5,0,3,3,4,2009
  14,Nebraska,A,84.06 ,10,4,71.83,52,0,2,1,3,2009
  15,BYU,A,83.60 ,11,2,70.34,61,0,1,2,1,2009
  16,Pittsburgh,A,83.50 ,10,3,72.9,40,0,1,1,1,2009
  17,Oklahoma,A,83.15 ,8,5,74.59,22,0,1,1,5,2009
  18,Arkansas,A,82.49 ,8,5,75.93,12,0,2,1,5,2009
  19,Mississippi,A,82.38 ,9,4,72.47,46,0,1,2,2,2009
  20,Southern California,A,81.95 ,9,4,74.96,19,1,0,1,2,2009
  21,Miami-Florida,A,81.72 ,9,4,76.18,8,0,1,2,3,2009
  22,Clemson,A,81.54 ,9,5,74.42,24,0,1,1,3,2009
  23,Wisconsin,A,81.21 ,10,3,70.18,64,0,2,1,2,2009
  24,Utah,A,80.59 ,10,3,69.06,75,0,1,0,3,2009
  25,Texas Tech,A,80.25 ,9,4,70.25,62,0,1,2,1,2009
  26,Georgia,A,80.08 ,8,5,76.22,7,0,1,3,2,2009
  27,Auburn,A,79.43 ,8,5,75.22,17,0,1,1,4,2009
  28,Connecticut,A,79.42 ,8,5,73.45,34,0,1,0,2,2009
  29,Stanford,A,78.89 ,8,5,73.85,29,0,0,2,1,2009
  30,Villanova,AA,78.74 ,14,1,60.49,123,0,0,0,0,2009
  31,Florida State,A,78.56 ,7,6,77.11,3,0,1,1,4,2009
  32,West Virginia,A,78.55 ,9,4,73.71,31,0,1,2,2,2009
  33,North Carolina,A,78.47 ,8,5,73.66,32,1,0,3,2,2009
  34,Oregon State,A,78.35 ,8,5,74.56,23,0,1,1,4,2009
  35,Air Force,A,78.21 ,8,5,68.39,79,0,1,0,3,2009
  36,Tennessee,A,77.96 ,7,6,74.8,21,0,3,1,5,2009
  37,Arizona,A,77.64 ,8,5,76.16,11,0,1,2,3,2009
  38,Navy,A,77.51 ,10,4,68.19,82,0,1,0,2,2009
  39,South Florida,A,77.28 ,8,5,70.83,59,0,1,0,4,2009
  40,Oklahoma State,A,77.28 ,9,4,72.25,49,0,1,2,3,2009
  41,Rutgers,A,76.98 ,9,4,67.65,83,0,1,1,2,2009
  42,Central Michigan,A,76.48 ,12,2,62.4,110,0,0,0,0,2009
  43,South Carolina,A,76.43 ,7,6,76.92,4,0,2,2,5,2009
  44,Boston College,A,76.14 ,8,5,72.52,43,0,1,0,3,2009
  45,Mississippi State,A,76.04 ,5,7,78.52,1,0,2,1,6,2009
  46,California,A,75.77 ,8,5,73.93,27,0,0,1,3,2009
  47,Kentucky,A,75.35 ,7,6,73.38,35,0,2,2,3,2009
  48,Notre Dame,A,75.31 ,6,6,73.17,37,0,0,0,4,2009
  49,William & Mary,AA,75.19 ,11,3,59.96,126,0,0,0,2,2009
  50,UCLA,A,75.03 ,7,6,73.78,30,0,0,0,3,2009
  51,East Carolina,A,74.52 ,9,5,69.9,65,0,1,0,2,2009
  52,Washington,A,74.34 ,5,7,75.46,14,0,0,1,3,2009
  53,Houston,A,73.54 ,10,4,66.83,88,0,0,1,0,2009
  54,Missouri,A,73.42 ,8,5,71.09,58,0,1,0,2,2009
  55,Michigan State,A,73.28 ,6,7,72.37,47,0,2,0,4,2009
  56,Wake Forest,A,72.55 ,5,7,73.9,28,0,0,1,3,2009
  57,Montana,AA,71.73 ,14,1,55.78,143,0,0,0,1,2009
  58,Texas A&M,A,71.72 ,6,7,72.48,45,0,1,1,4,2009
  59,Fresno State,A,71.39 ,8,5,67.49,84,0,2,0,3,2009
  60,Richmond,AA,71.25 ,11,2,58.64,127,0,0,0,1,2009
  61,Northwestern,A,70.95 ,8,5,68.34,80,1,1,2,2,2009
  62,Kansas,A,70.88 ,5,7,71.74,53,0,1,0,4,2009
  63,Middle Tennessee,A,70.87 ,10,3,61.49,115,0,0,0,1,2009
  64,Minnesota,A,70.61 ,6,7,74,26,0,3,0,4,2009
  65,SMU,A,70.35 ,8,5,65.96,92,0,1,0,1,2009
  66,Iowa State,A,70.30 ,7,6,69.32,71,0,1,1,1,2009
  67,Arizona State,A,70.11 ,4,8,73.07,39,0,0,0,4,2009
  68,Kansas State,A,69.79 ,6,6,69.73,66,0,0,0,3,2009
  69,Troy,A,69.60 ,9,4,63.46,103,0,1,0,2,2009
  70,Nevada,A,69.43 ,8,5,66.34,89,0,1,0,1,2009
  71,Central Florida,A,69.34 ,8,5,66.29,90,0,1,0,2,2009
  72,Temple,A,69.24 ,9,4,62.21,111,0,1,0,2,2009
  73,Virginia,A,69.01 ,3,9,76.18,9,0,2,0,5,2009
  74,NC State,A,68.85 ,5,7,71.86,51,0,1,1,2,2009
  75,Purdue,A,68.60 ,5,7,71.11,57,1,0,1,2,2009
  76,Appalachian State,AA,68.12 ,11,3,56.04,141,0,0,0,0,2009
  77,Southern Miss,A,68.07 ,7,6,65.25,93,0,0,0,0,2009
  78,Duke,A,67.87 ,5,7,71.57,54,0,1,0,3,2009
  79,Marshall,A,67.60 ,7,6,67.04,86,0,1,0,1,2009
  80,Baylor,A,67.37 ,4,8,75.06,18,0,1,0,5,2009
  81,Michigan,A,67.18 ,5,7,69.24,72,0,3,0,4,2009
  82,Wyoming,A,67.09 ,7,6,71.17,56,0,2,0,4,2009
  83,Syracuse,A,67.05 ,4,8,73.21,36,0,2,0,4,2009
  84,New Hampshire,AA,66.42 ,10,3,54.05,154,0,0,1,1,2009
  85,Idaho,A,66.19 ,8,5,64.98,95,0,1,0,1,2009
  86,Southern Illinois,AA,66.19 ,11,2,51.94,162,0,0,0,0,2009
  87,Louisville,A,66.13 ,4,8,74.29,25,0,1,0,4,2009
  88,Ohio University,A,66.13 ,9,5,62.74,108,0,0,0,1,2009
  89,Louisiana Tech,A,66.12 ,4,8,69.17,74,0,1,0,3,2009
  90,Elon,AA,66.10 ,9,3,53.02,157,0,0,0,0,2009
  91,Colorado,A,65.89 ,3,9,72.56,42,0,1,0,2,2009
  92,Bowling Green,A,65.35 ,7,6,64.82,97,0,1,0,1,2009
  93,UNLV,A,64.91 ,5,7,69.35,70,0,1,0,3,2009
  94,Illinois,A,64.37 ,3,9,72.3,48,0,3,0,3,2009
  95,Northern Illinois,A,64.33 ,7,6,60.93,118,0,0,0,1,2009
  96,Tulsa,A,63.96 ,5,7,64.79,98,0,1,0,2,2009
  97,Maryland,A,63.83 ,2,10,73.51,33,0,1,1,1,2009
  98,Indiana,A,63.56 ,4,8,70.21,63,0,3,0,4,2009
  99,UAB,A,63.49 ,5,7,67.4,85,0,0,0,1,2009
 100,Utah State,A,63.33 ,4,8,68.95,77,0,1,0,3,2009
 101,South Dakota State,AA,63.02 ,8,4,54.8,149,0,0,0,0,2009
 102,Northern Iowa,AA,62.53 ,7,4,51.07,165,0,1,0,1,2009
 103,San Diego State,A,62.52 ,4,8,69.41,69,0,1,0,3,2009
 104,Vanderbilt,A,62.47 ,2,10,74.89,20,0,1,0,5,2009
 105,Hawaii,A,62.47 ,6,7,66.09,91,0,1,0,2,2009
 106,Colorado State,A,62.05 ,3,9,69.7,67,0,1,0,3,2009
 107,Buffalo,A,61.95 ,5,7,63.15,106,0,0,0,1,2009
 108,James Madison,AA,61.78 ,6,5,60.48,124,0,0,0,1,2009
 109,Louisiana-Monroe,A,61.51 ,6,6,61.93,112,0,1,0,1,2009
 110,Eastern Washington,AA,61.32 ,8,4,56.84,135,0,0,0,0,2009
 111,Weber State,AA,60.89 ,7,5,57.35,134,0,0,0,0,2009
 112,Delaware,AA,60.65 ,6,5,61.14,117,0,0,0,1,2009
 113,UTEP,A,59.94 ,4,8,63.82,102,0,1,0,1,2009
 114,Florida Atlantic,A,59.26 ,5,7,63.36,105,0,0,0,1,2009
 115,SC State,AA,59.03 ,10,2,42.76,206,0,0,0,0,2009
 116,Pennsylvania,AA,58.68 ,8,2,46.28,185,0,0,0,1,2009
 117,Jacksonville State,AA,58.31 ,8,3,45.51,193,0,0,0,1,2009
 118,Stephen F. Austin,AA,58.12 ,10,3,50.83,167,0,0,0,0,2009
 119,Kent State,A,58.07 ,5,7,60.69,121,0,0,0,0,2009
 120,Montana State,AA,57.88 ,7,4,55.46,144,0,0,0,0,2009
 121,Massachusetts,AA,57.81 ,5,6,56.43,138,0,0,0,0,2009
 122,Toledo,A,57.77 ,5,7,63.04,107,0,1,0,1,2009
 123,Louisiana-Lafayette,A,57.67 ,6,6,61.43,116,0,0,0,2,2009
 124,Northern Arizona,AA,57.34 ,5,6,58.4,129,0,0,0,1,2009
 125,Western Michigan,A,57.31 ,5,7,60.87,119,0,0,0,0,2009
