Year,player,school,trophy,class,pos
2009,Colt McCoy,Texas,Johnny Unitas Golden Arm Award,,
2008,Graham Harrell,Texas Tech,Johnny Unitas Golden Arm Award,,
2007,Matt Ryan,Boston College,Johnny Unitas Golden Arm Award,,
2006,Brady Quinn,Notre Dame,Johnny Unitas Golden Arm Award,,
2005,Matt Leinart,Southern California,Johnny Unitas Golden Arm Award,,
2004,Jason White,Oklahoma,Johnny Unitas Golden Arm Award,,
2003,Eli Manning,Mississippi,Johnny Unitas Golden Arm Award,,
2002,Carson Palmer,Southern California,Johnny Unitas Golden Arm Award,,
2001,David Carr,Fresno State,Johnny Unitas Golden Arm Award,,
2000,Chris Weinke,Florida State,Johnny Unitas Golden Arm Award,,
1999,Chris Redman,Louisville,Johnny Unitas Golden Arm Award,,
1998,Cade McNown,UCLA,Johnny Unitas Golden Arm Award,,
1997,Peyton Manning,Tennessee,Johnny Unitas Golden Arm Award,,
1996,Danny Wuerffel,Florida,Johnny Unitas Golden Arm Award,,
1995,Tommie Frazier,Nebraska,Johnny Unitas Golden Arm Award,,
1994,Jay Barker,Alabama,Johnny Unitas Golden Arm Award,,
1993,Charlie Ward,Florida State,Johnny Unitas Golden Arm Award,,
1992,Gino Torretta,Miami,Johnny Unitas Golden Arm Award,,
1991,Casey Weldon,Florida State,Johnny Unitas Golden Arm Award,,
1990,Craig Erickson,Miami,Johnny Unitas Golden Arm Award,,
1989,Tony Rice,Notre Dame,Johnny Unitas Golden Arm Award,,
1988,Rodney Peete,Southern California,Johnny Unitas Golden Arm Award,,
1987,Don McPherson,Syracuse,Johnny Unitas Golden Arm Award,,
2012,Monte Ball,Wisconsin,Doak Walker Award,,
2011,Trent Richardson,Alabama,Doak Walker Award,,
2010,LaMichael Jamese,Oregon,Doak Walker Award,,
2009,Toby Gerhart,Stanford,Doak Walker Award,,
2008,Shonn Greene,Iowa,Doak Walker Award,,
2007,Darren McFadden,Arkansas,Doak Walker Award,,
2006,Darren McFadden,Arkansas,Doak Walker Award,,
2005,Reggie Bush,Southern California,Doak Walker Award,,
2004,Cedric Benson,Texas,Doak Walker Award,,
2003,Chris Perry,Michigan,Doak Walker Award,,
2002,Larry Johnson,Penn State,Doak Walker Award,,
2001,Luke Staley,Brigham Young,Doak Walker Award,,
2000,LaDainian Tomlinson,Texas Christian,Doak Walker Award,,
1999,Ron Dayne,Wisconsin,Doak Walker Award,,
1998,Ricky Williams,Texas,Doak Walker Award,,
1997,Ricky Williams,Texas,Doak Walker Award,,
1996,Byron Hanspard,Texas Tech,Doak Walker Award,,
1995,Eddie George,Ohio State,Doak Walker Award,,
1994,Rashaan Salaam,Colorado,Doak Walker Award,,
1993,Byron Morris,Texas Tech,Doak Walker Award,,
1992,Garrison Hearst,Georgia,Doak Walker Award,,
1991,Trevor Cobb,Rice,Doak Walker Award,,
1990,Greg Lewis,Washington,Doak Walker Award,,
1986,Thomas Everett,Baylor,Jim Thorpe Award,,
1987,Bennie Blades,Miami,Jim Thorpe Award,,
1987,Rickey Dixon,Oklahoma,Jim Thorpe Award,,
1988,Deion Sanders,Florida State,Jim Thorpe Award,,
1989,Mark Carrier,Southern California,Jim Thorpe Award,,
1990,Darryll Lewis,Arizona,Jim Thorpe Award,,
1991,Terrell Buckley,Florida State,Jim Thorpe Award,,
1992,Deon Figures,Colorado,Jim Thorpe Award,,
1993,Antonio Langham,Alabama,Jim Thorpe Award,,
1994,Chris Hudson,Colorado,Jim Thorpe Award,,
1995,Greg Myers,Colorado State,Jim Thorpe Award,,
1996,Lawrence Wright,Florida,Jim Thorpe Award,,
1997,Charles Woodson,Michigan,Jim Thorpe Award,,
1998,Antoine Winfield,Ohio State,Jim Thorpe Award,,
1999,Tyrone Carter,Minnesota,Jim Thorpe Award,,
2000,Jamar Fletcher,Wisconsin,Jim Thorpe Award,,
2001,Roy Williams,Oklahoma,Jim Thorpe Award,,
2002,Terence Newman,Kansas State,Jim Thorpe Award,,
2003,Derrick Strait,Oklahoma,Jim Thorpe Award,,
2004,Carlos Rogers,Auburn,Jim Thorpe Award,,
2005,Michael Huff,Texas,Jim Thorpe Award,,
2006,Aaron Ross,Texas,Jim Thorpe Award,,
2007,Antoine Cason,Arizona,Jim Thorpe Award,,
2008,Malcolm Jenkins,Ohio State,Jim Thorpe Award,,
2009,Eric Berry,Tennessee,Jim Thorpe Award,,
2010,Patrick Peterson,LSU,Jim Thorpe Award,,
2011,Morris Claiborne,LSU,Jim Thorpe Award,,
2012,Johnthan Banks,Mississippi State,Jim Thorpe Award,,
